DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,26,20,21,20,24,25,0,54,10,1016,5.625,26,13,21,113,113,113,0,1,8.7,météo idéale
2009-01-02,22,15,53,18,16,16,0.1,79,10,1022,35.25,25,16,16,119,119,113,0,1,5.5,météo correcte
2009-01-03,15,13,45,14,15,14,0,69,10,1024,1.375,15,8,11,113,113,113,0,1,8.7,météo correcte
2009-01-04,17,12,37,13,16,16,0,65,10,1023,5.5,17,8,11,113,113,113,0,1,8.7,météo correcte
2009-01-05,18,14,31,14,18,17,0,59,10,1021,1.375,18,8,16,113,113,113,0,1,8.7,météo favorable
2009-01-06,18,15,36,15,18,17,0,63,10,1020,0,18,9,16,113,113,113,0,1,8.7,météo favorable
2009-01-07,20,15,17,15,19,18,0,61,10,1019,7.875,20,11,17,113,113,113,0,1,8.7,météo favorable
2009-01-08,20,17,22,18,20,18,0,59,10,1021,13.625,20,12,19,116,113,113,0,1,8.7,météo favorable
2009-01-09,20,16,19,16,19,18,0,59,10,1023,13.375,20,11,18,113,116,113,0,1,8.7,météo favorable
2009-01-10,19,16,14,17,19,19,0,56,10,1022,20.875,19,10,18,113,116,113,0,1,8.7,météo favorable
2009-01-11,19,18,23,19,19,19,0,59,10,1021,43,20,11,19,116,116,116,0,1,8.7,météo favorable
2009-01-12,19,18,18,18,19,18,0.2,59,9.875,1022,29.625,19,11,19,113,116,113,0,1,8.7,météo favorable
2009-01-13,18,14,35,17,18,16,0,69,10,1025,4.25,18,11,17,113,113,113,0,1,8.7,météo favorable
2009-01-14,16,13,30,13,15,14,0,58,10,1027,2.5,16,7,11,113,113,113,0,1,8.7,météo correcte
2009-01-15,20,15,27,16,20,18,0.2,59,10,1027,6,20,10,18,113,113,113,0,1,8.7,météo favorable
