DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,29,25,15,25,29,26,0.7,84,9.875,1012,22,32,22,25,116,176,113,,,,météo favorable
2009-01-02,30,25,14,25,29,28,0,78,10,1012,27.25,34,25,25,113,113,113,,,,météo idéale
2009-01-03,30,26,16,26,29,28,1,85,9,1012,64,34,25,26,353,113,116,,,,météo correcte
2009-01-04,29,25,13,25,28,28,5.8,92,7.375,1012,73.375,36,27,25,263,119,353,,,,météo défavorable
2009-01-05,28,25,13,25,27,27,5.4,93,9,1012,75.5,32,25,25,119,353,353,,,,météo défavorable
2009-01-06,28,24,10,24,28,27,8.8,90,9.5,1011,57.875,35,27,24,353,353,356,,,,météo correcte
2009-01-07,28,24,5,24,27,27,25.9,95,8,1012,63.625,34,26,24,356,356,356,,,,météo très défavorable
2009-01-08,28,24,10,24,28,26,3.9,96,7.375,1011,39.125,33,24,24,176,176,176,,,,météo favorable
2009-01-09,28,24,15,24,27,27,2.7,94,8.625,1013,58.625,31,24,24,116,353,176,,,,météo correcte
2009-01-10,27,24,16,24,27,26,1.4,83,10,1013,67.875,30,23,24,119,353,353,,,,météo défavorable
2009-01-11,30,25,15,25,30,26,0,82,10,1012,20.625,33,23,25,113,113,116,,,,météo idéale
2009-01-12,30,24,9,24,30,26,3.2,92,9.75,1011,30.625,34,25,24,116,176,353,,,,météo favorable
2009-01-13,29,25,11,25,29,28,1.3,90,9.5,1012,43.375,34,25,25,116,176,176,,,,météo favorable
2009-01-14,27,24,11,24,27,26,6.7,92,8.625,1013,44,32,25,24,176,353,386,,,,météo correcte
2009-01-15,29,24,11,24,29,26,1.8,91,9.625,1013,34.625,33,23,24,176,176,116,,,,météo favorable
2009-01-16,29,24,15,24,28,27,0.4,86,10,1015,27.625,32,24,24,116,116,113,,,,météo favorable
2009-01-17,28,25,13,25,28,27,0.2,81,10,1016,27.75,30,22,25,113,116,113,,,,météo favorable
2009-01-18,29,23,12,23,29,25,0,89,10,1016,16.25,32,22,23,113,113,113,,,,météo idéale
2009-01-19,27,23,13,23,27,26,4.2,92,10,1015,48.25,30,24,23,116,353,353,,,,météo correcte
2009-01-20,26,23,10,23,26,25,1.2,93,9.625,1015,35.625,29,24,23,116,176,176,,,,météo favorable
2009-01-21,25,24,13,24,25,25,2.9,90,9.875,1015,57.5,28,23,24,353,353,353,,,,météo correcte
2009-01-22,27,24,16,24,26,26,6.6,93,10,1015,78.5,30,24,24,353,353,353,,,,météo défavorable
2009-01-23,27,24,15,24,26,26,9.6,91,9.625,1015,57.625,31,25,24,353,353,356,,,,météo correcte
2009-01-24,29,23,15,23,29,25,0.6,93,9,1014,43,32,22,23,116,113,116,,,,météo favorable
2009-01-25,29,24,16,24,29,25,0.2,88,10,1013,18.25,31,22,24,116,113,113,,,,météo idéale
2009-01-26,29,24,14,24,29,26,0,84,10,1013,18.75,32,22,24,116,113,113,,,,météo idéale
2009-01-27,29,25,13,25,29,28,0.2,85,10,1013,30.875,33,25,25,119,113,113,,,,météo favorable
2009-01-28,28,25,11,25,28,27,4.4,90,9.5,1012,24.25,33,25,25,113,176,176,,,,météo favorable
2009-01-29,29,24,14,24,29,26,0.8,90,9.875,1012,42.75,33,23,24,116,176,116,,,,météo favorable
2009-01-30,29,24,12,24,29,26,1.2,89,9.875,1013,54.375,33,23,24,119,176,353,,,,météo favorable
2009-01-31,28,24,13,24,28,26,2.5,89,10,1013,51.625,32,23,24,113,116,116,,,,météo favorable
