DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-1,0,29,-7,-3,-4,0,78,10,1025,15.375,0,0,-14,116,113,113,0,1,8.7,météo très défavorable
2009-01-02,1,0,18,-5,1,-2,0,65,10,1028,2.125,1,0,-8,113,113,113,0,1,8.7,météo très défavorable
2009-01-03,2,0,14,-4,2,-1,0,48,10,1029,10.75,2,0,-2,113,113,113,0,1,8.7,météo très défavorable
2009-01-04,3,0,14,-2,3,-0,0,48,10,1026,25.25,3,0,-3,116,113,113,0,1,8.7,météo très défavorable
2009-01-05,2,0,21,-1,2,-1,0,48,10,1027,18.125,2,0,-4,116,113,113,0,1,8.7,météo très défavorable
2009-01-06,2,0,10,-3,1,-2,0,49,10,1029,11.875,2,0,-4,113,113,113,0,1,8.7,météo très défavorable
2009-01-07,3,0,18,-2,3,1,0,71,10,1029,12.75,4,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-08,3,0,26,1,3,2,0.1,79,10,1028,45.625,3,0,-2,119,116,119,0,1,8.7,météo très défavorable
2009-01-09,-1,0,22,-2,-2,-3,3.7,85,8.125,1023,51.25,0,0,-8,335,335,335,3.2,1,7,météo très défavorable
2009-01-10,-3,0,26,-7,-4,-7,0.7,43,9.375,1019,19.375,0,0,-14,113,113,113,0.6,1,8.7,météo très défavorable
2009-01-11,-5,0,28,-9,-5,-8,0,45,10,1021,0.875,0,0,-15,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,-5,0,32,-12,-6,-7,0,62,10,1024,7.125,0,0,-19,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,-1,0,18,-9,-2,-5,0,44,10,1028,2.125,0,0,-12,113,113,113,0,1,8.7,météo très défavorable
