DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,33,14,12,14,30,19,0,55,10,1016,8.625,31,10,13,113,113,113,0,6,8.7,météo favorable
2009-01-02,32,13,15,13,30,19,0,40,10,1016,10,30,5,12,113,113,113,0,6,8.7,météo favorable
2009-01-03,31,12,11,12,30,17,0,56,10,1017,0.875,29,9,11,113,113,113,0,5,8.7,météo favorable
2009-01-04,31,11,9,11,30,16,0,62,10,1015,5.375,29,9,10,113,113,113,0,5,8.7,météo favorable
2009-01-05,33,10,5,10,32,18,0,54,10,1015,16.125,30,8,10,113,113,113,0,5,8.7,météo favorable
2009-01-06,31,15,9,15,31,22,0,19,10,1013,27.125,29,0,15,113,116,116,0,6,7.2,météo favorable
2009-01-07,31,18,12,18,30,24,0,19,10,1011,23.125,29,0,18,116,113,113,0,6,8.7,météo idéale
2009-01-08,32,15,13,15,29,24,0,29,10,1013,6.875,30,0,14,113,113,113,0,6,8.7,météo idéale
2009-01-09,31,14,15,14,28,22,0,31,10,1015,0.75,29,0,13,113,113,113,0,6,8.7,météo favorable
2009-01-10,33,11,15,11,30,24,0,25,10,1016,0,31,0,10,113,113,113,0,6,8.7,météo favorable
2009-01-11,30,15,16,15,28,20,0,17,10,1014,1.375,28,0,14,113,113,113,0,6,8.7,météo idéale
2009-01-12,26,13,17,13,24,20,0,39,10,1015,5.375,25,4,12,113,113,113,0,5,8.7,météo favorable
2009-01-13,27,11,17,11,24,19,0,36,10,1017,6.5,25,0,9,113,113,113,0,5,8.7,météo favorable
2009-01-14,28,11,15,11,25,23,0,41,10,1016,5,26,0,9,113,113,113,0,5,8.7,météo favorable
