DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,15,13,21,12,15,13,1.8,85,9,1011,56.25,15,11,12,116,353,116,,,,météo correcte
2009-01-02,13,11,12,9,12,12,1.4,76,7.375,1021,80.625,13,9,9,122,266,263,,,,météo défavorable
2009-01-03,20,12,10,7,18,18,0,59,10,1022,17,20,7,12,113,113,113,,,,météo favorable
2009-01-04,26,15,10,7,23,24,0,59,8,1017,7.875,26,9,16,143,113,113,,,,météo idéale
2009-01-05,29,17,10,10,26,28,0,52,10,1015,7.5,27,8,17,113,113,113,,,,météo idéale
2009-01-06,30,19,12,14,28,26,0,63,10,1012,20.875,31,16,19,113,116,113,,,,météo favorable
2009-01-07,20,16,10,17,17,20,1.5,90,7,1014,61.375,22,15,16,266,266,113,,,,météo correcte
2009-01-08,17,13,17,12,15,15,0.2,64,10,1021,33.375,17,8,12,116,119,113,,,,météo correcte
2009-01-09,20,13,14,6,19,18,0,64,10,1022,18.375,20,8,12,113,113,116,,,,météo favorable
2009-01-10,22,14,14,9,21,19,0,68,9,1016,24.875,24,9,14,143,116,113,,,,météo favorable
2009-01-11,24,13,13,6,21,21,0,66,9,1014,11.375,24,7,13,113,116,113,,,,météo favorable
2009-01-12,23,15,12,10,21,21,0,77,7.625,1018,21.25,24,11,16,248,113,113,,,,météo favorable
2009-01-13,36,20,9,12,30,35,0,48,10,1016,1.75,34,10,20,113,113,113,,,,météo idéale
2009-01-14,30,27,19,27,30,22,0,42,10,1012,8.5,29,13,27,113,113,113,,,,météo idéale
2009-01-15,23,15,13,13,20,22,0,68,10,1015,18.625,24,10,15,116,116,113,,,,météo favorable
2009-01-16,18,14,19,13,16,17,0.5,71,8,1022,46.625,18,10,13,119,263,113,,,,météo correcte
2009-01-17,19,14,14,12,17,18,0.4,63,9.375,1023,29.375,19,8,14,116,113,113,,,,météo favorable
2009-01-18,25,14,11,6,22,23,0,59,8,1022,0.25,25,9,14,143,113,113,,,,météo favorable
2009-01-19,35,20,5,12,31,32,0,39,10,1017,4,33,8,20,113,113,113,,,,météo idéale
2009-01-20,34,23,21,16,33,28,0.1,34,10,1009,12.625,33,8,23,113,113,116,,,,météo idéale
2009-01-21,30,17,10,10,27,26,0.1,62,9,1011,12.25,28,11,18,143,113,113,,,,météo idéale
2009-01-22,30,26,26,20,30,21,0.6,38,8.25,1004,29.375,28,13,26,113,113,263,,,,météo idéale
2009-01-23,27,14,7,10,23,26,0.2,54,9.875,1008,24,26,6,14,119,116,113,,,,météo favorable
2009-01-24,17,14,16,15,16,17,1,68,8.375,1015,38.375,17,9,13,119,263,113,,,,météo correcte
2009-01-25,26,15,10,9,24,23,0,58,10,1018,2.875,25,8,16,113,113,113,,,,météo idéale
2009-01-26,24,15,13,7,22,22,0,66,7.625,1022,2.375,25,14,15,143,113,113,,,,météo idéale
2009-01-27,34,17,8,11,29,32,0,74,6.75,1019,29.75,33,12,17,248,113,113,,,,météo idéale
2009-01-28,41,25,8,20,35,38,0,29,10,1013,3,41,9,25,113,113,113,,,,météo correcte
2009-01-29,40,33,19,28,38,36,0,23,10,1010,5.125,40,13,33,113,113,113,,,,météo correcte
2009-01-30,38,30,8,26,37,32,0,43,10,1012,4.375,38,18,30,113,113,113,,,,météo favorable
2009-01-31,29,23,15,20,28,25,0.3,58,10,1017,5.75,30,17,23,113,113,113,,,,météo idéale
2009-02-01,23,18,9,16,22,23,1.6,86,9.375,1018,46.875,25,19,18,116,353,176,,,,météo correcte
2009-02-02,28,20,12,17,25,25,0.6,78,6.875,1013,54.125,29,17,20,143,116,176,,,,météo favorable
2009-02-03,25,19,15,18,22,23,1.7,89,6,1013,57.625,26,17,19,266,266,113,,,,météo correcte
2009-02-04,31,18,10,13,27,29,0,81,7.25,1012,25.25,31,17,18,248,113,113,,,,météo idéale
2009-02-05,29,21,14,17,27,26,0,60,8.375,1010,6.375,29,16,21,113,113,113,,,,météo idéale
2009-02-06,30,17,8,14,26,28,0,73,10,1011,27.375,29,14,17,116,113,113,,,,météo idéale
2009-02-07,40,29,25,25,38,32,1,38,9.75,1007,15.625,40,15,29,176,113,113,,,,météo correcte
2009-02-08,21,18,11,17,20,21,1.7,77,10,1016,27.125,22,15,18,113,353,116,,,,météo correcte
2009-02-09,17,14,14,13,16,16,0,60,10,1018,32.75,17,9,14,113,116,113,,,,météo correcte
2009-02-10,17,13,15,10,17,17,0.3,63,10,1019,45.125,17,7,13,119,116,353,,,,météo correcte
2009-02-11,14,13,14,12,14,14,1.5,75,5.625,1021,84.75,14,9,12,119,266,266,,,,météo défavorable
2009-02-12,19,16,19,14,18,18,1.2,69,7.75,1025,42.625,19,10,15,263,116,113,,,,météo favorable
2009-02-13,24,14,14,11,20,23,0,69,10,1026,8.125,25,9,13,113,116,113,,,,météo favorable
2009-02-14,28,16,10,10,26,26,0,64,10,1023,1.75,27,11,16,113,113,113,,,,météo idéale
2009-02-15,24,14,16,12,19,22,0.2,90,7,1018,36.25,25,14,14,143,266,113,,,,météo correcte
2009-02-16,28,16,12,13,24,26,0,81,9,1019,17.625,27,14,16,143,113,113,,,,météo idéale
2009-02-17,30,18,10,12,27,28,0,69,9,1017,2.125,28,12,18,143,113,113,,,,météo idéale
