DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,3,-0,18,-0,3,0,0,90,8,1026,29.875,3,2,-4,143,113,113,0,1,8.6,météo très défavorable
2009-01-02,4,-1,10,-1,4,1,0,89,10,1022,8.375,5,2,1,113,113,113,0,1,8.6,météo très défavorable
2009-01-03,2,-3,21,1,2,-3,0,93,9,1021,35.75,2,0,-5,143,116,113,0,1,6.9,météo très défavorable
2009-01-04,3,-3,12,-3,3,-2,0,80,10,1020,5.5,3,0,-3,113,113,113,0,1,8.6,météo très défavorable
2009-01-05,2,-3,5,-3,2,2,2.3,94,7.875,1016,73.375,2,2,1,116,119,143,0,1,3.2,météo très défavorable
2009-01-06,1,-1,15,-1,0,-1,4.7,94,5,1015,96.5,1,0,-5,122,122,143,4,1,3.4,météo très défavorable
2009-01-07,1,-1,16,1,1,1,2.9,95,5.875,1014,100,1,1,-4,143,143,143,1.2,1,3.4,météo très défavorable
2009-01-08,2,1,16,1,2,1,0,97,5,1026,75,2,2,-3,143,143,143,0,1,3.4,météo très défavorable
2009-01-09,2,-1,20,-1,2,-1,0,87,10,1029,37,2,0,-5,116,116,116,0,1,8.7,météo très défavorable
2009-01-10,2,-2,18,-2,2,-0,0,94,10,1028,13.25,2,1,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,4,1,15,2,4,1,0,92,10,1030,22.5,5,3,-1,116,113,113,0,1,8.7,météo très défavorable
2009-01-12,6,0,14,0,6,1,0,87,10,1031,8.125,7,5,-0,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,5,-0,18,-0,5,2,0,94,10,1026,10.625,6,4,-1,113,113,116,0,1,8.7,météo très défavorable
2009-01-14,5,2,14,3,5,2,0.2,90,9.375,1014,32.625,6,4,-0,116,116,113,0,1,8.7,météo très défavorable
2009-01-15,5,1,16,3,5,3,1.2,95,6.75,1022,60.625,6,5,-0,143,116,143,0,1,7,météo très défavorable
2009-01-16,6,1,7,1,6,2,0,94,8,1025,37,7,6,3,143,113,116,0,1,8.7,météo très défavorable
2009-01-17,7,1,13,3,6,7,0.3,94,6,1025,58.5,7,6,4,143,116,119,0,1,7,météo très défavorable
2009-01-18,7,4,24,5,6,6,1.8,97,6.875,1023,75.5,7,7,2,122,122,116,0,1,3.6,météo très défavorable
2009-01-19,8,3,23,4,7,7,6.5,97,5.5,1013,69.375,8,7,4,143,119,122,0,1,3.6,météo très défavorable
2009-01-20,6,4,6,5,5,5,1.6,98,3.75,1002,100,6,6,3,248,248,248,0,1,3.6,météo très défavorable
2009-01-21,5,2,7,2,5,3,0,92,6.75,1006,25,6,4,3,143,113,113,0,1,8.7,météo très défavorable
2009-01-22,5,0,12,1,5,1,0,89,10,1007,12.25,6,4,-0,113,113,113,0,1,8.7,météo très défavorable
2009-01-23,6,-2,22,3,5,5,1.5,97,8,1004,57.625,7,6,0,113,122,248,0,1,3.6,météo très défavorable
2009-01-24,3,1,18,3,2,1,0,97,8,991,63.875,4,3,-3,116,143,119,0,1,3.6,météo très défavorable
2009-01-25,8,2,16,3,8,3,0,88,8,1000,46.5,9,6,-0,116,116,116,0,1,8.7,météo très défavorable
2009-01-26,4,2,17,4,4,2,9.9,98,6,1001,95,4,4,-2,143,119,248,0,1,3.7,météo très défavorable
2009-01-27,6,2,18,3,6,2,0.8,95,7.625,1006,55.125,6,5,-0,143,116,113,0,1,8.7,météo très défavorable
2009-01-28,6,1,15,2,5,4,0,93,8,1010,39.125,6,4,0,143,116,143,0,1,8.7,météo très défavorable
2009-01-29,7,0,7,0,7,2,0,91,10,1014,12.875,8,6,4,116,113,113,0,1,8.7,météo très défavorable
2009-01-30,6,1,11,1,6,4,0.1,94,8,1018,25.875,6,5,1,113,116,143,0,1,8.7,météo très défavorable
2009-01-31,5,3,5,4,5,4,0.7,90,6.375,1015,65.25,6,4,4,119,116,119,0,1,5.4,météo très défavorable
2009-02-01,3,1,17,2,2,1,1.4,93,8.875,1010,91.625,3,2,-3,122,119,143,0,1,3.7,météo très défavorable
2009-02-02,1,0,18,0,1,1,4.7,97,7.25,1009,100,2,1,-4,122,143,248,0,1,3.7,météo très défavorable
2009-02-03,7,2,17,2,7,5,0,94,6,1003,69.5,7,6,1,143,116,143,0,1,7,météo très défavorable
2009-02-04,7,1,20,1,7,7,1.3,96,5.875,1003,57.375,7,7,3,143,116,119,0,1,7,météo très défavorable
2009-02-05,9,7,14,7,8,8,1.6,95,9,1006,75.25,9,8,5,116,116,122,0,1,7.1,météo défavorable
2009-02-06,9,7,23,7,8,8,4.4,96,6,1001,92.75,9,8,5,122,119,122,0,1,3.8,météo défavorable
2009-02-07,8,5,7,7,7,6,3.7,94,7.375,992,90.125,8,7,6,143,122,143,0,1,3.8,météo très défavorable
2009-02-08,5,3,12,3,4,4,3.6,90,8.75,1001,58.75,6,4,1,116,122,116,0,1,3.8,météo très défavorable
2009-02-09,8,1,10,1,8,6,0,86,10,1011,11.125,9,5,5,113,113,113,0,1,8.7,météo très défavorable
2009-02-10,10,5,8,7,9,8,1.6,97,9.875,1012,46.875,12,10,6,122,116,113,0,1,7.1,météo très défavorable
2009-02-11,7,2,25,3,7,4,0,73,10,1010,17.625,7,1,-0,116,113,113,0,1,8.7,météo très défavorable
2009-02-12,5,-0,14,0,5,3,0.2,72,9.75,1013,41.5,6,0,-1,113,119,200,0,1,5.5,météo très défavorable
2009-02-13,4,-1,18,-0,4,0,0,69,10,1015,12.125,4,0,-3,113,113,113,0,1,8.7,météo très défavorable
2009-02-14,4,-2,14,-2,4,1,0,65,10,1020,7.125,5,0,-2,113,113,113,0,1,8.7,météo très défavorable
2009-02-15,4,-2,14,-1,4,-1,0,66,10,1024,10.125,5,0,-2,113,113,116,0,1,8.7,météo très défavorable
2009-02-16,6,-1,13,1,6,3,0,71,10,1024,37.625,6,1,3,119,113,113,0,1,8.7,météo très défavorable
2009-02-17,8,1,19,2,8,4,0,81,9,1021,19.625,8,4,3,113,116,113,0,1,8.7,météo très défavorable
2009-02-18,4,-1,17,2,4,-0,0,72,10,1019,7.625,4,2,-1,113,113,113,0,1,8.7,météo très défavorable
2009-02-19,6,-1,9,-1,6,1,0,55,10,1023,3.375,7,0,2,113,113,113,0,1,8.7,météo très défavorable
2009-02-20,8,-1,8,-1,8,3,0,53,10,1026,8.875,10,2,7,113,113,113,0,1,10.8,météo très défavorable
2009-02-21,8,2,12,2,8,3,0,72,9,1025,32.875,9,3,3,119,113,113,0,1,10.9,météo très défavorable
2009-02-22,9,2,5,2,9,5,0,73,10,1023,36.625,10,5,8,116,119,113,0,1,10.1,météo très défavorable
2009-02-23,9,2,10,2,9,6,0,71,10,1017,18.875,9,3,4,113,116,113,0,1,10.9,météo très défavorable
2009-02-24,11,2,15,2,11,5,0,70,10,1020,10.875,12,4,3,113,113,113,0,1,11,météo très défavorable
2009-02-25,8,2,13,3,8,3,0.1,75,10,1028,17.125,9,2,2,116,113,113,0,1,11,météo très défavorable
2009-02-26,9,1,13,3,9,5,0,75,10,1027,42,9,4,6,116,116,119,0,1,10.1,météo très défavorable
2009-02-27,11,5,5,6,10,6,0,89,7,1017,29,12,7,8,143,113,113,0,1,11,météo très défavorable
2009-02-28,11,4,15,4,11,8,0,83,9,1019,15,11,8,8,113,113,113,0,1,11.1,météo très défavorable
2009-03-01,8,7,7,8,8,7,3.8,96,4.625,1017,97,9,8,7,143,143,122,0,1,5.6,météo très défavorable
2009-03-02,10,6,6,6,10,7,1.7,89,6.25,1015,79.625,10,7,7,143,122,119,0,1,7.1,météo défavorable
2009-03-03,10,6,4,6,8,6,2.6,93,4.875,1015,66.125,11,8,8,143,119,143,0,1,8.7,météo défavorable
2009-03-04,8,6,7,7,8,6,0,93,7,1010,84.375,8,7,7,122,122,143,0,1,5.8,météo très défavorable
2009-03-05,6,3,14,4,5,4,3.7,94,6.5,985,91,6,6,1,119,122,143,0,1,7.3,météo très défavorable
2009-03-06,5,3,13,3,5,5,5.8,95,5.875,996,83.125,5,5,1,143,143,119,0,1,5.8,météo très défavorable
2009-03-07,12,4,20,4,12,8,0,76,10,1008,17.625,12,7,4,116,113,113,0,1,11.6,météo très défavorable
