DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,13,7,13,7,13,10,0,75,10,1027,49,13,5,8,116,116,122,0,1,7.1,météo correcte
2009-01-02,15,7,14,7,14,9,0,70,10,1023,7.25,15,4,8,113,113,113,0,1,8.7,météo correcte
2009-01-03,17,7,13,7,16,12,0,68,10,1020,13.25,17,6,9,113,113,113,0,1,8.7,météo correcte
2009-01-04,16,8,17,8,16,11,0,66,9.875,1017,12,16,5,10,113,113,113,0,1,8.7,météo correcte
2009-01-05,14,7,20,7,14,8,0,64,10,1016,8.875,14,4,7,113,113,113,0,1,8.7,météo correcte
2009-01-06,14,7,15,7,14,10,0,53,10,1017,24.5,14,2,7,116,113,113,0,1,8.7,météo correcte
2009-01-07,13,5,12,5,13,9,0,53,10,1013,17.625,13,0,7,113,116,113,0,1,8.7,météo correcte
2009-01-08,13,6,11,6,13,8,0,61,10,1015,16.625,13,1,7,113,113,113,0,1,8.7,météo correcte
2009-01-09,13,4,6,4,12,8,0,59,10,1018,15.75,13,1,7,113,116,113,0,1,8.7,météo correcte
2009-01-10,12,4,10,4,12,9,0,64,10,1021,29.875,12,1,5,113,119,116,0,1,7.1,météo très défavorable
2009-01-11,10,7,36,7,10,8,1.7,62,9.875,1019,61.875,10,2,4,116,122,119,0,1,5.4,météo défavorable
2009-01-12,8,7,30,8,7,8,8,83,9.25,1016,88.875,8,5,3,122,122,116,0,1,6.8,météo très défavorable
2009-01-13,13,8,37,9,13,10,0,61,10,1018,23.5,13,4,6,116,113,113,0,1,10.5,météo correcte
2009-01-14,12,5,16,5,11,9,0.2,73,10,1020,30.375,12,4,4,113,116,116,0,1,10.5,météo très défavorable
2009-01-15,13,6,11,6,12,8,0,64,10,1022,9.5,13,4,6,113,113,113,0,1,10.6,météo correcte
2009-01-16,12,4,14,4,12,8,0,64,10,1022,19.125,12,1,6,113,113,113,0,1,10.6,météo très défavorable
2009-01-17,11,4,28,4,10,7,0,67,10,1021,6,11,2,2,113,113,113,0,1,10.6,météo très défavorable
2009-01-18,13,4,17,4,12,8,0,81,10,1023,0.5,14,5,4,113,113,113,0,1,10.6,météo correcte
2009-01-19,14,6,11,8,13,10,0.1,94,9,1024,36.875,14,9,8,116,116,113,0,1,10,météo correcte
2009-01-20,15,9,16,9,14,11,1.5,84,7.25,1014,57.875,15,9,9,248,113,116,0,1,10.6,météo correcte
2009-01-21,9,3,43,6,5,3,17.6,97,8.75,1004,97.25,9,6,-4,122,122,122,0,1,5.3,météo très défavorable
2009-01-22,10,4,28,4,10,7,0.5,69,9.375,1020,21.625,10,3,2,113,113,113,0,1,10.6,météo très défavorable
2009-01-23,18,7,32,8,16,14,0,74,10,1019,6.5,18,10,7,113,113,113,0,1,10.7,météo favorable
2009-01-24,19,11,29,11,18,15,0,70,10,1014,3.125,19,9,11,113,113,113,0,1,10.7,météo favorable
2009-01-25,16,8,14,8,16,12,0,55,10,1014,24.625,16,6,9,116,116,113,0,1,10.7,météo correcte
2009-01-26,13,8,19,10,12,10,0,60,10,1014,8.875,13,5,8,113,113,113,0,1,10.7,météo correcte
