DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,22,10,9,17,21,12,1.8,96,5.875,1014,27.25,25,17,13,113,200,143,0,1,12.1,météo correcte
2009-01-02,22,10,11,17,22,16,0,87,8,1015,24.75,25,16,16,113,113,113,0,1,12.1,météo favorable
2009-01-03,22,12,8,17,22,14,0.7,93,6.625,1015,44.125,25,16,15,116,116,116,0,1,11.6,météo favorable
2009-01-04,20,13,4,16,20,14,0,97,5.5,1015,64.125,21,16,15,116,116,143,0,1,10.2,météo correcte
2009-01-05,21,12,10,16,21,14,0,96,6.5,1014,51.75,24,16,14,116,116,143,0,1,11.6,météo favorable
2009-01-06,21,13,10,17,21,14,2.3,96,7,1012,41,24,16,14,113,116,143,0,1,11.6,météo favorable
2009-01-07,23,14,12,17,23,15,0.5,95,6.875,1012,31.125,25,15,15,113,113,143,0,1,11.6,météo favorable
2009-01-08,20,13,8,15,20,16,4.2,98,6.125,1014,42.75,20,17,16,113,116,248,0,1,10.2,météo favorable
2009-01-09,21,12,11,17,21,15,2.3,96,6,1014,32.875,21,17,15,113,116,143,0,1,11.6,météo favorable
2009-01-10,22,12,8,17,21,14,0.1,86,8,1014,17,25,15,14,113,113,113,0,1,11.6,météo favorable
2009-01-11,23,10,11,18,22,16,0,81,10,1015,13.875,25,14,17,113,113,113,0,1,11.6,météo favorable
2009-01-12,23,11,13,17,23,14,0,84,7.75,1014,24.375,25,15,15,113,113,113,0,1,11.6,météo favorable
