DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,4,0,12,1,2,2,1.8,93,8.375,1026,18.5,4,4,-3,113,113,113,,,,météo très défavorable
2009-01-02,3,-3,13,-3,0,1,0,71,10,1026,21.875,3,0,-6,113,116,113,,,,météo très défavorable
2009-01-03,2,-3,12,-3,-1,0,0.3,84,10,1022,40,2,0,-7,122,116,113,,,,météo très défavorable
2009-01-04,1,-5,11,-5,-2,-1,0,72,10,1023,4.875,1,0,-10,113,113,113,,,,météo très défavorable
2009-01-05,0,-6,11,-7,-3,-2,0,46,10,1020,30.25,0,0,-10,119,116,116,,,,météo très défavorable
2009-01-06,-3,-5,17,-6,-3,-3,1.5,88,10,1017,53.375,0,0,-11,113,122,323,,,,météo très défavorable
2009-01-07,-4,-5,22,-6,-4,-4,0.8,90,10,1018,89,0,0,-12,122,122,326,,,,météo très défavorable
2009-01-08,-2,-7,10,-7,-5,-3,0.7,88,10,1026,36.875,0,0,-12,116,119,113,,,,météo très défavorable
2009-01-09,2,-5,8,-6,-2,1,0,81,10,1027,22.375,2,0,-8,116,116,113,,,,météo très défavorable
2009-01-10,2,-4,7,-5,-1,2,0,72,10,1028,15.75,2,0,-7,116,113,113,,,,météo très défavorable
2009-01-11,4,-2,8,-3,0,4,0,56,10,1032,0.625,4,0,-5,113,113,113,,,,météo très défavorable
2009-01-12,7,-1,8,-2,3,4,0,64,10,1031,4.25,7,0,-3,113,113,113,,,,météo très défavorable
2009-01-13,6,-1,12,-2,3,3,0,75,10,1025,18.375,6,0,-5,113,113,116,,,,météo très défavorable
2009-01-14,3,-1,13,-2,1,3,1.6,95,5.5,1018,64.5,3,2,-4,113,266,122,,,,météo très défavorable
2009-01-15,7,-1,7,-1,2,5,0.1,96,8.125,1020,35.5,7,3,-4,116,119,113,,,,météo très défavorable
2009-01-16,6,-1,13,-2,3,5,0,90,9.625,1024,20.5,6,3,-5,113,116,116,,,,météo très défavorable
2009-01-17,7,1,13,0,4,6,0,95,5,1024,29.25,7,5,-3,143,116,113,,,,météo très défavorable
2009-01-18,7,3,36,2,5,7,3.1,89,7.75,1021,49.375,7,5,-2,116,263,263,,,,météo très défavorable
2009-01-19,8,6,37,4,8,8,16,91,7.5,1015,87.5,8,7,0,296,293,296,,,,météo très défavorable
2009-01-20,7,3,9,3,5,5,18.2,95,8.75,1002,49.5,7,4,0,296,116,113,,,,météo très défavorable
2009-01-21,6,0,5,-1,3,4,0.8,88,10,1012,43.625,6,2,-1,116,116,116,,,,météo très défavorable
2009-01-22,4,-1,22,-1,2,3,3.2,88,7.375,1013,51.125,4,1,-5,143,116,263,,,,météo très défavorable
2009-01-23,7,5,41,4,6,6,19,93,6.625,1001,67.25,7,6,-1,266,293,302,,,,météo très défavorable
2009-01-24,6,3,28,2,5,4,15.6,95,7.125,996,70.25,6,5,-2,296,116,302,,,,météo très défavorable
2009-01-25,8,2,7,2,5,6,3.4,92,6.75,1003,49.25,8,3,1,143,113,113,,,,météo très défavorable
2009-01-26,4,1,15,0,3,3,5.1,96,6.625,1004,86.5,4,3,-2,296,263,266,,,,météo très défavorable
2009-01-27,4,3,21,3,3,3,3.1,96,9.125,1015,98.75,4,2,-2,317,317,317,,,,météo très défavorable
2009-01-28,3,1,17,1,2,3,1.2,90,9.625,1016,58.125,3,1,-4,122,116,116,,,,météo très défavorable
2009-01-29,6,-2,9,-3,2,5,0,89,7.375,1017,17.75,6,0,-5,143,113,113,,,,météo très défavorable
2009-01-30,9,-2,7,-1,3,5,0,78,10,1018,12.5,9,0,-3,113,113,113,,,,météo très défavorable
2009-01-31,8,0,10,-1,4,5,0.1,83,9.625,1016,23.5,8,2,-3,113,113,119,,,,météo très défavorable
2009-02-01,5,1,8,0,2,5,5.1,90,4.875,1008,78,5,4,0,266,266,266,,,,météo très défavorable
2009-02-02,4,2,12,1,4,4,7.9,88,7.625,999,68,4,2,-1,263,293,266,,,,météo très défavorable
2009-02-03,5,2,16,1,4,4,26.2,96,6.625,1001,90,5,4,1,263,302,317,,,,météo très défavorable
2009-02-04,9,3,23,2,6,8,4.6,94,8.25,1000,53.375,9,6,1,266,116,113,,,,météo très défavorable
2009-02-05,9,6,24,5,8,8,6.7,91,9.125,999,62.375,9,7,2,119,353,296,,,,météo défavorable
2009-02-06,8,5,9,6,7,6,23.2,96,6.125,996,80.25,8,6,3,263,389,389,,,,météo très défavorable
2009-02-07,4,2,14,1,3,3,14.5,98,7.625,997,97.25,4,4,-1,296,296,332,,,,météo très défavorable
2009-02-08,2,0,27,0,0,2,5.5,92,7.375,1011,80.875,2,0,-6,332,326,116,,,,météo très défavorable
2009-02-09,7,-1,22,-3,3,7,0.8,82,8.375,1013,48.25,7,4,-5,116,116,116,,,,météo très défavorable
2009-02-10,8,5,30,6,7,6,2.3,84,9.75,1015,58.375,8,4,1,119,116,176,,,,météo très défavorable
2009-02-11,4,1,18,0,3,3,7.3,96,8.75,1020,82.25,4,2,-1,368,332,119,,,,météo très défavorable
2009-02-12,2,0,28,0,1,1,11.4,96,7,1024,97.625,2,1,-4,326,338,368,,,,météo très défavorable
2009-02-13,2,-2,9,-1,0,2,2.9,96,9.375,1024,84.25,2,0,-5,326,122,119,,,,météo très défavorable
2009-02-14,1,-1,23,-2,1,1,3.9,94,8.75,1027,78.875,1,0,-5,326,326,116,,,,météo très défavorable
2009-02-15,2,-3,17,-4,0,1,0,91,10,1029,31.5,2,0,-8,116,113,113,,,,météo très défavorable
2009-02-16,4,-3,12,-4,1,3,0,63,10,1028,53,4,0,-6,116,116,119,,,,météo très défavorable
2009-02-17,3,2,14,1,3,2,5.8,98,7.625,1027,99.125,3,2,-1,326,266,266,,,,météo très défavorable
2009-02-18,4,2,19,3,3,4,5.8,98,8.375,1023,78.5,4,3,-2,296,266,119,,,,météo très défavorable
2009-02-19,4,-3,19,-4,1,2,0,84,9,1029,15.875,4,0,-8,113,113,113,,,,météo très défavorable
2009-02-20,7,-3,13,-3,2,5,0,66,9.625,1031,5.875,7,0,-7,113,113,113,,,,météo très défavorable
2009-02-21,7,0,21,-1,4,6,0.3,95,9,1031,52.5,7,3,-5,119,122,113,,,,météo très défavorable
2009-02-22,5,1,12,-1,4,4,1.9,93,4.25,1032,75.125,5,3,-3,119,119,263,,,,météo très défavorable
2009-02-23,6,4,18,3,6,6,4.7,96,3.75,1026,98.125,6,5,0,266,266,266,,,,météo très défavorable
2009-02-24,7,4,23,3,6,6,2,94,4.375,1025,75.5,7,4,0,266,266,116,,,,météo très défavorable
2009-02-25,9,1,10,1,5,8,0.1,91,9,1030,37.125,9,2,-2,116,119,113,,,,météo très défavorable
2009-02-26,13,2,9,0,9,9,0,77,10,1030,26.375,13,2,2,113,113,116,,,,météo correcte
2009-02-27,11,1,14,0,7,10,0,89,8.625,1025,13,11,5,-2,113,113,113,,,,météo très défavorable
2009-02-28,15,3,17,2,9,14,0,84,8.375,1021,7.625,15,6,2,143,113,113,,,,météo correcte
2009-03-01,12,7,17,6,10,11,2.4,84,7.75,1014,50.75,12,7,4,116,176,263,,,,météo défavorable
2009-03-02,9,7,8,6,8,8,7.3,95,5.25,1019,94.5,9,6,5,296,266,266,,,,météo défavorable
2009-03-03,10,5,12,4,7,10,0.9,90,5.75,1020,62.5,10,5,2,122,266,113,,,,météo très défavorable
2009-03-04,8,3,32,2,6,6,9.1,86,8.25,1009,50.125,8,4,-2,113,116,296,,,,météo très défavorable
2009-03-05,5,3,23,1,4,4,7.5,91,6.125,990,87.125,5,3,-1,143,122,266,,,,météo très défavorable
2009-03-06,6,3,30,2,5,5,4.3,88,7,1008,82.875,6,2,-3,326,317,122,,,,météo très défavorable
2009-03-07,7,-2,18,-2,3,6,0,94,9,1018,27.75,7,2,-6,113,116,113,,,,météo très défavorable
2009-03-08,11,3,8,3,6,10,1.2,85,7,1019,80,11,6,1,116,266,119,,,,météo très défavorable
2009-03-09,7,3,19,4,5,7,5.4,89,8.5,1023,51.125,7,5,1,113,122,176,,,,météo très défavorable
2009-03-10,7,3,12,3,6,5,6.1,91,8,1024,71.625,7,4,1,116,116,296,,,,météo très défavorable
2009-03-11,9,5,18,5,7,8,3.9,95,4.875,1026,76,9,6,3,266,266,116,,,,météo très défavorable
2009-03-12,12,1,6,-1,8,10,0,87,6.375,1028,12,12,3,0,143,113,116,,,,météo très défavorable
2009-03-13,15,4,8,2,11,13,0.1,87,10,1025,35.875,15,8,4,119,116,113,,,,météo correcte
2009-03-14,18,4,11,2,13,16,0.1,80,10,1022,40.5,18,9,3,113,116,113,,,,météo favorable
2009-03-15,13,8,20,8,10,12,0.5,87,8.375,1029,39.875,13,7,5,119,116,113,,,,météo correcte
2009-03-16,13,5,14,4,9,12,0,87,9.625,1030,13,13,6,2,113,113,116,,,,météo correcte
2009-03-17,15,3,12,2,10,13,0,91,5.5,1030,42.125,15,7,2,248,113,113,,,,météo correcte
2009-03-18,16,5,12,4,11,14,0.1,90,6.625,1029,35.25,16,6,3,248,113,113,,,,météo correcte
2009-03-19,14,3,20,2,9,13,0,75,10,1024,9.625,14,3,1,113,116,113,,,,météo correcte
2009-03-20,8,3,32,2,6,6,0,74,10,1025,1.5,8,0,-2,113,113,113,,,,météo très défavorable
2009-03-21,9,-1,26,-3,5,8,0,69,10,1027,2.75,9,0,-5,113,113,113,,,,météo très défavorable
2009-03-22,12,0,21,-2,7,10,0,59,10,1028,3.125,12,2,-5,113,113,113,,,,météo très défavorable
2009-03-23,13,2,11,0,9,11,0,85,7.75,1028,30.5,13,4,-1,116,113,113,,,,météo correcte
2009-03-24,7,4,29,3,6,6,6,90,8.75,1018,69.25,7,3,-1,266,113,353,,,,météo très défavorable
2009-03-25,9,1,6,0,7,7,1.7,87,7.75,1019,56.5,9,3,-1,116,116,266,,,,météo très défavorable
2009-03-26,13,4,9,3,9,12,1.8,87,7.875,1016,52.75,13,4,2,143,113,116,,,,météo correcte
2009-03-27,14,6,10,4,10,13,0.5,78,9.375,1013,40.125,14,7,4,116,116,116,,,,météo correcte
2009-03-28,9,7,17,7,9,7,22.8,97,8.25,1006,60.625,9,8,5,116,302,299,,,,météo très défavorable
2009-03-29,9,4,26,2,6,9,2.9,92,8.25,1009,56.625,9,3,-1,266,116,116,,,,météo très défavorable
2009-03-30,8,4,20,4,6,8,0.8,85,9,1017,73.625,8,3,0,119,119,119,,,,météo très défavorable
2009-03-31,13,3,21,1,9,12,0,90,6.375,1018,36.25,13,5,0,248,113,113,,,,météo correcte
2009-04-01,14,5,11,3,10,13,0.2,91,8,1013,49.125,14,8,3,143,116,116,,,,météo correcte
2009-04-02,15,6,8,4,11,13,1.4,89,6.625,1016,50,15,9,4,248,113,116,,,,météo correcte
2009-04-03,16,9,9,8,13,15,10.8,93,8,1020,47.875,16,10,8,296,263,113,,,,météo correcte
2009-04-04,17,7,12,5,13,16,0.8,94,6,1022,37.25,17,11,6,248,116,113,,,,météo correcte
2009-04-05,16,8,14,6,13,16,0.2,90,5.5,1023,61.75,16,11,6,248,119,113,,,,météo correcte
2009-04-06,19,10,19,7,16,18,0.3,87,6.375,1018,9.875,19,9,8,143,113,113,,,,météo favorable
2009-04-07,16,9,13,8,13,13,1.4,77,7.375,1015,45.375,16,9,7,113,263,116,,,,météo correcte
2009-04-08,17,8,9,6,14,15,0.4,91,6.25,1018,58.375,17,10,8,248,116,113,,,,météo correcte
2009-04-09,20,9,13,6,16,18,0,85,8,1019,17.25,20,10,9,143,113,116,,,,météo favorable
2009-04-10,20,11,26,9,17,18,0,77,10,1014,15.875,20,10,8,113,113,113,,,,météo favorable
2009-04-11,18,10,9,9,16,15,2.3,83,10,1009,37.125,18,12,10,116,116,353,,,,météo favorable
2009-04-12,18,11,15,9,15,16,5.7,92,8.25,1010,59.125,18,13,10,266,119,176,,,,météo correcte
2009-04-13,16,11,17,10,14,16,3.3,96,6.625,1011,65.25,16,12,10,353,266,176,,,,météo défavorable
2009-04-14,21,12,11,10,17,20,2,93,7.75,1009,45.875,24,13,12,248,116,113,,,,météo favorable
2009-04-15,19,11,28,9,17,16,0.1,68,10,1009,14.5,19,8,9,113,113,116,,,,météo favorable
2009-04-16,15,9,10,8,12,14,26.3,96,8.5,1009,51,15,9,7,389,299,386,,,,météo très défavorable
2009-04-17,16,8,7,4,14,14,6.7,84,9,1012,41.125,16,10,8,143,116,386,,,,météo correcte
2009-04-18,15,8,13,4,13,15,6.6,92,9.75,1015,41.5,15,9,7,353,176,386,,,,météo correcte
2009-04-19,15,8,12,5,13,13,2.3,93,6.375,1018,68.25,15,10,6,248,116,353,,,,météo défavorable
2009-04-20,16,10,18,10,12,16,19.6,97,6.125,1019,79.75,16,13,8,356,266,356,,,,météo très défavorable
2009-04-21,18,10,25,9,14,16,20.2,96,8.625,1019,60.625,18,14,8,353,353,356,,,,météo très défavorable
2009-04-22,19,11,25,9,17,18,3.3,85,9.875,1021,19.625,19,11,9,113,113,113,,,,météo favorable
2009-04-23,17,9,19,7,15,16,0,83,9,1022,11,17,8,7,143,113,113,,,,météo correcte
2009-04-24,19,8,8,6,15,17,0.4,78,9.875,1019,6.5,19,10,7,113,113,113,,,,météo favorable
2009-04-25,18,10,10,9,13,18,3.1,74,9,1014,34.25,18,12,9,113,263,116,,,,météo correcte
2009-04-26,14,12,7,10,14,12,17.9,95,7.875,1013,66.25,14,11,11,266,116,299,,,,météo très défavorable
2009-04-27,14,8,8,7,11,13,2.1,92,8,1010,40.5,14,9,8,143,113,116,,,,météo correcte
2009-04-28,15,9,7,6,12,15,0.4,80,9.5,1006,31.875,15,7,7,116,116,200,,,,météo correcte
2009-04-29,12,7,14,6,10,12,8.8,87,9,1016,59.125,12,8,5,293,353,353,,,,météo défavorable
2009-04-30,16,7,11,4,12,15,2.4,93,7.875,1018,55,16,8,6,248,119,116,,,,météo correcte
2009-05-01,16,8,20,6,15,15,0,84,7.625,1024,39,16,10,6,248,113,116,,,,météo correcte
2009-05-02,19,13,22,10,18,18,1.3,85,9.625,1026,28.625,19,13,11,116,116,176,,,,météo favorable
2009-05-03,19,12,18,10,17,18,0.8,86,9.75,1026,29.875,19,12,11,119,113,176,,,,météo favorable
2009-05-04,17,11,21,10,15,15,1.5,89,7.625,1025,62.5,17,10,10,143,176,116,,,,météo correcte
2009-05-05,16,8,17,5,14,15,0,73,10,1026,28.5,16,9,6,113,113,116,,,,météo correcte
2009-05-06,22,10,9,6,16,22,0.2,90,7.5,1026,48.5,23,15,10,248,119,113,,,,météo correcte
2009-05-07,25,16,8,10,21,23,0.1,77,9,1021,6.25,26,14,16,143,113,113,,,,météo idéale
2009-05-08,20,14,13,12,20,15,24.7,94,8.375,1020,30,22,16,13,356,113,299,,,,météo très défavorable
2009-05-09,22,13,22,10,19,21,1.1,75,9.75,1020,19.125,25,12,12,113,113,116,,,,météo favorable
2009-05-10,21,13,16,12,14,21,3.8,80,9.75,1019,31.875,23,12,12,113,293,113,,,,météo correcte
2009-05-11,24,13,19,10,19,22,1.2,75,9.5,1017,28.625,25,14,12,176,176,113,,,,météo favorable
2009-05-12,24,17,14,15,23,23,4.2,70,9.25,1015,18,26,17,17,113,113,386,,,,météo favorable
2009-05-13,21,16,17,12,21,18,2.2,82,8.5,1016,24.5,21,15,16,113,113,263,,,,météo favorable
2009-05-14,20,13,14,12,17,17,6.6,86,8.875,1012,55.875,20,15,12,263,353,353,,,,météo correcte
2009-05-15,14,11,6,10,12,14,18,97,7,1014,73.375,14,12,11,302,293,263,,,,météo très défavorable
2009-05-16,23,12,5,5,19,22,0,83,7,1016,22.5,25,15,12,248,113,113,,,,météo favorable
2009-05-17,23,16,28,12,21,21,1.2,64,9.875,1017,16.375,25,14,14,113,113,176,,,,météo favorable
2009-05-18,19,14,10,11,18,17,2.1,86,9,1020,38.125,19,13,13,143,113,119,,,,météo favorable
2009-05-19,25,16,6,9,22,23,0,77,9,1021,15.25,26,14,16,143,113,113,,,,météo idéale
2009-05-20,27,18,13,11,24,26,0.1,72,10,1022,7.125,27,16,18,113,113,113,,,,météo idéale
2009-05-21,26,18,23,15,24,22,0.3,63,9.875,1019,16.375,27,14,18,116,113,113,,,,météo idéale
2009-05-22,26,19,11,16,24,25,0.2,75,10,1017,11.125,27,19,19,113,113,113,,,,météo idéale
2009-05-23,25,20,13,15,22,25,3.2,82,8.75,1017,18.125,26,18,20,113,113,113,,,,météo favorable
2009-05-24,33,21,6,18,27,33,0.5,71,9.75,1020,19.875,37,21,21,176,113,113,,,,météo favorable
2009-05-25,30,20,14,17,26,28,0.1,59,10,1019,17,30,16,20,113,113,113,,,,météo idéale
