DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-3,-8,9,-8,-3,-4,0.4,94,7,1029,41.625,0,0,-10,143,116,122,0.3,1,6.8,météo très défavorable
2009-01-02,-1,-7,13,-3,-1,-5,1.1,93,6,1031,70.5,0,0,-6,122,122,143,0.9,1,4.9,météo très défavorable
2009-01-03,-2,-8,11,-8,-2,-4,0,58,8.75,1032,42.75,0,0,-10,113,116,116,0,1,8,météo très défavorable
2009-01-04,0,-2,25,-1,-1,-1,5.3,94,6,1021,100,0,0,-7,122,122,122,4.5,1,3,météo très défavorable
2009-01-05,0,-9,18,-2,-3,-7,0.2,87,6.5,1027,74.125,0,0,-10,122,122,113,0.2,1,3,météo très défavorable
2009-01-06,-8,-17,9,-14,-8,-16,0,90,10,1028,4.625,0,0,-18,113,113,113,0,2,8,météo très défavorable
2009-01-07,-4,-15,13,-13,-8,-6,0.1,96,6.125,1026,59.875,0,0,-16,113,122,143,0.1,2,3,météo très défavorable
2009-01-08,-5,-15,6,-15,-5,-13,0,93,6.25,1033,14.5,0,0,-12,260,113,113,0,1,8.1,météo très défavorable
2009-01-09,-3,-12,6,-12,-3,-10,0,89,10,1033,10.5,0,0,-8,113,113,113,0,2,8.1,météo très défavorable
2009-01-10,-1,-9,9,-8,-1,-6,0,80,10,1032,0.875,0,0,-10,113,113,113,0,2,8.1,météo très défavorable
2009-01-11,-3,-9,15,-9,-3,-6,0,85,10,1033,2.75,0,0,-13,113,113,113,0,2,8.1,météo très défavorable
2009-01-12,-1,-8,22,-8,-1,-4,0,75,10,1031,8.625,0,0,-13,113,113,116,0,2,8.2,météo très défavorable
2009-01-13,1,-3,19,-2,1,-3,0,86,10,1019,28.125,1,0,-7,113,113,116,0,2,8.2,météo très défavorable
2009-01-14,1,-8,11,-8,-1,0,0.4,99,6.375,1017,57.5,1,1,-9,143,122,248,0,2,4.9,météo très défavorable
2009-01-15,2,-5,5,-1,2,-5,0,95,5.5,1025,35.75,3,1,-1,260,113,143,0,1,8.2,météo très défavorable
2009-01-16,0,-5,14,-5,0,-2,0,94,7.75,1026,29.75,0,0,-7,260,116,116,0,2,8.2,météo très défavorable
2009-01-17,2,-4,18,-2,2,1,0.3,96,5.5,1022,70.25,2,1,-5,143,116,248,0,1,3.1,météo très défavorable
2009-01-18,4,1,29,3,3,3,0.1,93,8.75,1014,88,4,3,-3,119,122,122,0,1,3.1,météo très défavorable
