DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,11,0,21,10,11,11,0,74,10,1027,55.75,11,7,8,119,119,116,0,3,6.6,météo très défavorable
2009-01-02,15,0,22,13,15,14,0,73,10,1025,42.375,15,10,13,116,113,116,0,4,9.9,météo très défavorable
2009-01-03,15,0,25,15,15,15,0.1,76,10,1020,61.625,15,11,13,116,119,116,0,4,6.6,météo très défavorable
2009-01-04,16,0,24,14,16,15,0,69,10,1017,21.875,16,11,15,113,113,113,0,4,9.9,météo très défavorable
2009-01-05,17,0,22,15,17,15,0.3,77,9.875,1014,17.625,17,12,15,113,113,113,0,5,9.9,météo très défavorable
2009-01-06,17,0,35,16,16,13,0,85,10,1014,39.625,17,12,11,113,116,119,0,5,9.9,météo très défavorable
2009-01-07,13,0,19,12,13,12,0,71,10,1022,29.375,13,9,10,116,113,113,0,3,9.9,météo très défavorable
2009-01-08,14,0,11,11,14,13,0,73,10,1024,3.125,14,9,12,113,113,113,0,4,10,météo très défavorable
2009-01-09,16,0,17,14,16,14,0,75,10,1026,7.5,16,10,13,113,113,113,0,4,10,météo très défavorable
2009-01-10,14,0,21,13,14,13,0.1,85,10,1025,66.75,14,11,12,119,122,116,0,4,5,météo très défavorable
2009-01-11,14,0,31,13,13,12,0.1,74,10,1026,37.25,14,11,9,116,116,113,0,3,10,météo très défavorable
2009-01-12,14,0,25,11,12,14,0,74,10,1029,18.375,14,9,9,113,113,113,0,4,10,météo très défavorable
2009-01-13,16,0,32,15,15,15,1.5,79,8.875,1028,58.125,16,11,12,119,116,116,0,4,10,météo très défavorable
2009-01-14,18,0,44,16,18,17,0.8,78,8.375,1022,44.875,18,13,16,116,116,113,0,4,10,météo favorable
2009-01-15,17,0,11,16,17,16,0,81,10,1020,39.75,17,14,16,116,122,113,0,5,8.3,météo très défavorable
2009-01-16,17,0,23,16,16,15,0.2,78,10,1017,14.5,17,13,13,113,113,113,0,5,10,météo très défavorable
2009-01-17,16,0,19,14,16,14,0.5,74,9.875,1023,20.875,16,11,12,116,113,113,0,4,10.1,météo très défavorable
2009-01-18,14,0,17,12,14,13,0,71,10,1024,13.625,14,9,11,113,113,113,0,4,10.1,météo très défavorable
2009-01-19,17,0,25,15,17,16,0,82,10,1021,25.25,17,13,16,113,113,113,0,4,10,météo très défavorable
2009-01-20,17,0,15,15,17,15,0,84,10,1017,29.125,17,13,16,116,113,113,0,5,10.1,météo très défavorable
