DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,1,0,19,0,1,1,0.9,79,10,1030,55.625,1,0,-5,116,119,116,,,,météo très défavorable
2009-01-02,0,-1,18,-1,-1,0,1.3,64,9.625,1031,12.375,0,0,-6,113,113,113,,,,météo très défavorable
2009-01-03,5,0,29,0,4,4,0.1,80,10,1024,32.125,5,0,-6,119,113,113,,,,météo très défavorable
2009-01-04,1,-4,24,1,-1,-3,10.5,89,7.125,1022,71.75,1,0,-11,332,332,113,,,,météo très défavorable
2009-01-05,-1,-4,19,-4,-2,-2,0,58,10,1027,3.625,0,0,-9,113,113,113,,,,météo très défavorable
2009-01-06,5,-1,39,-1,4,4,0,84,10,1023,27.125,5,2,-7,113,113,116,,,,météo très défavorable
2009-01-07,2,-2,28,-2,1,1,0,63,10,1022,6.125,2,0,-9,113,113,113,,,,météo très défavorable
2009-01-08,5,2,30,2,5,5,1.7,93,9.875,1022,59.5,5,4,-4,326,119,116,,,,météo très défavorable
2009-01-09,5,4,25,4,4,4,0.2,94,10,1022,46.125,5,3,-1,122,116,113,,,,météo très défavorable
2009-01-10,5,3,38,3,5,5,0,92,10,1023,25.875,5,3,-2,113,116,116,,,,météo très défavorable
2009-01-11,8,5,46,5,7,7,6.1,91,7.125,1015,90.125,8,7,-1,266,296,296,,,,météo très défavorable
2009-01-12,8,6,47,6,8,8,13.9,92,7.875,1004,100,8,7,1,296,296,296,,,,météo très défavorable
2009-01-13,7,4,26,4,6,6,0.3,90,9,1005,46.25,7,5,-1,113,119,113,,,,météo très défavorable
2009-01-14,4,1,13,1,3,3,0,84,10,1014,9.125,4,1,-3,113,113,113,,,,météo très défavorable
2009-01-15,1,0,19,0,1,1,0,73,10,1026,7.625,1,0,-4,113,113,113,,,,météo très défavorable
2009-01-16,2,0,30,0,2,2,2.2,89,9,1026,84.125,2,0,-6,122,326,326,,,,météo très défavorable
2009-01-17,2,1,32,1,2,2,14.2,94,4.375,1021,100,2,1,-4,332,326,227,,,,météo très défavorable
2009-01-18,5,2,42,2,4,4,47.1,97,5.75,1006,100,5,4,-4,317,302,302,,,,météo très défavorable
2009-01-19,4,2,35,2,3,4,11.3,94,7.875,991,85.375,4,3,-3,263,353,317,,,,météo très défavorable
2009-01-20,3,2,29,2,3,3,22.8,95,6.375,991,88.75,3,2,-3,338,320,353,,,,météo très défavorable
2009-01-21,4,3,31,3,4,4,2.5,89,6.875,1004,75.5,4,2,-2,176,353,266,,,,météo très défavorable
2009-01-22,4,2,36,2,4,4,3.5,89,9.375,1005,96.75,4,2,-3,362,326,317,,,,météo très défavorable
2009-01-23,4,2,39,2,3,3,31.1,94,2.375,989,100,4,3,-4,338,332,227,,,,météo très défavorable
2009-01-24,3,2,39,2,3,3,31.5,97,2.125,984,100,3,2,-5,227,227,338,,,,météo très défavorable
2009-01-25,1,-2,11,-2,0,0,3.4,93,9,1002,43.25,1,0,-6,113,113,116,,,,météo très défavorable
2009-01-26,3,0,15,0,2,2,0.8,95,9.875,1012,82.125,3,2,-4,116,122,122,,,,météo très défavorable
2009-01-27,1,-7,13,-6,-2,1,0.2,93,10,1017,82,1,0,-11,116,119,122,,,,météo très défavorable
