DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,22,0,14,18,21,21,0,53,10,1016,26,24,10,18,116,113,113,0,1,8.7,météo favorable
2009-01-02,22,0,14,17,21,20,0,65,10,1014,26.5,24,13,18,116,116,113,0,1,8.7,météo favorable
2009-01-03,20,0,18,16,19,19,0,74,10,1014,0.375,20,13,16,113,113,113,0,1,8.7,météo favorable
2009-01-04,18,0,16,15,17,18,0,80,10,1016,27.75,18,14,15,116,119,113,0,1,5.5,météo très défavorable
2009-01-05,18,0,28,15,17,17,0,77,10,1019,17.25,18,12,13,113,113,113,0,1,8.7,météo favorable
2009-01-06,18,0,24,14,17,18,0,58,10,1019,0.375,18,8,13,113,113,113,0,1,8.7,météo favorable
2009-01-07,21,0,31,14,18,20,0,45,10,1019,0,21,8,13,113,113,113,0,1,8.7,météo favorable
2009-01-08,21,0,16,16,20,20,0,52,10,1016,16.125,21,10,16,113,116,113,0,1,8.7,météo favorable
2009-01-09,21,0,18,16,20,20,0,57,10,1017,32.125,24,10,17,113,119,116,0,1,7.1,météo très défavorable
2009-01-10,22,0,33,16,19,22,0,49,10,1020,0,24,10,16,113,113,113,0,1,8.7,météo favorable
2009-01-11,22,0,28,15,19,21,0,40,10,1019,0,24,8,13,113,113,113,0,1,8.7,météo favorable
2009-01-12,22,0,18,16,20,21,0,44,10,1018,0,24,9,16,113,113,113,0,1,8.7,météo favorable
2009-01-13,23,0,24,17,20,22,0,43,10,1019,0,24,10,16,113,113,113,0,1,8.7,météo favorable
2009-01-14,22,0,15,17,20,21,0,48,10,1017,0,24,10,17,113,113,113,0,1,8.7,météo favorable
2009-01-15,22,0,9,17,20,21,0,52,10,1019,0.625,24,10,17,113,113,113,0,1,8.7,météo favorable
