DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,1,-3,6,-3,1,-2,0.1,93,5.5,1029,45.875,2,0,-2,260,116,143,0,1,8.3,météo très défavorable
2009-01-02,-1,-4,13,-3,-2,-3,0.2,90,9.375,1027,55.375,0,0,-6,119,119,113,0.1,1,5,météo très défavorable
2009-01-03,-3,-9,13,-6,-3,-7,0,82,10,1026,7.5,0,0,-10,113,113,113,0,1,8.3,météo très défavorable
2009-01-04,-4,-9,4,-9,-4,-8,0,70,10,1025,27.625,0,0,-6,113,116,116,0,1,8.3,météo très défavorable
2009-01-05,-4,-8,8,-8,-4,-6,0.1,74,10,1021,73.5,0,0,-7,122,122,116,0,1,3.1,météo très défavorable
2009-01-06,-4,-6,18,-5,-4,-5,0.2,90,10,1019,86.625,0,0,-11,122,122,119,0.1,1,3.1,météo très défavorable
2009-01-07,-5,-9,15,-8,-5,-9,0,92,9,1023,31.5,0,0,-14,143,113,113,0,1,8.4,météo très défavorable
2009-01-08,-5,-10,19,-9,-5,-9,0,85,9,1029,3,0,0,-14,113,113,143,0,1,8.4,météo très défavorable
2009-01-09,-5,-12,5,-12,-5,-8,0,81,10,1031,0,0,0,-5,113,113,113,0,1,8.4,météo très défavorable
2009-01-10,-2,-10,6,-10,-2,-9,0,85,10,1031,0.125,2,0,-5,113,113,113,0,1,8.4,météo très défavorable
2009-01-11,-3,-11,5,-10,-3,-9,0,76,10,1035,0,1,0,-4,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,0,-9,9,-8,0,-5,0,71,10,1033,8.75,3,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,2,-4,8,-3,2,-3,0,75,10,1024,27,4,0,-2,116,113,116,0,1,8.7,météo très défavorable
2009-01-14,-1,-5,6,-5,-1,-1,1.8,98,7,1019,56.25,0,0,-5,113,143,260,0.2,1,3.3,météo très défavorable
2009-01-15,1,-4,11,-2,1,-3,0.1,95,3.625,1023,46.5,1,0,-3,260,116,260,0.1,1,8.7,météo très défavorable
2009-01-16,1,-6,9,-6,1,-3,0,82,7.75,1025,18.875,2,0,-5,113,113,113,0,1,6.9,météo très défavorable
2009-01-17,3,-3,16,-2,3,2,0,92,10,1024,41.75,3,2,-3,113,116,119,0,1,6.9,météo très défavorable
2009-01-18,4,1,36,1,4,3,1.3,95,7.75,1019,87,4,3,-2,122,122,122,0,1,3.4,météo très défavorable
2009-01-19,6,2,28,2,5,6,0,96,10,1014,82.875,6,5,-3,119,122,122,0,1,5.1,météo très défavorable
2009-01-20,3,-0,9,1,3,-0,1.7,96,5.625,1003,65.375,4,3,-1,122,143,260,0,1,6.9,météo très défavorable
2009-01-21,4,-2,7,-1,3,-2,0.4,91,6.5,1012,56,4,3,-1,119,119,143,0,1,5.2,météo très défavorable
2009-01-22,2,-3,12,-3,2,0,0.1,82,7,1013,22.25,3,0,-3,143,113,116,0,1,8.7,météo très défavorable
2009-01-23,7,1,45,3,7,3,11.4,94,9,997,84.375,7,6,-1,122,122,122,0,1,3.4,météo très défavorable
2009-01-24,2,-1,15,-1,0,2,0,92,6.75,998,60.25,2,1,-4,143,119,116,0,1,5.2,météo très défavorable
2009-01-25,3,-3,12,-1,3,-1,0,87,4.25,1003,29.75,5,1,-2,260,113,143,0,1,8.7,météo très défavorable
2009-01-26,3,-3,4,-3,3,-3,0,74,9,1005,21.125,4,0,2,113,113,116,0,1,8.7,météo très défavorable
2009-01-27,2,-4,9,-4,2,-3,0,77,10,1017,12.75,3,0,-2,113,113,113,0,1,8.7,météo très défavorable
2009-01-28,1,-6,13,-6,1,-2,0,82,7,1019,18.125,1,0,-3,143,113,116,0,1,8.7,météo très défavorable
