DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,3,0,31,2,3,3,0.7,90,7.5,1002,86.875,3,1,-3,230,119,119,0,1,5.3,météo très défavorable
2009-01-02,3,0,27,2,2,2,0.2,90,8.75,1010,92.375,3,1,-3,122,122,230,0,1,3.6,météo très défavorable
2009-01-03,3,0,25,3,2,2,0.6,92,9.625,1016,81.625,3,2,-3,122,119,116,0.5,1,3.6,météo très défavorable
2009-01-04,2,0,28,-0,2,0,0.2,88,8.75,1017,73.625,2,0,-4,116,119,230,0,1,5.3,météo très défavorable
2009-01-05,-0,0,22,-2,-1,-1,0.1,87,8.375,1019,79.875,0,0,-7,332,326,326,0.2,1,3.6,météo très défavorable
2009-01-06,-0,0,26,-2,-0,-1,0.4,84,9.375,1023,92.875,0,0,-8,332,326,326,0.3,1,3.6,météo très défavorable
2009-01-07,0,0,18,-2,0,-0,0,84,10,1026,84.625,0,0,-7,326,122,122,0.1,1,3.6,météo très défavorable
2009-01-08,0,0,13,-3,0,-2,0,84,10,1029,17.375,0,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-09,4,0,29,-3,2,3,0.4,91,9.875,1027,61.125,4,3,-4,116,122,317,0,1,5.3,météo très défavorable
2009-01-10,4,0,32,4,2,-1,17.2,93,7,1007,94.125,4,3,-4,302,338,230,6.5,1,3.6,météo très défavorable
2009-01-11,-2,0,38,-5,-2,-3,0.2,90,6.75,1016,36.75,0,0,-12,230,227,113,0,1,7,météo très défavorable
2009-01-12,2,0,26,-2,2,1,0,86,10,1016,52.375,2,0,-6,116,116,122,0,1,7,météo très défavorable
2009-01-13,2,0,23,-1,2,1,2.2,90,9,1016,59.125,2,1,-4,116,116,371,1.9,1,7,météo très défavorable
2009-01-14,3,0,18,-1,2,2,0,86,10,1017,31.25,3,0,-4,113,113,119,0,1,8.7,météo très défavorable
2009-01-15,-1,0,35,-3,-5,-4,0,89,9,1016,91.75,0,0,-13,122,227,122,0,1,3.7,météo très défavorable
2009-01-16,-0,0,38,-3,-1,-1,0.3,88,7.75,1020,61.25,0,0,-9,230,227,113,0,1,5.3,météo très défavorable
2009-01-17,-1,0,25,-2,-1,-1,0.5,87,8.75,1026,76.875,0,0,-7,335,323,326,0.4,1,3.7,météo très défavorable
2009-01-18,3,0,19,-2,1,2,0.2,88,8.75,1028,68.5,3,2,-4,332,113,119,0.2,1,7,météo très défavorable
2009-01-19,4,0,35,4,3,2,1.7,92,7.125,1011,55.5,5,3,-3,266,113,230,0,1,8.7,météo très défavorable
2009-01-20,1,0,29,1,1,0,2.5,90,6.5,1021,85.625,1,0,-5,338,230,323,1.2,1,3.7,météo très défavorable
2009-01-21,2,0,12,-1,1,0,0,87,10,1022,31,2,0,-3,116,119,113,0,1,7,météo très défavorable
2009-01-22,4,0,16,1,4,4,0,92,10,1022,53.875,4,3,-2,119,113,119,0,1,8.7,météo très défavorable
2009-01-23,8,0,26,7,8,7,0,95,10,1017,71,8,7,3,119,122,116,0,1,3.7,météo très défavorable
2009-01-24,-1,0,35,-4,-3,-3,0.7,73,8.125,1015,83.625,0,0,-12,122,119,332,0.1,1,3.7,météo très défavorable
2009-01-25,-0,0,18,-0,0,-1,0.4,86,9.375,1017,67.875,0,0,-5,335,119,122,0.4,1,3.7,météo très défavorable
2009-01-26,3,0,26,-1,2,2,0.2,85,9.625,1018,49.5,3,1,-2,116,116,329,0.2,1,8.7,météo très défavorable
2009-01-27,1,0,22,-0,-1,-2,0,88,10,1030,73.375,1,0,-6,116,122,122,0,1,3.7,météo très défavorable
2009-01-28,-0,0,12,-5,-1,-6,0,82,10,1034,3.875,0,0,-8,113,113,113,0,1,8.7,météo très défavorable
2009-01-29,2,0,13,-1,2,2,0,93,10,1030,17.375,2,1,-3,113,116,116,0,1,8.7,météo très défavorable
2009-01-30,4,0,13,2,3,3,0,96,9,1027,56.5,4,3,0,113,122,116,0,1,3.8,météo très défavorable
2009-01-31,2,0,41,2,1,0,18.1,94,5.25,1022,100,2,1,-6,230,230,230,3.4,1,3.8,météo très défavorable
2009-02-01,-1,0,36,-3,-2,-2,0.5,89,6.75,1021,98,0,0,-11,227,227,122,0,1,3.8,météo très défavorable
2009-02-02,1,0,29,-4,1,0,0.1,82,9.375,1023,80.875,1,0,-8,116,119,332,0.1,1,3.8,météo très défavorable
2009-02-03,2,0,44,2,1,-1,1.5,83,8,1020,77.75,2,0,-7,338,122,116,1.2,1,5.4,météo très défavorable
2009-02-04,1,0,18,-1,-0,0,0,87,10,1022,64.625,1,0,-7,119,119,116,0,1,3.8,météo très défavorable
2009-02-05,3,0,18,-2,2,3,0,92,10,1020,31.125,3,1,-5,116,113,116,0,1,8.7,météo très défavorable
2009-02-06,2,0,26,-0,0,-1,2,88,8,1019,83.625,2,1,-6,230,332,116,0.1,1,3.8,météo très défavorable
2009-02-07,1,0,17,-3,0,0,0.2,85,9.375,1020,64.625,1,0,-6,119,116,332,0.2,1,8.7,météo très défavorable
2009-02-08,1,0,43,-1,-1,-2,0,89,10,1016,84.5,1,0,-10,122,122,122,0,1,4,météo très défavorable
2009-02-09,2,0,16,-2,2,2,0.4,86,9,1017,31.5,3,1,-5,113,113,266,0,1,8.7,météo très défavorable
2009-02-10,2,0,14,2,2,1,1.4,92,9.375,1011,71.75,2,1,-2,317,329,119,0.1,1,7.1,météo très défavorable
2009-02-11,3,0,18,-4,2,2,0,91,10,1012,66.375,3,1,-2,116,119,119,0,1,4,météo très défavorable
2009-02-12,3,0,37,3,3,1,0.7,92,9.25,1019,43.125,3,2,-4,263,113,116,0,1,8.7,météo très défavorable
2009-02-13,5,0,27,1,4,5,0.9,94,8.375,1019,61.75,5,5,-2,116,266,263,0,1,4,météo très défavorable
2009-02-14,9,0,58,9,4,3,7.7,91,9.625,1006,40.25,9,8,-3,116,116,116,0,1,8.7,météo très défavorable
2009-02-15,4,0,28,1,3,-1,2.3,88,8.875,1011,55.375,4,1,-4,113,317,338,0.3,1,5.6,météo très défavorable
2009-02-16,-3,0,42,-4,-4,-6,2.7,85,5.875,1009,99.25,0,0,-14,338,230,230,0.8,1,4.1,météo très défavorable
2009-02-17,-1,0,28,-2,-1,-3,1.2,85,7.5,1019,67.75,0,0,-7,332,230,323,0.9,1,4.1,météo très défavorable
2009-02-18,-3,0,33,-4,-3,-3,1,88,7.75,1019,86.25,0,0,-10,332,230,122,0.3,1,4.1,météo très défavorable
2009-02-19,-3,0,28,-5,-4,-4,0.3,88,8.125,1024,80.5,0,0,-12,332,230,323,0.2,1,5.6,météo très défavorable
2009-02-20,3,0,26,-2,3,2,7.1,95,9,1023,75.25,3,2,-5,332,302,116,0.2,1,5.6,météo très défavorable
2009-02-21,-1,0,48,-3,-1,-4,2.3,88,5,1018,75.125,0,0,-11,230,230,230,0,1,4.1,météo très défavorable
2009-02-22,3,0,29,-3,2,2,0.7,92,9.875,1019,44.875,3,2,-8,323,182,116,0,1,7.2,météo très défavorable
2009-02-23,-0,0,17,-4,-2,-2,0,86,10,1022,35.125,0,0,-8,116,116,119,0,1,7.2,météo très défavorable
2009-02-24,2,0,25,-5,0,2,0,82,10,1025,39.5,2,0,-6,113,116,122,0,1,7.2,météo très défavorable
2009-02-25,3,0,23,3,3,1,1.7,97,7.875,1015,67,3,2,-3,116,296,338,0.6,1,4.2,météo très défavorable
2009-02-26,1,0,22,-4,0,-1,0.2,87,9.375,1023,58.25,1,0,-6,119,332,323,0.2,1,4.2,météo très défavorable
2009-02-27,2,0,12,-5,1,0,0,85,10,1023,32.125,3,0,-6,116,116,113,0,1,8.7,météo très défavorable
2009-02-28,1,0,24,-2,-0,-1,0,84,10,1026,29,1,0,-7,113,116,113,0,1,8.7,météo très défavorable
2009-03-01,2,0,9,-5,1,-2,0,79,10,1026,20,2,0,-6,113,113,116,0,1,8.7,météo très défavorable
2009-03-02,-1,0,32,-2,-2,-3,0.5,86,9,1024,80.75,0,0,-9,338,122,122,0.5,1,4.2,météo très défavorable
2009-03-03,0,0,15,-5,-1,-1,0,79,10,1027,64,1,0,-7,116,116,119,0,1,5.7,météo très défavorable
2009-03-04,2,0,9,-2,2,-1,0,88,10,1022,31.875,3,0,-3,116,113,113,0,1,8.7,météo très défavorable
2009-03-05,4,0,15,-0,3,1,0,83,10,1026,11.75,4,0,-2,113,113,116,0,1,8.7,météo très défavorable
2009-03-06,8,0,36,3,5,8,3.8,92,9.75,1025,69.75,8,6,-0,119,296,296,0,1,5.7,météo très défavorable
2009-03-07,3,0,60,-0,0,0,1.8,78,8.625,1014,30.625,4,2,-9,113,113,230,0,1,11.6,météo très défavorable
2009-03-08,4,0,24,-0,4,2,0,76,10,1021,17,4,0,-2,113,113,113,0,1,11.6,météo très défavorable
2009-03-09,8,0,12,2,7,5,0,72,10,1021,41.5,9,4,3,116,113,113,0,1,11.6,météo très défavorable
2009-03-10,7,0,28,3,7,1,0.1,80,10,1014,13.25,7,4,-0,113,113,113,0,1,11.6,météo très défavorable
2009-03-11,-2,0,42,-4,-2,-3,0.4,76,6.25,1015,95.5,0,0,-11,230,230,122,0,1,5.9,météo très défavorable
2009-03-12,2,0,26,-1,2,2,0,86,10,1029,65.125,2,0,-5,116,119,116,0,1,8.8,météo très défavorable
2009-03-13,5,0,23,-2,4,4,0,80,10,1029,41.5,6,4,-4,113,113,116,0,1,11.6,météo très défavorable
2009-03-14,8,0,40,8,5,0,6.1,91,8.25,1002,71.375,8,6,-4,116,296,230,0,1,10.2,météo très défavorable
2009-03-15,4,0,42,-1,4,2,0.5,74,7.5,1012,44.25,4,0,-5,230,323,113,0,1,10.2,météo très défavorable
2009-03-16,8,0,18,2,7,5,0.7,78,9.875,1013,43.125,8,4,2,113,113,176,0,1,10.2,météo très défavorable
