DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-20,0,12,-23,-21,-20,0,98,3.75,1018,46.75,0,0,-29,116,260,323,0,1,6.6,météo très défavorable
2009-01-02,-18,0,14,-19,-18,-18,3,99,3,1010,77.625,0,0,-26,338,335,338,2.5,1,2.5,météo très défavorable
2009-01-03,-8,0,15,-16,-11,-9,4.2,99,3.5,1007,95.875,0,0,-21,338,338,338,3.5,1,2.5,météo très défavorable
2009-01-04,-7,0,20,-7,-11,-14,5.5,98,2.25,996,97.5,0,0,-19,338,338,338,4.6,1,2.5,météo très défavorable
2009-01-05,-14,0,15,-17,-16,-19,1.5,98,5.25,1006,57.875,0,0,-25,335,329,335,1.4,1,6.6,météo très défavorable
2009-01-06,-22,0,18,-23,-23,-25,0.2,98,4.625,1011,44.625,0,0,-34,323,116,116,0.1,1,6.7,météo très défavorable
2009-01-07,-24,0,14,-27,-24,-25,0,99,5,1013,44.875,0,0,-34,116,116,116,0,1,6.7,météo très défavorable
2009-01-08,-16,0,7,-24,-16,-16,1,100,0.75,1018,68.5,0,0,-23,260,338,338,0.8,1,2.5,météo très défavorable
2009-01-09,-8,0,10,-16,-8,-11,7.7,99,1,1012,89.875,0,0,-17,338,338,338,6.5,1,2.5,météo très défavorable
2009-01-10,-3,0,10,-6,-3,-6,3.1,100,1.375,1018,89.375,0,0,-9,338,338,335,2.6,1,2.6,météo très défavorable
2009-01-11,-2,0,18,-3,-2,-4,4.9,99,5.25,1024,98.625,0,0,-9,317,296,338,2.1,1,2.6,météo très défavorable
2009-01-12,-2,0,23,-4,-2,-2,12,100,3.75,1020,100,0,0,-8,338,302,317,6.6,1,2.6,météo très défavorable
2009-01-13,-2,0,12,-2,-3,-2,3.6,100,2.5,1021,97.375,0,0,-7,266,260,296,0,1,2.6,météo très défavorable
2009-01-14,-0,0,15,-0,-0,-2,0.8,100,6.5,1025,82.875,0,0,-5,122,122,260,0,1,2.6,météo très défavorable
2009-01-15,-1,0,15,-2,-2,-1,0.1,100,6.25,1024,77.25,0,0,-8,122,122,122,0,1,2.6,météo très défavorable
2009-01-16,0,0,10,-0,0,-0,0.2,100,1.5,1025,71.5,0,0,-4,260,248,260,0,1,6.7,météo très défavorable
2009-01-17,-0,0,20,-1,-0,-1,3.3,100,7.5,1022,93.125,0,0,-5,296,296,119,0,1,2.6,météo très défavorable
2009-01-18,-0,0,21,-0,0,-0,8.7,99,6.25,1018,50.875,0,0,-5,263,116,116,0,1,7.1,météo très défavorable
2009-01-19,-0,0,14,-1,-1,-0,4.5,100,5.75,1021,72,0,0,-5,116,296,302,0,1,2.7,météo très défavorable
2009-01-20,-0,0,8,-0,-1,-3,7.5,100,3.375,1021,94.25,0,0,-4,302,296,266,0,1,2.7,météo très défavorable
2009-01-21,-3,0,13,-5,-7,-12,0.7,99,5.625,1034,40.375,0,0,-15,329,326,179,0.1,1,4.7,météo très défavorable
2009-01-22,-17,0,17,-19,-18,-19,0,97,7.5,1041,25.625,0,0,-27,113,116,116,0,1,7.3,météo très défavorable
2009-01-23,-18,0,17,-21,-18,-20,0,97,9,1040,38.125,0,0,-28,116,116,116,0,1,7.3,météo très défavorable
2009-01-24,-14,0,14,-18,-14,-17,0,97,5.5,1039,37.75,0,0,-23,326,116,113,0,1,7.7,météo très défavorable
2009-01-25,-10,0,5,-22,-10,-19,0,97,3,1037,28.875,0,0,-20,260,143,323,0,1,7.8,météo très défavorable
2009-01-26,-8,0,10,-10,-8,-10,3,100,2.5,1022,66.75,0,0,-14,335,335,335,2.5,1,2.9,météo très défavorable
2009-01-27,-6,0,8,-12,-11,-10,1.7,100,3.375,1009,52.375,0,0,-20,335,143,332,1.4,1,7.9,météo très défavorable
2009-01-28,-5,0,21,-6,-5,-6,3.4,99,2.25,1016,100,0,0,-12,338,338,338,2.8,1,3,météo très défavorable
2009-01-29,-1,0,17,-4,-3,-3,9.6,100,4.875,1005,100,0,0,-8,338,317,320,1.8,1,3,météo très défavorable
2009-01-30,-0,0,19,-3,-5,-6,19,100,8.125,997,97.125,0,0,-12,320,371,371,1.7,1,3,météo très défavorable
2009-01-31,-5,0,19,-7,-8,-8,2.1,97,4.75,1012,94.125,0,0,-15,338,338,338,1.8,1,3,météo très défavorable
2009-02-01,-3,0,24,-5,-4,-3,9.9,99,5.875,1007,99.875,0,0,-11,338,338,338,8.4,1,3,météo très défavorable
2009-02-02,-2,0,16,-4,-5,-5,3.9,98,6.5,1008,87,0,0,-11,338,338,119,0.7,1,3.1,météo très défavorable
2009-02-03,-4,0,23,-4,-5,-10,5.4,97,4.125,1003,84.625,0,0,-16,338,338,338,4.6,1,3.1,météo très défavorable
2009-02-04,-8,0,11,-9,-8,-10,1.5,99,3.125,1008,84.5,0,0,-14,338,338,329,1.2,1,3.1,météo très défavorable
2009-02-05,-8,0,5,-10,-8,-16,0.2,99,2,1014,36.5,0,0,-12,329,143,260,0.2,1,8.3,météo très défavorable
2009-02-06,-4,0,16,-6,-4,-4,6.4,100,3.25,1013,97.25,0,0,-10,338,338,338,5.5,1,3.3,météo très défavorable
2009-02-07,-2,0,12,-3,-2,-4,16.3,100,2.625,994,100,0,0,-6,320,302,338,3.3,1,3.3,météo très défavorable
2009-02-08,-5,0,8,-6,-6,-15,3.6,99,2.875,1002,74,0,0,-11,371,329,332,3.1,1,5.1,météo très défavorable
2009-02-09,-7,0,10,-18,-7,-15,0.7,100,3,1005,67.125,0,0,-12,260,323,329,0.5,1,5.1,météo très défavorable
2009-02-10,-6,0,14,-7,-6,-10,5,99,2.625,1017,86.875,0,0,-12,338,338,335,4.2,1,3.4,météo très défavorable
2009-02-11,-9,0,5,-25,-9,-16,0,99,0,1022,38.75,0,0,-13,260,260,260,0,1,5.2,météo très défavorable
2009-02-12,-10,0,10,-14,-10,-13,0,98,1.5,1031,19.375,0,0,-18,143,143,143,0,1,8.7,météo très défavorable
2009-02-13,-9,0,6,-17,-9,-13,0,96,5,1031,6.5,0,0,-19,113,143,113,0,1,8.7,météo très défavorable
2009-02-14,-7,0,6,-15,-7,-19,0,95,6.5,1024,3,0,0,-16,113,113,260,0,1,8.7,météo très défavorable
2009-02-15,-7,0,8,-20,-7,-9,0,99,0.25,1022,49.625,0,0,-13,260,260,260,0,1,7,météo très défavorable
2009-02-16,-5,0,7,-7,-5,-6,0,100,2.5,1013,75.125,0,0,-8,260,326,326,0.1,1,3.5,météo très défavorable
2009-02-17,-4,0,3,-19,-4,-17,0,99,0,1019,33.375,0,0,-11,260,260,260,0,1,8.7,météo très défavorable
2009-02-18,-4,0,10,-8,-4,-8,0,99,2.5,1033,36.25,0,0,-10,326,260,260,0,1,8.7,météo très défavorable
2009-02-19,-4,0,9,-14,-5,-5,0,100,1.25,1033,34.25,0,0,-10,260,260,260,0,1,8.7,météo très défavorable
2009-02-20,-4,0,6,-14,-4,-6,0.1,99,2.125,1027,49.125,0,0,-8,260,329,260,0.1,1,7,météo très défavorable
2009-02-21,-7,0,20,-8,-9,-10,0.4,97,5.5,1029,63.25,0,0,-16,329,329,122,0.3,1,8.7,météo très défavorable
2009-02-22,-10,0,21,-15,-12,-13,0,98,8,1032,23,0,0,-21,116,113,113,0,1,8.7,météo très défavorable
2009-02-23,-8,0,16,-15,-9,-11,0,96,6,1029,11.625,0,0,-19,113,113,113,0,1,8.7,météo très défavorable
2009-02-24,-7,0,14,-12,-8,-11,0,98,6.5,1026,11.375,0,0,-16,113,113,113,0,1,8.7,météo très défavorable
2009-02-25,-5,0,5,-17,-7,-11,0,98,2.25,1027,13.875,0,0,-15,113,143,260,0,1,8.7,météo très défavorable
2009-02-26,-7,0,13,-9,-7,-7,1.3,99,2.375,1017,90.25,0,0,-14,332,338,338,1.1,1,3.8,météo très défavorable
2009-02-27,-8,0,15,-9,-8,-11,0.3,98,3,1034,28.875,0,0,-14,338,113,113,0.2,1,8.7,météo très défavorable
2009-02-28,-8,0,9,-22,-8,-17,0,97,0.75,1033,20.25,0,0,-13,260,143,260,0,1,8.7,météo très défavorable
2009-03-01,-8,0,11,-15,-8,-11,0,97,3.5,1017,17.875,0,0,-15,143,143,116,0,1,8.7,météo très défavorable
2009-03-02,-11,0,15,-14,-12,-11,5.8,99,2.375,1010,67,0,0,-19,335,338,338,4.9,1,4,météo très défavorable
2009-03-03,-7,0,7,-16,-8,-12,0,97,3.25,1015,35.125,0,0,-18,116,143,260,0,1,7.2,météo très défavorable
2009-03-04,-8,0,8,-13,-9,-12,0.2,98,2.125,1023,36.125,0,0,-15,143,143,143,0.2,1,8.7,météo très défavorable
2009-03-05,-6,0,10,-18,-6,-8,0,98,0.25,1023,57.625,0,0,-11,260,260,260,0,1,5.6,météo très défavorable
2009-03-06,-4,0,13,-6,-4,-10,3.1,99,2.75,1014,86.125,0,0,-9,332,338,335,2.7,1,4.1,météo très défavorable
2009-03-07,-12,0,17,-15,-13,-15,0,98,6.75,1036,17.5,0,0,-21,113,113,113,0,1,8.7,météo très défavorable
2009-03-08,-13,0,13,-19,-14,-16,0,97,4.25,1040,12.375,0,0,-21,113,113,260,0,1,8.7,météo très défavorable
2009-03-09,-12,0,13,-21,-13,-14,0.1,97,3.875,1038,38.875,0,0,-22,143,143,329,0.1,1,5.7,météo très défavorable
2009-03-10,-7,0,10,-17,-7,-9,0.3,98,2.75,1028,69,0,0,-12,329,326,332,0.3,1,4.2,météo très défavorable
2009-03-11,-5,0,10,-9,-5,-6,0.6,99,2.5,1026,88.125,0,0,-10,332,332,332,0.5,1,4.2,météo très défavorable
2009-03-12,-3,0,15,-6,-4,-3,11.3,100,4.375,1020,95.25,0,0,-9,338,338,320,7.1,1,4.2,météo très défavorable
2009-03-13,-4,0,15,-4,-4,-5,4.8,99,4.75,1001,96,0,0,-10,338,338,338,4.1,1,5.9,météo très défavorable
2009-03-14,-4,0,6,-11,-5,-7,0.8,97,3.5,1000,43.875,0,0,-7,323,116,143,0.6,1,11.6,météo très défavorable
2009-03-15,-8,0,13,-13,-9,-11,0.2,98,6.125,1000,40.875,0,0,-14,329,116,113,0.2,1,10.2,météo très défavorable
2009-03-16,-7,0,15,-17,-10,-11,0.1,99,5,1010,42.75,0,0,-19,116,323,323,0,1,11.6,météo très défavorable
2009-03-17,-7,0,12,-12,-7,-10,0.2,98,3.875,1014,47.125,0,0,-14,329,143,323,0.1,1,10.2,météo très défavorable
2009-03-18,-7,0,10,-14,-8,-10,0.5,98,4.25,1009,48.75,0,0,-16,116,323,338,0.3,1,10.2,météo très défavorable
2009-03-19,-5,0,7,-8,-6,-8,0.8,97,2.25,1010,55.125,0,0,-11,329,143,143,0.7,1,10.2,météo très défavorable
2009-03-20,-6,0,10,-10,-6,-9,0.5,99,3.625,1009,36.25,0,0,-10,335,143,143,0.4,1,11.6,météo très défavorable
2009-03-21,-6,0,11,-14,-7,-9,0,97,3.25,1013,40.625,0,0,-16,116,143,143,0,1,12.6,météo très défavorable
2009-03-22,-4,0,10,-14,-5,-9,0.1,97,2.25,1016,38.125,0,0,-11,143,143,323,0,1,12.7,météo très défavorable
2009-03-23,-3,0,10,-9,-3,-4,1.9,99,3.375,1013,57.25,0,0,-7,329,335,335,1.7,1,12.7,météo très défavorable
2009-03-24,-2,0,11,-4,-3,-5,3.3,100,1.625,1021,76.375,0,0,-7,338,338,371,2.8,1,10.6,météo très défavorable
2009-03-25,-3,0,18,-15,-3,-6,0.1,98,3.625,1024,45.25,0,0,-9,260,143,329,0.1,1,12.8,météo très défavorable
2009-03-26,-4,0,21,-6,-5,-6,5.6,99,4.75,1010,98.625,0,0,-11,338,338,338,4.8,1,8,météo très défavorable
2009-03-27,-3,0,17,-4,-4,-5,4.5,100,4.75,1011,100,0,0,-9,338,338,338,3.9,1,8.1,météo très défavorable
2009-03-28,-4,0,11,-6,-4,-5,0.6,99,3.375,1018,81.25,0,0,-9,332,326,323,0.5,1,9.4,météo très défavorable
2009-03-29,-6,0,18,-7,-6,-6,2.5,99,3.25,1019,93.375,0,0,-12,338,338,338,2.1,1,8.1,météo très défavorable
2009-03-30,-4,0,18,-5,-5,-6,3.4,99,5.125,1007,85.625,0,0,-12,338,338,332,3,1,8.2,météo très défavorable
2009-03-31,-4,0,13,-8,-4,-7,0.1,98,3.75,1015,74.375,0,0,-10,260,326,260,0.1,1,8.2,météo très défavorable
2009-04-01,-3,0,10,-10,-3,-6,0.2,98,1.625,1011,38.75,0,0,-10,260,260,143,0.2,1,13.2,météo très défavorable
2009-04-02,-5,0,10,-13,-6,-9,0,97,2.75,1022,12.5,0,0,-10,143,113,143,0,1,13.2,météo très défavorable
2009-04-03,-4,0,7,-15,-5,-6,0.3,97,2,1023,48.375,0,0,-10,260,143,338,0.2,1,12,météo très défavorable
2009-04-04,-3,0,9,-7,-4,-3,6.7,99,2.25,1015,78.5,0,0,-8,338,338,317,3.7,1,8.3,météo très défavorable
2009-04-05,-1,0,8,-3,-1,-2,3.7,100,1.875,1018,93.25,0,0,-4,317,266,266,1.6,1,8.4,météo très défavorable
2009-04-06,-1,0,13,-3,-1,-3,1.9,99,3.625,1019,92,0,0,-6,317,266,317,0,1,8.4,météo très défavorable
2009-04-07,-0,0,6,-7,-1,-2,0,100,0,1018,59.625,0,0,-5,260,260,260,0,1,11,météo très défavorable
2009-04-08,-1,0,8,-3,-1,-2,1.6,100,1.625,1009,79.5,0,0,-4,317,260,266,0,1,8.7,météo très défavorable
2009-04-09,-2,0,16,-4,-2,-3,1,100,2.875,1010,92.75,0,0,-8,338,317,338,0.5,1,8.8,météo très défavorable
2009-04-10,-3,0,15,-4,-3,-4,2.6,99,3.875,1008,100,0,0,-8,338,338,338,2.1,1,8.8,météo très défavorable
2009-04-11,-2,0,16,-4,-2,-2,4,100,2.875,1010,97,0,0,-7,338,317,362,2.6,1,9.1,météo très défavorable
2009-04-12,-1,0,6,-4,-1,-2,0.1,97,3.5,1012,56,0,0,-3,326,143,143,0.1,1,13.4,météo très défavorable
2009-04-13,-0,0,13,-11,-1,-2,0.1,98,2.5,1023,26.625,0,0,-5,143,143,260,0,1,14.5,météo très défavorable
2009-04-14,-1,0,5,-5,-2,-2,0.1,98,2.125,1026,50.75,0,0,-5,323,260,260,0.1,1,14.5,météo très défavorable
2009-04-15,-1,0,10,-5,-1,-2,0.2,99,0.75,1021,55.125,0,0,-4,143,260,260,0,1,13.4,météo très défavorable
2009-04-16,-0,0,8,-4,-0,0,2.7,100,4,1017,50.125,0,0,-3,263,293,176,0,1,11.3,météo très défavorable
2009-04-17,-1,0,15,-4,-1,-3,1.8,100,2.625,1013,57.375,0,0,-6,293,266,260,0,1,12.4,météo très défavorable
2009-04-18,-1,0,12,-2,-1,-3,2.6,100,3.625,1019,91.625,0,0,-5,296,266,317,0,1,9.3,météo très défavorable
2009-04-19,-0,0,5,-3,-0,-2,1,98,2.875,1021,58.375,0,0,-2,260,143,143,0,1,12.4,météo très défavorable
2009-04-20,-0,0,6,-11,-0,-1,0.1,97,2.25,1019,29,0,0,-2,260,143,143,0,1,14.5,météo très défavorable
2009-04-21,-0,0,10,-3,-1,-2,1.3,96,2.375,1021,44.25,0,0,-5,182,266,143,0,1,13.5,météo très défavorable
2009-04-22,1,0,8,-5,-0,0,0,97,1.25,1028,22.125,1,0,-3,143,143,248,0,1,13.5,météo très défavorable
2009-04-23,2,0,8,-7,1,0,0,97,0.5,1028,53.375,2,1,-2,143,248,248,0,1,11.5,météo très défavorable
2009-04-24,2,0,9,-2,1,1,0,90,4.5,1022,51,2,0,-4,143,116,143,0,1,13.5,météo très défavorable
2009-04-25,1,0,9,-2,1,0,0,97,3,1030,65.375,1,0,-2,143,116,248,0,1,11.5,météo très défavorable
2009-04-26,2,0,5,-3,2,1,0,97,1,1034,35.5,2,2,-0,143,143,248,0,1,13.5,météo très défavorable
2009-04-27,7,0,3,0,7,4,0,90,8,1034,5.125,7,4,4,113,113,113,0,1,14.5,météo très défavorable
2009-04-28,9,0,3,2,9,6,0,89,8.75,1030,1.375,9,7,6,113,113,113,0,1,14.5,météo très défavorable
2009-04-29,9,0,4,2,9,6,0,91,5,1030,44.375,9,7,4,248,113,113,0,1,13.5,météo très défavorable
2009-04-30,10,0,3,3,10,7,0,86,6.75,1030,19.5,10,8,7,143,113,113,0,1,14.5,météo très défavorable
2009-05-01,13,0,6,3,12,9,0,84,10,1027,7.75,13,11,7,113,113,113,0,1,14.5,météo très défavorable
2009-05-02,13,0,8,4,13,10,0,81,6.75,1015,16.25,14,10,8,113,113,113,0,1,14.5,météo très défavorable
2009-05-03,8,0,15,4,8,3,0.3,95,3.75,1007,48.75,8,6,3,143,116,266,0,1,12.8,météo très défavorable
2009-05-04,5,0,6,1,4,2,1.2,86,3.375,1007,65.25,5,1,2,266,263,263,0,1,12,météo très défavorable
2009-05-05,10,0,9,2,10,7,0,81,6.5,998,24.625,10,6,6,113,116,113,0,1,14.5,météo très défavorable
2009-05-06,3,0,12,1,3,1,1,91,4.75,1012,60.125,3,2,-1,116,266,266,0,1,11.2,météo très défavorable
2009-05-07,3,0,9,1,3,2,0.2,92,5.75,1022,80.125,3,2,-0,143,119,119,0,1,10.4,météo très défavorable
2009-05-08,3,0,12,0,3,1,0,87,5.5,1028,58.125,3,0,-1,143,116,119,0,1,12.1,météo très défavorable
2009-05-09,3,0,9,-0,3,2,0,80,6.75,1029,53.5,3,0,0,119,116,113,0,1,13.7,météo très défavorable
2009-05-10,7,0,6,-0,7,5,0,67,8,1025,20.125,7,2,4,113,116,116,0,1,14.5,météo très défavorable
2009-05-11,5,0,14,1,5,4,0,65,10,1018,17,5,0,1,113,113,113,0,1,14.5,météo très défavorable
2009-05-12,5,0,8,1,5,4,0.4,68,9.125,1015,39.375,6,0,3,116,263,176,0,1,14.5,météo très défavorable
2009-05-13,6,0,11,1,6,4,0.2,67,9,1016,12.375,6,0,3,113,113,113,0,1,14.5,météo très défavorable
2009-05-14,3,0,13,1,3,2,0.1,79,8,1018,37.875,3,0,0,113,116,119,0,1,13.7,météo très défavorable
2009-05-15,2,0,13,-0,2,2,0.4,86,10,1020,72.375,2,0,-2,122,119,116,0,1,11.4,météo très défavorable
2009-05-16,7,0,10,0,7,5,0.2,67,7.75,1018,35.125,7,1,4,116,116,113,0,1,14.5,météo très défavorable
2009-05-17,5,0,14,1,5,4,0,61,10,1023,21,5,0,0,113,113,116,0,1,14.5,météo très défavorable
2009-05-18,9,0,8,-1,7,6,0,55,10,1025,3.625,9,0,1,113,113,113,0,1,14.5,météo très défavorable
2009-05-19,11,0,9,2,11,8,0,48,10,1016,16.375,11,2,8,113,116,113,0,1,14.5,météo très défavorable
2009-05-20,8,0,12,4,8,5,0,66,9,1022,32.125,8,2,4,116,116,113,0,1,14.5,météo très défavorable
2009-05-21,6,0,9,1,6,5,0.1,68,7.75,1026,31.75,6,0,2,116,113,113,0,1,14.5,météo très défavorable
2009-05-22,8,0,10,3,8,6,0,67,9,1027,11.5,8,2,5,113,113,113,0,1,14.5,météo très défavorable
2009-05-23,7,0,12,1,7,5,0,84,7.75,1024,26,7,2,3,113,116,113,0,1,14.5,météo très défavorable
2009-05-24,10,0,6,3,10,9,0,65,7.75,1023,29.125,11,5,7,116,113,113,0,1,14.5,météo très défavorable
2009-05-25,14,0,6,6,14,10,0.6,71,7.5,1018,51,14,7,10,116,116,176,0,1,14.5,météo très défavorable
2009-05-26,6,0,10,5,6,4,4.6,95,5.125,1014,80.5,6,5,3,293,296,296,0,1,10.9,météo très défavorable
2009-05-27,3,0,13,2,3,2,1.3,93,5.75,1019,92.75,3,2,0,266,119,122,0,1,10.9,météo très défavorable
2009-05-28,6,0,9,1,4,5,0.4,89,6,1019,68.625,6,3,1,266,119,116,0,1,12.4,météo très défavorable
2009-05-29,4,0,12,2,3,2,1.5,87,5.75,1014,66.75,4,1,-1,263,263,266,0,1,12.4,météo très défavorable
2009-05-30,4,0,12,1,4,3,0.8,90,5.75,1027,96.875,4,3,0,266,122,119,0,1,15.8,météo très défavorable
2009-05-31,10,0,8,2,10,10,0,68,6.5,1029,23.625,10,6,8,113,113,113,0,1,18.4,météo très défavorable
2009-06-01,15,0,6,7,15,14,0,58,9,1026,6.5,15,8,13,113,113,113,0,1,18.5,météo très défavorable
2009-06-02,21,0,4,10,18,16,0,60,10,1023,0,21,13,15,113,113,113,0,1,18.5,météo favorable
2009-06-03,20,0,8,12,20,16,0,47,10,1022,2.125,20,8,16,113,113,113,0,1,18.5,météo favorable
2009-06-04,20,0,6,11,18,18,0,42,10,1021,17.75,20,5,16,113,116,116,0,1,18.5,météo favorable
2009-06-05,20,0,12,13,20,17,0,36,10,1015,9.375,20,6,18,113,113,113,0,1,18.6,météo favorable
2009-06-06,18,0,8,11,18,16,0,54,10,1011,9.25,18,10,16,113,113,113,0,1,18.6,météo favorable
2009-06-07,18,0,8,13,18,16,0,57,10,1011,16,18,10,17,113,113,113,0,1,18.6,météo favorable
2009-06-08,16,0,12,10,16,14,0,70,7.75,1013,29.875,16,10,13,113,113,113,0,1,18.6,météo très défavorable
2009-06-09,16,0,10,9,16,14,0,77,6.5,1014,43.5,16,10,12,116,113,113,0,1,18.7,météo très défavorable
2009-06-10,17,0,4,10,16,14,0.8,75,7.375,1014,46,17,13,13,116,116,176,0,1,18.7,météo très défavorable
2009-06-11,14,0,15,8,14,11,0,70,6.75,1013,31.625,14,8,11,116,113,113,0,1,18.7,météo très défavorable
2009-06-12,8,0,11,7,8,5,0.4,88,5.75,1014,73.75,8,5,4,119,119,266,0,1,16.9,météo très défavorable
2009-06-13,8,0,14,5,8,5,0.6,82,7.375,1015,58,8,4,5,263,116,116,0,1,18.7,météo très défavorable
2009-06-14,10,0,8,5,10,8,0,73,7.75,1015,49.625,10,6,7,116,116,116,0,1,18.7,météo très défavorable
