DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,4,1,32,1,3,4,0.3,69,9.375,1032,11.875,4,1,-5,113,113,113,,,,météo très défavorable
2009-01-02,3,0,23,0,3,3,0.4,78,10,1033,34.25,3,0,-5,113,113,119,,,,météo très défavorable
2009-01-03,7,3,39,3,7,7,10,87,6.25,1027,97.25,7,4,-4,296,266,266,,,,météo très défavorable
2009-01-04,4,0,18,0,3,3,0.9,68,10,1023,33.875,4,0,-4,326,116,113,,,,météo très défavorable
2009-01-05,2,-1,10,-1,1,2,0,64,10,1029,8.5,2,0,-4,113,113,113,,,,météo très défavorable
2009-01-06,8,3,43,3,7,7,12.9,88,9,1025,83,8,6,-3,119,296,296,,,,météo très défavorable
2009-01-07,3,1,39,1,2,2,2.2,70,9.625,1022,95.625,3,0,-6,326,122,122,,,,météo très défavorable
2009-01-08,7,4,35,4,7,7,15,92,7.125,1019,97.875,7,6,-1,296,296,266,,,,météo très défavorable
2009-01-09,7,6,31,6,7,7,10.8,93,9,1023,84.25,7,6,1,296,296,119,,,,météo très défavorable
2009-01-10,9,6,55,6,8,8,1.6,86,9.875,1022,50.25,9,5,0,119,116,113,,,,météo défavorable
2009-01-11,10,7,50,7,9,10,64.5,93,6.5,1007,100,10,9,1,296,302,308,,,,météo très défavorable
2009-01-12,10,7,45,7,9,9,33.6,93,7.125,997,96.125,10,8,2,302,296,353,,,,météo très défavorable
2009-01-13,7,6,33,6,7,7,11.6,86,9.625,1003,70.375,7,6,1,353,353,353,,,,météo très défavorable
2009-01-14,5,3,8,3,5,5,2.6,81,9.375,1014,38.375,5,2,2,182,182,182,,,,météo très défavorable
2009-01-15,4,3,56,3,4,4,0,78,10,1019,19.625,4,0,-4,113,116,113,,,,météo très défavorable
2009-01-16,5,3,67,3,5,5,3.6,79,9.25,1018,92.25,5,2,-5,317,317,317,,,,météo très défavorable
2009-01-17,7,4,69,4,7,7,11.2,81,7.875,1013,91.625,7,4,-3,317,266,296,,,,météo très défavorable
2009-01-18,8,4,73,4,7,7,21.2,84,6.875,998,85,8,5,-3,122,302,266,,,,météo très défavorable
2009-01-19,6,5,53,5,6,6,5.2,82,9.75,987,51.5,6,3,-1,353,353,122,,,,météo très défavorable
2009-01-20,5,4,57,4,4,4,4.2,82,9.625,985,68.5,5,1,-4,326,317,353,,,,météo très défavorable
2009-01-21,5,5,51,5,5,5,24.2,88,8.5,999,79.25,5,3,-2,353,356,353,,,,météo très défavorable
2009-01-22,6,4,71,4,6,6,2.8,80,9.75,999,75.75,6,3,-3,116,122,182,,,,météo très défavorable
2009-01-23,6,4,43,4,5,5,11.8,82,8.625,982,87.375,6,2,-3,317,119,317,,,,météo très défavorable
2009-01-24,4,2,24,2,3,3,14.4,80,5.875,985,94.5,4,0,-3,332,332,326,,,,météo très défavorable
2009-01-25,3,3,44,3,3,3,0.6,85,9.875,997,42.5,3,1,-4,113,113,116,,,,météo très défavorable
2009-01-26,5,3,42,3,5,5,0.1,80,10,1009,36.625,5,1,-3,116,116,113,,,,météo très défavorable
2009-01-27,4,3,42,3,4,4,1.4,86,8.5,1012,71,4,2,-4,116,119,317,,,,météo très défavorable
2009-01-28,5,4,41,4,5,4,9.8,91,6.875,1017,100,5,3,-2,296,296,266,,,,météo très défavorable
2009-01-29,6,3,37,3,5,5,0.8,88,8.375,1024,62.875,6,3,-2,122,116,116,,,,météo très défavorable
2009-01-30,5,2,45,2,5,5,0,75,10,1026,0.125,5,0,-4,113,113,113,,,,météo très défavorable
2009-01-31,5,2,39,2,4,4,0,68,10,1029,4,5,0,-5,113,113,113,,,,météo très défavorable
2009-02-01,3,0,14,0,2,2,0,66,10,1031,16,3,0,-4,113,113,113,,,,météo très défavorable
2009-02-02,4,0,12,0,3,3,0,62,10,1029,4.125,4,0,-2,113,113,113,,,,météo très défavorable
2009-02-03,5,2,15,2,5,5,0,65,10,1018,28.875,5,0,-3,113,116,113,,,,météo très défavorable
2009-02-04,6,1,22,1,5,5,9.8,87,8.625,1004,81.25,6,4,-1,119,317,317,,,,météo très défavorable
2009-02-05,3,3,21,3,3,3,7.1,85,9,996,66.5,3,1,-2,326,119,368,,,,météo très défavorable
2009-02-06,3,1,16,1,3,3,3.8,76,9.125,995,72.375,3,0,-3,326,323,323,,,,météo très défavorable
2009-02-07,3,1,27,1,3,3,3.6,81,9.25,992,45,3,0,-4,326,119,113,,,,météo très défavorable
2009-02-08,2,0,18,0,2,2,0.8,71,10,993,13.5,2,0,-5,113,113,368,,,,météo très défavorable
2009-02-09,1,-1,16,-1,1,1,0.7,74,10,999,24,1,0,-4,113,113,116,,,,météo très défavorable
2009-02-10,1,0,14,0,1,1,0.2,68,10,1004,21.25,1,0,-4,116,113,113,,,,météo très défavorable
2009-02-11,0,0,11,0,0,0,0.4,77,10,1013,24.25,0,0,-4,116,368,113,,,,météo très défavorable
2009-02-12,2,0,11,0,2,2,0.9,80,10,1016,56.875,2,0,-2,116,122,323,,,,météo très défavorable
2009-02-13,1,0,24,0,1,1,0,74,10,1025,6.625,1,0,-6,113,113,113,,,,météo très défavorable
2009-02-14,3,-1,20,-1,2,2,0.7,77,10,1026,49.5,3,0,-4,116,116,119,,,,météo très défavorable
2009-02-15,6,2,32,2,5,5,12.2,94,7.625,1021,100,6,5,-4,296,296,266,,,,météo très défavorable
