DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,2,-1,16,-0,2,1,0,93,10,1032,40,2,0,-5,113,113,116,0,1,7.1,météo très défavorable
2009-01-02,3,-1,19,1,3,-0,0,91,10,1035,24.875,3,1,-3,116,113,113,0,1,7.1,météo très défavorable
2009-01-03,1,-2,15,-2,1,0,0,89,10,1034,29.5,2,0,-4,113,116,116,0,1,7.1,météo très défavorable
2009-01-04,4,1,16,1,4,4,0.6,93,9,1025,85.875,4,3,-2,122,116,119,0,1,4.7,météo très défavorable
2009-01-05,2,-1,17,-0,2,-1,0,87,10,1030,13.375,2,1,-5,113,113,113,0,1,7.5,météo très défavorable
2009-01-06,4,-1,28,1,3,3,1.9,89,9.875,1030,70.125,4,3,-4,119,119,122,0,1,4.8,météo très défavorable
2009-01-07,5,3,6,4,5,5,0.6,99,4.25,1024,93.5,5,5,2,248,143,119,0,1,2.8,météo très défavorable
2009-01-08,6,3,23,4,4,4,0.1,93,10,1025,75.25,6,5,-1,119,119,119,0,1,2.8,météo très défavorable
2009-01-09,4,2,27,2,4,4,0.1,92,10,1024,61.75,4,3,-3,113,122,119,0,1,4.8,météo très défavorable
2009-01-10,7,3,54,4,5,6,6.8,95,9.5,1020,90,8,7,-2,119,122,122,0,1,2.9,météo très défavorable
2009-01-11,10,7,59,8,9,9,21.9,94,8.5,1006,100,10,9,4,122,122,122,0,1,2.9,météo très défavorable
2009-01-12,9,6,42,8,7,6,3.4,92,9.75,999,73.875,9,7,1,122,119,116,0,1,4.8,météo défavorable
2009-01-13,6,3,18,4,6,4,0.4,89,10,1008,45.625,6,4,0,116,116,116,0,1,7.7,météo très défavorable
2009-01-14,3,0,29,0,3,2,5.9,93,9.625,1010,59.5,3,2,-3,113,119,122,0,1,4.8,météo très défavorable
2009-01-15,8,4,44,7,8,8,3.3,94,8.75,1000,100,8,7,2,122,122,122,0,1,2.9,météo très défavorable
2009-01-16,7,5,40,6,6,6,4.8,98,9.625,1002,81.25,7,6,-1,122,119,119,0,1,2.9,météo très défavorable
2009-01-17,6,3,53,5,4,5,2.6,86,7.125,995,79.375,6,5,-3,200,119,122,0,1,4.9,météo très défavorable
2009-01-18,4,2,46,2,2,4,4.4,95,9.25,982,80,4,2,-5,200,200,200,0,1,4.9,météo très défavorable
2009-01-19,3,0,27,3,3,1,0.8,88,9,982,72.125,3,3,-2,122,119,116,0.1,1,3,météo très défavorable
2009-01-20,5,3,38,3,3,3,2.5,93,9.875,985,82.625,5,4,-3,122,122,116,0,1,4.9,météo très défavorable
2009-01-21,5,2,24,3,3,3,1.4,89,9.875,993,70.5,5,3,-2,116,116,122,0,1,6.8,météo très défavorable
2009-01-22,8,3,45,8,4,4,2.9,78,9.875,977,82.75,8,7,-2,122,119,119,0,1,4.9,météo très défavorable
2009-01-23,5,1,37,1,4,4,0.1,92,9.75,977,58.875,5,3,-3,116,200,116,0,1,4.9,météo très défavorable
2009-01-24,4,1,26,3,4,2,1.6,87,9.625,984,35.875,4,2,-2,116,116,113,0,1,8.1,météo très défavorable
2009-01-25,4,2,35,2,4,4,2.4,98,9.75,983,84.375,4,3,-3,122,122,116,0,1,4.9,météo très défavorable
2009-01-26,6,4,13,4,5,5,0,95,8,1003,81.125,6,4,1,143,116,122,0,1,6.8,météo très défavorable
2009-01-27,6,4,15,6,6,5,2.2,97,7.75,1008,81.375,6,6,3,122,143,116,0,1,3.1,météo très défavorable
2009-01-28,6,3,21,4,6,4,0.7,96,7.75,1012,45.875,6,5,1,143,113,113,0,1,8.2,météo très défavorable
2009-01-29,6,2,31,2,5,6,0.4,96,9,1013,65.625,6,5,-4,116,122,122,0,1,3.1,météo très défavorable
2009-01-30,7,3,44,5,7,7,4.5,93,7.5,1007,98.125,7,6,0,122,122,122,0,1,3.1,météo très défavorable
2009-01-31,6,3,28,3,6,5,3,76,8.625,1013,74.25,6,3,-0,122,122,116,0,1,5,météo très défavorable
2009-02-01,3,0,32,0,3,1,0,84,10,1019,38.625,3,0,-6,113,116,119,0,1,6.8,météo très défavorable
2009-02-02,1,-0,31,0,1,0,0,81,10,1019,81.125,1,0,-6,119,122,122,0,1,3.2,météo très défavorable
2009-02-03,3,-2,46,2,3,0,1,92,9.625,1001,65.25,3,2,-5,122,122,113,0,1,5,météo très défavorable
2009-02-04,1,-4,18,-4,-0,1,1.2,90,8.375,997,47.625,1,0,-5,113,116,122,1,1,6.9,météo très défavorable
2009-02-05,1,-2,25,-1,0,-1,1.5,89,7.75,997,62.875,1,0,-8,122,119,116,0.3,1,3.4,météo très défavorable
