DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,6,-1,22,-1,6,2,0,57,10,1008,6.5,7,0,0,113,116,113,0,1,8.7,météo très défavorable
2009-01-02,7,1,24,1,7,3,0,64,10,1013,14.5,7,0,1,113,116,113,0,1,8.7,météo très défavorable
2009-01-03,6,0,26,0,6,2,0,58,10,1019,2,6,0,1,113,113,113,0,1,8.7,météo très défavorable
2009-01-04,8,0,13,0,8,3,0,62,10,1021,7.375,8,0,2,113,113,113,0,1,8.7,météo très défavorable
2009-01-05,8,-1,4,-0,8,4,0,67,10,1020,15,10,3,9,113,113,116,0,1,8.7,météo très défavorable
2009-01-06,8,1,15,2,8,4,0.2,68,10,1023,24.625,9,3,2,116,113,113,0,1,8.7,météo très défavorable
2009-01-07,7,1,12,1,7,4,0,64,10,1026,13.5,8,1,2,116,113,113,0,1,8.7,météo très défavorable
2009-01-08,7,0,14,0,7,3,0,64,10,1028,24.5,8,1,1,116,113,113,0,1,8.7,météo très défavorable
2009-01-09,5,2,16,4,5,4,6.1,95,8,1026,82.75,5,5,1,263,266,302,0,1,3.7,météo très défavorable
2009-01-10,7,-0,33,4,7,2,1.9,85,9.875,1005,24.25,7,4,0,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,6,-1,21,-1,5,2,0,48,10,1016,15.875,6,0,-3,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,7,0,22,2,7,2,0,79,10,1016,28.125,7,3,3,119,113,113,0,1,8.7,météo très défavorable
2009-01-13,6,-0,22,-0,6,3,0.1,59,10,1017,18.375,7,0,2,113,113,116,0,1,8.7,météo très défavorable
2009-01-14,7,0,18,0,7,2,0,61,10,1021,2.375,11,0,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-15,4,-1,24,-1,4,-1,0,53,10,1023,4.375,4,0,-2,113,113,113,0,1,8.7,météo très défavorable
2009-01-16,7,-2,12,-2,7,2,0,53,10,1025,3.5,8,0,1,113,113,113,0,1,8.7,météo très défavorable
2009-01-17,8,-0,21,0,8,2,0,58,10,1028,9.125,8,0,2,113,113,113,0,1,8.7,météo très défavorable
2009-01-18,7,0,10,1,5,5,1,87,7.875,1029,71.75,7,5,3,296,119,143,0,1,3.8,météo très défavorable
2009-01-19,10,3,21,6,9,7,2.5,81,8.625,1016,35,10,5,3,302,116,113,0,1,8.7,météo très défavorable
2009-01-20,7,0,14,0,7,4,0,66,10,1023,43,7,0,1,116,116,119,0,1,5.4,météo très défavorable
2009-01-21,8,1,6,1,8,5,0,66,10,1024,61.875,9,3,5,116,119,122,0,1,7.1,météo très défavorable
2009-01-22,7,4,14,4,6,7,5,97,7.25,1021,99.25,8,7,3,296,122,122,0,1,3.8,météo très défavorable
2009-01-23,13,8,12,10,10,9,7.9,94,6.5,1016,65.375,14,11,7,302,176,116,0,1,7.1,météo défavorable
2009-01-24,8,1,15,3,4,2,0.9,80,9.25,1016,56.875,8,6,-0,317,335,323,0.5,1,7.1,météo très défavorable
2009-01-25,7,1,14,1,6,1,0,67,10,1018,11.625,10,0,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-26,8,-0,10,-0,8,3,0,64,10,1020,13.625,9,0,6,113,113,113,0,1,8.7,météo très défavorable
2009-01-27,9,2,12,2,9,5,0,67,10,1028,31,10,2,4,113,113,116,0,1,8.7,météo très défavorable
2009-01-28,6,2,15,2,5,5,0.4,80,8,1032,80.5,7,4,0,119,266,266,0,1,3.8,météo très défavorable
2009-01-29,9,5,6,5,8,9,1,90,6,1030,88,9,8,6,266,266,122,0,1,4,météo très défavorable
2009-01-30,11,8,28,9,10,11,7.3,97,6.25,1025,96.375,11,10,6,302,302,122,0,1,4,météo défavorable
2009-01-31,11,4,60,11,6,4,29.2,90,8.625,1012,92.125,11,11,-2,308,302,119,0,1,4,météo très défavorable
2009-02-01,7,1,31,2,6,3,0.9,74,9.875,1022,23.75,7,1,1,116,113,113,0,1,8.7,météo très défavorable
2009-02-02,7,-0,9,-0,6,2,0,56,10,1025,7.75,8,0,4,113,113,113,0,1,8.7,météo très défavorable
2009-02-03,11,2,13,2,11,6,0.1,70,10,1022,17,12,5,5,113,113,113,0,1,8.7,météo très défavorable
2009-02-04,8,2,15,2,8,4,0,71,10,1022,9.375,9,2,1,113,113,113,0,1,8.7,météo très défavorable
2009-02-05,9,2,7,2,7,4,0.1,76,10,1021,32.625,10,5,6,116,119,113,0,1,5.6,météo très défavorable
2009-02-06,8,1,25,4,8,3,0,61,10,1020,8.375,8,1,2,113,113,113,0,1,8.7,météo très défavorable
2009-02-07,8,-1,15,-1,7,3,0,54,10,1021,11.125,10,2,5,113,113,113,0,1,8.7,météo très défavorable
2009-02-08,7,0,34,2,6,2,0,56,10,1019,6.125,7,1,2,113,113,113,0,1,8.7,météo très défavorable
2009-02-09,7,-1,7,-1,7,3,0,57,10,1022,57.25,8,1,5,116,119,122,0,1,5.6,météo très défavorable
2009-02-10,11,2,15,3,10,6,0.8,68,9.875,1010,29.375,11,3,6,116,113,113,0,1,8.7,météo très défavorable
2009-02-11,7,0,11,0,7,5,0,72,10,1012,38.75,8,3,3,113,116,119,0,1,7.2,météo très défavorable
2009-02-12,11,2,19,2,10,6,0,61,10,1020,13.625,11,2,3,113,113,113,0,1,8.7,météo très défavorable
2009-02-13,12,3,16,3,10,11,0,72,10,1019,58.375,12,10,7,113,122,119,0,1,4.1,météo très défavorable
2009-02-14,17,8,29,14,17,10,0.1,87,10,1007,39.5,17,13,15,116,113,113,0,1,7.2,météo correcte
2009-02-15,12,8,9,8,12,10,0.5,76,9.375,1013,42,14,9,9,263,113,353,0,1,7.2,météo défavorable
2009-02-16,10,2,23,7,10,2,0.1,78,8.75,1011,36.875,10,8,2,116,113,230,0,1,8.7,météo très défavorable
2009-02-17,6,-1,27,-1,6,3,0,44,9.875,1021,19.75,7,0,-3,116,113,116,0,1,8.7,météo très défavorable
2009-02-18,7,-1,15,-1,7,2,0,41,10,1021,24.75,7,0,2,113,113,116,0,1,8.7,météo très défavorable
2009-02-19,6,-1,19,-1,5,0,0,43,10,1025,32.25,6,0,-1,113,116,116,0,1,8.7,météo très défavorable
2009-02-20,7,2,21,4,7,5,11.8,96,8.25,1021,75.625,7,7,3,302,302,116,0,1,5.7,météo très défavorable
2009-02-21,5,-1,27,-0,5,1,0.1,54,10,1021,5.75,5,0,-2,113,113,113,0,1,8.7,météo très défavorable
2009-02-22,10,-0,13,-0,9,5,0,60,10,1023,30.875,10,3,7,113,116,116,0,1,8.7,météo très défavorable
2009-02-23,6,2,36,6,5,4,9.3,93,9.375,1021,53.375,6,4,-1,296,305,113,0,1,5.7,météo très défavorable
2009-02-24,7,0,9,1,7,5,0.7,77,8,1025,64.5,8,4,3,116,119,266,0,1,5.7,météo très défavorable
2009-02-25,9,4,19,5,5,7,6.2,94,7.625,1018,68.75,9,7,2,143,302,113,0,1,5.7,météo très défavorable
2009-02-26,6,3,10,3,6,5,0.6,78,9,1024,40.875,7,3,3,113,116,266,0,1,8.7,météo très défavorable
2009-02-27,3,2,13,2,3,3,0,95,9,1024,95.75,3,2,-1,122,122,119,0,1,4.2,météo très défavorable
2009-02-28,9,1,13,1,9,5,0.4,77,9,1025,31.125,9,2,3,113,113,119,0,1,8.7,météo très défavorable
2009-03-01,7,3,15,3,7,5,1.6,80,8.625,1024,78.75,8,5,3,116,122,296,0,1,4.2,météo très défavorable
2009-03-02,7,-1,26,2,6,3,2.1,75,9.875,1025,17.125,7,4,0,113,113,113,0,1,8.7,météo très défavorable
2009-03-03,6,-1,10,-0,6,2,2.3,76,8.875,1026,68.125,6,1,1,119,116,317,0,1,7.2,météo très défavorable
2009-03-04,7,1,22,2,5,5,7.5,100,8.875,1020,76.5,7,4,-1,296,116,263,0,1,5.7,météo très défavorable
2009-03-05,10,0,12,0,10,5,0,65,10,1026,18.5,11,2,6,113,113,116,0,1,8.7,météo très défavorable
2009-03-06,13,5,35,7,10,13,10.2,96,9.25,1025,81.5,13,12,8,122,296,308,0,1,4.3,météo très défavorable
2009-03-07,10,5,24,6,10,6,0.1,66,10,1020,16.75,10,7,5,113,113,113,0,1,8.7,météo très défavorable
2009-03-08,8,4,14,4,7,7,1.3,81,8.875,1022,63.25,8,4,5,293,266,122,0,1,8.8,météo très défavorable
2009-03-09,11,6,8,6,11,8,0.9,80,9.875,1022,62.125,12,8,10,119,119,116,0,1,7.3,météo défavorable
2009-03-10,14,4,26,7,14,8,1.9,76,8.875,1013,43.25,14,7,8,296,113,113,0,1,10.2,météo correcte
2009-03-11,8,0,29,0,8,4,0,49,10,1020,7.125,8,0,1,113,113,113,0,1,11.6,météo très défavorable
2009-03-12,9,0,18,0,8,5,0,50,10,1030,9.625,12,0,1,323,113,113,0,1,11.6,météo très défavorable
2009-03-13,11,0,23,2,11,9,0,72,10,1029,51.625,11,9,6,116,113,122,0,1,10.2,météo très défavorable
2009-03-14,14,3,32,13,9,4,6.5,91,9.5,1010,72.375,15,13,1,296,302,113,0,1,6,météo très défavorable
2009-03-15,11,1,23,1,10,5,0,62,10,1015,11.75,13,3,3,113,113,116,0,1,11.6,météo très défavorable
2009-03-16,13,5,11,5,13,8,0.3,64,10,1015,24.25,14,6,12,116,113,113,0,1,11.6,météo correcte
2009-03-17,15,4,30,4,15,9,0,68,10,1018,6.75,15,7,10,113,113,113,0,1,11.6,météo correcte
2009-03-18,18,3,21,3,16,12,0,63,10,1021,5.125,18,10,12,113,113,113,0,1,11.6,météo favorable
2009-03-19,21,7,13,7,19,15,0,65,10,1018,0.75,24,13,17,113,113,113,0,1,11.6,météo favorable
2009-03-20,14,3,19,12,14,6,3.5,94,8.75,1016,23.5,14,12,11,116,299,113,0,1,10.2,météo correcte
2009-03-21,11,1,21,1,11,7,0,55,10,1020,12.75,11,5,6,113,113,113,0,1,11.6,météo très défavorable
2009-03-22,15,10,35,10,13,14,1.9,91,9.875,1016,81.875,15,14,10,116,296,122,0,1,7.4,météo défavorable
2009-03-23,15,5,30,7,12,6,3.3,63,9.625,1013,26.5,15,15,8,113,116,116,0,1,11.6,météo correcte
2009-03-24,8,2,15,2,7,7,1.9,81,8,1017,68.875,8,5,-0,338,113,266,1.2,1,8.8,météo très défavorable
2009-03-25,7,4,20,5,6,6,2.7,95,8.75,1014,91.625,7,6,1,266,122,296,0,1,6.1,météo très défavorable
2009-03-26,9,1,16,1,9,5,0.1,63,10,1015,23.875,9,1,5,113,113,116,0,1,11.6,météo très défavorable
2009-03-27,10,1,12,1,10,6,0.4,57,8.75,1016,49.125,10,0,5,332,116,263,0.2,1,10.2,météo très défavorable
2009-03-28,10,1,9,1,9,4,0.3,56,9.625,1018,20.375,11,0,5,329,113,113,0.2,1,11.6,météo très défavorable
2009-03-29,9,1,15,1,9,6,0.2,49,9.375,1024,21,10,0,5,113,113,113,0,1,11.6,météo très défavorable
2009-03-30,11,2,10,2,11,6,0,49,10,1026,10.5,12,0,7,116,113,113,0,1,11.6,météo très défavorable
2009-03-31,11,3,10,4,11,7,1.8,73,8.625,1026,70.75,11,7,9,119,119,296,0,1,7.5,météo très défavorable
2009-04-01,13,6,21,7,13,8,1.7,86,5.25,1018,84,14,9,8,248,176,266,0,1,9.3,météo défavorable
