DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,4,0,17,1,2,3,3,91,9.625,1035,96.875,4,3,-3,122,122,122,0,1,1.2,météo très défavorable
2009-01-02,6,5,18,6,6,6,0.9,87,7.75,1032,62,6,5,2,122,116,116,0,2,4.7,météo très défavorable
2009-01-03,5,2,18,4,4,2,10.6,96,7,1027,92.625,5,3,-1,119,143,122,0,1,1.2,météo très défavorable
2009-01-04,5,2,13,3,4,5,2.7,94,8.125,1021,87.625,5,4,1,122,122,116,0,1,1.2,météo très défavorable
2009-01-05,5,3,16,5,4,3,0,77,10,1020,17.75,5,3,0,113,113,116,0,2,4.8,météo très défavorable
2009-01-06,3,-1,21,0,-1,-1,3.5,91,6.875,1023,98.25,3,1,-7,122,122,122,1.8,1,1.2,météo très défavorable
2009-01-07,6,2,37,4,5,6,2.9,91,9.625,1017,68.75,6,5,-0,122,116,116,0,1,4.9,météo très défavorable
2009-01-08,6,5,26,6,5,6,0.9,89,9.875,999,55.5,6,6,1,116,113,119,0,2,4.9,météo très défavorable
2009-01-09,6,3,35,6,4,3,0.5,78,9.375,992,49.5,7,6,-2,119,116,113,0,1,4.9,météo très défavorable
2009-01-10,5,-0,19,5,4,3,10.1,83,9.125,980,54.25,5,3,-1,116,119,116,0,1,3.5,météo très défavorable
2009-01-11,1,-3,42,-2,0,1,4.1,87,5.875,980,77.5,1,0,-7,116,122,122,0.1,2,1.3,météo très défavorable
2009-01-12,1,-2,45,1,-0,-1,3.4,86,5,999,100,1,0,-9,122,122,122,0,1,1.3,météo très défavorable
2009-01-13,-1,-3,15,-3,-3,-2,0.7,77,7.375,1010,100,0,0,-8,122,122,122,0.6,1,1.3,météo très défavorable
2009-01-14,3,-1,33,1,2,3,4.2,84,7.75,1009,82,3,0,-4,122,122,116,3.5,1,1.3,météo très défavorable
2009-01-15,6,2,46,3,4,6,19.7,95,7.375,1005,100,6,5,-3,122,122,200,0.5,1,1.3,météo très défavorable
