DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-1,-7,24,-7,-2,-2,0.7,65,10,1028,20.375,0,0,-14,113,113,113,,,,météo très défavorable
2009-01-02,3,-4,18,-4,1,-2,0,81,10,1030,0.875,3,0,-9,113,113,113,,,,météo très défavorable
2009-01-03,4,-3,14,-3,3,0,0,78,10,1030,16.125,4,0,-6,113,116,113,,,,météo très défavorable
2009-01-04,5,-2,17,-2,5,0,0,82,10,1028,21.5,5,0,-4,116,113,113,,,,météo très défavorable
2009-01-05,3,-1,26,-1,3,0,0,83,10,1028,40.375,3,0,-4,113,119,116,,,,météo très défavorable
2009-01-06,3,-3,9,-3,2,0,0,76,10,1030,31.375,3,0,-6,116,116,116,,,,météo très défavorable
2009-01-07,4,-2,16,-2,3,-1,0,66,10,1030,19,4,0,-5,113,116,113,,,,météo très défavorable
2009-01-08,3,-2,18,-2,3,-1,0,59,10,1030,31.25,3,0,-5,116,119,113,,,,météo très défavorable
2009-01-09,2,-2,26,-2,2,-2,0,72,10,1027,29.875,2,0,-8,113,116,116,,,,météo très défavorable
2009-01-10,-2,-5,31,-5,-3,-3,0.6,71,10,1024,56.625,0,0,-13,119,113,119,,,,météo très défavorable
2009-01-11,-1,-5,33,-5,-2,-2,1.8,74,10,1024,78.25,0,0,-9,326,326,122,,,,météo très défavorable
2009-01-12,-2,-6,39,-6,-3,-3,2.8,79,10,1028,87.625,0,0,-14,119,326,122,,,,météo très défavorable
2009-01-13,0,-6,21,-6,-1,-3,0.1,72,10,1031,39.5,0,0,-11,116,116,113,,,,météo très défavorable
2009-01-14,0,-5,36,-2,-2,-5,1.7,76,10,1033,35.875,0,0,-12,326,113,113,,,,météo très défavorable
2009-01-15,-1,-8,10,-8,-3,-3,0,68,10,1034,0.25,0,0,-12,113,113,113,,,,météo très défavorable
2009-01-16,3,-3,20,-3,3,1,1.9,88,9.375,1031,56.125,3,0,-8,119,326,113,,,,météo très défavorable
2009-01-17,6,-1,12,-1,5,0,0,87,10,1029,22.875,6,0,-4,116,113,113,,,,météo très défavorable
2009-01-18,9,2,28,2,6,4,1.7,95,8.875,1023,52.25,9,5,-1,119,176,116,,,,météo très défavorable
2009-01-19,6,-1,26,-1,6,1,0,64,10,1025,1.375,6,0,-5,113,113,113,,,,météo très défavorable
2009-01-20,8,1,8,1,6,2,0,60,10,1026,35.75,8,0,-1,119,113,113,,,,météo très défavorable
2009-01-21,8,1,12,1,5,3,0,71,10,1023,37.625,8,0,0,116,116,113,,,,météo très défavorable
2009-01-22,9,1,22,1,7,4,0.4,84,9.875,1020,27.5,9,2,-2,116,113,113,,,,météo très défavorable
2009-01-23,1,-6,40,-3,-5,-6,2.7,71,10,1026,87.25,1,0,-15,122,326,119,,,,météo très défavorable
2009-01-24,-3,-5,38,-5,-3,-4,5.1,79,7,1028,96.375,0,0,-12,326,326,326,,,,météo très défavorable
2009-01-25,1,-4,27,-4,0,-2,2.8,83,9.375,1022,79.375,1,0,-8,326,326,116,,,,météo très défavorable
2009-01-26,1,-2,23,-2,0,-2,0.5,84,10,1027,66.625,1,0,-7,122,122,113,,,,météo très défavorable
2009-01-27,3,-7,9,-7,0,-3,0,84,10,1031,2.875,3,0,-10,113,113,113,,,,météo très défavorable
2009-01-28,7,-5,11,-5,5,-1,0,73,10,1029,4.625,7,0,-10,113,113,116,,,,météo très défavorable
2009-01-29,5,0,9,0,4,2,0.2,66,10,1026,35,5,0,-3,116,116,113,,,,météo très défavorable
2009-01-30,9,1,21,1,7,6,0,84,10,1022,12.25,9,4,-3,113,113,113,,,,météo très défavorable
2009-01-31,10,2,13,2,8,6,0,93,10,1027,15.5,10,3,-2,113,113,113,,,,météo très défavorable
2009-02-01,10,1,10,1,8,5,0,91,10,1030,19.25,10,3,-2,113,113,116,,,,météo très défavorable
2009-02-02,11,3,17,3,8,7,0.4,91,9.375,1028,56.625,11,6,0,119,119,116,,,,météo très défavorable
2009-02-03,10,4,9,4,7,6,0.8,93,9,1024,52,10,4,2,122,116,113,,,,météo très défavorable
2009-02-04,9,2,9,2,7,4,0,88,10,1023,5.75,9,1,1,113,113,113,,,,météo très défavorable
2009-02-05,8,1,15,1,8,5,0.1,88,10,1025,60.375,8,4,-1,116,119,119,,,,météo très défavorable
2009-02-06,8,1,10,1,6,5,0,92,10,1026,16.875,8,4,-1,113,116,113,,,,météo très défavorable
2009-02-07,9,1,19,1,8,4,0,87,10,1024,11.5,9,3,1,116,113,113,,,,météo très défavorable
2009-02-08,8,1,12,1,7,3,0,70,10,1027,13.5,8,0,-3,113,113,113,,,,météo très défavorable
2009-02-09,8,3,23,3,7,4,0,74,10,1022,38.875,8,1,0,116,116,113,,,,météo très défavorable
2009-02-10,7,2,15,2,6,5,0.5,93,9.375,1018,45,7,3,0,119,122,113,,,,météo très défavorable
2009-02-11,10,4,24,4,10,6,0.1,94,10,1015,21.875,10,5,1,116,113,113,,,,météo très défavorable
2009-02-12,12,1,26,1,12,11,1,71,9.25,1016,24.625,12,9,-2,113,113,263,,,,météo très défavorable
2009-02-13,14,8,46,14,14,8,13.2,94,7.75,1005,93.25,14,13,4,296,296,296,,,,météo défavorable
2009-02-14,8,2,15,2,8,5,0.2,87,10,1016,32.875,8,3,-1,113,116,116,,,,météo très défavorable
2009-02-15,3,-1,30,2,1,-1,0,88,10,1025,28.875,3,1,-8,113,116,116,,,,météo très défavorable
2009-02-16,0,-5,36,-5,-1,-1,0,48,10,1031,18,0,0,-12,116,113,113,,,,météo très défavorable
2009-02-17,1,-5,19,-5,-1,-2,0,50,10,1033,4.375,1,0,-11,113,113,113,,,,météo très défavorable
2009-02-18,3,-3,22,-3,3,0,0,65,10,1031,19,3,0,-7,113,113,113,,,,météo très défavorable
2009-02-19,5,-1,12,-1,5,1,3.8,85,9.625,1029,68.375,5,0,-5,119,116,317,,,,météo très défavorable
2009-02-20,2,-3,41,2,2,-3,2.2,92,10,1022,45,2,0,-10,326,122,113,,,,météo très défavorable
2009-02-21,4,-2,18,-2,2,0,0,73,10,1024,6.25,4,0,-3,113,113,113,,,,météo très défavorable
2009-02-22,8,-1,17,-1,5,4,0.2,84,10,1018,29.625,8,1,-4,116,116,113,,,,météo très défavorable
2009-02-23,12,1,12,1,9,8,0,67,10,1019,24.5,12,3,-1,113,113,113,,,,météo très défavorable
2009-02-24,9,4,10,4,8,8,1.3,94,5.375,1018,56.25,9,7,1,116,266,113,,,,météo très défavorable
2009-02-25,6,2,27,4,6,2,8.9,86,8.625,1023,51.375,6,4,-2,263,116,113,,,,météo très défavorable
2009-02-26,5,0,17,0,5,3,0,56,10,1025,41.75,5,0,-4,116,113,119,,,,météo très défavorable
2009-02-27,7,2,19,2,5,4,0,56,10,1024,29.875,7,0,-2,113,116,116,,,,météo très défavorable
2009-02-28,9,0,17,0,8,5,0,61,10,1026,19.5,9,0,-2,116,113,116,,,,météo très défavorable
2009-03-01,8,0,26,0,8,5,0,65,10,1029,16.75,8,0,-4,113,113,113,,,,météo très défavorable
2009-03-02,9,-2,14,-2,7,5,0.1,59,10,1030,35.375,9,0,-6,116,113,119,,,,météo très défavorable
2009-03-03,4,1,16,1,4,4,16.3,99,6.625,1025,90.25,4,2,0,338,332,122,,,,météo très défavorable
2009-03-04,8,0,10,0,7,6,0,84,10,1023,20.625,8,0,-1,116,113,113,,,,météo très défavorable
2009-03-05,8,3,14,3,8,6,5.4,97,9.375,1022,70.875,8,5,0,119,116,296,,,,météo très défavorable
2009-03-06,5,1,41,3,5,1,0.2,86,10,1025,15.5,5,4,-5,113,113,113,,,,météo très défavorable
2009-03-07,7,-2,15,-2,6,4,0,62,10,1027,20.5,7,0,-3,116,116,113,,,,météo très défavorable
2009-03-08,10,1,10,1,8,7,0,63,10,1024,44.875,10,0,-2,116,122,113,,,,météo très défavorable
2009-03-09,11,2,16,2,10,8,0,74,10,1021,20.5,11,3,0,113,119,113,,,,météo très défavorable
2009-03-10,8,0,24,0,7,5,0,57,10,1025,5.125,8,0,-4,113,113,113,,,,météo très défavorable
2009-03-11,10,0,15,0,7,8,0,50,10,1028,23,10,0,-4,116,116,113,,,,météo très défavorable
2009-03-12,14,2,14,2,12,10,1.6,52,9.875,1028,53.625,14,4,-1,116,116,119,,,,météo correcte
