DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,17,14,35,13,16,16,1.3,90,9.125,1026,36.75,17,14,12,116,113,113,,,,météo correcte
2009-01-02,16,14,31,13,15,15,1.6,92,7.125,1027,59.375,16,15,12,116,116,266,,,,météo correcte
2009-01-03,19,16,22,14,18,18,5.3,94,5.5,1026,74.375,19,18,15,116,266,266,,,,météo défavorable
2009-01-04,21,18,8,17,20,20,2.9,89,6.5,1021,50.875,21,18,18,113,263,266,,,,météo correcte
2009-01-05,20,19,13,18,20,20,5.2,90,7.25,1021,66.125,20,18,19,116,266,263,,,,météo défavorable
2009-01-06,22,20,9,18,21,21,5.3,85,9.25,1021,43.125,25,19,20,116,176,176,,,,météo favorable
2009-01-07,21,19,32,18,21,21,2.4,90,7.125,1021,30.875,24,20,19,113,113,263,,,,météo favorable
2009-01-08,20,18,32,17,19,19,2.5,92,5.75,1023,66.125,20,19,18,116,119,263,,,,météo défavorable
2009-01-09,18,14,38,12,16,17,1.4,93,7.125,1025,55.875,18,16,12,119,119,116,,,,météo correcte
2009-01-10,15,12,40,11,15,15,0,81,10,1026,2.375,15,12,9,113,113,113,,,,météo correcte
2009-01-11,15,12,14,11,14,14,0.5,86,9.125,1024,28.25,15,12,11,116,113,116,,,,météo correcte
2009-01-12,17,14,30,12,16,16,6.8,92,6.375,1030,76.5,17,15,12,263,266,266,,,,météo défavorable
2009-01-13,15,12,34,10,14,14,2.1,89,9.625,1031,37.125,15,13,9,116,113,113,,,,météo correcte
2009-01-14,15,12,29,10,15,14,0.3,81,9.375,1030,11.375,15,12,10,113,113,116,,,,météo correcte
2009-01-15,15,13,23,12,15,15,2.5,91,8,1030,56.625,15,14,11,116,119,263,,,,météo correcte
2009-01-16,19,16,11,14,18,18,1.3,86,8.375,1027,35.375,19,16,16,116,113,116,,,,météo favorable
2009-01-17,21,17,14,15,20,20,0.2,82,9.875,1024,24.5,21,17,17,113,116,113,,,,météo favorable
2009-01-18,23,17,10,15,23,22,0,71,10,1022,9,25,18,17,113,113,113,,,,météo favorable
