DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,9,4,11,5,8,5,5.2,96,6.5,1016,52.5,9,5,4,200,200,143,0.5,1,11.9,météo très défavorable
2009-01-02,6,3,13,4,6,4,2.6,95,6.25,1017,63.125,7,4,2,143,200,200,0.7,1,10.6,météo très défavorable
2009-01-03,11,2,12,4,11,6,1.1,93,7.25,1017,53.125,11,5,2,113,200,200,0,1,12.9,météo très défavorable
2009-01-04,8,4,9,5,7,5,10,92,6.875,1018,46,8,4,3,200,200,200,0.2,1,12.9,météo très défavorable
2009-01-05,12,3,6,5,12,5,1.2,94,7.5,1018,25.25,12,4,4,113,200,113,0.1,1,12.9,météo très défavorable
2009-01-06,14,2,6,4,14,5,0.1,92,7.375,1016,33.875,14,4,3,113,200,200,0,1,12.9,météo correcte
2009-01-07,12,2,9,4,12,6,1,90,8.75,1017,26.375,12,4,4,113,200,200,0,1,12.9,météo très défavorable
2009-01-08,10,4,13,5,10,5,1.5,94,8.75,1017,37.375,10,4,3,116,200,200,0,1,12.9,météo très défavorable
2009-01-09,11,4,13,4,11,5,4.4,96,7.25,1018,48.125,11,4,2,116,200,143,0,1,12.9,météo très défavorable
2009-01-10,10,3,15,4,10,5,1.2,94,6.375,1019,37,10,4,3,113,113,143,0.8,1,12.9,météo très défavorable
2009-01-11,8,4,15,4,7,5,1.2,96,6.25,1018,53.5,8,4,2,113,200,143,0.1,1,12.9,météo très défavorable
2009-01-12,8,1,16,4,8,4,0,94,6.875,1018,36.25,8,4,2,113,113,143,0,1,12.9,météo très défavorable
2009-01-13,5,2,15,4,4,3,0.4,93,6.625,1019,51.5,6,3,1,116,200,200,0,1,11.9,météo très défavorable
2009-01-14,10,-0,16,3,10,4,0,94,7.875,1019,30,10,4,2,113,113,200,0,1,12.9,météo très défavorable
2009-01-15,10,2,11,3,10,5,1.1,95,6.375,1019,43.625,10,5,1,116,200,143,0,1,12.9,météo très défavorable
2009-01-16,11,4,11,5,11,6,5.1,96,7.75,1018,43.125,11,5,4,200,200,200,2.1,1,12.9,météo très défavorable
2009-01-17,9,4,6,5,7,5,11.6,96,5.875,1019,67.375,9,5,4,200,200,143,4.4,1,11.9,météo très défavorable
2009-01-18,6,3,9,4,6,4,3.7,96,6.375,1020,51.125,6,4,4,200,200,143,1.1,1,12.9,météo très défavorable
2009-01-19,7,3,9,4,6,4,6.9,95,6.125,1019,58.125,7,4,2,200,200,143,0.3,1,12.9,météo très défavorable
2009-01-20,6,3,8,4,6,4,0.4,95,5.75,1020,50.875,6,4,2,116,200,143,0.4,1,12.8,météo très défavorable
2009-01-21,10,2,8,4,10,5,0.6,96,6.25,1019,52.75,10,5,2,116,200,143,0,1,12.8,météo très défavorable
2009-01-22,11,4,9,4,11,6,0.8,95,6.125,1019,44.75,11,5,3,116,200,143,0.7,1,12.8,météo très défavorable
2009-01-23,10,4,12,4,10,5,0.2,96,6.5,1020,45.875,10,5,3,200,200,143,0,1,12.8,météo très défavorable
2009-01-24,12,3,12,4,12,6,2.6,94,6.5,1018,41,12,5,3,200,113,143,0,1,12.8,météo très défavorable
2009-01-25,11,5,11,5,11,6,4,97,7.75,1016,35,11,5,4,113,200,143,0,1,12.8,météo très défavorable
2009-01-26,13,4,14,4,13,6,1.8,94,7.625,1017,38.375,13,5,2,113,113,143,0,1,12.8,météo correcte
2009-01-27,10,4,15,5,10,5,0.3,90,7.375,1018,30.875,10,3,3,113,116,113,0.3,1,12.8,météo très défavorable
2009-01-28,9,3,17,4,8,4,1,94,5.625,1017,45.875,9,4,1,116,200,143,0,1,12.8,météo très défavorable
2009-01-29,8,3,13,4,6,4,3.5,96,5.625,1019,49.5,8,4,2,116,200,143,0.4,1,12.8,météo très défavorable
2009-01-30,11,1,13,3,11,6,1.5,93,7.5,1019,38.5,11,5,1,113,113,200,0,1,12.8,météo très défavorable
2009-01-31,10,3,12,5,10,4,4.1,93,8.5,1018,43.25,10,4,3,200,200,200,0,1,12.8,météo très défavorable
2009-02-01,13,0,14,3,13,6,1.9,92,7.5,1017,38.125,13,5,2,113,200,200,0,1,12.8,météo très défavorable
2009-02-02,14,3,16,5,14,7,4.1,85,8.25,1016,32.25,14,5,4,113,113,200,0,1,12.8,météo correcte
2009-02-03,10,5,10,5,10,6,2.7,94,8.375,1017,43.625,10,5,4,200,200,200,0,1,12.8,météo très défavorable
2009-02-04,8,3,15,5,6,3,2,91,8.75,1019,33.375,8,4,2,116,200,113,0,1,12.8,météo très défavorable
2009-02-05,10,1,15,4,10,5,3.2,97,7.25,1020,35,10,5,2,113,113,248,0,1,12.8,météo très défavorable
2009-02-06,10,3,14,5,10,5,1.4,96,5.75,1018,53,11,5,3,116,200,143,0.3,1,12.8,météo très défavorable
2009-02-07,12,3,14,5,12,6,0.8,97,6.875,1018,40.75,12,5,3,113,113,143,0,1,12.8,météo très défavorable
2009-02-08,11,5,10,5,11,6,2.2,96,7.625,1017,53.75,11,6,4,200,200,143,0,1,12.7,météo très défavorable
2009-02-09,8,4,13,6,7,5,9,97,5.625,1018,64.25,8,6,3,143,200,143,0,1,11.9,météo très défavorable
2009-02-10,10,4,8,5,8,5,1.3,95,5,1017,53.375,10,5,5,200,200,143,0.8,1,12.7,météo très défavorable
2009-02-11,11,4,16,5,11,6,1,96,6.875,1018,40.75,11,5,3,116,200,143,0,1,12.7,météo très défavorable
