DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,27,14,7,15,27,19,0,30,10,1018,9.25,25,4,20,113,113,113,0,1,8.7,météo favorable
2009-01-02,28,14,8,16,28,21,0,41,10,1016,10.875,28,12,22,113,113,113,0,1,8.7,météo favorable
2009-01-03,28,16,10,17,28,22,0,59,10,1017,5.5,30,15,24,113,113,113,0,1,8.7,météo idéale
2009-01-04,27,18,12,18,27,21,0,33,10,1016,16.125,26,17,21,113,113,116,0,1,8.7,météo idéale
2009-01-05,23,16,15,18,23,18,0,37,10,1016,28.375,24,4,18,116,113,113,0,1,8.7,météo favorable
2009-01-06,24,13,14,13,24,17,0,30,10,1017,2.25,24,5,18,113,113,113,0,1,8.7,météo favorable
2009-01-07,24,13,19,14,24,16,0,27,10,1020,2.75,23,1,17,113,113,113,0,1,8.7,météo favorable
2009-01-08,23,11,21,12,23,16,0,25,10,1022,0.875,23,0,17,113,113,113,0,1,8.7,météo favorable
2009-01-09,24,12,18,13,24,16,0,30,10,1022,5.375,23,0,17,113,113,113,0,1,8.7,météo favorable
2009-01-10,25,13,22,14,25,17,0,25,10,1022,2.875,24,0,18,113,113,113,0,1,8.7,météo favorable
2009-01-11,24,13,17,13,24,17,0,25,10,1022,7.75,23,0,18,113,113,113,0,1,8.7,météo favorable
2009-01-12,26,13,15,14,26,18,0,22,10,1022,8.75,24,0,19,113,113,113,0,1,8.7,météo favorable
2009-01-13,27,15,15,15,27,20,0,19,10,1022,6.375,25,0,20,113,113,113,0,1,8.7,météo idéale
2009-01-14,27,15,19,15,27,19,0,24,10,1023,12,25,0,20,113,113,113,0,1,8.7,météo idéale
2009-01-15,20,14,24,18,19,15,0,64,10,1021,33.875,20,9,13,116,116,116,0,1,8.7,météo favorable
2009-01-16,14,12,17,13,14,13,1.3,85,9.75,1022,49.75,14,11,12,119,293,113,0,1,5.5,météo correcte
2009-01-17,23,11,15,12,23,17,0,64,10,1021,17.5,25,12,18,116,113,113,0,1,10.9,météo favorable
2009-01-18,25,15,13,15,25,19,0,42,10,1019,6.25,26,11,19,113,113,113,0,1,10.9,météo idéale
2009-01-19,25,13,19,13,25,17,0,28,10,1020,15.375,23,6,17,113,113,113,0,1,10.9,météo favorable
2009-01-20,25,13,18,13,25,18,0,38,10,1021,16.375,24,6,18,113,113,113,0,1,10.9,météo favorable
2009-01-21,27,15,14,15,27,21,0,26,10,1019,43.75,25,4,21,113,116,122,0,1,10.1,météo favorable
2009-01-22,27,18,12,19,27,22,0,28,10,1017,44.625,26,4,22,122,116,113,0,1,10.9,météo favorable
2009-01-23,27,18,23,19,27,18,0,46,10,1017,40.75,25,8,18,119,116,116,0,1,10.1,météo favorable
2009-01-24,23,16,18,16,23,20,0,54,10,1015,33.875,25,11,20,116,116,113,0,1,10.9,météo favorable
2009-01-25,26,13,13,15,26,17,0,38,10,1014,2.125,26,16,18,113,113,113,0,1,10.9,météo favorable
2009-01-26,26,12,9,14,26,17,0,42,10,1015,0.25,26,10,21,113,113,113,0,1,10.9,météo favorable
2009-01-27,26,12,13,14,26,20,0,31,10,1016,0,27,10,21,113,113,113,0,1,11,météo favorable
2009-01-28,27,14,13,15,27,19,0,30,10,1017,0,26,6,21,113,113,113,0,1,11,météo favorable
