DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,17,8,10,14,17,10,0,56,10,1018,4.5,17,4,13,113,113,113,0,1,8.7,météo correcte
2009-01-02,17,7,15,13,16,10,0,63,10,1019,2.25,17,6,13,113,113,113,0,1,8.7,météo correcte
2009-01-03,17,7,10,13,17,11,0,62,10,1019,1.875,17,6,12,113,113,113,0,1,8.7,météo correcte
2009-01-04,17,7,12,13,17,11,0,55,10,1017,3.5,17,6,12,113,113,113,0,1,8.7,météo correcte
2009-01-05,18,7,10,13,18,12,0,48,10,1016,7.75,18,2,12,113,113,113,0,1,8.7,météo favorable
2009-01-06,19,8,15,14,19,11,0,46,10,1018,5.25,19,3,12,113,113,113,0,1,8.7,météo favorable
2009-01-07,19,8,16,14,19,11,0,52,10,1021,3.5,19,4,12,113,113,113,0,1,8.7,météo favorable
2009-01-08,19,10,13,15,19,11,0,52,10,1023,4.625,19,4,14,113,113,113,0,1,8.7,météo favorable
2009-01-09,19,8,15,15,19,11,0,55,10,1023,7.875,19,6,13,113,113,113,0,1,8.7,météo favorable
2009-01-10,19,8,15,15,19,11,0,50,10,1021,1,19,6,13,113,113,113,0,1,8.7,météo favorable
2009-01-11,18,7,15,14,18,11,0,53,10,1020,1.5,18,5,12,113,113,113,0,1,8.7,météo favorable
2009-01-12,18,7,15,14,18,11,0,71,10,1022,5.125,18,8,13,113,113,113,0,1,8.7,météo favorable
2009-01-13,18,7,14,14,18,12,0,69,10,1024,5.75,18,8,13,113,113,113,0,1,8.7,météo favorable
2009-01-14,19,8,13,15,19,12,0,65,10,1023,2.5,20,8,14,113,113,113,0,1,8.7,météo favorable
2009-01-15,20,8,14,16,20,13,0,59,10,1022,5.875,20,8,15,113,113,113,0,1,8.7,météo favorable
2009-01-16,21,9,14,17,21,13,0,54,10,1022,14.875,23,6,15,116,113,113,0,1,8.7,météo favorable
2009-01-17,22,10,17,17,22,13,0,52,10,1020,10.875,23,7,15,113,113,113,0,1,8.7,météo favorable
2009-01-18,22,9,15,18,22,13,0,45,10,1019,0.25,22,4,15,113,113,113,0,1,8.7,météo favorable
2009-01-19,22,9,13,17,22,13,0,45,10,1018,0,23,5,15,113,113,113,0,1,8.7,météo favorable
2009-01-20,21,9,15,17,21,13,0,50,10,1016,0.125,23,5,15,113,113,113,0,1,8.7,météo favorable
2009-01-21,21,8,13,17,21,12,0,62,10,1017,0.5,21,9,16,113,113,113,0,1,8.7,météo favorable
2009-01-22,21,9,17,17,21,13,0,58,10,1016,2,24,7,15,113,113,113,0,1,8.7,météo favorable
2009-01-23,22,10,17,18,22,13,0,59,10,1015,0,24,8,15,113,113,113,0,1,8.7,météo favorable
2009-01-24,21,10,13,17,21,13,0,50,10,1016,9.125,23,7,15,113,113,113,0,1,8.7,météo favorable
2009-01-25,20,9,15,16,20,13,0,57,10,1016,12.75,21,8,16,113,113,113,0,1,8.7,météo favorable
2009-01-26,21,9,14,16,21,12,0,54,10,1014,1.625,21,7,15,113,113,113,0,1,8.7,météo favorable
2009-01-27,21,9,14,16,21,14,0,51,10,1015,3,23,6,16,113,113,113,0,1,8.7,météo favorable
