DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-3,-6,13,-4,-3,-5,1.9,98,1,1026,92.625,0,0,-9,260,143,260,1.6,1,3.1,météo très défavorable
2009-01-02,-5,-16,9,-12,-5,-8,0,96,4.75,1026,47.375,0,0,-11,113,119,143,0,1,5,météo très défavorable
2009-01-03,-6,-26,5,-21,-6,-26,0,88,10,1028,11.5,0,0,-17,113,113,113,0,1,8.4,météo très défavorable
2009-01-04,-6,-21,6,-15,-6,-13,0,97,2.5,1025,29.125,0,0,-13,143,143,260,0,1,8.4,météo très défavorable
2009-01-05,-7,-13,6,-13,-7,-11,0.1,98,4.25,1019,71,0,0,-12,119,119,260,0.1,1,3.1,météo très défavorable
2009-01-06,-6,-13,11,-9,-6,-10,0.8,99,3.75,1019,55.625,0,0,-12,260,260,116,0.6,1,5,météo très défavorable
2009-01-07,-3,-14,5,-11,-3,-7,0,100,1.25,1021,52.75,0,0,-9,260,260,260,0,1,5,météo très défavorable
2009-01-08,-5,-15,9,-15,-5,-8,0,98,0.75,1030,34.125,0,0,-15,260,260,143,0,1,8.4,météo très défavorable
2009-01-09,-3,-17,9,-11,-3,-17,0,97,7.75,1031,0.5,0,0,-11,113,143,113,0,1,8.4,météo très défavorable
2009-01-10,-1,-20,11,-12,-1,-6,0,97,6.75,1031,0.875,0,0,-12,113,143,113,0,1,8.7,météo très défavorable
2009-01-11,-1,-17,6,-17,-1,-11,0,97,6,1034,0.375,2,1,-8,113,143,113,0,1,8.7,météo très défavorable
2009-01-12,-0,-9,12,-6,-0,-5,0,98,6.75,1032,2.25,0,0,-7,113,260,113,0,1,8.7,météo très défavorable
2009-01-13,-0,-11,12,-7,-0,-7,0,98,4.5,1026,1.25,0,0,-9,113,260,143,0,1,8.7,météo très défavorable
2009-01-14,-3,-7,10,-4,-3,-7,0.1,99,1.75,1017,61.875,0,0,-8,260,260,260,0.1,1,6.9,météo très défavorable
2009-01-15,-1,-14,9,-14,-1,-6,0.4,100,0.25,1023,54.875,0,0,-7,260,260,260,0.3,1,6.9,météo très défavorable
2009-01-16,-1,-14,5,-10,-1,-14,0,99,0.25,1027,10.75,0,0,-7,143,260,260,0,1,8.7,météo très défavorable
2009-01-17,-0,-10,6,-10,-0,-6,0,98,1.5,1025,15.125,0,0,-6,143,260,143,0,1,8.7,météo très défavorable
2009-01-18,-1,-5,20,-5,-1,-2,0.7,99,7.625,1021,39.125,0,0,-8,116,116,260,0.1,1,8.7,météo très défavorable
2009-01-19,-0,-8,22,-7,-1,-0,0.7,98,6.375,1014,40.875,0,0,-11,143,116,116,0,1,8.7,météo très défavorable
2009-01-20,-0,-1,6,-1,-1,-1,3.2,100,6,1000,79.75,0,0,-3,119,260,260,0,1,3.4,météo très défavorable
2009-01-21,-0,-6,11,-2,-2,-5,0.9,100,1.125,1010,93.25,0,0,-8,260,260,260,0,1,3.6,météo très défavorable
2009-01-22,-2,-8,10,-8,-2,-5,0,98,2.5,1012,47.5,0,0,-8,260,260,113,0,1,8.7,météo très défavorable
2009-01-23,-2,-9,28,-6,-4,-2,2,99,8.375,1003,34.875,0,0,-13,113,122,116,1.7,1,5.3,météo très défavorable
2009-01-24,-3,-14,13,-11,-3,-8,0.8,99,4,995,45.125,0,0,-14,113,260,260,0.7,1,8.7,météo très défavorable
2009-01-25,-3,-7,9,-7,-3,-7,0.1,98,1.875,1003,54.75,0,0,-7,260,260,260,0.1,1,8.7,météo très défavorable
2009-01-26,-1,-10,9,-6,-1,-7,0,93,8,1004,28.5,0,0,-7,143,113,143,0,1,8.7,météo très défavorable
2009-01-27,-5,-12,13,-9,-5,-8,0.2,99,3.125,1014,76.5,0,0,-11,260,260,260,0.1,1,3.6,météo très défavorable
2009-01-28,-6,-10,9,-9,-6,-7,0,100,0,1017,96.5,0,0,-11,260,260,260,0,1,3.6,météo très défavorable
2009-01-29,-4,-8,12,-7,-4,-5,0,100,0,1020,96.75,0,0,-9,260,260,260,0,1,3.6,météo très défavorable
2009-01-30,-1,-19,9,-12,-1,-11,0,100,0,1021,58.25,0,0,-5,260,260,260,0,1,7,météo très défavorable
2009-01-31,-1,-6,9,-6,-1,-4,0.3,78,7.125,1019,35.25,0,0,-7,116,113,116,0.2,1,8.7,météo très défavorable
2009-02-01,-5,-8,15,-8,-5,-7,0.4,98,9,1012,51,0,0,-13,119,116,116,0.3,1,8.7,météo très défavorable
2009-02-02,1,-4,22,-1,1,-0,0,83,10,1008,25.5,1,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-02-03,3,-1,12,-0,3,-0,0,87,10,1001,33.625,3,1,-1,119,116,116,0,1,8.7,météo très défavorable
2009-02-04,-0,-8,9,-8,-0,-2,0,100,1.75,1002,45.5,0,0,-3,260,260,260,0,1,7,météo très défavorable
2009-02-05,-0,-3,18,-0,-0,-2,0.2,99,8.75,1003,49,0,0,-5,116,116,260,0,1,8.7,météo très défavorable
2009-02-06,1,-2,22,-2,-1,-2,0.1,99,8.75,1000,48.875,1,1,-5,116,116,116,0,1,5.4,météo très défavorable
2009-02-07,0,-10,15,-2,-0,-5,0,99,5,992,48.375,0,0,-4,113,260,260,0,1,7,météo très défavorable
2009-02-08,-4,-7,15,-4,-5,-6,0.5,100,3.375,1009,94.375,0,0,-11,260,119,260,0.4,1,3.7,météo très défavorable
2009-02-09,-1,-13,5,-13,-1,-4,0.5,95,4.625,1013,44.625,0,0,-9,260,113,116,0.4,1,8.7,météo très défavorable
2009-02-10,1,-7,26,-3,1,-5,0.6,100,8.875,1007,46.625,1,1,-8,116,200,116,0.5,1,7.1,météo très défavorable
2009-02-11,-5,-8,19,-7,-6,-7,0.8,99,4.875,1015,75.75,0,0,-14,260,119,260,0.7,1,3.8,météo très défavorable
2009-02-12,-7,-10,16,-9,-7,-9,1.1,99,3,1019,71.75,0,0,-15,260,260,260,0.9,1,3.8,météo très défavorable
2009-02-13,-9,-11,16,-11,-9,-9,0.9,99,4.625,1019,72.25,0,0,-16,260,260,260,0.7,1,5.4,météo très défavorable
2009-02-14,-8,-10,14,-10,-9,-8,0,99,2.5,1026,70.875,0,0,-15,260,260,260,0,1,5.4,météo très défavorable
2009-02-15,-9,-24,10,-13,-9,-24,0,98,1.5,1030,56.375,0,0,-16,260,143,260,0,1,8.7,météo très défavorable
2009-02-16,-4,-15,11,-15,-4,-6,0,99,0.5,1028,60.125,0,0,-10,260,260,260,0,1,5.5,météo très défavorable
2009-02-17,-4,-11,18,-6,-5,-6,1.5,99,7.125,1022,86.25,0,0,-11,119,119,122,1.3,1,3.8,météo très défavorable
2009-02-18,-11,-22,12,-22,-11,-19,0,98,2.75,1027,58.5,0,0,-18,260,143,260,0,1,8.7,météo très défavorable
2009-02-19,-9,-26,10,-26,-9,-19,0,98,1.25,1032,40,0,0,-16,260,260,260,0,1,7.1,météo très défavorable
2009-02-20,-4,-20,13,-11,-5,-6,0,99,1.25,1032,58.375,0,0,-12,260,260,260,0,1,3.9,météo très défavorable
2009-02-21,-3,-6,12,-5,-3,-5,0,99,0,1030,89,0,0,-9,260,260,260,0,1,3.9,météo très défavorable
2009-02-22,-2,-6,14,-6,-2,-4,0,99,3.75,1028,83.875,0,0,-9,260,260,260,0,1,3.9,météo très défavorable
2009-02-23,-4,-5,16,-4,-4,-5,0,99,5,1020,88.125,0,0,-10,122,119,260,0,1,3.9,météo très défavorable
2009-02-24,-5,-6,14,-5,-5,-5,2,100,1.75,1027,99.875,0,0,-10,260,260,260,1.7,1,3.9,météo très défavorable
2009-02-25,-2,-21,6,-21,-2,-11,0,98,0.25,1031,37.875,0,0,-7,260,260,260,0,1,8.7,météo très défavorable
2009-02-26,0,-10,15,-7,0,-5,0.1,99,3.875,1030,43.75,0,0,-5,113,116,260,0.1,1,5.5,météo très défavorable
2009-02-27,-2,-4,14,-3,-2,-2,0,99,3.75,1022,71.5,0,0,-8,119,260,260,0,1,4.1,météo très défavorable
2009-02-28,1,-7,13,-7,1,1,0,100,3.75,1022,76.5,1,1,-4,260,248,122,0,1,4.1,météo très défavorable
2009-03-01,-0,-2,10,-2,-0,0,0.6,100,3,1016,82,0,0,-3,143,260,248,0,1,5.7,météo très défavorable
2009-03-02,-0,-2,6,-0,0,-1,1.3,100,1.125,1017,95.5,0,0,-2,260,248,260,0,1,5.7,météo très défavorable
2009-03-03,-0,-6,4,-3,-1,-1,1.1,100,1.375,1017,79.625,0,0,-1,260,260,260,0.5,1,7.2,météo très défavorable
2009-03-04,-0,-3,21,-3,-1,0,0,99,10,1009,42.5,1,0,-7,116,116,116,0,1,11.6,météo très défavorable
2009-03-05,0,-5,10,-2,-1,-5,0,100,2.5,986,68.75,1,0,-7,260,260,260,0,1,5.8,météo très défavorable
2009-03-06,-3,-7,12,-6,-3,-4,0.3,99,3.125,1002,74.125,0,0,-8,119,260,260,0.3,1,5.8,météo très défavorable
2009-03-07,-4,-6,18,-5,-4,-6,0.6,99,2.375,1016,78.625,0,0,-11,260,260,260,0.5,1,5.8,météo très défavorable
2009-03-08,0,-14,8,-14,0,-2,0,100,0.25,1017,72.75,1,1,-6,260,248,260,0,1,7.3,météo très défavorable
2009-03-09,-3,-5,19,-4,-3,-5,0,99,4.75,1019,53,0,0,-11,119,260,260,0,1,11.6,météo très défavorable
2009-03-10,-1,-6,12,-5,-1,-2,0.5,99,1.75,1020,58.125,0,0,-7,260,260,260,0.4,1,8.7,météo très défavorable
2009-03-11,-2,-5,17,-4,-4,-5,0.2,99,7,1025,66.75,0,0,-11,119,116,260,0.1,1,8.7,météo très défavorable
2009-03-12,-1,-6,10,-6,-1,-2,1.5,99,3,1027,72.125,0,0,-8,260,260,119,1,1,8.8,météo très défavorable
2009-03-13,-0,-1,15,-1,-1,-1,0.3,100,4.875,1023,84.125,0,0,-6,119,260,260,0,1,5.9,météo très défavorable
2009-03-14,1,-6,8,-3,1,-2,0,100,0.75,1023,66.625,1,1,-2,143,248,260,0,1,5.9,météo très défavorable
2009-03-15,0,-4,11,0,-0,-2,0.7,100,2,1029,76.5,0,0,-5,248,260,260,0.2,1,6,météo très défavorable
2009-03-16,0,-3,8,-2,0,-3,0,100,0,1033,88.5,0,0,-4,260,248,260,0,1,6,météo très défavorable
2009-03-17,0,-12,9,-9,0,-1,0.1,100,1.25,1032,64.75,1,1,-3,113,248,260,0,1,6,météo très défavorable
2009-03-18,0,-11,12,-5,-0,-11,0,96,3,1033,34.875,0,0,-6,260,113,260,0,1,11.6,météo très défavorable
2009-03-19,-2,-17,13,-9,-2,-4,2.1,98,6.125,1027,45.125,0,0,-8,143,116,260,1.8,1,8.8,météo très défavorable
2009-03-20,-7,-13,14,-9,-7,-9,0,99,5,1031,67.75,0,0,-13,260,116,116,0,1,10.2,météo très défavorable
2009-03-21,-5,-17,12,-12,-6,-17,0,99,0.25,1030,48.375,0,0,-13,260,143,260,0,1,10.2,météo très défavorable
2009-03-22,-1,-21,14,-11,-1,-4,0,98,3,1029,20.5,0,0,-8,143,260,260,0,1,11.6,météo très défavorable
