DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,16,12,33,12,15,16,0.2,65,10,1002,26,16,9,10,116,113,113,0,1,15.8,météo correcte
2009-01-02,15,6,24,13,12,6,7.8,92,9.375,1002,43.625,15,11,3,113,119,116,0,1,15.6,météo correcte
2009-01-03,13,7,31,9,13,10,1.8,83,9.875,1011,46.375,13,8,6,116,116,116,0,1,15.4,météo correcte
2009-01-04,13,10,31,10,12,13,0.2,93,9,1016,76.625,13,12,10,119,122,116,0,1,10.6,météo défavorable
2009-01-05,18,12,24,12,18,13,1.8,92,9.75,1018,49.75,18,12,11,119,113,119,0,1,13.5,météo favorable
2009-01-06,18,12,36,14,18,15,1.1,94,8.375,1010,50.625,18,14,13,116,116,119,0,1,12.5,météo favorable
2009-01-07,19,14,31,14,18,17,0.6,91,9.375,1011,57,19,14,13,116,116,119,0,1,11.6,météo correcte
2009-01-08,20,13,28,14,18,19,8.8,94,6.625,1011,62.875,20,16,16,248,116,113,0,1,14.5,météo correcte
2009-01-09,17,10,24,14,17,12,6.2,95,7.5,1008,59.875,17,15,8,248,113,119,0,1,11.6,météo correcte
2009-01-10,12,10,13,10,11,12,0.4,83,9.375,1021,61.625,12,8,9,116,119,116,0,1,12.5,météo défavorable
2009-01-11,17,10,18,11,17,15,0,94,10,1020,36,17,13,12,116,113,116,0,1,14.5,météo correcte
2009-01-12,18,11,31,12,18,14,0.4,86,8.875,1018,37.5,18,15,10,116,113,116,0,1,14.5,météo favorable
2009-01-13,15,9,12,11,13,14,0.2,91,9,1018,40.625,15,11,10,119,116,113,0,1,13.5,météo correcte
2009-01-14,17,7,10,10,17,17,0,87,10,1017,12,17,12,11,113,113,113,0,1,14.5,météo correcte
2009-01-15,19,12,17,13,19,18,0.1,84,10,1010,53.625,19,15,16,116,119,122,0,1,11.5,météo correcte
2009-01-16,17,13,23,17,15,13,2.3,96,6.25,1004,77.625,17,15,12,116,122,143,0,1,9.5,météo défavorable
2009-01-17,16,12,13,15,15,13,4.9,95,7.375,998,58.5,16,14,11,143,119,143,0,1,11.5,météo correcte
2009-01-18,13,9,33,9,13,12,2.6,88,9.75,1000,50.75,13,10,7,113,116,119,0,1,11.5,météo correcte
2009-01-19,12,10,37,10,11,11,2.6,91,9.875,1009,87,12,9,7,122,119,122,0,1,9.5,météo défavorable
2009-01-20,13,9,26,9,11,13,2.5,92,8.25,1016,92.5,13,10,7,122,119,122,0,1,9.5,météo défavorable
2009-01-21,19,10,31,13,18,19,0.4,78,9.375,1017,36.75,19,14,16,116,116,116,0,1,14.5,météo favorable
2009-01-22,22,16,27,17,21,20,0.4,75,9.375,1019,43.25,25,15,18,119,116,116,0,1,14.5,météo favorable
2009-01-23,21,13,33,13,21,19,1,79,9.875,1019,14.625,24,14,17,113,113,116,0,1,13.5,météo favorable
2009-01-24,24,15,15,16,23,24,0,88,10,1019,26.25,26,19,17,116,113,113,0,1,14.5,météo idéale
2009-01-25,20,14,20,17,20,15,1.1,96,7.25,1020,52.75,20,15,14,113,119,143,0,1,10.4,météo correcte
2009-01-26,19,13,19,13,19,15,0.2,94,7,1020,63.5,19,15,13,143,119,113,0,1,11.4,météo correcte
2009-01-27,14,11,27,11,12,11,0.7,71,9.875,1020,59,14,10,8,116,119,119,0,1,10.4,météo correcte
2009-01-28,16,8,25,9,14,16,0,75,10,1020,34.375,16,9,9,116,116,116,0,1,13.5,météo correcte
2009-01-29,14,11,20,12,14,13,4.9,97,9.125,1017,67.875,14,14,11,122,122,116,0,1,11.4,météo défavorable
2009-01-30,17,10,18,11,16,17,1,95,9.875,1016,63.625,17,16,12,119,122,119,0,1,10.3,météo correcte
2009-01-31,16,16,21,16,16,16,2.3,98,7.625,1014,83.25,16,16,16,122,248,122,0,1,9.3,météo défavorable
2009-02-01,16,11,48,14,12,12,0.7,80,9,1015,88.25,16,14,7,122,122,119,0,1,9.3,météo défavorable
2009-02-02,13,9,19,9,12,13,0.1,78,10,1018,52,13,7,7,122,119,113,0,1,12.4,météo correcte
2009-02-03,17,9,26,10,15,15,1.1,86,9.25,1016,50.375,17,11,8,116,113,119,0,1,11.3,météo correcte
2009-02-04,15,9,16,11,15,13,1.2,88,9.875,1017,36.375,15,11,7,116,113,113,0,1,14.5,météo correcte
