DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,26,0,19,23,25,24,0,75,10,1018,7.875,27,20,24,113,113,113,0,1,10.9,météo favorable
2009-01-02,27,0,17,23,27,24,0,74,10,1018,17.25,28,20,24,113,113,116,0,1,10.9,météo favorable
2009-01-03,27,0,21,24,27,24,0,73,10,1017,8.75,29,20,25,113,113,113,0,1,10.9,météo favorable
2009-01-04,27,0,17,24,27,25,0.1,81,10,1018,20.375,29,22,25,116,113,113,0,1,10.9,météo favorable
2009-01-05,27,0,16,23,27,23,0,81,10,1019,2.5,28,21,23,113,113,113,0,1,10.9,météo favorable
2009-01-06,27,0,23,23,27,25,0,76,10,1015,1.625,29,21,25,113,113,113,0,1,10.9,météo favorable
2009-01-07,29,0,14,25,29,24,0.5,85,9.875,1014,25.375,33,23,24,116,113,113,0,1,11,météo favorable
2009-01-08,28,0,12,24,28,25,0.1,84,10,1016,15.125,31,22,25,113,113,113,0,1,10.9,météo favorable
2009-01-09,27,0,20,25,26,25,0.2,83,9.875,1019,21.625,29,22,25,116,113,113,0,1,11,météo favorable
2009-01-10,27,0,24,25,27,25,0.4,83,9.875,1019,10.25,30,22,25,113,113,113,0,1,11,météo favorable
2009-01-11,28,0,15,24,28,24,0,80,10,1020,8.375,30,22,24,113,113,113,0,1,11,météo favorable
2009-01-12,27,0,17,23,27,24,0.4,84,9.75,1018,35.375,29,22,24,113,116,119,0,1,10.1,météo favorable
2009-01-13,24,0,17,23,22,22,12.4,93,9.25,1019,79.5,26,22,22,119,122,116,0,1,5.5,météo très défavorable
2009-01-14,23,0,27,23,23,22,0.4,77,10,1022,79.375,25,20,22,119,119,122,0,1,7,météo très défavorable
2009-01-15,23,0,29,23,23,23,0.2,76,9,1024,64,25,18,23,119,119,116,0,1,7,météo très défavorable
2009-01-16,23,0,31,22,23,22,0.2,76,10,1026,54.625,25,18,22,116,116,119,0,1,8.6,météo favorable
2009-01-17,24,0,30,22,24,22,0.8,79,10,1025,74.625,26,19,22,119,119,119,0,1,5.5,météo très défavorable
2009-01-18,25,0,15,21,25,22,0.4,78,9.875,1023,25.875,26,18,22,113,116,113,0,1,11,météo favorable
2009-01-19,27,0,19,20,26,24,0,66,10,1019,11.125,27,18,23,113,113,113,0,1,11,météo favorable
2009-01-20,25,0,28,21,25,23,0,65,10,1018,6.375,26,18,23,113,113,113,0,1,11,météo favorable
2009-01-21,22,0,22,20,22,20,0.4,74,10,1022,45.75,25,15,20,116,116,119,0,1,8.6,météo favorable
2009-01-22,23,0,19,19,22,21,0.1,73,10,1023,56.25,25,16,21,116,116,119,0,1,8.6,météo très défavorable
2009-01-23,23,0,21,20,23,21,0,66,10,1023,8.75,25,16,21,113,113,113,0,1,11,météo favorable
2009-01-24,24,0,18,19,24,21,0,67,10,1022,0,26,15,21,113,113,113,0,1,11.1,météo favorable
2009-01-25,25,0,17,20,25,22,0,72,10,1020,5.875,26,17,22,113,113,113,0,1,11.1,météo favorable
2009-01-26,26,0,24,22,26,23,0.1,79,10,1021,17.5,27,20,23,113,113,116,0,1,11.1,météo favorable
2009-01-27,25,0,24,24,25,24,2.4,87,10,1021,43.75,27,22,24,119,116,113,0,1,10.1,météo favorable
