DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,28,27,30,27,28,28,1.8,81,9.875,1013,20.5,33,24,27,353,176,113,0,1,11.6,météo favorable
2009-01-02,28,27,29,27,28,28,0.3,79,9.875,1012,15.25,33,24,28,176,113,113,0,1,11.6,météo idéale
2009-01-03,29,27,26,27,29,28,0,78,10,1012,6.625,32,24,28,113,113,113,0,1,11.6,météo idéale
2009-01-04,28,27,29,27,28,28,0,78,10,1012,10.375,32,24,28,113,113,113,0,1,11.6,météo idéale
2009-01-05,29,27,30,27,28,28,1.2,79,9.875,1012,15.75,32,24,28,113,176,113,0,1,11.6,météo favorable
2009-01-06,28,27,29,27,28,27,0,75,10,1012,10,31,23,27,113,113,113,0,1,11.6,météo idéale
2009-01-07,28,27,24,27,28,27,0,77,10,1012,13.75,32,23,27,116,113,113,0,1,11.6,météo idéale
2009-01-08,28,26,21,26,28,27,0.1,78,10,1013,12.25,32,23,27,113,113,113,0,1,11.6,météo idéale
2009-01-09,29,26,19,26,28,28,0,77,10,1013,5,32,23,27,113,113,113,0,1,11.6,météo idéale
2009-01-10,29,27,29,27,29,28,0.9,80,9.875,1013,15.125,34,24,28,113,176,113,0,1,11.6,météo favorable
2009-01-11,29,27,32,27,29,28,0,78,10,1012,9.875,33,24,28,113,113,113,0,1,11.6,météo idéale
2009-01-12,29,27,31,27,29,28,0,77,10,1012,9.75,34,24,28,113,113,113,0,1,11.6,météo idéale
2009-01-13,29,28,35,28,29,28,0.4,78,10,1013,11.25,34,24,28,113,113,113,0,1,11.6,météo idéale
2009-01-14,29,28,35,28,29,28,0.1,78,10,1013,11.375,34,24,28,113,113,113,0,1,11.6,météo idéale
2009-01-15,29,27,37,27,29,28,1.6,78,9.75,1013,26.25,33,24,28,176,176,113,0,1,11.6,météo favorable
2009-01-16,28,27,32,27,28,28,5.5,81,9.75,1013,29.875,32,24,27,353,176,113,0,1,11.6,météo favorable
2009-01-17,28,27,28,27,28,28,2.4,78,9.75,1014,23.875,32,24,27,176,113,113,0,1,11.6,météo idéale
2009-01-18,28,27,28,27,28,28,0,77,10,1013,6.5,32,23,27,113,113,113,0,1,11.6,météo idéale
2009-01-19,28,27,27,27,28,28,1.3,80,9.75,1012,15.125,33,24,27,176,176,113,0,1,11.6,météo favorable
2009-01-20,29,27,27,27,29,28,0.1,78,10,1011,10.875,33,24,28,113,113,113,0,1,11.6,météo idéale
2009-01-21,29,27,22,27,28,28,0.7,78,10,1011,14.875,33,24,28,113,113,113,0,1,11.6,météo idéale
2009-01-22,29,27,25,27,29,28,0.1,79,10,1013,12.75,33,24,28,113,113,113,0,1,11.6,météo idéale
2009-01-23,29,27,24,27,29,28,0,77,10,1012,17.25,33,24,28,113,116,113,0,1,11.6,météo favorable
2009-01-24,29,27,21,27,29,28,0,78,10,1012,11,33,24,28,113,113,113,0,1,11.6,météo idéale
2009-01-25,29,26,17,26,28,28,1.2,79,9.875,1013,15,33,24,28,176,113,113,0,1,11.6,météo idéale
2009-01-26,28,26,11,26,28,28,4.3,84,9.625,1014,49.5,32,24,27,356,353,113,0,1,10.2,météo correcte
2009-01-27,28,26,14,26,28,28,2.2,81,9.75,1014,26.5,32,24,27,176,176,113,0,1,11.6,météo favorable
2009-01-28,29,26,15,26,29,28,0.5,78,9.375,1013,35.5,32,24,28,353,113,200,0,1,11.6,météo favorable
2009-01-29,28,26,13,26,28,28,1.8,81,9.875,1012,20,32,24,27,176,113,113,0,1,11.6,météo idéale
2009-01-30,29,27,22,27,29,28,0.8,78,9.875,1012,15.25,34,24,28,176,113,113,0,1,11.6,météo idéale
2009-01-31,29,27,26,27,29,29,0.4,78,9.875,1011,20.5,34,24,28,176,113,113,0,1,11.6,météo idéale
2009-02-01,29,27,24,27,29,28,3.7,80,9.75,1011,30.375,33,25,28,353,176,176,0,1,11.6,météo favorable
2009-02-02,28,27,27,27,28,28,7.8,84,9,1013,37.75,32,24,27,356,356,176,0,1,11.6,météo correcte
2009-02-03,29,27,31,27,29,29,0.6,79,9.75,1013,21,34,24,27,176,176,113,0,1,11.6,météo favorable
2009-02-04,28,27,27,27,28,28,3.9,82,9.75,1013,43.25,33,24,27,353,353,176,0,1,10.2,météo correcte
2009-02-05,29,27,31,27,29,29,1.3,78,9.75,1013,27.75,34,24,28,116,176,113,0,1,11.6,météo favorable
2009-02-06,29,28,29,28,29,29,0.1,76,10,1012,12.125,34,24,28,113,113,113,0,1,11.6,météo idéale
2009-02-07,29,27,23,27,29,29,2.8,82,9.75,1010,40.375,34,24,28,353,353,176,0,1,10.2,météo correcte
2009-02-08,29,28,28,28,28,29,1.2,79,10,1011,34,34,24,28,116,353,113,0,1,10.2,météo correcte
2009-02-09,29,28,25,28,29,29,2.2,79,9.875,1014,30.125,34,24,28,176,113,113,0,1,10.2,météo favorable
2009-02-10,29,27,25,27,29,28,4.2,78,9.75,1014,31.25,33,24,28,353,176,176,0,1,11.6,météo favorable
2009-02-11,29,27,21,27,29,28,0.4,77,10,1014,9.875,33,24,28,113,113,113,0,1,11.6,météo idéale
2009-02-12,29,27,19,27,29,28,0,77,10,1014,8.125,33,24,28,113,113,113,0,1,11.6,météo idéale
2009-02-13,28,27,20,27,28,28,1.6,79,9.875,1013,15.75,32,24,27,176,113,113,0,1,11.6,météo idéale
2009-02-14,27,26,12,26,27,27,4.6,79,9.5,1014,28.125,31,23,27,356,176,113,0,1,11.6,météo favorable
2009-02-15,28,25,10,25,27,28,3.4,83,9.75,1013,30.375,31,23,26,353,176,113,0,1,11.6,météo favorable
2009-02-16,27,26,11,26,27,27,6.9,86,9.25,1011,46.875,31,24,26,356,356,113,0,1,8.8,météo correcte
2009-02-17,27,26,11,26,27,27,2.8,83,9.875,1012,36.25,31,24,26,353,176,116,0,1,11.6,météo favorable
2009-02-18,28,26,15,26,27,28,4.7,82,9.375,1012,34.5,31,24,27,356,176,113,0,1,11.6,météo favorable
2009-02-19,28,26,18,26,27,28,3.1,81,9.625,1011,22.125,32,24,27,176,176,113,0,1,11.6,météo favorable
2009-02-20,28,26,17,26,28,28,2.5,81,9.75,1011,19.625,33,24,27,176,176,113,0,1,11.6,météo favorable
2009-02-21,29,26,20,26,28,28,3.6,80,9.5,1012,16.25,33,24,27,356,176,113,0,1,11.6,météo favorable
2009-02-22,29,27,20,27,29,29,4.4,80,9.5,1010,16.625,34,24,28,356,176,113,0,1,11.6,météo favorable
2009-02-23,29,27,15,27,28,29,2.1,80,9.75,1010,26.875,33,25,28,176,176,116,0,1,11.6,météo favorable
2009-02-24,28,26,13,26,28,28,6.6,82,9.375,1011,32.625,32,24,27,356,176,116,0,1,11.6,météo favorable
2009-02-25,29,26,15,26,29,29,2.4,84,9.75,1013,14.625,34,24,27,176,113,113,0,1,11.6,météo idéale
2009-02-26,29,26,15,26,28,28,1.8,82,10,1012,17.875,34,24,28,353,113,113,0,1,11.6,météo idéale
2009-02-27,28,26,17,26,28,28,1.7,81,9.75,1011,21.25,33,24,28,176,176,113,0,1,11.6,météo favorable
2009-02-28,29,27,13,27,28,28,3.5,80,9.75,1013,20.5,33,24,28,176,176,113,0,1,11.6,météo favorable
2009-03-01,29,27,16,27,29,29,5.1,81,9.375,1013,22.75,34,25,28,176,113,113,0,1,11.6,météo favorable
2009-03-02,28,27,15,27,28,28,6.1,83,9.75,1013,34.125,33,25,28,176,176,353,0,1,11.6,météo favorable
2009-03-03,28,26,13,26,28,28,4.3,82,9.625,1013,35.125,33,24,27,353,176,176,0,1,11.6,météo favorable
2009-03-04,29,26,19,26,29,29,2.4,81,9.875,1013,21.5,34,24,28,353,113,113,0,1,11.6,météo idéale
2009-03-05,29,28,23,28,29,29,1.3,77,9.875,1013,16,34,24,29,113,176,113,0,1,11.6,météo favorable
2009-03-06,29,28,20,28,29,29,1,76,9.875,1013,12.375,33,24,29,113,176,113,0,1,11.6,météo favorable
2009-03-07,29,27,18,27,29,29,2.4,74,9.625,1014,15.25,33,24,28,176,176,113,0,1,11.6,météo favorable
2009-03-08,30,27,14,27,29,29,0.4,77,9.875,1014,7.75,35,24,28,176,113,113,0,1,11.6,météo favorable
2009-03-09,30,27,16,27,29,29,0.5,81,9.875,1013,24.125,34,24,28,113,176,113,0,1,11.6,météo favorable
2009-03-10,28,27,9,27,28,28,6.2,82,9.5,1012,43,33,24,28,353,356,200,0,1,11.6,météo correcte
