DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,25,21,8,21,25,23,1.5,98,4,1011,90.5,27,23,23,248,119,248,0,5,6,météo défavorable
2009-01-02,23,22,6,22,23,22,9.3,99,4.5,1011,99.5,26,23,22,248,248,248,0,5,6,météo défavorable
2009-01-03,22,21,4,21,22,21,28.6,99,3.375,1012,93.625,25,22,21,248,248,248,0,5,6,météo très défavorable
2009-01-04,25,21,5,21,25,22,3.9,99,3.75,1012,87.625,28,23,22,248,119,248,0,5,6,météo défavorable
2009-01-05,25,20,7,20,25,21,0,100,3.75,1012,85.75,27,23,21,248,116,248,0,5,7.4,météo défavorable
2009-01-06,29,20,6,20,29,22,5.6,97,4.75,1012,65.375,31,24,22,248,116,143,0,5,10.2,météo défavorable
2009-01-07,29,19,9,20,29,22,3.1,98,3.375,1013,76.25,31,23,23,248,113,248,0,5,10.2,météo défavorable
2009-01-08,27,19,12,20,27,22,5.1,99,4.625,1014,75.125,30,24,23,248,116,248,0,5,8.8,météo défavorable
2009-01-09,25,20,5,20,25,21,0,94,5.25,1014,65.25,27,21,21,248,116,116,0,5,8.8,météo défavorable
2009-01-10,22,19,5,19,22,20,0,98,4.5,1014,75.25,25,20,20,143,119,248,0,5,6,météo défavorable
2009-01-11,27,18,8,18,27,22,1.2,98,5.25,1014,75,29,22,22,143,119,248,0,5,7.4,météo défavorable
2009-01-12,27,19,4,20,27,21,0.3,100,3.625,1016,84.125,29,22,21,248,116,248,0,5,8.8,météo défavorable
2009-01-13,24,19,12,19,24,21,0.2,97,4,1016,93.5,26,22,21,248,122,248,0,5,6,météo défavorable
2009-01-14,24,20,7,20,24,21,1.2,97,5,1016,94.25,26,21,21,248,122,248,0,5,6,météo défavorable
2009-01-15,27,19,9,19,27,21,0.3,96,3.875,1016,72.75,29,22,21,248,119,143,0,5,10.2,météo défavorable
2009-01-16,27,18,8,19,27,22,0.2,91,5.25,1016,79.5,28,20,22,248,119,116,0,5,8.8,météo défavorable
2009-01-17,29,20,10,20,29,23,1,92,7.875,1015,50.875,31,22,23,116,116,119,0,5,10.2,météo favorable
2009-01-18,29,19,6,19,29,21,0.3,95,5.125,1014,51,31,21,22,248,116,143,0,5,11.6,météo favorable
2009-01-19,30,19,8,19,30,25,0.1,73,6.75,1013,45,31,20,25,143,113,122,0,5,10.2,météo favorable
2009-01-20,29,20,6,20,29,23,1.1,84,7,1012,51.625,32,21,23,143,116,116,0,5,8.8,météo favorable
2009-01-21,30,20,7,20,30,24,2.8,90,9.625,1012,48.375,32,23,24,116,116,116,0,6,10.2,météo favorable
2009-01-22,31,20,6,20,31,25,0,70,8,1011,24.125,33,20,25,113,113,116,0,5,11.6,météo idéale
2009-01-23,30,19,10,20,30,24,0,81,10,1011,25.125,32,20,24,113,113,116,0,6,11.6,météo idéale
2009-01-24,27,21,7,21,27,22,1.4,100,7.5,1012,48.875,30,23,22,113,116,248,0,6,10.2,météo favorable
2009-01-25,24,21,6,22,24,22,5.1,100,3.875,1012,96.625,26,22,22,143,119,248,0,5,6,météo défavorable
2009-01-26,28,21,8,21,28,23,1.7,97,3.75,1012,81.625,30,24,23,248,116,248,0,5,8.8,météo défavorable
2009-01-27,30,19,6,20,30,22,1.8,92,6.25,1012,55.625,31,23,22,143,119,119,0,5,8.8,météo correcte
2009-01-28,31,19,5,19,31,23,1,86,6.5,1012,62.875,32,21,23,143,116,116,0,5,8.8,météo correcte
2009-01-29,29,21,5,21,29,23,1.8,96,9,1012,65.25,31,23,23,116,122,143,0,6,8.8,météo défavorable
2009-01-30,27,21,5,21,27,22,0,94,5.75,1011,78.625,29,22,22,143,116,122,0,5,8.8,météo défavorable
2009-01-31,25,21,5,21,24,22,0,95,4.5,1012,79.25,27,21,22,248,116,116,0,5,8.8,météo défavorable
2009-02-01,29,20,6,20,29,23,0,79,8,1013,42.375,30,20,23,116,116,113,0,5,11.6,météo favorable
2009-02-02,31,19,6,19,31,24,0.1,73,8,1013,25.875,31,19,24,113,113,116,0,5,10.2,météo idéale
2009-02-03,31,20,4,20,31,23,0.1,87,10,1012,40.375,32,20,23,113,116,122,0,6,10.2,météo favorable
2009-02-04,30,20,5,21,30,22,1.6,95,7,1013,51.5,32,21,22,116,116,143,0,5,10.2,météo favorable
2009-02-05,29,20,3,21,29,23,3.1,94,6.875,1012,54.375,32,22,23,143,116,122,0,5,10.2,météo favorable
2009-02-06,23,21,7,21,22,21,5.1,96,8.375,1013,65.625,25,21,21,122,116,116,0,5,10.2,météo défavorable
2009-02-07,29,19,7,20,29,23,0.9,85,6.5,1012,71.125,31,22,23,143,119,122,0,5,7.4,météo défavorable
2009-02-08,30,20,7,20,30,23,1.4,89,9,1013,55.375,32,22,23,119,116,116,0,5,8.8,météo correcte
2009-02-09,31,21,10,21,31,24,0.1,78,8,1013,48.875,32,21,24,116,116,119,0,5,10.2,météo favorable
2009-02-10,32,21,4,21,32,24,2.8,85,9.5,1012,48.625,34,22,24,116,116,116,0,7,11.6,météo favorable
2009-02-11,31,21,4,22,31,22,1.1,97,8.875,1011,39.5,34,23,22,116,116,143,0,6,11.6,météo favorable
2009-02-12,31,20,4,21,31,22,2.5,97,6.375,1011,50.5,34,23,22,143,119,116,0,5,10.2,météo correcte
2009-02-13,32,20,4,22,32,24,1.5,94,4,1011,79.125,36,25,24,248,119,143,0,5,8.8,météo défavorable
2009-02-14,31,20,5,22,31,24,4.9,96,4.875,1010,68.625,34,24,24,248,116,143,0,5,8.8,météo défavorable
2009-02-15,33,20,4,22,33,22,0.3,86,7.875,1010,16.375,34,21,22,143,113,113,0,6,11.6,météo idéale
2009-02-16,29,21,7,22,28,23,4.3,100,6.375,1011,42.75,31,25,23,116,116,248,0,5,10.2,météo favorable
2009-02-17,32,21,4,22,32,23,5.7,94,5.875,1011,65.875,36,25,23,248,116,116,0,5,11.6,météo défavorable
