DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,1,0,22,-0,0,-0,0.9,89,9.25,1011,99.875,1,0,-6,326,371,371,0.7,1,3.5,météo très défavorable
2009-01-02,1,0,27,0,1,0,5.9,96,6.875,1017,100,1,0,-5,338,317,338,3.4,1,3.5,météo très défavorable
2009-01-03,2,0,19,-1,1,2,1.1,92,7.75,1022,100,2,1,-4,332,332,122,0.9,1,3.5,météo très défavorable
2009-01-04,3,0,17,0,3,0,0,84,10,1024,49.875,3,0,-2,119,113,113,0,1,8.7,météo très défavorable
2009-01-05,3,0,10,1,3,2,0,86,10,1022,61,3,1,0,119,119,116,0,1,5.3,météo très défavorable
2009-01-06,2,0,17,1,2,0,0.4,89,9,1025,70.875,2,0,-3,116,119,338,0.3,1,5.3,météo très défavorable
2009-01-07,2,0,13,-1,2,-1,0.1,83,10,1027,54.25,3,0,-3,326,113,113,0.1,1,7,météo très défavorable
2009-01-08,3,0,11,-0,3,0,0,78,10,1029,31.5,3,0,1,116,113,113,0,1,8.7,météo très défavorable
2009-01-09,3,0,15,1,3,2,4.1,90,8.75,1024,74.75,3,1,-2,293,296,266,0,1,3.5,météo très défavorable
2009-01-10,3,0,36,1,-1,-3,6.3,94,9.375,1010,91.5,3,2,-9,320,122,122,0,1,3.6,météo très défavorable
2009-01-11,1,0,6,-3,-1,-0,0,86,10,1015,96.375,1,0,-4,122,119,122,0,1,3.6,météo très défavorable
2009-01-12,1,0,25,-1,-0,-1,5.2,91,8,1014,73.25,1,0,-6,335,338,371,4.3,1,3.6,météo très défavorable
2009-01-13,1,0,36,-1,0,1,2.5,89,8.625,1020,82.125,1,0,-7,116,122,371,2.1,1,5.3,météo très défavorable
2009-01-14,3,0,28,-2,3,0,1,82,9.625,1022,52.875,3,0,-4,323,116,119,0.8,1,8.7,météo très défavorable
2009-01-15,-2,0,26,-4,-3,-3,1.8,93,8,1025,100,0,0,-10,338,122,122,1.5,1,3.6,météo très défavorable
2009-01-16,2,0,18,-3,1,2,1.6,93,9.875,1026,90,2,1,-5,119,317,353,0,1,3.6,météo très défavorable
2009-01-17,2,0,17,1,1,-0,3.2,90,8.875,1029,79.25,2,1,-4,371,332,116,1,1,3.7,météo très défavorable
2009-01-18,6,0,18,-1,6,4,0,81,10,1029,24.25,6,3,-1,113,116,116,0,1,8.7,météo très défavorable
