DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,23,13,16,13,23,20,4.3,81,9.5,1014,21.75,25,17,19,113,116,356,0,1,11.6,météo favorable
2009-01-02,24,13,18,13,23,22,0.2,80,10,1014,16.25,25,15,18,113,113,113,0,1,11.6,météo favorable
2009-01-03,25,13,14,13,23,22,0,77,10,1015,14.875,26,15,18,113,113,113,0,1,11.6,météo favorable
2009-01-04,24,15,11,15,22,22,6.5,83,9.375,1015,39.375,25,16,18,119,176,356,0,1,11.6,météo favorable
2009-01-05,23,15,13,16,22,22,5.4,81,8.75,1014,44.5,25,17,18,293,116,176,0,1,11.6,météo favorable
2009-01-06,24,14,19,15,23,22,2.4,81,8.625,1012,22.5,26,16,19,176,113,176,0,1,11.6,météo favorable
2009-01-07,23,15,13,15,22,21,1.4,78,9.875,1012,31.625,25,16,19,113,113,176,0,1,11.6,météo favorable
2009-01-08,21,14,15,14,20,19,5.4,89,8.25,1013,37.875,21,17,17,176,176,356,0,1,11.6,météo favorable
2009-01-09,22,15,13,15,21,21,5.3,82,9.5,1014,25,25,17,19,176,176,176,0,1,11.6,météo favorable
2009-01-10,23,14,10,14,23,23,0.6,80,9.875,1014,14.375,25,15,18,113,176,113,0,1,11.6,météo favorable
2009-01-11,25,13,13,13,24,21,0,71,10,1015,8.75,26,16,19,113,113,113,0,1,11.6,météo favorable
2009-01-12,25,13,16,13,23,23,0,77,10,1014,10.125,26,14,18,113,113,113,0,1,11.6,météo favorable
2009-01-13,25,13,14,13,24,24,0,64,10,1015,7.5,26,14,19,113,113,113,0,1,11.6,météo favorable
2009-01-14,25,13,15,14,24,22,3.3,71,9.5,1014,14.375,26,17,20,113,176,356,0,1,11.6,météo favorable
2009-01-15,24,15,15,15,23,22,3.5,78,10,1014,26.25,25,16,19,113,353,353,0,1,11.6,météo correcte
2009-01-16,20,15,8,15,15,20,7.2,94,9.125,1013,40.375,21,17,15,263,299,353,0,1,10.2,météo correcte
2009-01-17,23,14,12,14,20,22,1.1,89,9.875,1014,37.5,25,16,17,176,116,353,0,1,10.2,météo favorable
2009-01-18,23,15,13,15,22,22,2.1,82,8.75,1013,42.75,25,17,18,116,116,386,0,1,11.6,météo favorable
2009-01-19,24,15,13,15,21,22,4.6,83,9.5,1013,30.375,25,17,18,113,353,356,0,1,11.6,météo correcte
2009-01-20,21,14,11,14,18,19,2.7,94,6.25,1013,35.75,21,16,16,143,263,353,0,1,11.6,météo correcte
2009-01-21,21,15,11,15,21,19,1.4,87,6,1014,51.375,21,17,18,143,116,353,0,1,10.2,météo favorable
2009-01-22,20,16,9,16,20,19,12.7,90,7.875,1014,43.75,20,17,18,176,356,356,0,1,10.2,météo correcte
2009-01-23,21,15,11,15,19,20,0.6,89,8,1014,41,24,17,17,113,116,386,0,1,10.2,météo favorable
2009-01-24,23,14,14,14,22,21,4.1,87,5.375,1013,35.375,25,17,17,143,176,356,0,1,11.6,météo favorable
2009-01-25,22,13,15,13,21,19,9.4,89,7.375,1014,46.125,24,17,17,176,353,356,0,1,8.8,météo correcte
2009-01-26,19,15,12,15,18,19,5.4,93,6.375,1015,53.375,19,17,16,176,293,356,0,1,8.8,météo correcte
2009-01-27,21,16,13,16,19,21,4.1,85,9.625,1015,39.375,21,17,18,113,353,176,0,1,10.2,météo correcte
2009-01-28,21,15,10,15,19,19,6.3,90,7.5,1014,61.875,21,18,17,353,353,356,0,1,10.2,météo correcte
2009-01-29,23,14,13,14,21,20,9.6,93,5.875,1014,42,25,18,17,353,176,359,0,1,10.2,météo correcte
2009-01-30,22,14,11,14,21,20,5.8,89,7.125,1014,41.75,25,17,18,176,176,356,0,1,10.2,météo favorable
2009-01-31,23,14,15,14,22,21,4.9,86,7.125,1013,50.125,25,17,18,113,176,356,0,1,11.6,météo favorable
2009-02-01,22,16,12,16,21,20,8.4,88,7.375,1014,52.25,25,17,18,176,353,356,0,1,10.2,météo correcte
2009-02-02,21,15,13,15,21,19,10.5,93,7,1014,46.625,24,18,17,356,176,356,0,1,11.6,météo correcte
2009-02-03,22,14,13,14,22,20,4,88,7.375,1014,47.625,25,17,18,143,176,356,0,1,8.8,météo favorable
2009-02-04,21,16,9,16,20,19,8.9,91,6.125,1014,53.125,21,18,18,356,353,356,0,1,8.8,météo correcte
2009-02-05,23,14,10,14,21,21,4.6,88,7.375,1016,48.125,25,17,18,176,353,356,0,1,10.2,météo correcte
2009-02-06,22,15,11,15,21,21,8.8,85,7,1014,44.875,25,17,19,176,356,356,0,1,11.6,météo correcte
2009-02-07,22,16,11,16,22,20,7.9,85,6.375,1013,47.125,25,18,19,176,353,356,0,1,11.6,météo correcte
2009-02-08,21,15,9,15,21,19,8.1,90,6.625,1014,60.625,24,17,18,353,353,356,0,1,8.8,météo correcte
2009-02-09,21,16,7,16,20,19,10.4,92,6,1016,54.75,21,18,18,353,353,359,0,1,10.2,météo correcte
2009-02-10,21,16,12,16,18,19,8,94,5.125,1016,44.5,21,17,17,356,176,356,0,1,11.6,météo correcte
2009-02-11,22,15,14,15,21,20,3.2,89,8.375,1015,47.5,24,17,18,116,176,356,0,1,11.6,météo favorable
2009-02-12,22,14,19,14,20,20,4.3,89,7.375,1014,33.875,25,17,18,176,353,356,0,1,11.6,météo correcte
2009-02-13,22,15,13,15,20,20,3.2,91,8.5,1013,28.375,25,17,16,113,176,356,0,1,11.6,météo favorable
2009-02-14,23,14,13,14,21,21,3.4,92,9.625,1013,33.125,25,17,16,113,116,356,0,1,10.2,météo favorable
2009-02-15,23,13,18,13,22,22,1.5,82,10,1012,25.875,25,16,18,113,116,353,0,1,11.6,météo favorable
2009-02-16,23,14,12,14,23,22,1.6,84,9.875,1012,28.125,25,16,18,113,176,386,0,1,11.6,météo favorable
2009-02-17,22,16,12,16,22,20,8.4,85,8.625,1013,43.75,25,17,18,353,353,356,0,1,11.6,météo correcte
2009-02-18,21,14,12,14,21,19,9.5,90,8.25,1012,36.875,24,18,18,176,353,356,0,1,11.6,météo correcte
2009-02-19,23,15,12,15,22,21,4.4,86,8.625,1012,37.125,25,17,18,176,353,353,0,1,11.6,météo correcte
2009-02-20,23,14,14,14,22,21,6.3,83,8.375,1012,27.375,25,17,19,113,353,356,0,1,11.6,météo correcte
