DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,32,22,9,22,30,29,1.5,96,6.375,1012,57.5,35,23,24,248,116,113,0,6,11.6,météo correcte
2009-01-02,28,22,8,22,28,26,1.4,95,4.25,1012,66.75,32,25,24,248,116,353,0,5,10.2,météo défavorable
2009-01-03,27,22,9,22,27,25,1.1,96,5.375,1012,68.375,31,24,24,353,116,176,0,5,8.8,météo défavorable
2009-01-04,26,22,7,22,25,24,2.3,99,5,1012,94.125,30,25,24,248,353,353,0,5,6,météo défavorable
2009-01-05,29,21,9,21,24,25,2.2,98,4,1013,80.125,32,24,24,248,119,353,0,5,8.8,météo défavorable
2009-01-06,29,22,10,22,29,25,2.5,96,6.25,1012,77.625,33,24,24,248,116,353,0,5,10.2,météo défavorable
2009-01-07,26,22,8,22,26,24,2.4,99,5.25,1012,88.375,29,25,24,248,353,353,0,5,6,météo défavorable
2009-01-08,26,22,5,22,24,24,2.4,100,1.75,1012,92.25,29,25,22,248,143,353,0,5,6,météo défavorable
2009-01-09,28,22,8,22,26,25,3.9,99,4.625,1013,80.25,32,25,22,353,353,356,0,5,10.1,météo défavorable
2009-01-10,29,21,11,21,28,26,1.4,97,5.25,1014,70.125,32,24,23,248,116,386,0,5,8.7,météo défavorable
2009-01-11,31,20,10,20,29,25,1.4,92,5.125,1014,65.25,34,23,23,248,116,176,0,5,11.5,météo défavorable
2009-01-12,26,21,9,21,26,24,3.1,98,5.125,1014,79,29,24,24,143,176,353,0,5,7.2,météo défavorable
2009-01-13,25,21,6,21,24,24,3.9,99,4,1014,91.625,28,24,22,248,353,353,0,5,5.8,météo défavorable
2009-01-14,28,21,8,21,26,25,2,96,5.125,1014,68.125,30,24,23,248,176,353,0,5,11.5,météo défavorable
2009-01-15,26,21,7,21,25,24,5.7,98,5.875,1014,78.875,30,25,23,248,353,356,0,5,5.8,météo défavorable
2009-01-16,31,20,10,20,29,28,0.5,95,6.5,1014,56,34,22,23,248,116,113,0,5,10.1,météo correcte
2009-01-17,30,21,10,21,30,25,1.5,93,6.25,1014,66.375,33,24,23,248,116,353,0,6,10.1,météo défavorable
2009-01-18,27,21,7,21,26,24,2.7,98,4,1015,87.5,30,24,23,248,353,353,0,5,5.8,météo défavorable
2009-01-19,27,21,7,21,26,24,4.2,99,6.125,1015,85.375,30,24,23,353,353,356,0,5,5.8,météo défavorable
