DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,26,16,9,16,26,19,0,87,10,1016,16,27,17,19,113,116,113,0,6,11.5,météo favorable
2009-01-02,23,18,11,18,23,20,0,80,10,1018,54,25,16,20,116,122,116,0,5,8.7,météo correcte
2009-01-03,25,17,8,17,25,18,0,89,10,1017,26.625,27,17,19,116,113,113,0,5,11.5,météo idéale
2009-01-04,26,15,8,15,26,19,0,86,9,1016,4.625,27,17,20,143,113,113,0,5,11.5,météo idéale
2009-01-05,28,14,8,14,28,20,0,69,10,1014,12.25,28,16,21,113,113,113,0,6,11.5,météo favorable
2009-01-06,28,14,8,14,28,21,0,64,10,1015,10,29,15,22,113,113,113,0,6,11.5,météo favorable
2009-01-07,27,16,8,18,27,18,0,76,10,1016,4.625,28,16,20,113,113,113,0,6,11.5,météo idéale
2009-01-08,27,14,7,14,27,18,0,78,10,1018,1.625,29,16,20,113,113,113,0,5,11.5,météo favorable
2009-01-09,25,15,11,15,25,18,0,79,10,1019,15.375,26,14,18,113,116,113,0,5,11.5,météo favorable
2009-01-10,23,13,13,14,23,14,0,81,10,1021,11.25,25,14,15,113,113,113,0,5,11.5,météo favorable
2009-01-11,23,10,8,10,23,13,0,79,10,1019,1,25,11,15,113,113,113,0,5,11.5,météo favorable
2009-01-12,24,11,10,11,24,14,0,69,10,1021,0.75,25,11,15,113,113,113,0,5,11.5,météo favorable
2009-01-13,23,10,10,10,23,13,0,76,10,1023,0,24,10,15,113,113,113,0,5,11.6,météo favorable
2009-01-14,22,9,9,9,22,13,0,69,10,1023,0,24,9,14,113,113,113,0,4,11.5,météo favorable
2009-01-15,22,10,12,10,21,13,0,69,10,1023,2.125,24,8,14,113,113,113,0,4,11.6,météo favorable
2009-01-16,23,10,8,10,23,12,0,78,10,1021,0,24,11,14,113,113,113,0,4,11.6,météo favorable
2009-01-17,25,9,7,9,25,14,0,72,10,1019,0,26,11,16,113,113,113,0,5,11.6,météo favorable
2009-01-18,26,10,6,11,26,16,0,72,10,1017,0.125,27,13,18,113,113,113,0,5,11.6,météo favorable
2009-01-19,28,10,9,10,28,19,0,55,10,1016,0.625,28,13,20,113,113,113,0,5,11.6,météo favorable
2009-01-20,30,14,7,14,30,20,0,57,10,1014,0.75,30,13,21,113,113,113,0,6,11.6,météo favorable
2009-01-21,30,14,6,14,30,21,0,46,10,1014,1.5,31,13,22,113,113,113,0,6,11.6,météo favorable
2009-01-22,30,12,8,12,30,21,0,42,10,1014,0.125,30,11,22,113,113,113,0,6,11.6,météo favorable
2009-01-23,30,15,8,15,30,23,0,45,10,1013,2.75,30,12,23,113,113,113,0,6,11.6,météo idéale
2009-01-24,30,14,10,14,30,23,0,51,10,1015,6.5,30,13,24,113,113,113,0,6,11.6,météo favorable
