DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,2,0,15,1,2,2,2.4,86,8.25,1013,92.125,2,0,-3,338,371,371,2.1,1,3.5,météo très défavorable
2009-01-02,3,0,24,2,3,2,3.3,90,8.375,1019,97.125,3,1,-2,338,317,317,1,1,3.5,météo très défavorable
2009-01-03,4,0,14,1,3,3,0.9,87,8.25,1024,98.625,4,2,-1,332,317,122,0.6,1,3.5,météo très défavorable
2009-01-04,5,0,11,1,4,2,0,77,10,1025,34,6,2,-0,113,113,113,0,1,8.7,météo très défavorable
2009-01-05,5,0,17,1,5,4,0,84,10,1022,31.625,5,2,2,116,116,116,0,1,8.7,météo très défavorable
2009-01-06,4,0,15,2,4,1,0,79,10,1026,31.625,4,0,0,116,113,116,0,1,8.7,météo très défavorable
2009-01-07,5,0,25,-1,4,3,0,75,10,1028,15.625,5,0,-2,113,113,116,0,1,8.7,météo très défavorable
2009-01-08,6,0,19,2,6,4,0,76,10,1028,21.75,6,2,0,113,113,116,0,1,8.7,météo très défavorable
2009-01-09,7,0,15,5,7,6,2.8,85,7.625,1022,58.5,7,5,3,296,263,263,0,1,7,météo très défavorable
2009-01-10,3,0,31,2,1,-1,8.7,91,8.625,1012,99,3,3,-7,338,122,122,2.3,1,3.6,météo très défavorable
2009-01-11,3,0,23,-2,1,3,1.2,87,9,1015,92.75,3,1,-6,122,338,362,0.6,1,5.3,météo très défavorable
2009-01-12,3,0,40,2,1,1,10.2,89,6.375,1015,100,3,1,-6,338,230,230,3.8,1,3.6,météo très défavorable
2009-01-13,3,0,26,1,2,2,4.1,86,7.375,1023,84.125,3,1,-3,230,371,119,2.5,1,3.6,météo très défavorable
2009-01-14,3,0,38,-1,3,3,2.1,90,8.875,1023,55,3,1,-4,113,266,317,0,1,5.4,météo très défavorable
2009-01-15,-1,0,15,-2,-1,-1,2.4,90,7.625,1027,98.75,0,0,-6,338,371,122,2.1,1,3.7,météo très défavorable
2009-01-16,3,0,26,1,3,3,5.3,92,8.5,1026,96.625,4,2,-3,338,296,302,1.5,1,3.7,météo très défavorable
2009-01-17,4,0,12,3,3,1,3.4,84,9.75,1028,68.75,4,2,-1,317,119,113,0,1,5.4,météo très défavorable
2009-01-18,7,0,25,3,5,5,0,87,10,1028,30,7,5,1,113,116,116,0,1,7.1,météo très défavorable
2009-01-19,7,0,36,7,5,4,5,85,9.75,1020,90.5,7,6,-1,296,353,353,0,1,3.8,météo très défavorable
2009-01-20,5,0,13,0,4,3,0,84,10,1024,37.375,5,1,0,116,116,113,0,1,7.1,météo très défavorable
2009-01-21,8,0,10,2,8,4,2.1,78,9.875,1024,54.5,8,3,4,116,116,296,0,1,7.1,météo très défavorable
2009-01-22,8,0,7,3,7,7,0.1,83,10,1020,41.375,8,5,6,116,113,116,0,1,8.7,météo très défavorable
2009-01-23,9,0,30,7,9,5,1.8,89,9.875,1013,74.25,9,7,3,116,119,122,0,1,5.4,météo très défavorable
2009-01-24,2,0,38,-1,-1,-0,6.8,87,5.25,1017,98.625,2,0,-8,338,230,230,0.9,1,3.8,météo très défavorable
2009-01-25,2,0,31,-0,2,2,4.1,89,6.5,1020,97.375,2,0,-6,122,230,338,1.7,1,3.8,météo très défavorable
2009-01-26,3,0,32,2,3,3,4,91,9.625,1022,95.375,3,1,-4,362,362,122,0.9,1,3.8,météo très défavorable
2009-01-27,3,0,10,2,3,2,2.6,91,9.875,1029,76.875,3,1,0,362,362,116,0,1,4,météo très défavorable
2009-01-28,5,0,5,-0,4,3,0,87,10,1030,0.5,8,6,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-29,10,0,18,3,9,7,0,85,10,1029,26.25,10,8,3,113,116,116,0,1,8.7,météo très défavorable
2009-01-30,11,0,16,7,9,10,1.7,92,7.875,1024,72,11,9,7,266,266,293,0,1,5.6,météo très défavorable
2009-01-31,8,0,40,6,5,5,14,94,9,1015,97.25,8,7,0,302,296,296,0,1,4,météo très défavorable
2009-02-01,3,0,26,1,2,2,1.3,88,8.875,1028,86.75,3,2,-4,338,122,119,0.3,1,4,météo très défavorable
2009-02-02,5,0,6,-0,4,2,0,65,10,1028,6.375,6,0,3,113,113,113,0,1,8.7,météo très défavorable
2009-02-03,6,0,21,5,6,4,1.5,92,8.875,1022,63.375,6,5,1,266,296,116,0,1,5.6,météo très défavorable
2009-02-04,5,0,13,1,5,2,0,74,10,1024,1.125,7,3,2,113,113,113,0,1,8.7,météo très défavorable
2009-02-05,7,0,13,2,6,5,0,71,10,1021,18.625,7,4,3,113,113,116,0,1,8.7,météo très défavorable
2009-02-06,5,0,14,3,3,2,1.8,81,10,1023,41.5,5,3,-0,119,116,113,0,1,8.7,météo très défavorable
2009-02-07,7,0,23,0,6,6,0,69,10,1022,27.5,8,5,1,113,113,119,0,1,8.7,météo très défavorable
2009-02-08,6,0,16,3,3,1,0,73,10,1024,32.125,6,4,-1,116,113,113,0,1,8.7,météo très défavorable
2009-02-09,5,0,9,1,5,4,0,56,10,1022,58.5,5,0,0,116,119,119,0,1,5.6,météo très défavorable
2009-02-10,6,0,15,3,6,3,0.4,83,9.875,1013,33,8,3,3,116,176,113,0,1,7.2,météo très défavorable
2009-02-11,7,0,29,2,7,6,3.2,82,9.625,1013,51.625,7,4,2,116,293,353,0,1,5.6,météo très défavorable
2009-02-12,7,0,8,2,7,5,0,71,10,1019,15.125,9,2,4,113,113,116,0,1,8.7,météo très défavorable
2009-02-13,14,0,40,7,12,11,0,78,10,1017,41.625,14,11,6,116,113,116,0,1,7.2,météo très défavorable
2009-02-14,15,0,15,13,9,7,9.8,90,9.25,1013,62.5,15,13,7,308,119,113,0,1,5.6,météo très défavorable
2009-02-15,11,0,18,5,11,7,0,80,10,1014,25.375,11,6,7,113,113,116,0,1,8.7,météo très défavorable
2009-02-16,6,0,28,4,2,0,5.9,92,6.625,1019,100,6,4,-4,296,338,230,1,1,4.1,météo très défavorable
2009-02-17,1,0,12,-2,0,-0,1,81,8.625,1024,94.625,1,0,-3,371,122,119,0.9,1,4.1,météo très défavorable
2009-02-18,3,0,22,1,2,3,3,80,7.25,1024,95.375,3,1,-2,338,338,317,1.1,1,4.1,météo très défavorable
2009-02-19,2,0,20,-1,1,2,0.4,72,9,1028,63.75,2,0,-6,338,113,119,0.3,1,7.2,météo très défavorable
2009-02-20,6,0,30,5,6,3,3.1,92,8.625,1017,95.625,6,5,-0,302,122,122,0,1,4.1,météo très défavorable
2009-02-21,2,0,13,-1,1,0,1.2,81,9.625,1022,68,3,0,-3,122,122,113,1.1,1,5.7,météo très défavorable
2009-02-22,8,0,26,3,8,6,0,74,10,1022,31,8,3,3,113,116,116,0,1,7.2,météo très défavorable
2009-02-23,6,0,31,6,5,3,8.5,93,8.5,1022,71.75,6,5,-1,302,266,113,0,1,5.7,météo très défavorable
2009-02-24,9,0,20,3,6,8,1.4,89,9.875,1023,57,10,8,3,116,293,122,0,1,7.2,météo très défavorable
2009-02-25,9,0,23,8,7,6,6.2,96,9.5,1017,68.375,9,8,2,302,293,116,0,1,7.2,météo très défavorable
2009-02-26,5,0,9,2,4,2,0,77,10,1023,17.125,5,3,1,113,113,113,0,1,8.7,météo très défavorable
2009-02-27,5,0,12,3,5,4,0,80,10,1023,40.25,6,2,1,116,116,113,0,1,8.7,météo très défavorable
2009-02-28,8,0,20,1,7,5,0,75,10,1024,17.875,8,3,2,116,113,113,0,1,8.7,météo très défavorable
2009-03-01,7,0,11,4,7,5,0,79,10,1023,28.375,8,4,5,113,113,116,0,1,8.7,météo très défavorable
2009-03-02,4,0,24,0,2,0,0.6,74,9.875,1028,39.625,4,2,-4,119,113,116,0,1,8.7,météo très défavorable
2009-03-03,6,0,10,0,6,3,1.8,80,9.875,1027,70.25,6,1,-0,119,116,296,0,1,5.7,météo très défavorable
2009-03-04,6,0,17,3,6,4,0.5,86,9,1022,53.5,6,3,2,116,116,113,0,1,7.2,météo très défavorable
2009-03-05,9,0,17,2,9,6,0,62,10,1025,26.875,9,4,2,113,116,116,0,1,7.2,météo très défavorable
2009-03-06,10,0,20,8,10,8,3.9,91,9,1018,73.375,10,8,7,263,302,122,0,1,4.3,météo très défavorable
2009-03-07,5,0,12,3,5,3,0,80,10,1023,60.75,6,2,2,122,116,116,0,1,7.2,météo très défavorable
2009-03-08,8,0,12,3,7,5,0,65,10,1023,27,9,3,4,113,116,113,0,1,8.7,météo très défavorable
