DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,15,5,5,7,14,5,0.3,95,7.125,1024,32.25,17,9,7,248,113,143,0,1,10,météo correcte
2009-01-02,15,6,7,6,15,8,0.3,72,9.875,1025,21.5,15,5,8,113,113,116,0,1,10,météo correcte
2009-01-03,13,6,10,6,13,9,0.5,81,10,1025,25.375,14,6,7,113,113,116,0,1,10.1,météo correcte
2009-01-04,12,3,5,7,12,3,1.3,100,7.75,1022,49.5,13,7,3,119,113,248,0,1,10,météo très défavorable
2009-01-05,14,2,6,3,13,2,0,100,8.75,1021,16.875,15,2,3,113,113,248,0,1,10,météo correcte
2009-01-06,10,4,8,4,10,6,2.3,96,7.75,1018,41.5,10,6,5,113,116,143,0,1,10,météo très défavorable
2009-01-07,6,3,8,3,6,4,0.9,91,7.25,1017,53.75,6,5,2,116,119,116,0,1,8.3,météo très défavorable
2009-01-08,6,1,6,1,6,4,1.8,93,8.75,1018,45.5,7,3,2,116,116,116,0,1,10,météo très défavorable
2009-01-09,8,-0,9,2,7,-0,0.8,94,8.875,1020,36.375,10,2,0,116,113,143,0,1,10.1,météo très défavorable
2009-01-10,8,1,7,2,8,2,0.1,96,8,1020,31.875,9,2,3,116,116,143,0,1,10.1,météo très défavorable
2009-01-11,7,-3,11,-3,7,4,0.1,82,8.75,1023,16.75,8,1,2,113,113,113,0,1,10.1,météo très défavorable
2009-01-12,11,-0,8,-0,10,3,0,90,10,1028,3.875,11,2,3,113,113,113,0,1,10.1,météo très défavorable
2009-01-13,13,1,5,1,13,2,0,68,10,1028,9.75,15,1,3,113,113,113,0,1,10.1,météo très défavorable
2009-01-14,13,1,6,4,13,1,0.1,100,10,1026,19.25,14,2,2,113,116,113,0,1,10.1,météo très défavorable
2009-01-15,15,3,9,3,15,7,0,70,10,1021,8.625,16,3,8,113,113,113,0,1,10.2,météo correcte
2009-01-16,10,1,6,4,10,6,0.2,81,8.75,1019,46.25,11,3,5,116,116,113,0,1,10.2,météo très défavorable
2009-01-17,9,1,8,2,9,4,1.4,96,5.125,1024,58.5,10,4,5,248,113,143,0,1,10.2,météo très défavorable
2009-01-18,10,4,9,4,10,4,0.2,95,9,1028,41.375,11,4,5,116,116,143,0,1,10,météo très défavorable
2009-01-19,14,1,6,1,14,6,0,82,10,1029,17.25,15,4,7,113,113,116,0,1,10.2,météo très défavorable
2009-01-20,7,3,14,6,7,4,13.1,98,5.875,1019,81.75,7,6,3,119,143,248,0,1,5.1,météo très défavorable
2009-01-21,2,1,8,1,2,1,7.5,100,3.25,1027,89.875,2,2,-1,248,248,248,0,1,5.1,météo très défavorable
2009-01-22,13,-0,5,-0,11,4,0,83,9,1029,15.5,13,3,3,113,113,113,0,1,10.2,météo très défavorable
2009-01-23,17,4,6,5,15,7,0,98,8.75,1029,32.25,17,9,7,116,113,248,0,1,10,météo correcte
2009-01-24,15,6,5,7,14,6,0.2,98,8.75,1026,20.25,16,9,6,113,113,248,0,1,10,météo correcte
2009-01-25,9,7,12,8,8,9,5.1,98,6.75,1020,61,9,9,6,116,143,248,0,1,6.8,météo défavorable
2009-01-26,8,4,5,5,7,4,0.8,92,6.875,1025,63.875,8,7,5,248,116,116,0,1,10,météo très défavorable
2009-01-27,13,2,9,2,11,4,0,91,10,1026,1.625,14,5,6,113,113,113,0,1,10.3,météo correcte
2009-01-28,17,4,6,4,16,6,0,73,10,1027,1.875,20,3,7,113,113,113,0,1,10.3,météo correcte
2009-01-29,18,5,6,5,18,6,0,74,10,1023,0,21,4,8,113,113,113,0,1,10.3,météo favorable
2009-01-30,19,5,11,5,18,12,0.2,55,9.375,1020,10.375,20,5,10,113,113,113,0,1,10.4,météo favorable
