DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,24,19,19,16,22,22,0.4,70,7.625,1014,35.125,25,15,19,176,113,113,,,,météo favorable
2009-01-02,21,19,13,13,21,19,1.9,96,7.125,1016,57,22,18,19,113,266,353,,,,météo correcte
2009-01-03,20,14,20,17,20,14,12.9,96,5.625,1015,79,20,18,13,266,353,299,,,,météo défavorable
2009-01-04,22,14,13,10,20,20,5.6,72,9.875,1020,5,24,12,14,113,113,113,,,,météo favorable
2009-01-05,20,17,15,11,20,19,0,78,6,1021,34.75,20,13,17,248,116,113,,,,météo favorable
2009-01-06,22,17,13,11,20,20,0,79,6,1019,41.375,25,13,17,248,113,113,,,,météo favorable
2009-01-07,24,15,11,11,21,24,0,67,10,1018,5.625,26,16,15,113,113,113,,,,météo idéale
2009-01-08,24,20,15,15,23,22,0,80,6.75,1018,14.5,25,16,20,143,113,113,,,,météo idéale
2009-01-09,24,19,16,13,23,21,0.1,82,7.375,1017,12.25,25,17,19,143,113,113,,,,météo idéale
2009-01-10,23,19,5,15,23,20,2.3,87,5.875,1012,47.625,25,18,19,143,113,353,,,,météo favorable
2009-01-11,20,17,26,16,19,18,1.2,74,10,1014,54.875,20,15,17,119,116,113,,,,météo favorable
2009-01-12,23,17,12,14,22,19,4.9,81,9.625,1013,33.375,25,16,17,113,116,356,,,,météo favorable
2009-01-13,23,16,9,13,21,21,1.8,74,9.625,1011,33,25,14,16,116,113,176,,,,météo favorable
2009-01-14,22,16,13,12,21,19,1.6,74,9.875,1015,25.5,25,14,15,113,113,353,,,,météo favorable
2009-01-15,24,16,9,10,22,23,0.7,66,10,1014,8.625,25,14,15,113,113,116,,,,météo idéale
2009-01-16,25,17,21,13,23,24,0,71,9,1011,3.25,26,15,17,113,113,113,,,,météo idéale
2009-01-17,24,17,19,13,22,22,0,72,10,1009,3.375,25,13,17,113,113,113,,,,météo idéale
2009-01-18,19,15,26,13,16,18,6.5,96,7.375,1006,43.5,19,14,14,116,299,113,,,,météo correcte
2009-01-19,19,15,26,13,18,18,1.2,75,9.875,1010,37.125,19,11,15,176,116,113,,,,météo favorable
2009-01-20,19,15,24,12,18,18,0,70,10,1018,27.875,19,11,14,113,113,113,,,,météo favorable
2009-01-21,22,15,12,10,21,19,0,69,10,1026,28.875,24,12,15,113,113,122,,,,météo favorable
2009-01-22,22,17,14,13,21,21,0,79,8,1028,37.5,25,14,17,143,113,113,,,,météo favorable
2009-01-23,24,17,14,12,22,22,0,76,6.625,1026,34,25,14,17,248,113,113,,,,météo favorable
2009-01-24,26,19,9,12,25,24,0,70,10,1025,20,27,16,19,113,113,119,,,,météo idéale
2009-01-25,25,20,9,14,25,22,0.1,77,8,1023,26.125,26,17,20,143,116,116,,,,météo favorable
2009-01-26,25,19,12,14,24,22,0,80,7.5,1019,37.625,26,16,19,248,113,113,,,,météo favorable
2009-01-27,22,17,23,15,19,22,0.8,94,4.75,1013,59.25,25,17,17,143,266,113,,,,météo correcte
2009-01-28,21,14,14,12,19,19,0.3,61,9.375,1020,31.625,23,11,14,113,113,116,,,,météo favorable
2009-01-29,23,17,19,13,21,21,0,75,8,1021,22.5,25,13,17,143,113,113,,,,météo favorable
2009-01-30,25,16,8,11,22,23,0,76,7.625,1019,32.375,26,14,15,143,113,116,,,,météo favorable
2009-01-31,25,16,14,14,21,25,0.1,90,6.875,1019,31.5,26,18,16,248,116,113,,,,météo favorable
2009-02-01,25,17,23,15,22,24,0.2,89,6.25,1015,47.375,26,16,17,248,113,116,,,,météo favorable
2009-02-02,22,18,12,15,22,18,2.9,90,9.75,1017,47.625,23,16,18,113,119,296,,,,météo correcte
2009-02-03,20,17,13,15,20,19,8.5,86,9.375,1019,63.25,20,15,17,296,116,113,,,,météo correcte
2009-02-04,23,17,12,12,21,22,0.2,85,7.5,1018,52.125,25,15,17,248,116,113,,,,météo favorable
2009-02-05,21,17,12,15,20,19,4.3,86,9.375,1017,58.25,22,16,16,263,353,353,,,,météo correcte
2009-02-06,22,17,15,14,21,21,1,80,8.375,1018,29.625,25,15,17,143,116,113,,,,météo favorable
2009-02-07,27,18,9,11,24,25,0,78,6.375,1017,18.125,28,17,18,143,113,113,,,,météo idéale
2009-02-08,27,18,13,14,24,25,0,80,7,1017,0,28,18,18,143,113,113,,,,météo idéale
2009-02-09,27,20,18,16,25,24,1.7,79,6.75,1017,28.5,27,17,20,248,113,116,,,,météo idéale
2009-02-10,22,20,16,19,21,21,13.6,99,7.5,1012,90.25,24,21,20,296,302,353,,,,météo défavorable
2009-02-11,26,21,15,20,24,24,4.5,96,5.625,1013,74.875,27,21,21,296,176,353,,,,météo défavorable
2009-02-12,21,20,16,19,21,21,26.2,98,6.5,1012,97.125,24,21,20,302,302,302,,,,météo très défavorable
