DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,37,20,15,20,34,31,0,19,10,1013,22.375,35,1,25,113,113,116,0,7,11.2,météo favorable
2009-01-02,36,20,12,20,33,29,0,19,10,1013,12.125,34,0,24,116,113,113,0,7,11.2,météo idéale
2009-01-03,35,19,15,19,32,29,0,22,10,1015,0,34,0,23,113,113,113,0,7,11.3,météo idéale
2009-01-04,35,18,14,18,31,29,0,19,10,1014,1,33,0,22,113,113,113,0,6,11.2,météo idéale
2009-01-05,34,18,13,18,31,29,0,19,10,1015,5.125,32,0,23,113,113,113,0,6,11.3,météo idéale
2009-01-06,34,17,11,18,31,29,0,16,10,1014,12.25,32,0,23,113,113,113,0,6,11.3,météo idéale
2009-01-07,32,15,12,15,29,27,0,21,10,1013,5,29,0,21,113,113,113,0,6,11.3,météo idéale
2009-01-08,32,13,9,13,28,27,0,25,10,1013,18.75,29,0,20,116,113,113,0,6,11.3,météo favorable
2009-01-09,33,14,12,14,28,28,0,30,10,1016,3.125,31,2,19,113,113,113,0,6,11.3,météo favorable
2009-01-10,37,15,8,15,32,31,0,24,10,1017,1.75,35,5,21,113,113,113,0,6,11.3,météo favorable
2009-01-11,35,16,8,16,32,29,0,21,10,1016,0.75,33,2,22,113,113,113,0,6,11.3,météo idéale
2009-01-12,33,14,14,14,28,28,0,17,10,1014,15.375,31,1,20,116,113,113,0,6,11.3,météo favorable
2009-01-13,33,16,13,16,28,29,0,28,10,1014,3.25,31,3,19,113,113,113,0,6,11.3,météo idéale
2009-01-14,32,15,13,15,29,26,0,25,10,1015,4.125,30,1,19,113,113,113,0,6,11.3,météo idéale
2009-01-15,34,17,10,17,30,30,0,25,10,1015,5.25,32,5,21,113,113,113,0,6,11.3,météo idéale
2009-01-16,34,17,9,17,30,30,0,23,10,1014,5.375,32,5,22,113,113,113,0,7,11.3,météo idéale
2009-01-17,31,18,13,18,28,28,0,16,10,1016,12,29,0,21,113,113,113,0,6,11.3,météo idéale
2009-01-18,28,16,14,16,25,26,0,31,10,1018,2.75,26,1,18,113,113,113,0,6,11.3,météo idéale
2009-01-19,28,12,15,12,24,25,0,32,10,1018,0,26,0,16,113,113,113,0,5,11.3,météo favorable
2009-01-20,30,12,17,12,25,25,0,25,10,1017,0,27,0,16,113,113,113,0,5,11.3,météo favorable
2009-01-21,30,12,14,12,26,26,0,21,10,1017,0,28,0,17,113,113,113,0,5,11.3,météo favorable
2009-01-22,30,14,19,14,26,27,0,40,10,1017,1.75,28,4,18,113,113,113,0,6,11.3,météo favorable
2009-01-23,30,15,17,15,26,27,0,17,10,1017,8,28,0,18,113,113,113,0,6,11.3,météo idéale
2009-01-24,28,15,13,15,26,24,0,13,10,1017,32.75,26,0,19,113,116,116,0,6,11.3,météo favorable
2009-01-25,31,17,10,17,28,29,0,10,10,1015,30.75,29,0,21,116,116,113,0,6,11.3,météo favorable
2009-01-26,35,17,15,19,32,31,0,12,10,1015,8.875,33,0,22,113,113,113,0,6,11.3,météo idéale
2009-01-27,36,15,11,15,32,31,0,20,10,1014,6.375,34,0,22,113,113,113,0,6,11.3,météo idéale
2009-01-28,32,19,9,20,28,30,0,29,10,1014,23.5,30,9,22,113,116,113,0,6,11.3,météo favorable
2009-01-29,38,18,10,18,35,33,0,23,10,1013,8.25,37,7,25,113,113,113,0,7,11.3,météo favorable
2009-01-30,38,18,11,18,35,34,0,18,10,1013,9,37,1,25,113,113,113,0,7,11.4,météo favorable
2009-01-31,37,19,10,19,33,34,0,14,10,1013,46.25,35,0,25,122,113,113,0,7,10.1,météo favorable
2009-02-01,39,19,10,19,35,33,0,11,10,1012,4.625,38,0,25,113,113,113,0,7,11.4,météo favorable
2009-02-02,37,18,8,18,34,33,0,47,10,1014,9.25,36,11,23,113,113,113,0,7,11.4,météo favorable
2009-02-03,36,15,9,15,36,32,0,12,10,1014,1.875,35,0,24,113,113,113,0,7,11.4,météo favorable
2009-02-04,38,16,9,16,34,33,0,13,10,1013,2.125,37,0,25,113,113,113,0,7,11.4,météo favorable
2009-02-05,39,17,9,17,35,32,0,17,10,1013,3.25,38,1,25,113,113,113,0,7,11.4,météo favorable
2009-02-06,36,19,13,20,35,33,0,19,10,1014,6.5,34,0,25,113,113,113,0,7,11.4,météo idéale
2009-02-07,36,21,15,21,31,33,0,24,10,1015,2.875,34,2,24,113,113,113,0,7,11.4,météo idéale
2009-02-08,35,18,15,18,30,32,0,29,10,1014,1.75,33,3,22,113,113,113,0,7,11.4,météo idéale
2009-02-09,36,17,15,17,31,33,0,17,10,1014,5.125,35,0,22,113,113,113,0,7,11.4,météo favorable
2009-02-10,39,18,13,18,34,34,0,14,10,1014,19.5,38,1,24,116,113,116,0,7,11.4,météo favorable
2009-02-11,40,17,11,17,36,35,0,12,10,1012,12.25,40,0,25,116,113,113,0,7,11.4,météo correcte
2009-02-12,39,19,8,19,37,34,0,31,10,1011,0,39,6,24,113,113,113,0,7,11.4,météo favorable
2009-02-13,40,17,7,17,38,34,0,22,10,1010,0,40,2,25,113,113,113,0,7,11.4,météo correcte
2009-02-14,40,18,7,18,37,33,0,38,10,1011,0,39,9,24,113,113,113,0,7,11.4,météo favorable
2009-02-15,38,19,8,19,35,34,0,46,10,1011,2.625,37,12,24,113,113,113,0,7,11.4,météo favorable
2009-02-16,36,18,9,18,33,33,0,26,10,1010,3.625,35,4,25,113,113,113,0,7,11.4,météo favorable
2009-02-17,37,15,11,15,33,33,0,17,10,1012,6,36,0,25,113,113,113,0,7,11.5,météo favorable
2009-02-18,35,16,13,16,35,31,0,18,10,1010,12.5,33,4,26,113,113,113,0,7,11.5,météo idéale
2009-02-19,36,22,14,22,34,32,1.3,34,10,1011,24.25,35,16,27,113,113,116,0,7,10.1,météo favorable
2009-02-20,29,23,18,23,26,26,3.9,85,9.5,1013,55.5,31,21,23,116,116,116,0,5,10.1,météo correcte
2009-02-21,33,22,9,22,26,31,0.7,79,8.75,1013,27,33,19,23,119,113,113,0,7,11.5,météo idéale
