DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,6,5,27,6,6,6,0.1,92,10,1025,90.625,7,5,1,119,122,122,0,1,3,météo très défavorable
2009-01-02,5,4,31,5,5,4,0.1,88,10,1028,95.625,5,4,-1,122,122,122,0,1,3,météo très défavorable
2009-01-03,5,4,14,4,5,4,0.4,88,9,1029,80.25,5,3,1,122,122,116,0,1,3,météo très défavorable
2009-01-04,6,4,9,4,6,5,2.2,96,7.875,1027,96.125,7,5,2,122,122,143,0,1,3,météo très défavorable
2009-01-05,6,2,21,5,5,3,0.1,96,5.75,1026,73,6,5,-1,143,122,116,0,1,4.9,météo très défavorable
2009-01-06,3,-1,9,-1,2,-1,0,92,10,1029,22.5,3,0,-4,113,113,116,0,1,8,météo très défavorable
2009-01-07,5,1,10,2,5,2,0,87,10,1028,67.875,5,2,-1,122,122,113,0,1,3,météo très défavorable
2009-01-08,5,1,22,1,5,3,0,94,10,1028,38.125,5,3,-2,113,116,116,0,1,4.9,météo très défavorable
2009-01-09,6,2,27,4,5,3,0,87,10,1024,54.125,6,3,-2,122,119,113,0,1,4.9,météo très défavorable
2009-01-10,9,4,42,6,7,8,3.6,94,9.75,1020,82.625,9,8,1,116,122,122,0,1,3,météo très défavorable
2009-01-11,12,9,54,11,12,11,7.4,96,8.875,1011,100,12,12,7,122,122,122,0,1,3,météo défavorable
2009-01-12,10,5,19,8,9,6,0.3,94,7.875,1004,49.875,10,9,4,113,116,143,0,1,8.1,météo très défavorable
2009-01-13,7,3,23,4,7,4,0.2,87,8.875,1011,28.375,7,4,0,116,113,113,0,1,8.1,météo très défavorable
2009-01-14,10,4,45,5,10,10,10.6,97,9.125,1011,93.125,10,9,3,122,122,122,0,1,3.1,météo très défavorable
2009-01-15,10,7,35,8,9,7,0,92,10,1004,68.375,10,9,4,116,122,119,0,1,4.9,météo défavorable
2009-01-16,9,5,41,6,9,7,1.9,97,9.875,1005,55.125,9,7,2,122,113,116,0,1,6.8,météo très défavorable
2009-01-17,8,3,62,5,7,4,3.6,89,9.125,1002,78.375,8,7,-1,113,122,119,0,1,5,météo très défavorable
2009-01-18,5,3,33,3,5,4,1.3,87,9.25,994,53.25,5,4,-2,116,116,116,0,1,8.7,météo très défavorable
2009-01-19,5,1,53,1,4,3,0.9,89,8.5,983,67.125,5,5,-4,119,113,116,0.2,1,6.9,météo très défavorable
2009-01-20,4,1,30,1,4,2,0.2,91,9.875,998,45,4,2,-2,116,116,116,0,1,6.9,météo très défavorable
