DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-4,-5,16,-5,-4,-4,1.2,82,10,1029,58.5,0,0,-11,119,116,119,,,,météo très défavorable
2009-01-02,-6,-9,14,-7,-8,-7,2.7,96,9.25,1028,60.75,0,0,-15,116,326,119,,,,météo très défavorable
2009-01-03,-6,-16,18,-12,-6,-11,2.7,98,6.875,1017,40.625,0,0,-22,323,323,116,,,,météo très défavorable
2009-01-04,-14,-18,17,-18,-17,-15,0,94,8.25,1023,20.75,0,0,-27,113,113,113,,,,météo très défavorable
2009-01-05,-13,-16,13,-16,-13,-13,0,96,5.625,1025,42.5,0,0,-23,119,143,143,,,,météo très défavorable
2009-01-06,-6,-11,19,-11,-8,-6,1.3,97,8.375,1017,46.625,0,0,-18,116,116,323,,,,météo très défavorable
2009-01-07,-9,-13,15,-13,-10,-10,1.8,96,8.625,1019,56,0,0,-21,323,323,143,,,,météo très défavorable
2009-01-08,-2,-13,15,-13,-8,-3,2.2,99,5.125,1018,81.25,0,0,-19,326,260,116,,,,météo très défavorable
2009-01-09,-2,-6,10,-5,-3,-3,0.1,99,4.125,1018,32.375,0,0,-10,116,143,260,,,,météo très défavorable
2009-01-10,-5,-10,26,-10,-9,-6,0,98,5.375,1018,30.875,0,0,-15,143,113,119,,,,météo très défavorable
2009-01-11,1,-1,31,-1,1,1,5.5,100,8.5,1007,99.125,1,1,-8,326,317,317,,,,météo très défavorable
2009-01-12,1,-1,26,-1,1,1,5.6,100,4.875,993,100,1,1,-7,266,296,266,,,,météo très défavorable
2009-01-13,1,-4,19,1,1,0,1,100,9.875,995,83.125,1,1,-10,122,326,116,,,,météo très défavorable
2009-01-14,-5,-13,16,-5,-6,-11,1.1,95,8.625,1016,30.5,0,0,-20,323,113,113,,,,météo très défavorable
2009-01-15,-13,-17,8,-13,-15,-17,0,87,8.375,1029,12.5,0,0,-20,113,113,113,,,,météo très défavorable
2009-01-16,-8,-13,20,-13,-10,-8,0.9,92,10,1030,57.625,0,0,-20,113,122,326,,,,météo très défavorable
2009-01-17,-5,-8,23,-8,-6,-5,2.7,96,10,1026,98.75,0,0,-15,122,326,326,,,,météo très défavorable
2009-01-18,-4,-7,22,-7,-5,-5,6.9,98,7.25,1013,100,0,0,-14,326,326,332,,,,météo très défavorable
2009-01-19,-3,-4,15,-4,-3,-3,15.3,99,5.375,997,100,0,0,-10,332,332,326,,,,météo très défavorable
2009-01-20,0,-3,24,-3,-1,-1,17.8,99,5.125,994,100,0,0,-8,326,332,338,,,,météo très défavorable
2009-01-21,1,0,33,0,1,1,10.4,98,5.75,1001,100,1,1,-6,326,326,227,,,,météo très défavorable
2009-01-22,1,-2,21,-2,0,0,4.1,99,9.375,1004,100,1,0,-8,326,326,326,,,,météo très défavorable
2009-01-23,-2,-4,21,-4,-2,-2,8,99,6.875,997,100,0,0,-10,326,326,332,,,,météo très défavorable
2009-01-24,-2,-4,21,-4,-2,-2,20.5,99,4.5,992,100,0,0,-10,326,338,332,,,,météo très défavorable
2009-01-25,-2,-3,11,-3,-2,-2,13.5,100,5.375,1004,100,0,0,-8,332,332,326,,,,météo très défavorable
2009-01-26,-2,-4,8,-4,-2,-2,1.4,99,5.375,1012,93.75,0,0,-6,260,260,260,,,,météo très défavorable
2009-01-27,-5,-19,10,-5,-7,-13,0.7,100,2.125,1015,68.375,0,0,-24,260,260,260,,,,météo très défavorable
2009-01-28,-14,-22,5,-22,-16,-17,0.2,100,0.625,1018,37.125,0,0,-26,260,260,260,,,,météo très défavorable
2009-01-29,-11,-19,5,-19,-12,-16,0.8,100,5.25,1026,43.25,0,0,-23,260,260,143,,,,météo très défavorable
2009-01-30,-14,-20,6,-20,-17,-19,0,89,10,1030,16.875,0,0,-25,113,113,113,,,,météo très défavorable
2009-01-31,-6,-8,6,-8,-7,-7,0,73,10,1030,25.375,0,0,-12,113,116,116,,,,météo très défavorable
2009-02-01,-8,-23,5,-22,-19,-21,0,78,10,1033,6.25,0,0,-24,113,113,113,,,,météo très défavorable
2009-02-02,-6,-9,6,-9,-8,-7,0,64,10,1030,9.375,0,0,-13,113,113,113,,,,météo très défavorable
2009-02-03,-8,-12,6,-11,-11,-8,0,81,10,1023,7.375,0,0,-15,113,113,113,,,,météo très défavorable
2009-02-04,-7,-21,9,-21,-14,-8,5.5,100,5.125,1007,67.375,0,0,-24,143,326,332,,,,météo très défavorable
2009-02-05,-7,-22,9,-7,-7,-12,4.6,100,5.5,999,82.375,0,0,-25,326,326,260,,,,météo très défavorable
2009-02-06,-8,-17,9,-17,-12,-8,4,99,5.75,1000,78.625,0,0,-22,143,326,326,,,,météo très défavorable
2009-02-07,-9,-10,10,-10,-9,-9,16,99,4.625,997,100,0,0,-15,332,332,332,,,,météo très défavorable
2009-02-08,-9,-11,13,-11,-9,-9,10.1,98,6.5,993,94.875,0,0,-17,332,326,326,,,,météo très défavorable
2009-02-09,-12,-20,12,-19,-16,-15,0.4,99,3.25,1001,23.875,0,0,-27,143,143,143,,,,météo très défavorable
2009-02-10,-19,-28,7,-25,-20,-26,0,100,1.625,1005,19,0,0,-31,260,143,260,,,,météo très défavorable
2009-02-11,-15,-19,10,-18,-16,-18,0,92,7.875,1013,7.125,0,0,-25,113,113,113,,,,météo très défavorable
2009-02-12,-11,-16,12,-16,-12,-13,0,94,9,1016,23.625,0,0,-22,113,116,113,,,,météo très défavorable
2009-02-13,-9,-12,15,-10,-12,-9,0.2,96,7,1023,25.125,0,0,-19,116,143,113,,,,météo très défavorable
2009-02-14,-8,-13,13,-13,-11,-9,0,95,6,1024,22.125,0,0,-20,113,143,143,,,,météo très défavorable
2009-02-15,-13,-20,8,-17,-16,-18,0.1,100,1.625,1023,41.875,0,0,-24,143,260,260,,,,météo très défavorable
2009-02-16,-7,-12,12,-12,-9,-7,2.8,100,10,1024,100,0,0,-17,326,326,326,,,,météo très défavorable
2009-02-17,-8,-11,14,-11,-9,-9,3.1,100,9.375,1027,100,0,0,-17,326,122,326,,,,météo très défavorable
2009-02-18,-3,-11,5,-11,-6,-4,3.9,99,8.125,1026,78.5,0,0,-14,260,326,326,,,,météo très défavorable
2009-02-19,-7,-10,12,-9,-9,-10,9.2,100,7.125,1023,100,0,0,-15,326,326,332,,,,météo très défavorable
2009-02-20,-5,-10,8,-9,-8,-5,3.5,100,6.5,1025,93.125,0,0,-13,326,260,260,,,,météo très défavorable
2009-02-21,-4,-10,15,-10,-5,-4,14.5,100,3.875,1025,93.5,0,0,-16,326,338,326,,,,météo très défavorable
2009-02-22,0,-4,11,-2,-3,0,8.7,100,6.75,1008,83,0,0,-7,326,260,323,,,,météo très défavorable
