DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,30,20,5,24,30,24,0,60,10,1013,4.5,34,22,29,113,113,113,0,6,11.6,météo idéale
2009-01-02,30,22,11,24,30,25,0,57,10,1013,5.25,33,21,29,113,113,113,0,7,11.6,météo idéale
2009-01-03,30,21,5,24,30,25,0,64,10,1015,14.25,32,21,28,113,116,113,0,7,11.6,météo favorable
2009-01-04,30,21,15,24,30,24,0,53,10,1014,3.25,33,20,29,113,113,113,0,7,11.6,météo idéale
2009-01-05,30,21,9,24,30,26,0,59,10,1012,9.125,34,20,29,113,113,113,0,7,11.6,météo idéale
2009-01-06,30,22,15,24,30,24,0,59,10,1012,4.625,38,22,28,113,113,113,0,7,11.6,météo favorable
2009-01-07,30,22,6,25,29,26,0,63,10,1013,35.75,32,21,29,116,116,116,0,7,10.2,météo favorable
2009-01-08,29,23,12,25,29,26,0.4,68,9.875,1015,16.125,34,22,28,113,176,113,0,7,11.6,météo favorable
2009-01-09,28,23,9,23,28,26,0.4,73,9,1015,43.375,32,22,27,266,116,116,0,7,11.6,météo favorable
2009-01-10,27,23,10,24,27,26,0,69,10,1014,49.5,30,21,27,116,116,116,0,7,8.8,météo favorable
2009-01-11,30,22,12,24,30,26,0,61,10,1015,12.25,34,21,29,113,113,113,0,7,11.6,météo idéale
2009-01-12,30,23,14,25,30,26,0,59,10,1015,6.375,33,20,29,113,113,113,0,7,11.6,météo idéale
2009-01-13,30,22,8,24,30,26,0,62,10,1016,14.25,33,22,30,113,113,113,0,7,11.6,météo idéale
2009-01-14,30,22,15,24,30,27,0,64,10,1016,14.625,32,20,27,113,113,113,0,7,11.6,météo idéale
2009-01-15,28,22,22,24,27,24,0,67,10,1016,9.375,34,23,27,113,113,113,0,6,11.6,météo idéale
2009-01-16,30,21,9,23,30,26,0,60,10,1016,6.75,33,21,29,113,113,113,0,7,11.6,météo idéale
2009-01-17,30,22,10,24,30,27,0,63,10,1015,7,37,22,28,113,113,113,0,7,11.6,météo favorable
2009-01-18,30,21,8,24,30,26,0,62,10,1014,11,33,21,28,113,113,113,0,7,11.6,météo idéale
2009-01-19,30,22,6,24,30,26,0,64,10,1013,18.125,33,21,28,113,116,113,0,7,11.6,météo favorable
2009-01-20,31,21,11,24,31,25,0,55,10,1013,4.75,34,22,29,113,113,113,0,7,11.6,météo idéale
2009-01-21,31,21,8,23,31,25,0,53,10,1014,3.75,34,20,30,113,113,113,0,7,11.6,météo idéale
2009-01-22,30,20,9,23,30,24,0,57,10,1013,1.375,35,21,30,113,113,113,0,6,11.6,météo favorable
2009-01-23,30,22,10,24,30,25,0,56,10,1012,4.375,33,21,29,113,113,113,0,7,11.6,météo idéale
2009-01-24,30,21,13,23,30,25,0,54,10,1012,2,36,20,29,113,113,113,0,7,11.6,météo favorable
2009-01-25,31,22,14,24,31,27,0,59,10,1013,12.25,34,21,28,113,113,113,0,7,11.6,météo idéale
2009-01-26,30,24,9,25,30,25,5,76,9.625,1012,47.25,34,24,28,116,353,356,0,7,8.8,météo correcte
2009-01-27,29,24,5,25,29,25,5.2,80,9.5,1013,44.75,35,23,27,116,176,356,0,6,10.2,météo favorable
2009-01-28,29,23,11,25,29,26,6.5,77,9.5,1012,26.25,34,24,28,113,356,176,0,6,11.6,météo correcte
2009-01-29,31,23,13,26,31,26,0.2,68,9.875,1013,18,36,24,29,113,116,113,0,6,11.6,météo favorable
2009-01-30,30,21,6,24,30,25,0,53,10,1013,2.5,33,24,30,113,113,113,0,7,11.6,météo idéale
2009-01-31,30,21,9,24,30,26,0,59,10,1012,16.375,37,21,28,113,116,116,0,7,11.6,météo favorable
2009-02-01,30,21,10,24,30,25,0,59,10,1014,1.375,36,23,30,113,113,113,0,7,11.6,météo favorable
2009-02-02,31,21,9,24,31,25,0,57,10,1014,1.5,38,23,30,113,113,113,0,7,11.6,météo favorable
2009-02-03,31,21,7,25,31,25,0,55,10,1015,1.875,36,23,30,113,113,113,0,7,11.6,météo favorable
2009-02-04,30,22,14,25,30,26,0,62,10,1015,23.75,33,21,28,113,116,119,0,7,10.2,météo favorable
2009-02-05,31,22,9,25,31,25,0,54,10,1014,9.75,34,21,30,113,113,113,0,7,11.6,météo idéale
2009-02-06,32,21,9,24,32,24,0,50,10,1014,2.75,35,20,30,113,113,113,0,7,11.6,météo favorable
2009-02-07,31,21,12,23,31,25,0,54,10,1013,9.5,33,20,29,113,113,116,0,7,11.6,météo idéale
