DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,1,0,14,-3,1,-0,0.5,94,8.375,1024,63,1,0,-5,116,119,119,0.4,2,2.7,météo très défavorable
2009-01-02,-1,0,18,-2,-1,-2,0.7,79,9.25,1024,46.625,0,0,-7,116,116,119,0.6,2,7.3,météo très défavorable
2009-01-03,1,0,28,-2,-2,-1,3.4,93,6.5,1021,95,1,0,-9,119,122,122,1.7,1,2.7,météo très défavorable
2009-01-04,0,0,11,-4,-5,-11,0.5,86,9,1016,34.875,0,0,-12,116,113,113,0.4,1,7.3,météo très défavorable
2009-01-05,-6,0,11,-13,-6,-8,0,92,10,1026,26.375,0,0,-13,113,116,116,0,2,7.3,météo très défavorable
2009-01-06,-7,0,29,-9,-7,-8,0,94,10,1027,19.125,0,0,-15,113,113,116,0,2,7.3,météo très défavorable
2009-01-07,-2,0,35,-8,-5,-2,2,94,8,1015,58,0,0,-17,119,122,116,1.5,1,4.7,météo très défavorable
2009-01-08,-3,0,23,-5,-3,-4,0.6,93,8.75,1026,51.875,0,0,-11,113,116,122,0,2,6.7,météo très défavorable
2009-01-09,2,0,30,-1,1,2,1.2,98,9.25,1023,94.125,2,2,-6,122,122,119,0.2,1,2.8,météo très défavorable
2009-01-10,2,0,12,2,2,1,0.3,99,1.25,1031,98.25,2,2,-2,119,248,248,0,1,2.9,météo très défavorable
2009-01-11,1,0,22,1,1,-2,0,96,10,1031,35,1,1,-6,116,113,113,0,1,7.9,météo très défavorable
2009-01-12,-0,0,28,-2,-0,-2,0,87,10,1027,0,0,0,-9,113,113,113,0,2,7.9,météo très défavorable
2009-01-13,-0,0,28,-3,-1,-0,0,89,10,1019,39.5,0,0,-9,113,116,122,0,2,7.9,météo très défavorable
2009-01-14,0,0,14,-2,0,-1,0,92,10,1016,45.25,0,0,-6,113,113,122,0,2,7.9,météo très défavorable
2009-01-15,2,0,12,-1,2,2,1,98,4.125,1022,90.75,2,1,-2,260,143,122,0.6,1,3,météo très défavorable
2009-01-16,1,0,15,-0,0,-0,0.6,91,8.125,1027,81.25,1,0,-4,119,122,119,0.5,1,3,météo très défavorable
2009-01-17,-1,0,10,-2,-2,-5,0.1,91,7.375,1027,55.875,0,0,-8,119,116,143,0.1,1,6.8,météo très défavorable
2009-01-18,-3,0,18,-7,-3,-4,0,95,10,1019,30.75,0,0,-12,113,113,119,0,2,8,météo très défavorable
2009-01-19,1,0,15,-0,1,0,0.3,98,6.75,1002,85,1,1,-3,143,122,116,0.3,1,3,météo très défavorable
2009-01-20,2,0,21,0,2,1,1.8,98,7.625,1005,88,2,2,-4,122,122,248,0,2,3,météo très défavorable
