DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,26,0,13,25,26,26,0,69,10,1017,2.375,27,20,26,113,113,113,0,1,8.7,météo favorable
2009-01-02,26,0,24,25,26,26,1,80,9.875,1017,40,29,22,25,116,116,119,0,1,7.2,météo favorable
2009-01-03,26,0,30,26,26,26,0.6,81,9.75,1017,36.625,29,23,26,116,113,116,0,1,8.7,météo favorable
2009-01-04,26,0,22,26,26,26,0.1,79,10,1017,18,29,22,26,113,113,116,0,1,8.7,météo favorable
2009-01-05,26,0,23,26,26,26,0,77,10,1017,16.25,29,22,26,113,113,113,0,1,8.7,météo favorable
2009-01-06,26,0,26,25,26,26,1.9,79,9.875,1017,24.875,29,22,26,116,113,113,0,1,8.7,météo favorable
2009-01-07,26,0,29,25,26,26,0.9,80,9.875,1017,27.25,28,22,25,119,116,113,0,1,8.7,météo favorable
2009-01-08,26,0,23,26,25,26,0.4,79,9.875,1017,20.25,28,22,25,113,113,116,0,1,8.7,météo favorable
2009-01-09,26,0,24,26,26,26,0.5,79,9.875,1018,26.125,29,23,26,113,116,113,0,1,8.7,météo favorable
2009-01-10,26,0,30,26,26,26,0.4,77,9.875,1020,14.25,29,22,26,113,113,116,0,1,8.7,météo favorable
2009-01-11,26,0,35,26,26,26,1.2,78,9.75,1019,25.625,29,23,26,116,113,116,0,1,8.7,météo favorable
2009-01-12,26,0,30,25,26,26,0,77,10,1020,8,28,22,26,113,113,113,0,1,8.7,météo favorable
2009-01-13,26,0,35,26,26,26,0,76,10,1020,2.5,28,22,26,113,113,113,0,1,8.7,météo favorable
2009-01-14,26,0,34,26,26,26,0.2,77,9.875,1020,7.625,28,22,26,113,113,113,0,1,8.7,météo favorable
2009-01-15,26,0,35,26,26,26,1.4,79,9.625,1019,27.875,28,22,26,116,116,116,0,1,8.7,météo favorable
2009-01-16,26,0,30,25,26,26,4.9,84,9.75,1016,49,28,23,26,119,119,116,0,1,7.2,météo très défavorable
2009-01-17,26,0,23,26,26,26,0.5,84,9.875,1018,21.625,29,23,26,116,113,113,0,1,8.7,météo favorable
2009-01-18,26,0,22,26,26,26,0.1,82,10,1019,25.125,29,23,26,116,113,113,0,1,8.7,météo favorable
2009-01-19,26,0,27,26,26,26,1.3,83,9.75,1017,34.5,29,23,26,116,116,116,0,1,8.7,météo favorable
2009-01-20,26,0,27,26,26,26,0,83,10,1018,18.5,29,23,26,113,116,113,0,1,8.7,météo favorable
2009-01-21,26,0,22,26,26,26,0,83,10,1018,24.125,29,23,26,116,116,113,0,1,11.6,météo favorable
2009-01-22,26,0,23,26,26,26,0,79,10,1018,4.875,29,22,26,113,113,113,0,1,11.6,météo favorable
2009-01-23,26,0,22,25,26,26,0,78,10,1018,13.5,28,22,26,116,113,113,0,1,11.6,météo favorable
2009-01-24,26,0,25,25,26,26,0,78,10,1017,9.625,28,22,26,113,113,113,0,1,11.6,météo favorable
2009-01-25,26,0,24,25,26,26,0.1,80,10,1017,17.5,28,22,26,116,113,113,0,1,11.6,météo favorable
2009-01-26,26,0,27,25,26,26,0.6,80,9.875,1018,17.25,28,22,26,116,116,113,0,1,11.6,météo favorable
2009-01-27,26,0,35,25,25,25,1.4,80,9.625,1019,28.5,28,22,25,116,116,116,0,1,11.6,météo favorable
2009-01-28,26,0,36,25,26,26,1.2,77,9.75,1019,18.25,28,22,25,116,113,113,0,1,11.6,météo favorable
2009-01-29,26,0,29,25,26,25,1,79,9.75,1018,28.125,28,22,25,113,113,116,0,1,11.6,météo favorable
2009-01-30,26,0,23,25,25,26,1.7,82,9.875,1017,51.375,29,23,25,119,119,113,0,1,8.7,météo très défavorable
2009-01-31,26,0,21,26,26,26,0.7,83,9.75,1017,27.5,29,23,26,116,113,113,0,1,11.6,météo favorable
2009-02-01,25,0,17,25,25,25,0.1,80,10,1018,17.375,28,22,25,113,113,113,0,1,11.6,météo favorable
2009-02-02,26,0,27,25,26,26,0,76,10,1017,9.25,28,21,25,116,113,113,0,1,11.6,météo favorable
2009-02-03,26,0,28,25,26,26,0.1,81,10,1018,20.375,29,22,26,116,113,113,0,1,11.6,météo favorable
2009-02-04,26,0,31,26,26,26,0,78,10,1020,11,28,22,26,116,113,113,0,1,11.6,météo favorable
2009-02-05,25,0,27,25,25,25,0,74,10,1020,5.75,27,21,25,113,113,113,0,1,11.6,météo favorable
2009-02-06,26,0,25,25,25,26,0.3,77,9.875,1020,15.875,28,21,25,116,113,113,0,1,11.6,météo favorable
2009-02-07,26,0,30,25,26,26,0.3,72,9.875,1020,5.875,28,21,25,113,113,113,0,1,11.6,météo favorable
2009-02-08,25,0,30,25,25,25,1.9,79,9.875,1018,40.125,27,22,25,116,116,116,0,1,11.6,météo favorable
2009-02-09,26,0,22,25,26,26,0.2,76,9.875,1018,17.875,28,21,26,113,113,113,0,1,11.6,météo favorable
2009-02-10,26,0,36,25,25,25,3.5,80,9.5,1019,36.25,28,21,25,113,116,116,0,1,10.2,météo favorable
2009-02-11,25,0,41,25,25,25,0.2,77,10,1021,36.875,27,21,25,122,113,113,0,1,10.2,météo favorable
2009-02-12,25,0,35,25,25,25,0,72,10,1020,23.25,27,21,25,113,113,116,0,1,11.6,météo favorable
2009-02-13,25,0,31,25,25,25,0,70,10,1018,9.875,27,20,25,113,113,113,0,1,11.6,météo favorable
2009-02-14,25,0,29,25,25,25,0.1,76,10,1017,12.375,27,21,25,113,113,116,0,1,11.6,météo favorable
2009-02-15,25,0,29,25,25,25,0.4,78,9.875,1017,18.5,27,21,25,116,113,113,0,1,11.6,météo favorable
2009-02-16,25,0,21,25,25,25,0,73,10,1016,2.125,27,21,25,113,113,113,0,1,11.6,météo favorable
2009-02-17,25,0,17,25,25,25,0,78,10,1016,4.875,27,21,25,113,113,113,0,1,11.6,météo favorable
2009-02-18,25,0,36,24,25,24,1.6,80,9.875,1018,40.125,27,21,24,116,116,116,0,1,10.2,météo favorable
2009-02-19,25,0,38,25,25,25,2.3,82,9.75,1018,43.125,27,21,25,116,116,116,0,1,11.6,météo favorable
2009-02-20,26,0,31,25,26,26,0.2,77,9.875,1017,9.75,28,22,26,113,113,113,0,1,11.6,météo favorable
2009-02-21,26,0,33,25,26,26,0,76,10,1019,7.125,28,21,26,113,116,113,0,1,11.6,météo favorable
2009-02-22,26,0,33,25,26,26,0,75,10,1020,9.25,28,21,26,113,116,113,0,1,11.6,météo favorable
2009-02-23,25,0,31,25,25,25,0.1,77,10,1020,15.625,27,21,25,113,113,113,0,1,11.6,météo favorable
2009-02-24,26,0,26,25,25,25,0,74,10,1018,1.625,27,21,25,113,113,113,0,1,11.6,météo favorable
2009-02-25,26,0,27,25,26,25,0.1,76,10,1018,12,28,21,26,116,113,113,0,1,11.6,météo favorable
2009-02-26,25,0,26,25,25,25,0.3,76,9.875,1017,15.5,27,21,25,113,113,113,0,1,11.6,météo favorable
2009-02-27,25,0,19,25,25,25,1,78,9.625,1015,21.75,27,21,25,116,113,113,0,1,11.6,météo favorable
2009-02-28,25,0,21,25,25,25,0,78,10,1016,23.125,27,21,25,116,116,113,0,1,11.6,météo favorable
2009-03-01,25,0,19,25,25,25,0,78,10,1017,18.375,27,21,25,113,113,113,0,1,11.6,météo favorable
2009-03-02,26,0,25,25,25,25,0,81,10,1017,22.125,28,22,25,113,116,116,0,1,11.6,météo favorable
2009-03-03,26,0,29,26,26,26,0.2,80,10,1017,20.5,28,22,26,113,113,113,0,1,11.6,météo favorable
2009-03-04,25,0,26,25,25,25,0,77,10,1018,14.125,28,21,25,113,113,113,0,1,11.6,météo favorable
2009-03-05,25,0,21,25,25,25,0.1,75,10,1018,18,27,21,25,113,113,113,0,1,11.6,météo favorable
2009-03-06,25,0,36,24,24,24,2.8,84,9.75,1018,36.75,27,21,24,116,116,116,0,1,11.6,météo favorable
2009-03-07,24,0,36,24,24,24,0,69,10,1018,6.125,26,19,24,113,113,113,0,1,11.6,météo favorable
2009-03-08,24,0,32,24,24,24,0,71,10,1018,16.625,26,19,24,116,113,113,0,1,11.6,météo favorable
2009-03-09,24,0,28,24,24,24,0,71,10,1018,36.25,26,19,24,116,116,113,0,1,11.6,météo favorable
2009-03-10,25,0,25,24,25,25,0,73,10,1018,36.25,26,20,24,119,113,113,0,1,10.2,météo favorable
2009-03-11,24,0,23,24,24,24,0,72,10,1017,13.5,26,19,24,116,113,113,0,1,11.6,météo favorable
2009-03-12,24,0,30,24,24,24,0,73,10,1017,33.5,26,19,24,119,116,113,0,1,10.2,météo favorable
2009-03-13,24,0,32,23,24,24,0.7,75,9.75,1017,27.75,26,20,24,116,113,113,0,1,11.6,météo favorable
2009-03-14,25,0,32,24,25,24,1.1,73,10,1019,39.25,26,20,24,116,113,119,0,1,10.2,météo favorable
2009-03-15,25,0,36,24,25,25,0.4,76,9.75,1020,19.75,27,20,24,113,113,113,0,1,11.6,météo favorable
2009-03-16,25,0,33,24,24,25,1.7,83,9.875,1021,45.5,27,21,24,116,116,119,0,1,10.2,météo favorable
2009-03-17,25,0,27,25,25,25,0.2,73,9.875,1017,8.5,27,20,25,113,113,113,0,1,11.6,météo favorable
2009-03-18,25,0,22,25,25,25,0,74,10,1016,5.5,27,20,25,113,113,113,0,1,11.6,météo favorable
2009-03-19,25,0,23,25,25,25,0,74,10,1016,1.5,27,20,25,113,113,113,0,1,11.6,météo favorable
2009-03-20,25,0,28,25,25,25,0,74,10,1016,5.125,27,21,25,113,113,113,0,1,11.6,météo favorable
2009-03-21,25,0,24,25,25,25,0.1,77,10,1015,10.625,27,21,25,113,113,113,0,1,11.6,météo favorable
2009-03-22,25,0,13,25,25,25,0,74,10,1014,11.125,27,20,25,113,113,113,0,1,11.6,météo favorable
2009-03-23,25,0,11,24,25,25,0,78,10,1015,12.875,27,21,25,113,113,113,0,1,11.6,météo favorable
2009-03-24,25,0,17,25,25,25,0,76,10,1016,19.5,27,21,25,116,113,113,0,1,11.6,météo favorable
2009-03-25,25,0,23,25,25,24,0.2,81,9.875,1015,15.75,27,21,25,113,113,116,0,1,11.6,météo favorable
2009-03-26,24,0,33,24,24,24,0.4,74,9.875,1016,25.125,26,21,24,116,113,113,0,1,11.6,météo favorable
2009-03-27,24,0,28,24,24,24,0,70,10,1018,2.875,26,19,24,113,113,113,0,1,11.6,météo favorable
