DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,-9,-17,21,-12,-11,-13,0.4,93,8.875,1019,40.5,0,0,-19,329,395,392,0.4,1,7.1,météo très défavorable
2009-01-02,-7,-16,14,-12,-8,-13,0,67,10,1022,9.375,0,0,-20,113,113,113,0,1,8.7,météo très défavorable
2009-01-03,-3,-16,15,-7,-5,-10,0,96,7.875,1021,22.25,0,0,-16,113,200,116,0,1,7.1,météo très défavorable
2009-01-04,-5,-16,22,-9,-7,-13,0,95,8.875,1018,22.125,0,0,-18,113,200,113,0,1,8.7,météo très défavorable
2009-01-05,-7,-18,26,-11,-9,-13,0,96,8.75,1017,35.375,0,0,-19,113,200,200,0,1,7.1,météo très défavorable
2009-01-06,-8,-19,22,-13,-9,-15,0,94,8,1019,21.375,0,0,-21,113,116,113,0,1,7.1,météo très défavorable
2009-01-07,-7,-19,24,-12,-8,-17,0,80,10,1022,2.625,0,0,-24,113,113,113,0,1,8.7,météo très défavorable
2009-01-08,-7,-19,24,-11,-8,-17,0,57,10,1024,1.25,0,0,-24,113,113,113,0,1,8.7,météo très défavorable
2009-01-09,-6,-19,20,-10,-6,-15,0,71,10,1024,1.125,0,0,-23,113,113,113,0,1,8.7,météo très défavorable
2009-01-10,-4,-17,24,-9,-6,-14,0,77,10,1023,1.625,0,0,-23,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,-5,-18,23,-9,-7,-13,0,86,10,1023,1.375,0,0,-22,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,-3,-16,16,-7,-3,-13,0,84,10,1024,1.125,0,0,-19,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,-2,-16,17,-7,-3,-12,0,85,10,1025,2.75,0,0,-17,113,113,113,0,1,8.7,météo très défavorable
2009-01-14,-1,-12,15,-5,-1,-10,0,83,10,1025,5.375,0,0,-14,113,113,113,0,1,8.7,météo très défavorable
2009-01-15,-1,-11,14,-5,-1,-8,0,74,10,1025,4.125,0,0,-12,113,113,113,0,1,8.7,météo très défavorable
2009-01-16,0,-11,13,-4,0,-8,0,76,10,1025,21.5,0,0,-11,116,113,116,0,1,8.7,météo très défavorable
2009-01-17,1,-9,21,-3,1,-9,0,62,10,1023,56,1,0,-12,122,119,116,0,1,5.6,météo très défavorable
2009-01-18,0,-12,22,-4,-1,-10,0,42,10,1023,2.375,0,0,-15,113,113,113,0,1,8.7,météo très défavorable
2009-01-19,0,-12,23,-5,-1,-9,0,48,10,1021,0,0,0,-15,113,113,113,0,1,8.7,météo très défavorable
2009-01-20,1,-11,20,-4,1,-6,0,54,10,1019,0,1,0,-13,113,113,113,0,1,8.7,météo très défavorable
2009-01-21,3,-8,15,-2,2,-6,0,69,10,1020,4.625,3,0,-7,113,113,113,0,1,8.7,météo très défavorable
2009-01-22,3,-8,9,-2,2,-6,0,73,10,1020,11.75,3,0,-9,116,113,113,0,1,8.7,météo très défavorable
2009-01-23,3,-7,9,-1,3,-4,0,57,10,1019,1.25,3,0,-8,113,113,113,0,1,8.7,météo très défavorable
2009-01-24,3,-7,17,-0,2,-5,0,69,10,1019,15.625,3,0,-8,113,113,116,0,1,8.7,météo très défavorable
2009-01-25,0,-9,15,-2,-2,-6,0.1,71,9.875,1019,21,0,0,-11,119,185,113,0,1,8.7,météo très défavorable
2009-01-26,1,-10,24,-3,-0,-9,0,58,10,1017,0.875,1,0,-14,113,113,113,0,1,8.7,météo très défavorable
2009-01-27,-1,-13,25,-6,-2,-12,0,52,10,1018,0,0,0,-17,113,113,113,0,1,8.7,météo très défavorable
2009-01-28,-1,-15,12,-6,-1,-12,0,60,10,1017,0,0,0,-11,113,113,113,0,1,8.7,météo très défavorable
2009-01-29,-1,-16,21,-6,-1,-10,0,65,10,1020,5.25,0,0,-16,113,113,116,0,1,8.7,météo très défavorable
2009-01-30,0,-13,29,-5,-1,-12,0,45,10,1019,1,0,0,-17,113,113,113,0,1,8.7,météo très défavorable
2009-01-31,-2,-14,32,-7,-4,-12,0,38,10,1017,0.875,0,0,-18,113,113,113,0,1,8.7,météo très défavorable
