DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,27,22,17,22,26,26,0,83,10,1012,19,31,24,22,113,113,113,,,,météo idéale
2009-01-02,28,23,20,23,27,27,0,84,10,1012,54.75,34,25,23,116,116,122,,,,météo favorable
2009-01-03,26,23,17,23,25,25,0.3,87,10,1012,96,29,23,23,122,122,122,,,,météo défavorable
2009-01-04,27,23,20,23,26,26,1.4,89,7.375,1013,68.875,31,24,23,119,116,266,,,,météo défavorable
2009-01-05,27,23,22,23,26,26,2.8,89,7,1014,85.625,31,25,23,263,122,263,,,,météo défavorable
2009-01-06,26,23,17,23,26,26,7.1,89,8.875,1013,61,30,24,23,176,353,353,,,,météo correcte
2009-01-07,28,23,20,23,27,27,0.5,88,9.375,1012,56.5,33,25,23,119,116,119,,,,météo correcte
2009-01-08,27,23,17,23,26,26,0.2,87,9,1012,45.875,30,24,23,116,113,116,,,,météo favorable
2009-01-09,26,23,14,23,25,25,0.2,88,10,1013,46.75,29,23,23,116,116,116,,,,météo favorable
2009-01-10,27,23,13,23,26,26,0.2,89,9.375,1013,65.5,31,25,23,119,119,119,,,,météo défavorable
2009-01-11,27,23,17,23,27,27,0.1,86,10,1013,49.625,32,25,23,113,119,116,,,,météo correcte
2009-01-12,28,23,16,23,27,27,1.5,89,7.375,1012,70.625,34,26,23,263,116,119,,,,météo défavorable
2009-01-13,27,23,12,23,26,26,15.7,91,6,1014,83.375,30,24,23,308,293,293,,,,météo défavorable
2009-01-14,27,24,15,24,26,26,3.8,90,6.25,1013,85.375,31,25,24,263,119,266,,,,météo défavorable
2009-01-15,27,24,15,24,26,26,10,89,8,1013,88.75,30,24,24,296,296,302,,,,météo défavorable
