DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,27,0,22,26,27,26,0,86,10,1010,69.625,30,23,26,119,119,119,0,1,7.2,météo très défavorable
2009-01-02,26,0,41,26,26,26,0.4,84,10,1011,86.875,30,23,26,116,122,122,0,1,5.7,météo très défavorable
2009-01-03,25,0,35,25,25,25,0,84,10,1011,100,28,22,25,122,122,122,0,1,4.3,météo très défavorable
2009-01-04,27,0,22,26,27,25,6.9,89,9.625,1010,83,30,24,26,122,119,119,0,1,4.3,météo très défavorable
2009-01-05,28,0,19,25,28,26,1.1,89,10,1009,61.125,32,24,25,119,116,116,0,1,8.7,météo très défavorable
2009-01-06,28,0,12,26,28,26,1.4,86,10,1010,60.5,32,25,26,119,116,116,0,1,8.7,météo très défavorable
2009-01-07,29,0,13,27,29,27,0,89,10,1011,49,34,25,27,116,116,113,0,1,7.2,météo favorable
2009-01-08,28,0,15,27,28,26,5.3,87,9.5,1011,45.375,33,25,27,116,116,113,0,1,8.7,météo favorable
2009-01-09,28,0,15,27,28,26,2,86,10,1011,40.5,33,25,27,116,116,116,0,1,7.2,météo favorable
2009-01-10,27,0,16,26,27,25,0.2,87,9.875,1011,51.125,32,24,26,116,116,116,0,1,8.7,météo favorable
2009-01-11,25,0,31,25,25,25,0.1,86,10,1013,99.125,28,22,25,122,122,122,0,1,4.3,météo très défavorable
2009-01-12,26,0,34,25,26,24,1.3,84,8.875,1014,86.125,28,22,25,119,119,119,0,1,4.3,météo très défavorable
2009-01-13,26,0,30,25,26,25,1.5,88,9.875,1014,92.5,29,23,25,119,122,122,0,1,4.3,météo très défavorable
2009-01-14,25,0,50,24,24,24,3.7,87,8.5,1014,100,27,22,24,122,122,122,0,1,4.3,météo très défavorable
2009-01-15,25,0,42,24,25,24,0.3,82,10,1014,99.125,27,21,24,122,122,122,0,1,4.3,météo très défavorable
2009-01-16,26,0,40,25,25,25,0,82,10,1013,97,28,22,25,122,122,122,0,1,4.3,météo très défavorable
2009-01-17,27,0,23,26,27,25,0,87,10,1012,54,30,24,26,116,116,116,0,1,7.2,météo favorable
2009-01-18,28,0,18,26,28,26,0,87,10,1011,41.625,32,24,26,116,116,116,0,1,8.7,météo favorable
2009-01-19,28,0,18,26,28,26,0,87,10,1010,35.75,32,24,26,116,116,116,0,1,8.7,météo favorable
