DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,24,0,12,23,24,23,0,61,10,1017,4.375,25,15,23,113,113,113,0,1,8.7,météo favorable
2009-01-02,24,0,31,23,24,23,0,67,10,1016,8.625,25,17,23,113,113,113,0,1,8.7,météo favorable
2009-01-03,22,0,49,19,22,20,0,49,10,1018,2.625,24,12,20,113,113,113,0,1,8.7,météo favorable
2009-01-04,21,0,30,18,20,20,0,52,10,1018,0,21,10,19,113,113,113,0,1,8.7,météo favorable
2009-01-05,21,0,40,19,21,21,0,45,10,1018,2.125,24,9,20,113,113,113,0,1,8.7,météo favorable
2009-01-06,21,0,24,18,20,21,0,51,10,1017,0,24,10,19,113,113,113,0,1,8.7,météo favorable
2009-01-07,21,0,15,19,21,20,0,53,10,1018,0,24,10,20,113,113,113,0,1,8.7,météo favorable
2009-01-08,21,0,23,20,19,21,0,58,10,1019,16.125,21,12,19,116,116,113,0,1,8.7,météo favorable
2009-01-09,21,0,21,19,21,20,0,51,10,1021,0,24,11,20,113,113,113,0,1,8.7,météo favorable
2009-01-10,21,0,27,19,21,21,0,48,10,1021,8.375,24,10,20,113,113,113,0,1,8.7,météo favorable
2009-01-11,21,0,21,20,21,21,0,54,9.875,1021,32,24,12,21,116,113,113,0,1,8.7,météo favorable
2009-01-12,19,0,32,18,19,18,5.2,75,8.375,1021,58.875,19,14,18,389,293,263,0,1,7.1,météo très défavorable
2009-01-13,22,0,25,20,22,21,0.4,49,9.375,1022,23.375,24,12,21,116,113,113,0,1,8.7,météo favorable
2009-01-14,20,0,24,18,20,19,0,59,10,1023,6.75,20,11,19,113,113,113,0,1,8.7,météo favorable
2009-01-15,20,0,17,17,19,19,0,49,10,1024,11.75,20,9,18,113,113,113,0,1,8.7,météo favorable
2009-01-16,20,0,13,19,20,19,0,46,10,1025,2.625,20,9,19,113,113,113,0,1,8.7,météo favorable
2009-01-17,20,0,10,18,20,19,0,56,10,1023,7.625,20,10,19,113,113,113,0,1,8.7,météo favorable
2009-01-18,20,0,15,18,20,20,0,57,10,1021,14.875,20,11,19,116,113,113,0,1,8.7,météo favorable
2009-01-19,20,0,22,19,20,20,0.2,61,9.375,1020,34.125,21,12,20,116,116,263,0,1,8.7,météo favorable
2009-01-20,19,0,15,17,19,19,0,65,10,1020,7.125,19,12,18,113,113,113,0,1,8.7,météo favorable
2009-01-21,20,0,14,17,20,19,0,63,10,1021,2.125,20,12,18,113,113,113,0,1,8.7,météo favorable
2009-01-22,20,0,25,18,19,19,0,67,10,1020,0,20,13,18,113,113,113,0,1,8.7,météo favorable
2009-01-23,19,0,36,18,19,16,0.5,68,9.375,1016,21.375,19,12,16,113,113,263,0,1,7.2,météo favorable
2009-01-24,19,0,28,15,18,19,0.7,54,10,1016,6.375,19,10,16,113,113,116,0,1,8.7,météo favorable
2009-01-25,19,0,24,18,19,19,0,60,10,1018,12.125,19,11,19,113,113,116,0,1,8.7,météo favorable
2009-01-26,21,0,27,19,21,21,0,57,10,1019,1.125,24,12,20,113,113,113,0,1,8.7,météo favorable
2009-01-27,21,0,27,20,21,21,0,60,10,1019,0.625,21,13,20,113,113,113,0,1,8.7,météo favorable
2009-01-28,23,0,37,21,23,21,0,59,10,1017,9.125,25,13,21,113,113,116,0,1,8.7,météo favorable
2009-01-29,22,0,13,20,22,21,0,58,10,1018,15.5,24,13,21,113,113,113,0,1,8.7,météo favorable
2009-01-30,22,0,14,20,22,21,0,64,10,1018,4.875,24,14,21,113,113,113,0,1,8.7,météo favorable
2009-01-31,22,0,18,20,22,21,0,71,10,1018,4.875,25,16,21,113,113,113,0,1,8.7,météo favorable
2009-02-01,23,0,18,22,23,22,0,68,10,1016,7.25,25,16,22,113,113,113,0,1,8.7,météo favorable
2009-02-02,23,0,45,21,23,22,0,68,10,1017,4,25,16,22,113,113,113,0,1,8.7,météo favorable
2009-02-03,23,0,46,20,22,22,0,50,10,1018,0,25,12,21,113,113,113,0,1,8.7,météo favorable
2009-02-04,22,0,45,19,22,22,0,51,10,1018,0,24,11,21,113,113,113,0,1,8.7,météo favorable
2009-02-05,22,0,27,19,22,21,0,62,10,1019,0.625,25,14,21,113,113,113,0,1,8.7,météo favorable
2009-02-06,22,0,17,20,22,21,0,60,10,1019,1.625,25,13,21,113,113,113,0,1,8.7,météo favorable
2009-02-07,21,0,19,20,21,21,0,74,10,1019,23.5,24,17,21,113,113,116,0,1,8.7,météo favorable
2009-02-08,22,0,23,20,22,21,0,66,10,1019,13,25,14,21,113,113,113,0,1,8.7,météo favorable
2009-02-09,23,0,32,20,23,21,0,65,10,1019,1.375,25,15,22,113,113,113,0,1,8.7,météo favorable
2009-02-10,22,0,17,21,22,21,0,68,10,1018,18.625,25,15,21,113,116,116,0,1,8.7,météo favorable
2009-02-11,22,0,24,21,22,22,0,67,10,1013,18.125,25,15,22,113,113,116,0,1,8.7,météo favorable
2009-02-12,21,0,51,19,21,21,0,54,10,1016,0,24,11,20,113,113,113,0,1,8.7,météo favorable
2009-02-13,22,0,19,19,22,21,0,57,10,1015,1.375,24,12,21,113,113,113,0,1,8.7,météo favorable
2009-02-14,22,0,14,20,22,20,0,58,10,1017,7,24,12,20,113,113,113,0,1,8.7,météo favorable
2009-02-15,21,0,14,20,21,20,0,65,10,1016,18.25,24,14,20,116,113,113,0,1,8.7,météo favorable
2009-02-16,22,0,15,20,22,21,0,67,10,1017,9.5,25,16,21,113,113,113,0,1,8.7,météo favorable
2009-02-17,23,0,14,22,23,22,0,65,10,1016,17.5,25,15,22,113,113,113,0,1,7.2,météo favorable
2009-02-18,23,0,18,22,23,22,0,72,10,1016,17.625,25,17,22,113,113,116,0,1,8.7,météo favorable
2009-02-19,23,0,36,21,23,23,0,62,10,1016,4.375,25,16,22,113,113,113,0,1,8.7,météo favorable
2009-02-20,23,0,14,21,23,21,0,64,10,1016,22.25,25,14,21,113,113,116,0,1,8.7,météo favorable
2009-02-21,22,0,11,21,22,22,0,62,10,1015,8.75,25,14,21,113,113,113,0,1,8.7,météo favorable
2009-02-22,24,0,22,22,24,23,0,65,10,1011,21,25,16,23,116,113,113,0,1,8.7,météo favorable
2009-02-23,24,0,19,22,24,22,0,61,10,1012,8.625,25,16,22,113,113,113,0,1,8.7,météo favorable
2009-02-24,24,0,13,22,24,23,0,62,10,1014,5,25,15,23,113,113,113,0,1,8.7,météo favorable
2009-02-25,25,0,21,23,25,24,0,53,10,1013,13.375,25,14,24,116,113,113,0,1,8.7,météo favorable
2009-02-26,25,0,18,23,25,24,0,66,10,1011,4.875,26,16,23,113,113,113,0,1,8.7,météo favorable
2009-02-27,25,0,15,24,25,25,0,53,10,1012,2.375,26,15,25,113,113,113,0,1,8.7,météo favorable
2009-02-28,25,0,22,24,25,24,0,58,10,1010,3.5,26,17,25,113,113,113,0,1,8.7,météo favorable
2009-03-01,24,0,27,24,24,22,0.3,66,9.375,1012,58.625,25,16,22,116,122,263,0,1,4.3,météo très défavorable
2009-03-02,23,0,54,23,21,21,0,69,10,1015,6.25,25,16,21,113,113,113,0,1,8.7,météo favorable
2009-03-03,21,0,38,19,21,21,0,58,10,1018,15.125,24,13,20,113,113,113,0,1,8.7,météo favorable
2009-03-04,23,0,38,20,23,23,0,51,10,1017,17.875,25,12,21,116,113,113,0,1,8.7,météo favorable
2009-03-05,23,0,46,21,23,22,0,52,10,1017,16.125,25,12,22,116,113,113,0,1,8.7,météo favorable
2009-03-06,23,0,45,20,23,23,0,52,10,1016,11.75,25,12,22,113,113,116,0,1,8.7,météo favorable
2009-03-07,23,0,25,21,23,23,0,60,10,1016,4,25,15,22,113,113,113,0,1,8.7,météo favorable
2009-03-08,25,0,20,22,25,23,0,65,10,1016,0,26,16,23,113,113,113,0,1,8.7,météo favorable
2009-03-09,25,0,15,23,25,24,0,52,10,1017,3.375,26,14,24,113,113,113,0,1,11.6,météo favorable
2009-03-10,26,0,14,24,26,24,0,54,10,1015,20.625,26,14,24,113,119,113,0,1,10.2,météo très défavorable
