DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,30,29,21,27,30,29,12,82,9,1012,30,38,26,29,113,356,356,,,,météo correcte
2009-01-02,31,29,20,27,30,30,16.4,76,8.75,1012,41.75,39,26,29,176,356,353,,,,météo très défavorable
2009-01-03,30,28,13,26,29,29,14.3,78,8.625,1011,43,37,26,28,356,356,353,,,,météo défavorable
2009-01-04,30,28,7,27,29,30,3.9,78,9.375,1009,27.125,37,26,28,176,113,176,,,,météo favorable
2009-01-05,31,28,8,27,30,30,4.5,79,9.75,1009,35.375,40,27,28,116,116,353,,,,météo correcte
2009-01-06,30,28,16,27,29,29,6,81,9.5,1008,37,38,27,28,116,176,176,,,,météo favorable
2009-01-07,30,28,41,26,29,29,7.2,83,10,1008,56,37,26,28,353,353,353,,,,météo correcte
2009-01-08,30,28,40,27,29,29,6.1,82,10,1008,74.75,37,26,28,353,353,353,,,,météo défavorable
2009-01-09,31,28,46,26,30,30,13.9,82,9.25,1006,76.625,40,27,28,353,353,302,,,,météo défavorable
2009-01-10,31,28,45,27,30,30,8,83,8.625,1003,85,40,27,28,119,353,353,,,,météo défavorable
2009-01-11,31,29,49,27,30,30,4.2,84,9,1005,88.25,40,28,29,353,353,353,,,,météo défavorable
2009-01-12,31,29,26,27,30,30,0.7,82,9.375,1006,57.5,40,27,29,200,200,176,,,,météo correcte
2009-01-13,31,28,32,27,30,30,11.1,85,9.125,1005,79.625,41,28,28,353,176,356,,,,météo défavorable
2009-01-14,30,28,50,27,29,29,48.7,83,7.25,1007,95.75,37,26,28,308,302,296,,,,météo très défavorable
2009-01-15,29,28,47,26,29,29,8.9,84,7.75,1010,81.375,37,26,28,263,353,353,,,,météo défavorable
2009-01-16,30,27,21,26,29,29,15.4,84,7.5,1013,60.5,37,26,27,353,356,356,,,,météo défavorable
2009-01-17,29,27,18,26,28,29,20.4,82,8.5,1014,69.625,34,25,27,296,356,359,,,,météo très défavorable
2009-01-18,29,27,13,26,28,28,0.9,80,10,1014,29.875,34,25,27,116,113,113,,,,météo idéale
2009-01-19,31,28,11,26,30,30,0.4,79,9.875,1014,25.375,41,27,28,113,116,116,,,,météo correcte
2009-01-20,30,28,16,27,30,30,1.3,81,9.875,1014,24.875,39,27,28,353,113,113,,,,météo favorable
2009-01-21,31,28,19,27,30,30,6.8,83,9.375,1014,28.75,41,28,28,353,176,176,,,,météo correcte
2009-01-22,30,28,26,26,29,29,19.2,80,7.875,1013,38.25,37,26,28,359,176,176,,,,météo très défavorable
2009-01-23,31,28,33,26,30,30,13.8,80,8.5,1011,29.75,42,28,28,356,176,356,,,,météo défavorable
2009-01-24,31,28,29,26,30,30,10,76,8.75,1009,28.75,38,26,28,356,176,176,,,,météo correcte
2009-01-25,29,27,24,26,28,28,18.7,82,8.625,1009,41.875,34,25,27,176,356,356,,,,météo très défavorable
2009-01-26,31,28,28,26,30,30,3.9,76,9.375,1008,23.375,38,26,28,176,113,113,,,,météo favorable
2009-01-27,31,28,27,26,30,30,4.8,78,9.5,1006,34.125,38,26,28,353,176,116,,,,météo favorable
