DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,34,24,14,24,34,30,8.6,85,9,1011,19.125,45,27,24,113,176,176,,,,météo défavorable
2009-01-02,32,25,13,25,32,29,6.3,89,9.375,1012,18.125,40,26,25,176,113,113,,,,météo correcte
2009-01-03,29,24,8,24,28,28,13.1,89,8.875,1014,43,35,25,24,176,356,353,,,,météo défavorable
2009-01-04,31,24,11,24,31,29,7.9,87,9.125,1014,43.25,39,26,24,353,176,176,,,,météo favorable
2009-01-05,33,23,16,23,33,29,0.3,84,10,1013,10.375,40,25,23,113,113,113,,,,météo correcte
2009-01-06,33,22,15,22,33,30,1.6,84,9.75,1013,10.125,41,26,22,113,176,113,,,,météo correcte
2009-01-07,33,23,15,23,33,30,0.8,85,9.875,1013,9,41,26,23,113,113,113,,,,météo correcte
2009-01-08,33,23,12,23,33,30,3.8,86,9.375,1013,15.875,42,27,23,113,176,176,,,,météo correcte
2009-01-09,27,23,18,23,27,27,40,92,7.875,1013,65.75,33,26,23,353,353,356,,,,météo très défavorable
2009-01-10,31,23,21,23,31,28,24.3,91,7.875,1013,37.25,38,25,23,353,176,176,,,,météo très défavorable
2009-01-11,32,23,16,23,32,28,2.5,88,9.75,1011,9.875,37,24,23,113,113,113,,,,météo favorable
2009-01-12,33,22,10,22,33,29,4.6,86,9.375,1012,14.375,39,25,22,113,176,176,,,,météo favorable
2009-01-13,32,23,12,23,32,29,9.5,86,9,1012,34.25,39,26,23,176,176,353,,,,météo correcte
2009-01-14,32,23,13,23,32,28,1.9,87,9.625,1013,27.5,39,25,23,116,113,116,,,,météo favorable
2009-01-15,31,22,12,22,31,28,10.8,87,9.25,1013,42.375,37,25,22,113,116,356,,,,météo correcte
2009-01-16,31,24,14,24,31,29,15.4,87,8.75,1013,27.125,39,26,24,113,386,176,,,,météo défavorable
2009-01-17,33,24,12,24,33,29,10.4,86,8.75,1012,42.75,40,26,24,353,116,176,,,,météo correcte
2009-01-18,32,24,8,24,32,30,9.9,86,9.375,1012,44,41,27,24,116,176,353,,,,météo correcte
2009-01-19,30,25,18,25,29,29,25.5,90,8.375,1010,53.75,39,27,25,353,386,353,,,,météo très défavorable
2009-01-20,28,24,30,24,27,27,13.2,84,7.5,1009,66,33,25,24,116,266,353,,,,météo défavorable
2009-01-21,32,24,27,24,32,27,7.8,84,7.75,1011,52.75,38,26,24,116,116,176,,,,météo favorable
2009-01-22,33,24,27,24,33,27,1.3,82,9.5,1011,33.5,40,25,24,116,116,176,,,,météo correcte
2009-01-23,31,23,12,23,31,29,8.9,82,9.25,1013,42.125,38,25,23,116,176,176,,,,météo correcte
2009-01-24,31,24,17,24,31,29,10.6,88,9,1014,32,38,26,24,353,176,176,,,,météo correcte
2009-01-25,30,23,10,23,30,29,19.7,86,7.75,1016,27.25,38,26,23,176,356,356,,,,météo très défavorable
2009-01-26,30,23,9,23,30,29,25.2,89,7.875,1017,40.875,39,27,23,176,356,356,,,,météo très défavorable
2009-01-27,31,22,12,22,31,29,16.3,90,8.75,1016,30.625,40,26,22,353,176,176,,,,météo très défavorable
2009-01-28,31,22,13,22,31,29,11.8,89,8.875,1015,22.5,40,26,22,176,176,113,,,,météo correcte
2009-01-29,31,22,12,22,31,28,10.6,90,9.625,1015,37.875,38,26,22,353,176,176,,,,météo correcte
2009-01-30,31,22,10,22,30,29,19.2,91,8.375,1014,33,39,26,22,353,176,113,,,,météo très défavorable
2009-01-31,33,21,18,21,33,29,0.7,87,10,1012,10.125,41,26,21,113,113,113,,,,météo correcte
2009-02-01,33,23,16,23,33,30,2.1,87,9.875,1012,7.875,43,27,23,113,113,113,,,,météo correcte
2009-02-02,31,23,12,23,31,29,9.6,90,9.375,1013,19.875,38,25,23,176,176,113,,,,météo correcte
2009-02-03,33,21,14,21,33,29,1.9,90,10,1013,12.125,41,26,21,113,113,113,,,,météo correcte
2009-02-04,33,21,12,21,33,30,1,88,9.875,1014,12.5,41,26,21,113,113,113,,,,météo correcte
2009-02-05,33,23,31,23,33,29,2,86,9.875,1012,29.125,42,26,23,113,113,116,,,,météo correcte
2009-02-06,29,25,45,25,28,28,15.6,86,9.125,1009,70.5,35,26,25,176,353,356,,,,météo défavorable
2009-02-07,32,26,37,26,31,29,13.5,76,8.25,1004,45.625,39,25,26,263,353,176,,,,météo défavorable
2009-02-08,33,24,14,24,33,29,16.2,84,8.375,1008,28.25,41,26,24,113,113,356,,,,météo très défavorable
2009-02-09,30,24,13,24,30,26,94.1,91,6.875,1012,60.5,37,26,24,353,356,359,,,,météo très défavorable
2009-02-10,26,24,14,24,26,26,108,93,6,1015,87.75,30,25,24,302,302,302,,,,météo très défavorable
2009-02-11,28,24,15,24,28,28,37.9,93,7,1015,70.375,33,25,24,302,263,353,,,,météo très défavorable
2009-02-12,28,24,12,24,27,27,49.9,92,6,1015,49.625,32,25,24,356,356,176,,,,météo très défavorable
2009-02-13,29,23,19,23,28,28,9.1,90,9.5,1016,46.375,34,26,23,116,176,353,,,,météo correcte
2009-02-14,26,23,26,23,25,25,75.5,93,6.875,1017,58.75,29,24,23,299,308,176,,,,météo très défavorable
2009-02-15,29,24,23,24,28,28,3.6,90,9.75,1017,30.875,35,25,24,353,176,113,,,,météo favorable
2009-02-16,29,24,13,24,28,28,10.8,92,9,1015,44.625,35,26,24,353,353,176,,,,météo correcte
2009-02-17,31,22,17,22,30,28,2.8,91,9.375,1015,27.125,39,26,22,176,176,113,,,,météo favorable
2009-02-18,32,22,18,22,32,28,1.3,89,9.75,1015,17.875,40,26,22,176,113,113,,,,météo correcte
2009-02-19,28,23,29,23,27,27,183.6,94,6.875,1012,55.25,34,27,23,176,308,305,,,,météo très défavorable
2009-02-20,28,24,13,24,27,27,47.7,91,6.125,1014,51.625,33,26,24,176,356,356,,,,météo très défavorable
2009-02-21,28,24,15,24,27,27,64.9,94,5.5,1014,67.75,34,26,24,356,356,356,,,,météo très défavorable
2009-02-22,30,23,17,23,30,27,5.7,91,9.875,1014,30.125,36,25,23,353,113,113,,,,météo favorable
2009-02-23,30,20,15,20,30,28,7.1,88,9.125,1014,29,38,26,20,176,176,176,,,,météo favorable
2009-02-24,30,22,21,22,30,27,3.1,90,9.5,1016,20.125,35,24,22,176,113,113,,,,météo favorable
2009-02-25,29,24,19,24,28,28,11.5,91,9.5,1015,41.5,34,25,24,353,176,176,,,,météo correcte
2009-02-26,31,21,20,21,31,27,0.2,89,10,1014,11.125,37,24,21,113,113,113,,,,météo favorable
2009-02-27,32,21,13,21,31,28,0.4,88,10,1013,4.25,38,25,21,113,113,113,,,,météo favorable
