DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,6,-2,16,-2,6,2,0,42,10,1030,10.375,6,0,-2,113,113,116,0,1,8.7,météo très défavorable
2009-01-02,9,-1,16,3,9,8,1.4,95,6.625,1023,70.25,9,8,2,122,122,143,0,1,3.7,météo très défavorable
2009-01-03,14,6,8,7,14,12,0.2,92,4.75,1020,75.75,15,13,9,116,119,143,0,1,3.7,météo défavorable
2009-01-04,14,11,8,12,12,12,2.5,97,2.5,1021,87.375,14,13,12,248,143,143,0,1,3.7,météo défavorable
2009-01-05,19,10,12,11,19,16,1.6,90,5.25,1021,75.625,19,16,15,248,116,143,0,1,5.4,météo défavorable
2009-01-06,20,15,28,15,18,18,2.9,86,9.625,1013,50,20,16,17,113,116,116,0,1,7.1,météo favorable
2009-01-07,19,8,46,18,15,10,0,84,10,1008,53,19,17,7,122,119,113,0,1,7.1,météo correcte
2009-01-08,13,5,30,5,13,9,0,65,10,1014,14,13,6,5,113,113,113,0,1,8.7,météo correcte
2009-01-09,10,1,6,1,9,6,0,61,10,1025,0,12,2,5,113,113,113,0,1,8.7,météo très défavorable
2009-01-10,15,3,16,3,15,13,0,70,10,1025,33.75,15,9,7,113,116,122,0,1,8.7,météo correcte
2009-01-11,15,9,18,15,14,11,0.1,92,10,1017,78.375,15,14,12,122,122,119,0,1,5.4,météo défavorable
2009-01-12,9,2,16,2,9,5,0,62,10,1025,13.125,10,2,1,113,113,116,0,1,8.7,météo très défavorable
2009-01-13,8,3,12,4,7,5,0.1,68,10,1024,22.125,8,1,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-14,8,-1,14,-1,7,4,0,62,10,1024,1.25,8,1,2,113,113,113,0,1,8.7,météo très défavorable
2009-01-15,10,1,23,3,10,4,0,63,10,1031,4.5,10,0,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-16,1,-5,17,-5,-0,-3,0,22,10,1039,11.75,1,0,-9,113,113,116,0,1,8.7,météo très défavorable
2009-01-17,3,-6,14,-6,2,-2,0,17,10,1036,15.125,3,0,-5,113,113,116,0,1,8.7,météo très défavorable
2009-01-18,6,0,21,1,4,6,1.4,97,8,1024,65.875,7,6,-1,122,122,113,0,1,3.8,météo très défavorable
2009-01-19,11,2,19,2,11,8,0.9,83,9,1010,37.75,11,6,4,143,116,116,0,1,8.7,météo très défavorable
2009-01-20,5,-2,21,-0,1,-1,1.2,79,8.125,1017,74.125,5,4,-5,122,119,119,0.2,1,5.4,météo très défavorable
2009-01-21,4,-5,13,-5,3,-2,0,49,10,1023,1.875,5,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-22,10,-1,19,-1,10,4,0,46,10,1023,8.125,10,0,-0,113,113,113,0,1,8.7,météo très défavorable
2009-01-23,15,2,26,3,14,11,0,76,10,1023,7.875,15,10,4,113,113,113,0,1,8.7,météo correcte
2009-01-24,15,11,17,12,15,12,2.1,96,8.25,1021,88,15,13,11,119,122,122,0,1,3.8,météo défavorable
2009-01-25,8,4,15,4,6,6,0.1,80,10,1025,77.125,8,4,2,116,122,119,0,1,3.8,météo très défavorable
2009-01-26,9,4,10,4,8,7,0.3,83,9.375,1029,74.125,9,6,2,119,116,122,0,1,3.8,météo très défavorable
2009-01-27,15,4,10,4,10,10,0,86,10,1029,49.25,15,11,6,116,116,113,0,1,7.1,météo correcte
2009-01-28,19,10,37,13,19,11,0.5,92,8,1021,82.125,19,15,16,122,119,116,0,1,3.9,météo défavorable
2009-01-29,12,5,10,5,11,6,0,81,10,1017,13.75,12,7,7,116,113,113,0,1,8.7,météo très défavorable
2009-01-30,10,2,23,3,10,4,0,55,10,1021,12.75,10,0,3,113,113,113,0,1,8.7,météo très défavorable
2009-01-31,10,-1,14,-1,10,4,0,48,10,1025,0.5,10,0,2,113,113,113,0,1,8.7,météo très défavorable
2009-02-01,13,1,21,1,13,9,0,66,10,1024,11.875,13,5,5,113,113,113,0,1,8.7,météo très défavorable
