DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,0,-6,16,-4,0,-4,0,93,6.25,1029,30.875,0,0,-9,260,113,113,0,1,5.8,météo très défavorable
2009-01-02,-3,-11,22,-11,-3,-4,0,96,7,1026,37.25,0,0,-11,143,143,119,0,2,3.9,météo très défavorable
2009-01-03,-6,-16,16,-9,-6,-11,0,94,10,1025,23.125,0,0,-17,116,113,113,0,2,5.8,météo très défavorable
2009-01-04,-5,-15,7,-15,-5,-15,0,90,10,1025,25.75,0,0,-16,113,116,113,0,2,5.8,météo très défavorable
2009-01-05,-6,-9,15,-9,-6,-7,0,93,10,1021,55.5,0,0,-13,119,119,116,0,2,2.1,météo très défavorable
2009-01-06,-5,-9,23,-7,-5,-6,0.3,98,8.75,1019,80.5,0,0,-14,116,122,122,0.3,2,2.1,météo très défavorable
2009-01-07,-6,-9,29,-8,-7,-8,0,97,10,1021,58.375,0,0,-16,119,119,116,0,2,6.9,météo très défavorable
2009-01-08,-5,-10,22,-9,-6,-10,0,96,9,1028,29.875,0,0,-16,116,116,143,0,2,8.7,météo très défavorable
2009-01-09,-4,-17,9,-17,-4,-9,0,93,7.75,1030,3.25,0,0,-12,260,113,113,0,1,8.7,météo très défavorable
2009-01-10,-1,-10,9,-10,-1,-7,0,90,10,1030,7.625,0,0,-11,113,113,113,0,2,8.7,météo très défavorable
2009-01-11,-2,-14,9,-13,-2,-11,0,82,10,1034,0,0,0,-15,113,113,113,0,2,8.7,météo très défavorable
2009-01-12,1,-16,11,-6,1,-6,0,92,10,1033,10.625,3,2,-8,113,113,116,0,2,8.7,météo très défavorable
2009-01-13,1,-9,10,-3,1,-9,0,93,10,1024,16,2,1,-10,116,113,113,0,2,8.7,météo très défavorable
2009-01-14,0,-8,7,-8,0,-0,1.6,100,5.5,1019,55.875,0,0,-7,113,248,260,1.3,2,3.4,météo très défavorable
