DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,4,-2,18,-2,4,-1,0,90,10,1027,12.5,4,0,-6,113,113,113,0,2,8.7,météo très défavorable
2009-01-02,1,-3,20,-3,1,-2,0,78,10,1026,8.125,1,0,-8,113,113,113,0,2,8.7,météo très défavorable
2009-01-03,2,-4,24,-2,2,-2,0,83,10,1026,10.75,2,0,-7,116,113,113,0,2,8.7,météo très défavorable
2009-01-04,0,-5,9,-5,0,-5,0,68,10,1026,27.25,0,0,-8,113,116,119,0,2,8.7,météo très défavorable
2009-01-05,-0,-5,10,-4,-1,-0,0.9,96,7.375,1021,71.125,0,0,-7,116,122,143,0.8,2,3.3,météo très défavorable
2009-01-06,-2,-7,20,-3,-2,-7,0,86,10,1023,59,0,0,-9,119,116,116,0,1,6.9,météo très défavorable
2009-01-07,-2,-9,17,-9,-2,-4,0,78,10,1026,14,0,0,-15,113,113,113,0,2,8.7,météo très défavorable
2009-01-08,1,-5,21,0,1,-4,0,88,10,1027,19.75,1,0,-6,116,113,113,0,2,8.7,météo très défavorable
2009-01-09,-1,-8,11,-8,-1,-6,0,86,8,1028,2.125,1,0,-10,143,113,113,0,1,8.7,météo très défavorable
2009-01-10,1,-7,9,-7,1,-5,0,79,10,1030,1.5,4,0,-7,113,113,113,0,2,8.7,météo très défavorable
2009-01-11,3,-5,12,-4,3,-0,0,75,9,1031,5.5,3,0,-5,113,113,113,0,2,8.7,météo très défavorable
2009-01-12,4,-1,23,-1,3,2,0,96,10,1028,43.625,4,3,-5,116,119,116,0,2,6.9,météo très défavorable
2009-01-13,4,2,18,2,3,4,4,99,6.5,1017,77.5,4,4,-3,116,143,248,0,1,5.1,météo très défavorable
2009-01-14,6,0,8,1,6,2,0,97,5,1018,28.875,7,5,0,143,113,116,0,1,8.7,météo très défavorable
2009-01-15,4,0,20,0,4,2,0,86,10,1017,40.75,4,1,-4,116,116,113,0,2,8.7,météo très défavorable
2009-01-16,6,-0,17,0,5,5,0,94,9,1020,58.125,6,5,-1,143,116,119,0,2,5.1,météo très défavorable
2009-01-17,10,4,28,6,8,9,1.2,96,8.625,1019,83.375,10,8,2,122,119,116,0,2,5.1,météo très défavorable
2009-01-18,9,6,35,9,8,6,2.6,90,9.5,1009,56.375,9,8,2,200,113,116,0,2,8.7,météo défavorable
2009-01-19,10,3,41,10,9,4,3.9,89,9.625,1004,76.375,10,8,2,122,119,113,0,2,3.4,météo très défavorable
2009-01-20,6,1,17,2,5,2,0,94,9,1000,45.75,6,3,-1,116,122,116,0,2,3.4,météo très défavorable
2009-01-21,4,-1,13,-1,3,2,1.5,92,7.875,1010,49.5,4,3,-1,143,113,116,0,1,8.7,météo très défavorable
2009-01-22,11,4,42,5,9,8,1.6,95,7.875,1005,96,11,9,2,122,122,122,0,2,3.4,météo très défavorable
2009-01-23,11,4,44,11,9,5,0,88,10,993,68.375,11,10,3,122,116,116,0,2,6.9,météo très défavorable
