DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,27,18,21,18,27,22,0,71,10,1015,25.75,28,17,22,113,113,119,0,1,8.7,météo idéale
2009-01-02,23,17,23,17,23,21,0,64,10,1016,21.5,25,16,20,113,116,113,0,1,8.7,météo favorable
2009-01-03,28,17,17,18,26,23,0,52,10,1017,20.875,27,13,21,113,113,113,0,1,8.7,météo idéale
2009-01-04,27,15,16,15,26,22,0,60,10,1016,16.5,27,14,22,113,113,113,0,1,8.7,météo idéale
2009-01-05,28,17,16,18,27,23,0,56,10,1016,17.125,28,15,22,113,113,113,0,1,8.7,météo idéale
2009-01-06,28,17,15,17,27,23,0,60,10,1015,7.5,28,16,23,113,113,113,0,1,8.7,météo idéale
2009-01-07,27,16,22,16,27,22,0,64,10,1015,10.5,27,17,22,113,113,113,0,1,8.7,météo idéale
2009-01-08,28,17,20,17,27,23,0,54,10,1015,5.5,28,16,22,113,113,113,0,1,8.7,météo idéale
2009-01-09,28,18,18,18,28,23,0,51,10,1016,4.875,27,13,23,113,113,113,0,1,8.7,météo idéale
2009-01-10,26,16,16,16,26,21,0,59,10,1016,4.625,26,14,21,113,113,113,0,1,8.7,météo idéale
2009-01-11,27,15,14,16,26,23,0,49,10,1016,11.875,27,14,21,113,113,113,0,1,8.7,météo idéale
2009-01-12,29,17,14,17,28,23,0,27,10,1017,4.625,27,7,22,113,113,113,0,1,8.7,météo idéale
2009-01-13,28,17,14,17,27,23,0,29,10,1018,2.25,26,4,22,113,113,113,0,1,8.7,météo idéale
2009-01-14,29,16,23,16,26,22,0,42,10,1020,0.5,27,7,20,113,113,113,0,1,8.7,météo idéale
2009-01-15,29,16,24,16,27,22,0,34,10,1020,2.625,27,6,20,113,113,113,0,1,8.7,météo idéale
2009-01-16,29,18,14,18,29,25,0,42,10,1019,17.125,28,13,22,116,113,113,0,1,11,météo idéale
2009-01-17,29,18,19,18,28,24,0,53,10,1017,15.25,28,15,23,113,113,113,0,1,11,météo idéale
2009-01-18,27,18,20,18,26,22,0.7,61,10,1014,27.875,27,15,22,113,116,353,0,1,10.1,météo favorable
2009-01-19,28,16,16,16,27,23,0,38,10,1014,0.5,26,12,20,113,113,113,0,1,11,météo idéale
2009-01-20,27,16,13,16,26,22,0,34,10,1014,1.625,26,6,21,113,113,113,0,1,11,météo idéale
2009-01-21,29,16,15,16,28,23,0,41,10,1015,8,27,11,22,113,113,113,0,1,11,météo idéale
2009-01-22,29,17,18,17,28,25,0,39,10,1015,9.25,28,10,23,113,113,113,0,1,11,météo idéale
2009-01-23,29,18,11,18,28,23,0,40,10,1014,3.625,27,11,23,113,113,113,0,1,11.1,météo idéale
2009-01-24,29,18,31,18,29,25,0,54,10,1012,10.125,29,17,23,113,113,113,0,1,11.1,météo idéale
2009-01-25,29,18,16,18,28,25,0,59,10,1014,16.375,29,17,23,113,113,113,0,1,11.1,météo idéale
2009-01-26,30,18,17,18,28,25,0,58,10,1016,10,29,16,25,113,113,113,0,1,11.1,météo idéale
2009-01-27,30,19,14,19,28,25,0,47,10,1016,6.875,29,13,24,113,113,113,0,1,11.1,météo idéale
2009-01-28,30,19,16,19,29,26,0,49,10,1015,7,29,16,24,113,113,113,0,1,11.5,météo idéale
2009-01-29,30,19,23,19,29,26,0,53,10,1013,10,30,17,24,113,113,113,0,1,11.5,météo idéale
2009-01-30,29,19,30,19,29,24,0,60,10,1013,11.75,29,18,24,113,113,116,0,1,11.5,météo idéale
2009-01-31,29,18,23,18,28,25,0,56,10,1013,9.125,29,17,24,113,113,113,0,1,11.5,météo idéale
2009-02-01,28,17,18,17,27,24,0,59,10,1016,10,27,15,22,113,113,113,0,1,11.5,météo idéale
2009-02-02,31,18,19,18,30,26,0,27,10,1017,4.875,29,6,23,113,113,113,0,1,11.5,météo idéale
2009-02-03,31,19,15,19,30,26,0,35,10,1016,7.5,29,10,24,113,113,113,0,1,11.6,météo idéale
2009-02-04,32,20,14,20,31,27,0,39,10,1016,6.375,30,15,25,113,113,113,0,1,11.6,météo idéale
2009-02-05,31,20,19,21,31,27,0,50,10,1015,5,31,18,26,113,113,113,0,1,11.6,météo idéale
2009-02-06,29,20,25,20,29,24,0,62,10,1012,19.875,28,18,24,113,116,116,0,1,11.6,météo favorable
2009-02-07,30,18,17,18,28,25,0,46,10,1013,4,28,16,24,113,113,113,0,1,11.6,météo idéale
