DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,12,0,5,3,12,6,0,64,10,1024,13.125,12,4,8,113,116,113,0,1,8.7,météo très défavorable
2009-01-02,11,0,16,7,11,8,1.1,98,7.875,1018,48.875,11,9,8,296,266,113,0,1,5.3,météo très défavorable
2009-01-03,10,0,13,2,10,4,0,56,10,1019,20.375,10,0,4,116,116,116,0,1,8.7,météo très défavorable
2009-01-04,9,0,3,0,9,1,0,55,10,1025,27,10,0,5,113,113,116,0,1,8.7,météo très défavorable
2009-01-05,5,0,8,5,5,4,0.5,81,9,1025,69.125,5,2,3,122,266,116,0,1,3.7,météo très défavorable
2009-01-06,14,0,4,4,14,6,0,81,4.75,1026,24.375,15,9,9,248,113,143,0,1,8.7,météo très défavorable
2009-01-07,15,0,5,3,15,6,0,67,8,1026,5.375,16,6,10,113,113,113,0,1,8.7,météo très défavorable
2009-01-08,13,0,10,2,13,7,0,74,10,1024,7.5,13,6,10,113,113,113,0,1,8.7,météo très défavorable
2009-01-09,15,0,17,5,15,9,0,42,10,1030,0.375,15,2,9,113,113,113,0,1,8.7,météo très défavorable
2009-01-10,16,0,10,5,16,9,0,40,10,1035,2.375,16,1,9,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,19,0,13,8,19,13,0,37,10,1034,2.375,20,7,13,113,113,113,0,1,8.7,météo favorable
2009-01-12,22,0,23,13,22,16,0,44,10,1028,2.375,23,8,17,113,113,113,0,1,8.7,météo favorable
2009-01-13,20,0,7,10,20,12,0,45,10,1028,1.5,21,5,16,113,113,113,0,1,8.7,météo favorable
2009-01-14,21,0,6,9,21,10,0,35,10,1025,11,21,5,15,113,113,116,0,1,8.7,météo favorable
2009-01-15,21,0,11,9,21,12,0,32,10,1023,3.375,21,3,14,113,113,113,0,1,8.7,météo favorable
2009-01-16,19,0,9,9,19,11,0,36,10,1025,1.25,19,6,15,113,113,113,0,1,8.7,météo favorable
2009-01-17,20,0,5,8,20,9,0,34,10,1025,0,22,5,16,113,113,113,0,1,8.7,météo favorable
2009-01-18,18,0,12,8,18,11,0,39,10,1027,0.25,18,3,12,113,113,113,0,1,8.7,météo favorable
2009-01-19,19,0,14,8,19,11,0,37,10,1025,0,19,2,13,113,113,113,0,1,8.7,météo favorable
2009-01-20,18,0,11,8,18,11,0,40,10,1022,20.25,18,1,12,113,113,116,0,1,8.7,météo favorable
2009-01-21,14,0,5,12,14,10,1.3,63,9.875,1018,77.625,15,8,11,116,122,296,0,1,3.7,météo très défavorable
2009-01-22,13,0,5,9,11,9,3.8,94,5,1017,88.625,13,11,11,296,266,248,0,1,5.4,météo très défavorable
