DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,16,12,20,12,16,14,0,89,10,1024,34.375,16,13,10,116,116,116,,,,météo correcte
2009-01-02,16,12,26,12,16,14,14.8,93,8,1020,87.625,16,14,10,302,302,353,,,,météo défavorable
2009-01-03,12,9,26,9,12,11,8.3,82,9.375,1015,42.375,12,8,6,299,176,116,,,,météo défavorable
2009-01-04,12,8,10,8,12,8,0,85,10,1015,24.75,12,7,7,116,116,113,,,,météo défavorable
2009-01-05,12,3,19,3,12,8,0,73,10,1015,2.625,12,6,1,113,113,113,,,,météo très défavorable
2009-01-06,13,4,18,4,13,11,0.6,82,8.75,1013,37,13,8,4,116,116,263,,,,météo correcte
2009-01-07,12,10,12,11,12,9,19.5,86,8.125,1013,59.625,12,9,9,356,356,176,,,,météo très défavorable
2009-01-08,11,8,16,8,11,9,2.3,89,8.25,1018,35.625,11,7,5,293,113,116,,,,météo défavorable
2009-01-09,13,7,16,7,13,10,8.9,85,9.375,1020,36,13,8,4,116,116,389,,,,météo correcte
2009-01-10,12,9,11,9,12,11,8,91,8.5,1023,41.75,12,9,9,302,176,176,,,,météo défavorable
2009-01-11,13,6,15,6,13,12,0.2,86,10,1025,21.25,13,9,3,113,113,116,,,,météo correcte
2009-01-12,15,11,21,11,15,13,1.6,88,8.625,1024,45.5,15,11,9,116,116,293,,,,météo correcte
2009-01-13,15,12,25,12,15,14,9.3,87,7,1017,70,15,13,10,266,296,302,,,,météo défavorable
2009-01-14,12,9,28,9,12,11,3.9,82,8.625,1013,49.875,12,8,6,266,116,113,,,,météo défavorable
2009-01-15,11,9,23,9,11,10,12.2,85,9.125,1017,52.125,11,8,6,116,353,356,,,,météo défavorable
2009-01-16,11,6,13,6,10,8,2.3,86,9.875,1024,2.25,11,6,4,113,113,113,,,,météo défavorable
2009-01-17,14,7,16,7,14,11,0,86,10,1025,17,14,9,4,113,116,116,,,,météo correcte
2009-01-18,16,7,18,7,16,10,0,89,10,1023,10.625,16,12,4,113,113,113,,,,météo correcte
2009-01-19,17,9,25,9,17,14,0,90,10,1020,49.625,17,14,7,119,116,116,,,,météo correcte
2009-01-20,16,11,30,11,16,13,8.9,92,8.5,1008,76.125,16,14,8,116,296,299,,,,météo défavorable
2009-01-21,13,10,35,10,13,11,1.5,83,10,1008,35.75,13,8,6,119,113,113,,,,météo correcte
2009-01-22,11,9,29,9,11,10,1,79,9.875,1009,44.625,11,7,6,113,116,119,,,,météo défavorable
2009-01-23,16,12,22,12,16,14,9.4,95,6.75,1004,83.5,16,15,11,263,296,299,,,,météo défavorable
2009-01-24,17,12,64,12,17,14,6.9,92,8.625,997,49,17,13,9,119,176,356,,,,météo correcte
2009-01-25,11,10,51,10,11,10,5.1,77,9.375,1001,48.5,11,7,5,296,113,113,,,,météo défavorable
2009-01-26,13,10,34,10,13,11,10.9,87,10,1001,51.625,13,9,6,353,353,353,,,,météo correcte
2009-01-27,10,9,39,9,10,10,23.1,90,8.5,1004,74,10,8,5,356,356,356,,,,météo très défavorable
2009-01-28,10,9,26,9,10,10,2.4,84,8.875,1010,57.375,10,8,6,116,353,266,,,,météo défavorable
2009-01-29,11,7,18,7,11,9,0.1,79,10,1015,7.75,11,5,5,113,113,113,,,,météo défavorable
2009-01-30,13,6,11,6,13,10,0,84,10,1016,1,13,7,4,113,113,113,,,,météo correcte
2009-01-31,16,5,17,5,16,12,0.4,86,9.375,1014,18.75,16,10,1,113,113,116,,,,météo correcte
2009-02-01,14,10,14,10,14,12,15.9,87,7.875,1004,54.125,14,10,9,308,113,113,,,,météo défavorable
2009-02-02,14,11,24,11,14,13,3.5,86,9.125,1002,44,14,11,9,263,176,116,,,,météo correcte
2009-02-03,15,11,19,11,15,13,7.8,91,9.125,1000,40,15,14,9,113,176,356,,,,météo correcte
2009-02-04,13,10,22,10,13,12,1.3,84,10,1006,49.875,13,10,9,116,113,119,,,,météo correcte
2009-02-05,17,9,23,9,17,13,1,84,9.125,1007,31.375,17,12,6,263,176,116,,,,météo correcte
2009-02-06,16,12,27,12,16,12,10.4,89,9.5,1001,34.125,16,12,11,176,176,116,,,,météo correcte
2009-02-07,13,10,42,10,13,11,14.3,89,9.25,996,78.875,13,11,6,293,353,356,,,,météo défavorable
2009-02-08,8,7,43,7,8,7,6.3,84,9.5,1006,62.375,8,5,2,113,353,356,,,,météo très défavorable
2009-02-09,10,8,41,8,10,9,0.4,79,9.875,1017,26.75,10,7,4,116,116,113,,,,météo défavorable
2009-02-10,15,11,32,11,15,13,0.1,90,10,1016,45.75,15,12,8,116,116,116,,,,météo correcte
2009-02-11,11,8,51,8,11,9,8.5,74,9.25,1015,31.875,11,6,4,176,176,353,,,,météo défavorable
2009-02-12,10,7,31,7,10,8,5.5,72,9.5,1011,19.875,10,4,3,113,176,176,,,,météo défavorable
2009-02-13,8,5,27,5,8,6,4.7,67,9.125,1014,23.75,8,2,2,176,176,176,,,,météo très défavorable
2009-02-14,10,3,15,3,10,7,0.1,62,10,1016,20.875,10,0,-1,113,113,116,,,,météo très défavorable
2009-02-15,7,4,19,4,7,5,0,62,10,1024,6.5,7,0,0,113,113,113,,,,météo très défavorable
2009-02-16,10,1,12,1,10,6,0,63,10,1024,33.5,10,0,-1,116,116,116,,,,météo très défavorable
2009-02-17,11,4,14,4,11,8,1,75,8.75,1022,41.25,11,6,2,266,176,113,,,,météo très défavorable
2009-02-18,12,10,23,10,11,7,2.3,86,8.75,1017,49.875,12,8,7,296,113,113,,,,météo défavorable
2009-02-19,9,6,15,6,9,7,1.4,80,8.375,1020,44.625,9,6,3,113,116,266,,,,météo défavorable
2009-02-20,9,3,12,3,9,6,0.1,81,10,1026,0.625,9,2,-1,113,113,113,,,,météo très défavorable
2009-02-21,11,2,11,2,11,8,0,68,10,1027,20.25,11,4,2,116,116,113,,,,météo très défavorable
2009-02-22,13,3,20,3,13,8,0,72,10,1024,22.5,13,6,2,113,113,116,,,,météo correcte
2009-02-23,16,9,13,9,14,12,3.5,87,5.5,1018,69,16,12,6,296,266,176,,,,météo défavorable
2009-02-24,11,7,18,7,11,9,0.8,84,9.875,1016,10.25,11,6,5,113,113,113,,,,météo défavorable
2009-02-25,9,6,25,6,9,7,0.3,83,10,1027,2.5,9,5,3,113,113,113,,,,météo défavorable
2009-02-26,12,4,19,4,12,8,0,68,10,1028,4.25,12,4,2,113,113,113,,,,météo très défavorable
2009-02-27,15,8,25,8,15,11,0,87,10,1023,12,15,11,5,116,113,113,,,,météo correcte
2009-02-28,17,6,18,6,17,13,0,77,10,1018,9.75,17,11,4,113,113,116,,,,météo correcte
2009-03-01,14,11,21,11,14,12,3.5,90,6.375,1015,62.25,14,12,10,266,266,353,,,,météo correcte
2009-03-02,15,11,19,11,14,11,0.6,93,9.875,1018,32.375,15,11,9,176,113,116,,,,météo correcte
2009-03-03,17,6,5,6,15,13,0.2,81,10,1018,34.125,17,11,6,113,113,116,,,,météo correcte
2009-03-04,20,9,21,9,20,11,17.5,92,8.25,1009,57.25,20,16,6,113,389,356,,,,météo très défavorable
2009-03-05,12,9,48,9,11,8,16.2,90,8.5,989,57.25,12,10,4,356,356,176,,,,météo très défavorable
2009-03-06,10,8,30,8,10,9,13.2,90,8.875,996,54.125,10,7,4,353,356,176,,,,météo défavorable
2009-03-07,11,10,30,10,10,11,0.8,81,10,1008,21.625,11,8,6,113,113,113,,,,météo défavorable
2009-03-08,12,7,21,7,12,9,0,79,10,1016,7,12,9,6,113,113,113,,,,météo défavorable
2009-03-09,14,11,36,11,14,12,0.1,82,10,1019,9.625,14,9,8,113,113,113,,,,météo correcte
2009-03-10,13,7,24,7,13,10,0,73,10,1022,7.625,13,7,5,113,113,113,,,,météo correcte
2009-03-11,13,10,32,10,13,12,1.1,85,6.75,1019,54.75,13,10,7,263,266,113,,,,météo correcte
2009-03-12,14,7,15,7,14,11,0,78,10,1024,4.125,14,7,5,113,113,113,,,,météo correcte
2009-03-13,16,6,18,6,16,11,0,70,10,1024,8.875,16,10,5,113,113,113,,,,météo correcte
2009-03-14,17,8,14,8,17,12,0,80,10,1020,3.875,17,11,7,113,113,113,,,,météo correcte
2009-03-15,17,7,16,7,17,12,0,83,10,1021,9.75,17,12,6,113,113,113,,,,météo correcte
2009-03-16,14,8,19,8,14,13,0.8,92,9.75,1023,26.875,14,10,5,116,116,176,,,,météo correcte
2009-03-17,16,9,17,9,16,13,0,82,10,1026,21.5,16,9,7,113,113,116,,,,météo correcte
2009-03-18,17,9,17,9,17,12,0,81,10,1025,10.75,17,10,7,116,113,113,,,,météo correcte
2009-03-19,17,8,16,8,17,10,0,75,10,1022,15.625,17,11,8,116,113,113,,,,météo correcte
2009-03-20,14,9,33,9,14,8,0.8,89,9.875,1016,20.25,14,8,8,176,113,113,,,,météo correcte
2009-03-21,10,6,35,6,10,8,0,60,10,1020,10.75,10,0,1,113,113,113,,,,météo défavorable
2009-03-22,12,6,33,6,12,9,0,58,10,1022,5.75,12,3,2,113,113,113,,,,météo défavorable
2009-03-23,15,6,18,6,15,10,0,71,10,1022,0.375,15,6,6,113,113,113,,,,météo correcte
2009-03-24,18,11,39,11,18,10,0,78,10,1015,4.5,18,12,8,113,113,113,,,,météo favorable
2009-03-25,12,8,36,8,12,10,0,74,10,1013,4.25,12,7,5,113,113,113,,,,météo défavorable
2009-03-26,13,11,38,11,13,11,0.2,75,10,1016,21.25,13,8,8,113,113,113,,,,météo correcte
2009-03-27,18,8,11,8,18,14,0,83,10,1016,4.875,18,11,7,113,113,113,,,,météo favorable
2009-03-28,21,9,25,9,21,17,0.4,74,9.875,1010,29.875,24,15,6,113,113,116,,,,météo favorable
2009-03-29,17,13,30,13,17,15,4.4,93,9.375,1008,47,17,14,12,296,176,176,,,,météo correcte
2009-03-30,18,12,9,12,18,14,1.1,80,9.75,1011,31.375,18,11,12,113,113,176,,,,météo favorable
2009-03-31,16,13,18,13,16,14,16.9,92,8.625,1010,68.875,16,14,11,356,299,353,,,,météo très défavorable
2009-04-01,13,9,11,9,13,11,8.7,89,9.375,1012,38,13,11,8,119,356,176,,,,météo correcte
2009-04-02,14,10,23,10,14,12,20,92,7.875,1014,65.75,14,12,8,389,356,356,,,,météo très défavorable
2009-04-03,13,10,13,10,13,12,6.8,91,9.375,1019,50.375,13,11,9,263,353,353,,,,météo correcte
2009-04-04,15,9,17,9,15,13,3.2,86,9.625,1021,29.625,15,11,7,116,176,176,,,,météo correcte
2009-04-05,16,10,18,10,16,13,0.9,88,9.625,1021,21.25,16,12,10,113,176,176,,,,météo correcte
2009-04-06,18,10,15,10,18,14,0,91,10,1019,11.75,18,13,10,113,113,113,,,,météo favorable
2009-04-07,21,11,15,11,21,15,0,85,10,1016,7.75,21,13,9,113,113,113,,,,météo favorable
2009-04-08,16,10,8,10,16,14,8.8,89,8,1016,57.5,16,13,11,263,263,299,,,,météo correcte
2009-04-09,15,12,14,12,15,14,27.5,91,7.5,1015,62.125,15,13,11,293,299,305,,,,météo très défavorable
2009-04-10,19,11,7,11,19,15,0.8,85,9.875,1014,23.5,19,14,10,113,113,113,,,,météo favorable
2009-04-11,16,12,19,12,16,14,14.2,91,8.5,1009,51.25,16,14,10,113,263,302,,,,météo défavorable
2009-04-12,16,13,19,13,16,15,42.4,93,6.875,1005,95.625,16,14,12,308,299,302,,,,météo très défavorable
2009-04-13,16,12,22,12,16,14,6,84,9.5,1008,24.375,16,11,12,113,116,113,,,,météo correcte
2009-04-14,17,13,19,13,17,13,0,88,10,1012,10.5,17,12,12,113,113,113,,,,météo correcte
2009-04-15,20,13,17,13,20,14,0,68,10,1014,6.25,20,13,12,113,113,113,,,,météo favorable
2009-04-16,17,12,19,12,17,13,0,81,10,1014,16.125,17,12,12,116,113,113,,,,météo correcte
2009-04-17,17,13,14,13,17,13,0.1,87,10,1015,11.875,17,11,12,113,113,113,,,,météo correcte
2009-04-18,16,11,13,11,16,14,2.6,82,8.5,1014,38,16,13,10,116,263,176,,,,météo correcte
2009-04-19,15,11,17,11,15,13,0.9,85,10,1016,7.375,15,10,10,113,113,113,,,,météo correcte
2009-04-20,17,10,20,10,17,14,2.1,83,10,1017,22,17,12,9,113,113,353,,,,météo correcte
2009-04-21,16,13,25,13,16,15,7.6,89,9.375,1014,51.625,16,14,12,176,176,176,,,,météo correcte
2009-04-22,18,14,21,14,17,16,3.5,88,9,1013,42.875,18,14,13,353,176,176,,,,météo favorable
2009-04-23,19,13,20,13,19,15,0,76,10,1014,6.875,19,13,13,113,113,113,,,,météo favorable
2009-04-24,19,13,18,13,19,16,0,84,10,1015,8.125,19,14,12,113,113,113,,,,météo favorable
