DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,26,0,10,20,26,22,0.3,77,9.875,1011,13,28,18,22,113,113,176,0,1,12.3,météo favorable
2009-01-02,26,0,11,20,26,22,2.5,86,9.5,1011,30.375,28,20,22,176,176,176,0,1,11.6,météo favorable
2009-01-03,24,0,5,21,24,21,1.7,89,9.75,1011,36.5,26,19,21,293,116,113,0,1,11.6,météo favorable
2009-01-04,27,0,6,21,27,23,4.6,88,9.375,1011,31.875,30,21,23,116,176,356,0,1,11.6,météo favorable
2009-01-05,26,0,7,21,26,22,12.5,83,9.25,1010,44.625,28,20,22,299,176,353,0,1,11.6,météo très défavorable
2009-01-06,26,0,9,21,26,22,8.7,87,9.5,1010,50.375,28,20,22,116,353,305,0,1,10.2,météo très défavorable
2009-01-07,25,0,6,20,25,22,15.1,83,8.75,1010,38.625,27,19,22,263,116,176,0,1,11.6,météo très défavorable
2009-01-08,28,0,4,21,28,22,0,90,10,1010,30.25,30,21,22,113,113,116,0,1,11.6,météo favorable
2009-01-09,27,0,8,21,27,23,2.3,81,9.75,1009,34.875,29,20,23,116,113,293,0,1,11.6,météo favorable
2009-01-10,29,0,9,21,29,22,3.6,91,9.625,1008,39.125,31,22,22,176,116,176,0,1,11.6,météo favorable
2009-01-11,27,0,7,21,27,23,6.7,86,9,1009,48.375,28,21,23,296,176,356,0,1,10.2,météo favorable
2009-01-12,23,0,7,21,23,22,17.3,91,8.5,1012,54.625,25,20,21,299,293,263,0,1,10.2,météo très défavorable
2009-01-13,27,0,9,21,27,23,3.5,86,9,1012,37.5,29,21,23,176,116,299,0,1,11.6,météo favorable
2009-01-14,25,0,4,21,25,21,5.1,87,9.625,1013,51,26,20,21,299,116,116,0,1,11.6,météo favorable
2009-01-15,25,0,10,21,25,22,3.1,87,9.5,1013,34.125,27,20,22,293,176,176,0,1,11.6,météo favorable
2009-01-16,25,0,8,21,25,21,2.2,80,9.75,1013,36.875,26,19,21,176,116,116,0,1,11.6,météo favorable
2009-01-17,26,0,8,20,26,22,4.5,82,9.625,1013,28.25,27,19,22,176,113,176,0,1,11.6,météo favorable
2009-01-18,25,0,9,20,25,22,6,81,9.5,1013,29.125,27,19,22,176,176,176,0,1,11.6,météo favorable
2009-01-19,25,0,9,20,25,22,2.5,85,9.125,1012,40.5,27,20,22,176,113,263,0,1,11.6,météo favorable
2009-01-20,26,0,10,20,26,22,1.4,86,9.75,1013,36.625,28,20,22,119,116,176,0,1,11.6,météo favorable
2009-01-21,26,0,9,21,26,21,3.7,81,9.5,1013,32.5,27,19,21,293,176,176,0,1,11.6,météo favorable
2009-01-22,25,0,10,19,25,21,0.7,80,9.75,1013,25.25,27,19,21,113,176,176,0,1,11.6,météo favorable
2009-01-23,25,0,10,20,25,21,2.3,80,9.625,1013,36.875,26,19,21,116,176,176,0,1,11.6,météo favorable
2009-01-24,27,0,10,19,27,21,0,73,10,1012,6.5,27,16,22,113,113,113,0,1,11.6,météo favorable
2009-01-25,28,0,11,19,28,22,0.1,80,10,1012,8.375,28,18,22,113,113,113,0,1,11.6,météo favorable
2009-01-26,29,0,13,20,29,23,0.5,82,9.875,1012,18.75,30,20,23,116,113,176,0,1,11.6,météo favorable
2009-01-27,29,0,10,20,29,23,0,80,10,1011,18.375,30,19,23,113,113,116,0,1,11.6,météo favorable
2009-01-28,28,0,8,22,28,23,1.3,89,9.875,1008,50,30,22,23,116,113,353,0,1,10.2,météo favorable
2009-01-29,25,0,6,21,25,22,8.7,87,9.375,1009,50,27,20,22,296,176,353,0,1,11.6,météo très défavorable
2009-01-30,27,0,8,21,27,23,5.8,87,9.5,1008,38.75,29,21,23,116,116,356,0,1,10.2,météo favorable
2009-01-31,27,0,5,21,27,23,8.4,86,9.375,1009,38.125,29,21,23,176,116,116,0,1,11.6,météo très défavorable
2009-02-01,27,0,8,21,27,23,7.6,88,9.5,1009,59.75,29,21,23,116,176,356,0,1,8.9,météo très défavorable
2009-02-02,27,0,8,22,27,23,14.6,86,8.75,1008,41.5,29,21,23,116,356,356,0,1,11.6,météo très défavorable
2009-02-03,27,0,9,21,27,23,9.2,84,8.875,1008,38.875,29,21,23,263,176,293,0,1,10.2,météo très défavorable
2009-02-04,26,0,5,21,26,23,17.5,85,8.5,1007,45.75,28,21,23,299,176,263,0,1,11.6,météo très défavorable
2009-02-05,27,0,4,22,27,23,0,91,10,1007,62.25,29,21,23,119,116,119,0,1,8.9,météo très défavorable
2009-02-06,26,0,5,22,26,22,0,86,10,1008,55.5,28,21,22,119,116,116,0,1,11.6,météo très défavorable
2009-02-07,25,0,4,22,24,22,0.8,86,9.875,1011,57.875,26,21,22,116,116,293,0,1,10.2,météo très défavorable
2009-02-08,25,0,10,21,25,22,1.8,88,9.75,1013,48.625,27,21,22,116,176,176,0,1,10.2,météo favorable
2009-02-09,23,0,7,20,23,22,13.9,87,9.125,1013,36.625,25,19,21,305,176,113,0,1,11.6,météo très défavorable
2009-02-10,27,0,11,20,27,22,8.8,87,9.375,1013,32.25,28,20,22,176,176,176,0,1,11.6,météo très défavorable
2009-02-11,26,0,8,20,26,22,6.4,83,9.625,1012,42.625,27,19,22,299,116,116,0,1,11.6,météo favorable
2009-02-12,25,0,6,20,25,22,5.1,81,9.625,1011,34.875,26,19,22,176,176,113,0,1,11.6,météo favorable
2009-02-13,26,0,8,21,26,22,0.8,87,8.875,1012,54.625,27,20,22,266,116,119,0,1,8.9,météo favorable
2009-02-14,27,0,10,21,27,22,2.9,90,9.625,1011,28.75,29,22,22,113,176,176,0,1,11.6,météo favorable
2009-02-15,25,0,6,21,25,22,0.9,87,9.25,1011,54.375,27,20,22,263,116,119,0,1,10.2,météo favorable
2009-02-16,23,0,7,20,23,21,11.7,93,9.125,1011,82.375,25,20,21,302,293,353,0,1,6.1,météo très défavorable
2009-02-17,26,0,8,21,26,22,15.1,90,9,1011,52.25,28,21,22,176,176,305,0,1,8.8,météo très défavorable
2009-02-18,23,0,6,20,22,20,6.6,90,8.375,1011,60.5,25,19,20,263,263,293,0,1,10.2,météo très défavorable
2009-02-19,24,0,6,20,24,21,2,84,9.25,1012,46.75,26,19,21,116,116,293,0,1,11.6,météo favorable
2009-02-20,23,0,4,20,22,20,2.6,86,9,1012,40.375,25,19,21,263,293,176,0,1,11.6,météo très défavorable
2009-02-21,24,0,6,20,23,20,1.6,86,9.25,1011,47.5,25,18,21,263,353,116,0,1,10.2,météo très défavorable
2009-02-22,20,0,9,20,19,19,23.9,93,8.625,1010,68,20,18,19,302,308,299,0,1,8.8,météo très défavorable
2009-02-23,24,0,9,19,24,21,3.6,86,9.625,1010,43.625,26,19,21,293,116,176,0,1,11.6,météo favorable
2009-02-24,23,0,5,18,21,20,8.2,88,9.125,1010,51.25,25,19,20,299,293,176,0,1,8.8,météo très défavorable
2009-02-25,25,0,9,20,25,21,0.3,82,9.875,1010,34.5,27,19,21,113,176,116,0,1,11.6,météo favorable
2009-02-26,26,0,11,20,26,22,0.1,84,10,1010,23,28,20,22,113,113,113,0,1,11.6,météo favorable
2009-02-27,25,0,6,20,25,22,1.6,83,9.75,1010,28.25,27,20,22,116,176,176,0,1,11.6,météo favorable
2009-02-28,27,0,11,21,27,22,0.7,82,9.875,1011,18.75,28,20,22,113,113,176,0,1,11.6,météo favorable
2009-03-01,25,0,9,21,25,22,0,81,10,1010,22.25,27,18,22,113,113,116,0,1,11.6,météo favorable
2009-03-02,25,0,5,20,25,21,4.9,84,9,1010,35.125,26,19,21,299,116,263,0,1,11.6,météo favorable
2009-03-03,24,0,4,20,24,21,6,91,9.375,1011,61.625,26,20,21,302,116,299,0,1,7.4,météo très défavorable
2009-03-04,26,0,9,20,26,22,4.8,86,9.5,1011,51.875,27,20,22,116,176,356,0,1,11.6,météo favorable
2009-03-05,25,0,9,21,25,22,5.2,94,9.75,1012,57.5,27,21,22,176,353,293,0,1,6.1,météo très défavorable
2009-03-06,22,0,4,21,22,21,4.7,94,7.625,1012,49.375,25,21,21,299,116,143,0,1,11.6,météo favorable
2009-03-07,24,0,6,20,24,21,5.2,94,7.75,1011,61.625,26,20,21,116,119,299,0,1,8.8,météo très défavorable
2009-03-08,24,0,11,21,24,21,4.1,95,5.5,1012,55.375,27,21,21,143,176,356,0,1,8.8,météo très défavorable
2009-03-09,22,0,4,20,22,20,10.9,93,9.25,1013,49.5,24,21,20,299,293,113,0,1,11.6,météo très défavorable
2009-03-10,24,0,9,20,24,21,0.8,85,9.875,1012,28.125,26,19,21,116,113,116,0,1,11.6,météo favorable
2009-03-11,24,0,6,20,24,21,4.3,86,9,1012,45,25,19,21,299,176,263,0,1,10.2,météo favorable
2009-03-12,23,0,5,19,23,20,6.6,84,9.5,1013,50.375,25,18,20,299,293,116,0,1,11.6,météo très défavorable
2009-03-13,26,0,8,20,26,22,1.8,82,9.875,1012,33.5,27,20,22,116,116,113,0,1,11.6,météo favorable
2009-03-14,26,0,9,20,26,22,2.6,82,9.75,1011,31,28,19,22,353,176,113,0,1,11.6,météo favorable
2009-03-15,26,0,9,20,26,22,0.1,83,10,1010,24.75,27,19,22,116,113,113,0,1,11.6,météo favorable
2009-03-16,27,0,10,21,27,22,1.2,84,9.625,1009,23.125,29,20,23,176,176,113,0,1,11.6,météo favorable
2009-03-17,26,0,5,21,26,21,0.5,85,9.875,1010,21.625,27,20,21,113,176,116,0,1,11.6,météo favorable
2009-03-18,26,0,12,20,26,22,0,85,10,1010,45.25,27,20,22,116,116,116,0,1,11.6,météo favorable
2009-03-19,25,0,4,20,25,22,5.2,87,9.75,1010,53,27,20,22,119,116,116,0,1,10.2,météo favorable
2009-03-20,27,0,10,21,27,22,7.1,88,9.75,1010,50.75,28,20,22,116,116,299,0,1,10.2,météo favorable
2009-03-21,23,0,5,21,22,21,4.2,85,9.125,1010,46.375,25,20,21,116,263,116,0,1,11.6,météo très défavorable
2009-03-22,25,0,7,20,25,21,2.6,85,9.25,1011,45.25,27,20,21,116,263,293,0,1,11.6,météo très défavorable
2009-03-23,26,0,8,20,26,22,1.2,83,9.25,1013,37.375,27,19,22,116,116,176,0,1,11.6,météo favorable
2009-03-24,25,0,6,19,25,21,5,90,9.125,1013,47.5,27,19,21,116,116,263,0,1,11.6,météo favorable
2009-03-25,25,0,11,20,25,21,0.2,85,9.875,1014,39,26,20,21,116,116,116,0,1,11.6,météo favorable
2009-03-26,25,0,11,20,25,22,4,90,8.625,1014,39.125,27,20,22,263,176,353,0,1,10.2,météo favorable
2009-03-27,25,0,9,21,25,21,4.4,91,9.625,1013,36.5,26,21,21,176,116,293,0,1,11.6,météo favorable
2009-03-28,22,0,5,20,21,20,11.7,92,8.5,1012,63.25,24,20,20,299,266,293,0,1,7.4,météo très défavorable
2009-03-29,24,0,8,19,24,21,2.1,92,9.875,1012,43,26,20,21,116,116,293,0,1,11.6,météo favorable
2009-03-30,25,0,10,20,25,21,5.1,94,8.375,1012,43.875,27,20,21,176,176,353,0,1,11.6,météo favorable
2009-03-31,23,0,9,20,23,21,9.4,90,7.25,1012,33.625,25,19,21,299,176,116,0,1,11.6,météo très défavorable
2009-04-01,24,0,11,20,24,21,2.1,91,9.875,1012,41.75,26,20,21,113,176,353,0,1,10.2,météo favorable
2009-04-02,24,0,9,20,24,22,3.9,89,8.75,1012,52.375,26,20,22,293,353,176,0,1,11.6,météo très défavorable
2009-04-03,22,0,5,20,21,21,3.7,94,7.25,1013,56.5,24,20,21,353,293,263,0,1,8.8,météo très défavorable
2009-04-04,24,0,10,20,24,21,1.9,93,6.75,1012,55.125,26,21,21,263,353,353,0,1,10.2,météo très défavorable
2009-04-05,24,0,4,20,24,22,2.3,88,8.25,1011,46.125,26,20,22,263,116,176,0,1,10.2,météo favorable
2009-04-06,22,0,7,21,22,20,20.4,94,8,1012,50.5,25,20,20,299,299,299,0,1,8.8,météo très défavorable
2009-04-07,24,0,6,20,24,21,6.2,84,9,1012,50.125,26,19,21,263,116,116,0,1,11.6,météo favorable
2009-04-08,25,0,9,20,25,20,1.6,85,9.75,1012,23.5,26,19,20,176,113,113,0,1,11.6,météo favorable
2009-04-09,24,0,6,19,24,20,0.2,85,9.875,1012,23.375,25,18,20,113,176,116,0,1,11.6,météo favorable
2009-04-10,25,0,8,19,25,20,0,85,10,1012,19.125,26,19,21,113,113,113,0,1,11.6,météo favorable
2009-04-11,25,0,8,19,25,21,0.1,84,10,1012,28.75,27,19,21,116,113,116,0,1,11.6,météo favorable
2009-04-12,23,0,5,20,23,20,2.6,91,8,1011,62.75,25,19,20,296,263,263,0,1,10.2,météo très défavorable
2009-04-13,24,0,6,20,24,21,0.8,88,9.875,1010,51.75,26,20,21,119,116,116,0,1,10.2,météo favorable
2009-04-14,25,0,7,20,25,21,1.8,85,9.875,1011,41.125,26,20,21,119,116,113,0,1,11.6,météo favorable
2009-04-15,25,0,10,20,25,21,1.8,87,9.75,1011,21.375,27,19,21,113,176,176,0,1,11.6,météo favorable
2009-04-16,24,0,9,20,24,21,0.2,87,10,1011,26.875,26,19,21,113,113,116,0,1,11.6,météo favorable
2009-04-17,25,0,8,20,25,21,0.9,83,9.875,1012,25.875,27,19,21,116,113,176,0,1,11.6,météo favorable
2009-04-18,25,0,9,20,25,21,1.6,83,9.75,1013,31,27,18,21,293,113,113,0,1,11.6,météo favorable
2009-04-19,24,0,6,19,24,21,0,86,10,1012,30,26,19,21,116,116,113,0,1,11.6,météo favorable
2009-04-20,23,0,6,20,23,20,2.8,92,9.625,1011,38.625,25,19,20,176,176,293,0,1,11.6,météo favorable
2009-04-21,23,0,8,20,23,21,3.7,92,9.75,1011,64.625,25,20,21,293,119,293,0,1,7.4,météo très défavorable
2009-04-22,22,0,3,21,22,20,3.2,93,9.75,1012,61.875,24,20,20,116,122,119,0,1,7.4,météo très défavorable
2009-04-23,25,0,11,21,24,22,0,89,10,1012,47.5,26,20,22,116,116,116,0,1,10.2,météo favorable
2009-04-24,22,0,5,20,22,21,9.1,93,7.625,1013,57.75,24,20,21,299,356,293,0,1,10.2,météo très défavorable
2009-04-25,24,0,5,20,23,20,6.2,91,9.5,1014,34.625,26,19,20,176,293,116,0,1,11.6,météo très défavorable
2009-04-26,24,0,6,20,24,21,2.9,89,9,1014,53.125,26,20,21,116,116,356,0,1,11.6,météo favorable
2009-04-27,22,0,4,20,21,21,2.3,88,8.875,1014,66.25,25,19,21,119,296,116,0,1,8.8,météo très défavorable
2009-04-28,24,0,10,20,24,21,0,88,10,1015,40.625,26,19,21,116,116,116,0,1,11.6,météo favorable
2009-04-29,25,0,9,20,25,22,0,88,10,1014,25.375,27,20,22,113,113,113,0,1,11.6,météo favorable
2009-04-30,26,0,9,21,26,22,0.5,91,7.875,1013,32.875,28,21,22,116,113,176,0,1,11.6,météo favorable
2009-05-01,24,0,10,20,24,21,1.7,90,9.75,1014,32.25,26,20,21,116,116,176,0,1,11.6,météo favorable
2009-05-02,24,0,7,20,24,21,3.4,87,9,1013,34,26,20,22,176,263,176,0,1,11.6,météo très défavorable
2009-05-03,26,0,9,20,26,21,2,85,9.5,1014,22.875,27,19,21,176,176,176,0,1,11.6,météo favorable
2009-05-04,24,0,7,20,24,20,0.3,82,9.875,1014,20.875,26,18,20,113,113,116,0,1,11.6,météo favorable
2009-05-05,23,0,3,19,22,20,27,86,8.875,1014,29.875,25,18,20,299,305,113,0,1,11.6,météo très défavorable
2009-05-06,26,0,10,19,26,21,0.4,84,9.875,1013,14.375,28,19,21,113,176,113,0,1,11.6,météo favorable
2009-05-07,27,0,9,20,27,22,0.8,81,9.75,1012,26.375,28,18,22,176,113,116,0,1,11.6,météo favorable
2009-05-08,25,0,7,20,25,22,0.7,89,8.375,1012,33.625,27,20,22,263,116,116,0,1,11.6,météo favorable
2009-05-09,25,0,8,20,25,22,2.2,89,7.625,1012,46.125,27,20,22,116,176,263,0,1,11.6,météo favorable
2009-05-10,21,0,4,21,21,21,13.7,96,4.875,1012,57.125,24,21,21,299,308,263,0,1,7.4,météo très défavorable
2009-05-11,25,0,12,20,25,21,7.6,96,7.25,1011,46.625,27,21,21,176,176,356,0,1,10.2,météo favorable
2009-05-12,22,0,8,20,22,20,11.6,94,7.125,1010,62.625,24,20,20,356,293,116,0,1,8.8,météo très défavorable
2009-05-13,24,0,7,20,24,21,4.1,88,9.125,1010,42.125,26,19,21,299,116,116,0,1,11.6,météo favorable
