DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,24,23,10,23,24,24,0.4,76,10,1016,36.5,26,20,24,113,113,116,0,5,8.7,météo favorable
2009-01-02,24,23,22,23,24,24,0.3,78,9.375,1018,33.125,26,20,24,116,113,113,0,6,8.7,météo favorable
2009-01-03,24,23,37,23,24,24,0,76,10,1019,13.125,26,20,24,113,113,113,0,6,11,météo idéale
2009-01-04,24,23,22,23,24,24,0,76,10,1019,10.875,26,20,24,113,113,113,0,6,11,météo idéale
2009-01-05,24,23,23,23,24,24,0.1,74,10,1020,21.25,26,19,24,113,116,113,0,6,11,météo favorable
2009-01-06,24,23,14,23,24,23,0,74,10,1020,0.875,26,20,24,113,113,113,0,6,11,météo idéale
2009-01-07,24,23,24,23,24,24,0,79,10,1019,10.25,26,20,23,113,113,113,0,6,11,météo idéale
2009-01-08,24,23,19,23,24,24,0,79,10,1017,6.875,26,19,23,113,113,113,0,6,11,météo idéale
2009-01-09,24,22,5,22,24,23,0,77,10,1016,1.375,26,20,23,113,113,113,0,6,11,météo idéale
2009-01-10,24,22,11,22,24,24,0,80,10,1016,4.625,26,20,23,113,113,113,0,6,11,météo idéale
2009-01-11,24,22,14,22,24,23,1.2,81,9.625,1017,31.75,26,19,23,116,116,113,0,6,11,météo favorable
2009-01-12,23,22,13,22,23,23,0.1,80,10,1017,7.5,25,19,22,113,113,113,0,6,11,météo favorable
2009-01-13,24,23,23,24,24,24,0.1,80,10,1017,7.25,26,21,24,113,113,113,0,6,11,météo idéale
2009-01-14,25,24,35,24,25,24,0.7,83,10,1016,19.5,27,21,24,113,113,116,0,6,11,météo idéale
2009-01-15,25,24,30,24,25,25,0.7,83,9.75,1014,17,27,22,25,113,113,113,0,6,11,météo idéale
2009-01-16,24,23,41,24,24,24,4.7,84,9.875,1012,47.625,27,21,24,116,116,119,0,6,10.1,météo favorable
2009-01-17,22,22,33,22,22,22,0.1,68,10,1017,15.125,25,18,22,113,113,113,0,5,11,météo favorable
2009-01-18,22,20,19,20,22,22,0,63,10,1019,0,25,15,21,113,113,113,0,6,11,météo favorable
2009-01-19,23,21,13,21,22,23,0,62,10,1019,0.375,25,16,22,113,113,113,0,6,11,météo favorable
2009-01-20,23,22,20,22,23,23,0.1,76,10,1021,28.5,25,18,23,116,116,116,0,6,11,météo favorable
2009-01-21,22,22,29,22,22,22,0,71,10,1022,11.125,25,18,22,113,113,113,0,6,11.1,météo favorable
2009-01-22,23,22,28,22,23,23,0.2,76,10,1021,33.125,25,18,22,119,113,113,0,6,11.1,météo favorable
2009-01-23,23,23,28,23,23,23,0,74,10,1021,11.25,25,18,23,113,113,113,0,6,11.1,météo favorable
2009-01-24,23,22,26,22,23,23,0,72,10,1020,3,25,18,23,113,113,113,0,6,11.1,météo favorable
2009-01-25,23,23,24,23,23,23,0,73,10,1021,11,25,18,23,113,116,113,0,6,11.1,météo favorable
2009-01-26,23,22,17,22,23,23,0.8,77,9.875,1017,32.625,25,19,22,119,116,113,0,6,10.1,météo favorable
2009-01-27,22,21,16,21,21,21,5.9,86,9.875,1016,59.625,25,19,21,119,119,116,0,6,7.1,météo correcte
2009-01-28,22,21,14,21,22,22,4.4,84,9.75,1018,54.375,24,19,21,116,116,116,0,6,10.1,météo favorable
2009-01-29,23,22,16,22,23,23,0.3,77,9.375,1019,18.25,25,19,23,113,113,113,0,6,11.1,météo favorable
2009-01-30,23,23,21,23,23,23,0,76,10,1020,5,25,19,23,113,113,113,0,6,11.1,météo favorable
2009-01-31,23,22,22,23,23,23,0,76,10,1019,4.125,25,18,23,113,113,113,0,6,11.1,météo favorable
2009-02-01,23,22,20,22,23,23,0,78,10,1020,5.875,25,19,22,113,113,113,0,1,11.2,météo favorable
2009-02-02,23,22,34,23,23,23,0.5,81,9.75,1020,33.75,25,19,23,113,116,116,0,1,11.2,météo favorable
2009-02-03,22,22,37,22,22,22,1.2,84,8,1019,80.125,25,19,22,122,119,116,0,1,7.1,météo défavorable
