DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,3,-3,11,-3,3,-3,0,90,5,1029,17.125,3,0,-1,143,113,143,0,1,8.3,météo très défavorable
2009-01-02,-1,-4,17,-3,-1,-3,0,84,7.5,1027,38.75,0,0,-6,119,116,113,0,1,6.8,météo très défavorable
2009-01-03,-2,-7,17,-5,-2,-6,0,78,10,1026,4.375,0,0,-9,113,113,113,0,1,8.3,météo très défavorable
2009-01-04,-2,-7,7,-7,-2,-6,0,67,10,1026,22.625,0,0,-8,113,113,119,0,1,8.7,météo très défavorable
2009-01-05,-3,-7,5,-7,-3,-6,0,69,10,1021,61.875,0,0,-6,116,119,119,0,1,3.3,météo très défavorable
2009-01-06,-4,-6,20,-5,-4,-5,0,88,10,1020,93.5,0,0,-12,119,122,122,0,1,3.3,météo très défavorable
2009-01-07,-5,-9,23,-9,-5,-8,0,90,10,1024,40.625,0,0,-15,119,113,113,0,1,6.9,météo très défavorable
2009-01-08,-4,-9,23,-7,-4,-9,0,85,10,1028,8.25,0,0,-14,113,113,113,0,1,8.7,météo très défavorable
2009-01-09,-2,-10,6,-10,-2,-7,0,79,10,1029,3.75,0,0,-9,113,113,113,0,1,8.7,météo très défavorable
2009-01-10,0,-9,5,-9,0,-5,0,73,10,1031,0.625,0,0,-7,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,2,-7,5,-6,2,-5,0,55,10,1034,0,2,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,3,-6,15,-4,3,-1,0,39,10,1032,13.5,3,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,5,-2,10,-1,5,-1,0,57,10,1022,22,5,0,-2,116,113,113,0,1,8.7,météo très défavorable
2009-01-14,4,-3,15,0,4,1,0.2,99,6.125,1019,68.5,4,2,-1,248,119,143,0.2,1,3.3,météo très défavorable
2009-01-15,4,-3,11,-3,4,-3,0,88,7,1022,9,4,0,-3,143,113,113,0,1,8.7,météo très défavorable
2009-01-16,4,-4,15,-3,4,-1,0,73,10,1024,24.625,4,0,-4,119,113,113,0,1,8.7,météo très défavorable
2009-01-17,6,1,22,1,6,4,0,92,9,1023,55.625,6,3,-2,116,116,116,0,1,6.9,météo très défavorable
2009-01-18,5,3,42,4,5,4,4.3,99,9,1017,70.25,5,4,-2,116,122,116,0,1,3.4,météo très défavorable
2009-01-19,8,3,46,5,8,7,6.5,93,8.25,1012,81.125,8,7,1,119,122,122,0,1,3.4,météo très défavorable
2009-01-20,5,1,16,2,5,1,0,94,8,1002,45.75,5,3,-1,116,116,143,0,1,8.7,météo très défavorable
2009-01-21,4,-1,8,-1,4,-1,0,91,6.25,1012,52.875,4,1,-0,260,116,113,0,1,8.7,météo très défavorable
2009-01-22,3,-0,29,-0,3,3,2.9,84,7.875,1012,61,3,2,-5,116,116,122,2.2,1,6.9,météo très défavorable
2009-01-23,8,2,49,5,8,4,8.7,96,9.375,993,88.375,8,8,-0,122,200,122,0,1,3.4,météo très défavorable
2009-01-24,1,-0,26,1,-0,1,3.5,97,6.125,1001,81.375,1,1,-6,143,122,119,3,1,3.4,météo très défavorable
2009-01-25,3,-2,16,-0,3,-1,0,92,6.5,1003,43.75,3,0,-4,143,113,113,0,1,6.9,météo très défavorable
2009-01-26,3,-1,6,-0,2,1,0,93,7.75,1006,80,3,2,-1,116,119,248,0,1,3.4,météo très défavorable
2009-01-27,3,0,14,0,2,1,0.1,92,7,1017,73.5,3,0,-2,143,122,119,0.1,1,3.5,météo très défavorable
2009-01-28,2,-4,9,-4,2,-2,0,79,10,1019,7.375,2,0,-3,113,113,113,0,1,8.7,météo très défavorable
