DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,11,2,7,2,11,5,0,44,10,1022,6.875,12,1,8,113,113,113,0,1,8.7,météo très défavorable
2009-01-02,12,2,16,2,12,6,0,48,10,1015,5.375,12,3,8,113,113,113,0,1,8.7,météo très défavorable
2009-01-03,8,1,18,5,8,2,0.8,63,9.75,1020,15.125,8,4,1,176,113,113,0,1,8.7,météo très défavorable
2009-01-04,3,-2,13,-2,3,-1,0,39,10,1025,6.5,3,0,-3,116,113,113,0,1,8.7,météo très défavorable
2009-01-05,2,-3,6,-3,2,1,0,36,10,1026,37.25,3,0,-1,116,116,116,0,1,7,météo très défavorable
2009-01-06,8,-1,11,-1,8,3,0,65,10,1024,4.875,8,1,2,113,113,113,0,1,8.7,météo très défavorable
2009-01-07,11,2,8,2,11,6,0,61,10,1024,0.375,13,5,10,113,113,113,0,1,8.7,météo très défavorable
2009-01-08,14,3,9,3,14,8,0,55,10,1021,0.375,17,5,11,113,113,113,0,1,8.7,météo correcte
2009-01-09,9,3,26,3,9,4,0,43,10,1034,0.375,9,1,4,113,113,113,0,1,8.7,météo très défavorable
2009-01-10,10,1,15,1,10,5,0,40,10,1038,2.625,10,0,8,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,15,3,13,3,15,8,0,36,10,1035,0.375,15,1,9,113,113,113,0,1,8.7,météo correcte
2009-01-12,14,4,17,4,14,9,0,49,10,1032,0,14,4,10,113,113,113,0,1,8.7,météo correcte
2009-01-13,14,4,12,4,14,9,0,53,10,1033,0,14,3,10,113,113,113,0,1,8.7,météo correcte
2009-01-14,15,4,15,4,15,9,0,33,10,1028,0,16,2,10,113,113,113,0,1,8.7,météo correcte
2009-01-15,15,4,17,4,15,9,0,38,10,1027,0.25,15,2,10,113,113,113,0,1,8.7,météo correcte
2009-01-16,14,4,10,4,14,9,0,47,10,1030,2.375,14,5,11,113,113,113,0,1,8.7,météo correcte
2009-01-17,14,5,10,5,14,9,0,45,10,1028,0.5,15,6,11,113,113,113,0,1,8.7,météo correcte
