DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,0,-13,37,-13,-12,-7,0,62,10,1023,8.5,0,0,-24,113,113,113,,,,météo très défavorable
2009-01-02,0,-7,25,-7,-2,-2,1.1,85,10,1023,52.125,0,0,-13,116,116,326,,,,météo très défavorable
2009-01-03,0,-3,33,-2,-2,-3,0.3,82,10,1017,32.875,0,0,-10,116,119,113,,,,météo très défavorable
2009-01-04,0,-7,23,-7,-6,-2,0,81,10,1019,4.125,0,0,-15,113,113,113,,,,météo très défavorable
2009-01-05,2,2,18,1,2,1,0.4,96,8.375,1017,51.125,2,1,-3,266,116,116,,,,météo très défavorable
2009-01-06,0,-5,8,-5,-3,-2,0,87,10,1018,34.125,0,0,-8,116,113,116,,,,météo très défavorable
2009-01-07,1,-1,30,-3,1,1,46,99,6.375,1013,100,1,1,-8,332,302,296,,,,météo très défavorable
2009-01-08,1,-1,37,-1,0,-1,3.7,86,9,1001,61.875,1,0,-9,116,113,119,,,,météo très défavorable
2009-01-09,0,-5,32,-7,-3,-3,0,81,10,1021,16.125,0,0,-12,116,113,113,,,,météo très défavorable
2009-01-10,0,-7,11,-9,-5,-5,6.7,80,8.375,1027,51.5,0,0,-12,113,119,332,,,,météo très défavorable
2009-01-11,0,-6,23,-7,-4,-4,13.8,94,6.375,1018,86.375,0,0,-13,332,326,116,,,,météo très défavorable
2009-01-12,0,-8,19,-7,-6,-4,0,85,10,1026,35,0,0,-14,119,113,113,,,,météo très défavorable
2009-01-13,1,-4,24,-4,0,1,0,86,10,1026,45.75,1,0,-9,113,113,122,,,,météo très défavorable
2009-01-14,0,-11,34,-7,-11,-9,0.5,73,10,1022,34,0,0,-21,113,113,116,,,,météo très défavorable
2009-01-15,0,-11,23,-12,-10,-10,1.9,87,9.625,1028,66.25,0,0,-18,116,326,119,,,,météo très défavorable
2009-01-16,0,-12,20,-14,-11,-11,0,68,10,1032,36,0,0,-20,116,116,119,,,,météo très défavorable
2009-01-17,0,-15,10,-15,-12,-10,0,78,10,1035,23,0,0,-22,113,113,116,,,,météo très défavorable
2009-01-18,0,-5,5,-6,-4,-3,6,97,7.75,1027,90.25,0,0,-6,326,332,326,,,,météo très défavorable
2009-01-19,0,-6,9,-4,-3,-3,6,94,6,1008,60.625,0,0,-11,143,113,122,,,,météo très défavorable
2009-01-20,0,-8,22,-7,-7,-5,0.6,91,10,1006,50.125,0,0,-15,119,116,116,,,,météo très défavorable
2009-01-21,0,-12,18,-11,-9,-7,0,92,10,1014,22.125,0,0,-19,113,113,116,,,,météo très défavorable
2009-01-22,0,-9,22,-9,-6,-3,0,91,10,1016,30.25,0,0,-17,113,113,119,,,,météo très défavorable
2009-01-23,2,-4,17,-4,1,1,0,96,7,1018,29.5,2,0,-6,143,113,113,,,,météo très défavorable
2009-01-24,3,-5,35,2,-3,-6,0,79,10,1022,46,3,2,-14,122,113,113,,,,météo très défavorable
2009-01-25,0,-11,16,-12,-10,-6,0,79,10,1028,20.875,0,0,-16,113,113,116,,,,météo très défavorable
2009-01-26,0,-11,9,-10,-9,-7,0,91,10,1031,27.375,0,0,-16,113,116,113,,,,météo très défavorable
2009-01-27,0,-6,16,-8,-5,-4,0,88,10,1033,39.75,0,0,-11,122,113,113,,,,météo très défavorable
2009-01-28,3,-3,35,-5,-2,3,41.9,100,5.75,1030,91.75,3,3,-10,332,227,302,,,,météo très défavorable
2009-01-29,2,-5,18,-5,-3,-3,1.5,89,9.625,1014,27.375,2,0,-11,113,116,113,,,,météo très défavorable
2009-01-30,0,-5,21,-5,-2,-1,0.5,94,8.875,1015,34.125,0,0,-9,113,116,326,,,,météo très défavorable
2009-01-31,0,-7,30,-6,-6,-5,0,74,10,1017,39,0,0,-14,113,122,113,,,,météo très défavorable
2009-02-01,2,-4,28,-5,-1,2,0.4,88,10,1018,50.375,2,2,-10,323,116,116,,,,météo très défavorable
2009-02-02,5,0,14,1,4,3,0,94,8,1015,24,5,1,-3,113,113,113,,,,météo très défavorable
2009-02-03,0,-2,32,-1,0,-3,9.3,89,7,1014,84.5,0,0,-9,323,326,227,,,,météo très défavorable
2009-02-04,0,-8,25,-7,-7,-6,1.1,66,10,1020,47,0,0,-15,122,113,113,,,,météo très défavorable
2009-02-05,0,-15,30,-14,-12,-10,0,85,10,1028,30,0,0,-24,113,116,116,,,,météo très défavorable
2009-02-06,0,-12,13,-12,-9,-5,0,86,10,1030,26.625,0,0,-17,113,116,113,,,,météo très défavorable
2009-02-07,3,-6,26,-5,0,3,0.1,90,10,1029,26.5,3,2,-10,113,116,116,,,,météo très défavorable
2009-02-08,7,5,35,5,7,4,0.4,97,10,1021,35.375,7,6,0,116,116,113,,,,météo très défavorable
2009-02-09,3,-3,16,-2,0,3,0,84,10,1029,28.625,3,0,-7,113,119,113,,,,météo très défavorable
2009-02-10,4,0,18,0,2,3,0,88,9,1028,43.625,4,2,-4,116,113,119,,,,météo très défavorable
2009-02-11,10,3,12,3,7,8,0,98,6.25,1019,67.375,10,9,1,248,116,116,,,,météo très défavorable
2009-02-12,10,5,45,10,8,4,17.5,87,7,1002,81.375,10,10,-1,299,119,296,,,,météo très défavorable
2009-02-13,3,-3,31,0,-1,0,0.6,73,10,1014,38.5,3,0,-10,113,116,113,,,,météo très défavorable
2009-02-14,3,-5,21,-4,-3,2,0,70,10,1016,22.5,3,0,-11,113,116,116,,,,météo très défavorable
2009-02-15,2,-4,27,-3,-1,2,0,67,10,1019,12.75,2,0,-11,116,113,113,,,,météo très défavorable
2009-02-16,2,-5,21,-4,-2,2,0,80,10,1022,15.875,2,0,-11,113,113,119,,,,météo très défavorable
2009-02-17,1,-6,19,-5,-3,1,0,79,10,1025,18.75,1,0,-12,113,113,113,,,,météo très défavorable
2009-02-18,4,-2,34,-2,3,1,6.7,83,8.875,1021,47.75,4,2,-6,113,113,332,,,,météo très défavorable
2009-02-19,6,3,15,3,5,5,11.5,99,6,1000,86.125,6,3,0,248,116,353,,,,météo très défavorable
2009-02-20,0,-6,38,-6,-5,-3,2.7,65,8,1010,85.25,0,0,-14,122,119,122,,,,météo très défavorable
2009-02-21,2,-4,25,-4,-2,2,0,70,10,1024,41,2,0,-11,119,113,113,,,,météo très défavorable
2009-02-22,6,1,23,0,6,2,10.5,99,6.625,1024,64.75,6,3,-3,116,266,338,,,,météo très défavorable
2009-02-23,0,-5,36,-5,-3,-3,0.1,66,10,1019,34.625,0,0,-13,116,113,116,,,,météo très défavorable
2009-02-24,0,-9,29,-8,-6,-2,0.1,74,10,1028,36.25,0,0,-18,116,113,113,,,,météo très défavorable
2009-02-25,1,-8,7,-7,-3,1,0,74,10,1032,20.75,1,0,-11,116,113,113,,,,météo très défavorable
2009-02-26,5,-1,19,-1,1,5,1.7,82,9.75,1029,36.375,5,1,-5,116,293,113,,,,météo très défavorable
2009-02-27,11,4,44,3,8,10,1.4,98,8.875,1025,56.875,11,8,0,116,119,116,,,,météo très défavorable
2009-02-28,9,-3,31,1,-2,2,13.7,81,9.125,1024,39.25,9,8,-10,113,113,116,,,,météo très défavorable
2009-03-01,0,-3,23,-5,-2,-2,1.1,72,10,1024,65.5,0,0,-10,122,326,116,,,,météo très défavorable
2009-03-02,0,-8,42,-6,-8,-8,27.1,93,1.75,1018,98.5,0,0,-19,227,227,227,,,,météo très défavorable
2009-03-03,0,-14,24,-12,-11,-8,0.3,93,10,1025,46.625,0,0,-22,116,116,113,,,,météo très défavorable
2009-03-04,0,-12,16,-12,-7,-3,0,95,9,1029,20.75,0,0,-18,116,113,119,,,,météo très défavorable
2009-03-05,0,-10,12,-11,0,0,0,88,10,1032,12.625,0,0,-14,116,113,113,,,,météo très défavorable
2009-03-06,5,2,25,1,4,4,0,99,10,1027,41.25,5,5,-4,116,116,116,,,,météo très défavorable
2009-03-07,11,5,10,5,9,6,0,100,6.5,1020,61,11,8,2,248,143,116,,,,météo très défavorable
2009-03-08,12,10,24,11,10,9,4.6,95,9.125,1015,52.875,12,11,7,116,116,263,,,,météo défavorable
2009-03-09,7,2,27,5,2,2,31.9,97,7.125,1021,98,7,6,-3,308,296,326,,,,météo très défavorable
2009-03-10,5,0,13,-1,4,3,0.3,90,7,1028,47,5,0,-2,143,116,119,,,,météo très défavorable
2009-03-11,10,5,31,4,7,10,10.6,98,7,1026,90,10,9,0,296,296,266,,,,météo très défavorable
2009-03-12,4,-3,23,-3,0,2,0,57,10,1032,22.25,4,0,-9,113,113,116,,,,météo très défavorable
2009-03-13,2,-4,12,-4,0,1,0,45,10,1035,7.25,2,0,-9,113,113,113,,,,météo très défavorable
2009-03-14,7,-1,10,-2,4,6,0,75,10,1029,26.875,7,0,-1,113,116,116,,,,météo très défavorable
2009-03-15,13,3,6,1,10,11,0,93,8,1023,22.625,13,3,3,143,113,113,,,,météo correcte
2009-03-16,8,2,21,2,6,7,0,81,10,1028,24,8,2,-2,113,113,116,,,,météo très défavorable
2009-03-17,9,1,14,0,6,9,0,83,10,1027,42.875,9,1,-1,122,113,113,,,,météo très défavorable
2009-03-18,12,2,32,2,9,11,0,95,10,1025,14.75,12,6,-2,113,113,113,,,,météo très défavorable
2009-03-19,9,4,16,4,8,8,3.7,93,5.25,1019,68.25,9,5,1,266,266,263,,,,météo très défavorable
2009-03-20,5,-1,18,-1,3,5,0,81,10,1029,25.75,5,1,-6,113,113,116,,,,météo très défavorable
2009-03-21,8,-3,14,-3,3,6,0,43,10,1034,6.375,8,0,-8,113,113,116,,,,météo très défavorable
2009-03-22,9,-1,26,-1,5,7,0,81,10,1031,35.875,9,0,-5,113,119,119,,,,météo très défavorable
2009-03-23,1,-5,31,-4,-2,1,0,58,10,1028,2.125,1,0,-11,113,113,113,,,,météo très défavorable
2009-03-24,6,-5,31,-5,2,6,0,57,10,1030,5.375,6,0,-12,113,113,113,,,,météo très défavorable
2009-03-25,10,-1,16,-1,8,8,0,84,10,1031,0.875,10,0,-4,113,113,113,,,,météo très défavorable
2009-03-26,7,1,19,1,7,5,2.3,89,9.875,1025,56,7,4,-3,116,122,122,,,,météo très défavorable
2009-03-27,15,4,15,4,11,15,7.5,97,7,1015,51.75,15,7,1,248,113,113,,,,météo correcte
2009-03-28,13,7,18,7,11,13,0.5,91,8.75,1017,49.25,13,7,5,263,113,116,,,,météo correcte
2009-03-29,8,5,21,5,8,8,13.1,98,5.75,1012,99.75,8,8,2,266,302,266,,,,météo très défavorable
2009-03-30,8,5,36,6,5,7,4.7,95,9.5,1010,57.75,8,6,0,119,293,113,,,,météo très défavorable
2009-03-31,16,1,19,1,7,16,0,84,10,1023,16.625,16,5,-4,116,113,113,,,,météo très défavorable
2009-04-01,5,2,23,2,5,5,1.9,95,6.875,1024,56.75,5,4,-2,143,122,266,,,,météo très défavorable
2009-04-02,15,6,15,6,13,15,4.3,99,6.875,1019,60.5,15,9,6,266,113,113,,,,météo correcte
2009-04-03,11,8,31,8,10,10,24.2,99,7,1014,92,11,11,5,116,296,389,,,,météo très défavorable
2009-04-04,13,6,32,7,6,6,5.3,83,7.625,1001,93.75,13,12,1,122,296,266,,,,météo défavorable
2009-04-05,12,3,27,3,8,12,0.1,78,10,1009,39,12,2,-2,116,113,113,,,,météo très défavorable
2009-04-06,9,4,27,4,8,8,30.2,99,8.5,1009,65.625,9,8,1,113,296,302,,,,météo très défavorable
2009-04-07,6,2,23,2,5,5,2.1,97,6.875,998,85,6,3,-2,266,122,122,,,,météo très défavorable
2009-04-08,6,0,25,0,4,6,0.3,72,10,1005,63.625,6,0,-5,119,116,116,,,,météo très défavorable
2009-04-09,13,3,20,3,11,13,0.2,92,10,1013,26.75,13,2,0,113,113,116,,,,météo correcte
2009-04-10,14,5,17,5,14,8,3.1,83,9.125,1018,44.875,14,6,3,116,113,296,,,,météo correcte
2009-04-11,8,3,25,3,7,7,15.8,94,5.875,1013,84.875,8,6,-1,266,296,296,,,,météo très défavorable
2009-04-12,5,-1,31,-1,3,5,0,69,10,1021,15,5,0,-7,113,113,116,,,,météo très défavorable
2009-04-13,10,-1,22,-1,5,10,0,63,10,1022,6.375,10,0,-6,113,113,116,,,,météo très défavorable
2009-04-14,11,4,13,4,8,8,0.5,64,9.375,1019,47.625,11,3,1,116,116,119,,,,météo très défavorable
2009-04-15,13,6,26,6,10,12,1.3,79,8.625,1019,39.125,13,5,2,116,116,113,,,,météo correcte
2009-04-16,15,4,14,4,11,15,0,71,10,1026,9.625,15,0,1,113,113,113,,,,météo correcte
2009-04-17,18,4,19,4,14,18,0,86,10,1027,14.375,18,3,2,113,116,113,,,,météo favorable
2009-04-18,22,8,21,8,19,18,0,59,10,1017,27,24,8,6,113,116,116,,,,météo favorable
2009-04-19,15,8,15,8,13,14,0.8,87,7.875,1021,34.25,15,9,5,266,113,113,,,,météo correcte
2009-04-20,9,4,35,4,9,6,4.5,87,8.5,1023,54.25,9,4,1,116,116,293,,,,météo très défavorable
2009-04-21,12,9,15,9,9,12,37.7,99,7.75,1014,99.625,12,11,7,389,353,122,,,,météo très défavorable
2009-04-22,11,7,13,7,10,11,5,98,7.5,1008,81.25,11,9,5,122,263,263,,,,météo défavorable
2009-04-23,11,4,28,4,9,10,4.7,90,9.625,1017,61.875,11,7,0,119,122,119,,,,météo très défavorable
2009-04-24,17,4,15,4,14,17,0,91,10,1026,4.875,17,6,1,113,113,113,,,,météo correcte
2009-04-25,23,10,21,10,18,23,0.2,82,10,1024,14.625,25,15,8,113,113,113,,,,météo favorable
2009-04-26,28,16,11,16,26,28,0,74,10,1024,15.875,28,14,16,113,116,113,,,,météo favorable
2009-04-27,24,14,18,14,20,22,0,82,10,1028,19.375,25,15,13,116,113,113,,,,météo favorable
2009-04-28,28,18,27,18,26,27,0,66,10,1024,4.25,28,14,18,113,113,113,,,,météo idéale
2009-04-29,18,9,23,9,13,16,2.6,59,9.75,1032,37.125,18,12,6,113,116,119,,,,météo favorable
2009-04-30,15,6,25,6,15,13,0,83,10,1031,19.5,15,5,5,113,113,113,,,,météo correcte
2009-05-01,17,12,26,12,15,16,8.2,96,5.125,1021,97.375,17,16,9,122,266,302,,,,météo défavorable
2009-05-02,18,10,19,13,13,17,1.7,93,9.75,1013,51.75,18,16,9,296,116,116,,,,météo favorable
2009-05-03,12,8,9,8,12,10,11.6,97,7.875,1016,63.625,12,10,8,116,266,302,,,,météo défavorable
2009-05-04,12,9,7,9,12,12,5.2,99,6.375,1019,76.625,12,11,9,266,263,119,,,,météo défavorable
2009-05-05,12,8,22,8,11,11,6.1,95,5,1020,91.5,12,11,6,143,296,266,,,,météo défavorable
2009-05-06,18,8,13,8,17,16,2.1,98,7.75,1019,64.875,18,10,6,296,116,116,,,,météo correcte
2009-05-07,19,12,20,12,16,19,17.8,99,6.625,1016,82.375,19,16,10,302,266,353,,,,météo très défavorable
2009-05-08,21,11,20,11,20,21,0.1,96,7,1011,17.5,21,13,11,143,113,113,,,,météo favorable
