DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,27,0,11,23,27,25,10.3,92,8.125,1013,61.875,30,23,24,119,113,116,0,1,10.2,météo très défavorable
2009-01-02,26,0,8,24,25,25,0.4,90,8,1013,68.25,29,23,24,116,122,122,0,1,7.5,météo très défavorable
2009-01-03,28,0,13,23,27,25,1,88,10,1012,51.625,31,23,24,116,116,116,0,1,10.2,météo favorable
2009-01-04,28,0,12,24,27,25,4.3,94,9.625,1011,43.375,32,25,25,116,116,116,0,1,11.6,météo favorable
2009-01-05,27,0,9,25,27,25,2.6,93,8.75,1012,40.125,31,25,25,116,116,116,0,1,11.6,météo favorable
2009-01-06,26,0,10,25,26,25,6.2,93,9.5,1010,53.125,30,25,25,116,116,116,0,1,11.6,météo favorable
2009-01-07,27,0,10,24,27,25,1.7,91,9.75,1009,47.25,31,24,25,116,200,200,0,1,11.6,météo très défavorable
2009-01-08,26,0,10,24,26,25,5.2,92,10,1013,51.5,30,24,25,116,116,116,0,1,10.2,météo favorable
2009-01-09,25,0,8,25,25,24,4.9,93,9.625,1012,43.875,28,23,24,116,122,116,0,1,10.2,météo très défavorable
2009-01-10,27,0,11,24,27,25,1.4,89,9.25,1014,45.375,31,23,25,116,116,113,0,1,10.2,météo favorable
2009-01-11,29,0,13,24,29,26,3.3,85,9.5,1014,39.125,32,23,26,116,116,116,0,1,11.6,météo favorable
2009-01-12,28,0,12,24,28,25,2.3,91,9.75,1012,25.375,32,25,25,116,116,113,0,1,11.6,météo favorable
2009-01-13,28,0,13,25,28,26,0,88,10,1012,32,33,24,26,116,116,116,0,1,11.6,météo favorable
2009-01-14,29,0,14,25,29,26,1.2,91,9.875,1011,25.375,33,24,26,113,113,116,0,1,11.6,météo favorable
2009-01-15,28,0,13,25,28,26,5.5,93,9.375,1010,54.625,32,25,26,116,200,119,0,1,10.2,météo très défavorable
2009-01-16,28,0,16,26,28,26,4.5,90,9.5,1010,49,33,25,26,116,200,116,0,1,11.6,météo très défavorable
2009-01-17,28,0,14,25,27,26,3,86,9.875,1011,70.375,32,25,26,119,116,116,0,1,10.2,météo très défavorable
2009-01-18,27,0,10,25,26,25,6.6,92,9,1012,50.375,31,24,25,116,119,116,0,1,7.5,météo très défavorable
2009-01-19,27,0,5,24,27,25,1.5,90,9,1012,86,31,24,25,122,119,119,0,1,6.1,météo très défavorable
2009-01-20,27,0,12,24,25,25,0.2,90,9.375,1012,42.125,30,23,24,116,116,116,0,1,11.6,météo favorable
2009-01-21,29,0,11,25,29,25,2.9,89,9.5,1012,37.625,32,24,25,116,116,116,0,1,11.6,météo favorable
2009-01-22,27,0,9,25,27,24,4.8,90,9.625,1013,42.375,30,24,25,113,119,116,0,1,10.2,météo très défavorable
2009-01-23,29,0,13,24,29,26,0,82,10,1012,33.25,33,23,26,116,116,116,0,1,11.6,météo favorable
2009-01-24,28,0,13,25,28,26,1.5,86,10,1012,43.5,32,24,26,116,116,116,0,1,11.6,météo favorable
2009-01-25,27,0,11,25,27,26,4.8,88,9.5,1012,32.875,31,24,26,116,116,116,0,1,11.6,météo favorable
2009-01-26,29,0,10,25,29,26,1.1,86,9.75,1012,41.375,32,23,26,119,116,116,0,1,11.6,météo favorable
2009-01-27,27,0,10,25,27,25,13,92,9,1012,62.375,31,25,25,119,200,119,0,1,7.5,météo très défavorable
2009-01-28,25,0,11,25,24,24,96.1,95,6.625,1012,80.875,28,24,24,119,143,116,0,1,7.5,météo très défavorable
2009-01-29,24,0,15,24,24,24,1.2,90,8.125,1012,48.625,27,22,24,119,116,113,0,1,10.2,météo favorable
2009-01-30,28,0,12,23,28,26,1.5,83,9.875,1012,28.5,32,23,26,116,113,116,0,1,11.6,météo favorable
2009-01-31,29,0,12,24,29,26,1.7,85,10,1011,33,33,24,26,116,116,113,0,1,11.6,météo favorable
2009-02-01,29,0,14,25,29,26,4.5,90,9.25,1011,58.375,34,25,26,119,200,200,0,1,10.2,météo très défavorable
2009-02-02,28,0,9,26,28,26,6.7,90,9,1012,50,33,25,26,200,116,200,0,1,10.2,météo favorable
2009-02-03,29,0,10,25,27,26,1.6,88,9.25,1012,44.875,31,24,25,119,116,116,0,1,10.2,météo favorable
2009-02-04,31,0,9,25,31,27,0.9,87,9.75,1011,20.25,36,25,27,113,113,113,0,1,11.6,météo favorable
2009-02-05,28,0,10,25,28,26,6.2,91,9.25,1012,51.75,33,25,26,119,200,200,0,1,10.2,météo très défavorable
2009-02-06,28,0,9,25,28,26,7.8,92,9.5,1012,55.375,33,26,26,119,200,116,0,1,11.6,météo très défavorable
2009-02-07,27,0,11,26,27,26,3.3,90,9.875,1013,36.25,32,25,26,116,116,116,0,1,11.6,météo favorable
2009-02-08,29,0,9,26,29,26,2.9,89,9.625,1012,28.125,33,25,26,116,116,116,0,1,11.6,météo favorable
2009-02-09,29,0,10,25,29,27,0.1,88,10,1012,53.625,34,25,27,116,116,119,0,1,10.2,météo favorable
2009-02-10,28,0,11,26,28,26,1.4,90,9.875,1013,18.5,34,25,26,113,113,113,0,1,11.6,météo favorable
2009-02-11,29,0,11,25,28,26,0.9,88,9.875,1011,25.125,33,24,26,113,113,113,0,1,11.6,météo favorable
2009-02-12,28,0,11,26,28,26,3.9,88,9.375,1010,43.125,33,25,26,119,200,116,0,1,11.6,météo très défavorable
2009-02-13,27,0,12,24,27,25,3.4,91,8.875,1010,60,30,23,24,122,116,116,0,1,10.2,météo très défavorable
2009-02-14,25,0,10,24,25,24,18.6,92,8.625,1010,82.375,29,24,24,122,116,122,0,1,7.5,météo très défavorable
2009-02-15,28,0,13,24,28,26,4.6,89,9.875,1011,43.75,32,24,26,116,116,116,0,1,11.6,météo favorable
2009-02-16,27,0,7,25,27,25,6.1,91,9.5,1010,56.375,31,25,25,119,200,119,0,1,10.2,météo très défavorable
2009-02-17,30,0,13,24,30,26,0.3,82,10,1011,21.875,34,23,26,116,113,113,0,1,11.6,météo favorable
2009-02-18,29,0,11,25,29,26,0.7,84,9.875,1010,18.25,33,24,26,113,113,113,0,1,11.6,météo favorable
2009-02-19,29,0,10,26,29,26,0.6,87,9.875,1009,42.625,35,25,26,116,116,116,0,1,11.6,météo favorable
2009-02-20,29,0,15,26,29,26,0.8,84,9.625,1011,23.625,33,24,26,113,113,200,0,1,11.6,météo favorable
2009-02-21,27,0,12,25,27,26,1.7,89,9,1010,48.875,31,25,26,116,119,119,0,1,8.8,météo très défavorable
2009-02-22,28,0,10,26,28,26,2.4,86,10,1010,45.625,32,24,26,116,116,119,0,1,10.2,météo favorable
2009-02-23,28,0,10,26,28,26,1.5,89,9.75,1009,37.75,32,24,26,113,200,113,0,1,11.6,météo très défavorable
2009-02-24,29,0,12,25,29,26,3.2,90,9.5,1009,33.25,35,26,26,113,200,113,0,1,11.6,météo très défavorable
2009-02-25,28,0,14,26,28,26,3.5,88,10,1010,65.25,33,25,26,116,116,119,0,1,7.4,météo très défavorable
2009-02-26,26,0,16,25,25,24,64.6,94,8.25,1011,89.25,29,24,24,122,122,122,0,1,6.1,météo très défavorable
2009-02-27,28,0,14,24,28,25,1,85,9.375,1011,48,31,23,25,116,116,116,0,1,11.6,météo favorable
2009-02-28,29,0,11,25,29,26,0.2,87,10,1011,22.75,34,24,26,116,113,113,0,1,11.6,météo favorable
2009-03-01,29,0,12,26,29,26,6.2,88,9.25,1011,34.75,34,25,26,113,200,116,0,1,10.2,météo très défavorable
2009-03-02,28,0,10,26,28,26,4.2,85,10,1012,58.875,33,25,26,119,113,116,0,1,10.2,météo très défavorable
2009-03-03,28,0,13,25,28,26,1.3,86,9.25,1012,42.5,33,24,27,119,116,113,0,1,11.6,météo favorable
2009-03-04,30,0,15,26,30,27,0.8,84,9.875,1010,25.25,35,24,27,116,113,116,0,1,11.6,météo favorable
2009-03-05,29,0,11,26,29,26,3.3,91,9.5,1010,30.5,35,26,26,116,116,113,0,1,11.6,météo favorable
2009-03-06,29,0,11,26,29,27,3.4,89,9.75,1010,29.5,34,26,27,116,113,113,0,1,11.6,météo favorable
2009-03-07,28,0,13,27,28,27,6.7,89,9.375,1010,39,33,26,27,200,200,116,0,1,11.6,météo très défavorable
2009-03-08,30,0,13,26,30,26,0,79,10,1010,20.25,34,24,26,113,113,113,0,1,11.6,météo favorable
2009-03-09,28,0,11,26,28,26,0.9,88,9.875,1011,36.75,33,25,27,116,116,116,0,1,11.6,météo favorable
2009-03-10,30,0,15,26,30,27,0.2,84,10,1011,24.875,36,25,27,116,113,113,0,1,11.6,météo favorable
2009-03-11,30,0,11,26,30,27,1.6,85,9.5,1010,48.5,35,24,27,200,116,116,0,1,11.6,météo favorable
2009-03-12,29,0,13,25,29,26,4.6,88,9,1010,66.375,32,24,26,122,116,116,0,1,10.2,météo très défavorable
2009-03-13,29,0,14,25,29,27,2.3,87,9.75,1010,34.25,34,25,27,116,113,113,0,1,11.6,météo favorable
2009-03-14,30,0,13,27,29,27,4.9,88,9.375,1010,26,36,26,27,116,113,200,0,1,11.6,météo favorable
2009-03-15,28,0,12,27,28,26,6.3,91,9.125,1011,40.25,34,26,26,113,116,116,0,1,11.6,météo favorable
2009-03-16,27,0,11,26,27,25,4,88,9.625,1012,58.75,30,25,25,200,116,116,0,1,10.2,météo très défavorable
2009-03-17,28,0,11,25,27,26,1.1,88,9.875,1011,45.5,31,24,26,116,116,113,0,1,10.2,météo favorable
2009-03-18,29,0,11,25,29,26,2,87,9.875,1011,33.25,33,24,26,116,116,116,0,1,11.6,météo favorable
2009-03-19,28,0,8,26,28,26,2.8,89,9.875,1011,33.375,33,25,26,113,116,116,0,1,11.6,météo favorable
2009-03-20,26,0,7,25,25,24,3.8,90,9.375,1013,48.625,29,24,24,116,116,116,0,1,10.2,météo favorable
2009-03-21,27,0,14,24,27,25,0.9,90,8.375,1012,58.375,31,24,25,116,122,116,0,1,7.4,météo très défavorable
2009-03-22,31,0,15,25,31,27,1.6,86,9.625,1012,29,35,25,27,113,113,200,0,1,11.6,météo favorable
2009-03-23,29,0,13,26,29,27,2.6,89,9.5,1009,24.625,35,26,27,113,116,200,0,1,11.6,météo favorable
