DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,28,22,12,25,28,22,13.6,97,6.125,1011,67.625,31,24,22,119,116,143,0,1,10.7,météo défavorable
2009-01-02,28,22,13,24,28,22,9.2,97,6.875,1012,68.625,32,23,22,116,116,248,0,1,12,météo défavorable
2009-01-03,25,21,11,23,25,22,5,98,5.25,1011,91.25,28,24,22,143,119,248,0,1,8.2,météo défavorable
2009-01-04,27,21,9,24,27,22,3.4,98,4.875,1011,79.375,31,24,22,116,119,248,0,1,10.7,météo défavorable
2009-01-05,26,20,13,22,25,22,7.4,99,4.25,1012,90.75,28,23,22,143,200,248,0,1,8.2,météo défavorable
2009-01-06,25,22,5,23,25,22,14.5,99,5,1012,83.5,29,24,22,248,116,248,0,1,9.5,météo défavorable
2009-01-07,28,21,7,23,27,23,11,99,5.75,1012,78,33,26,23,143,200,248,0,1,10.7,météo défavorable
2009-01-08,27,20,8,26,27,23,10.8,99,6.75,1014,69,32,26,23,116,116,248,0,1,10.7,météo défavorable
2009-01-09,27,20,7,26,27,22,7.9,99,6.875,1014,52.25,32,25,23,113,200,248,0,1,13.1,météo correcte
2009-01-10,29,20,8,26,28,23,5.7,99,6.875,1012,51.125,35,26,23,113,116,248,0,1,13.1,météo favorable
2009-01-11,29,19,8,26,28,23,1.3,97,6.375,1013,46.125,36,25,23,113,113,143,0,1,13.1,météo favorable
2009-01-12,30,20,10,26,30,23,0,95,5.25,1012,45.875,34,24,23,113,113,143,0,1,13.1,météo favorable
2009-01-13,31,19,10,27,31,23,0.2,96,5.375,1012,41.75,35,25,23,113,116,143,0,1,13.1,météo favorable
2009-01-14,30,19,7,26,27,23,1.7,94,7.375,1011,60.125,34,24,23,116,116,119,0,1,13.1,météo correcte
2009-01-15,25,21,7,23,25,21,1.2,93,8,1012,38.625,28,22,22,116,113,113,0,1,13.1,météo favorable
2009-01-16,29,19,12,25,29,21,2,98,5.5,1012,56.125,33,24,21,116,113,248,0,1,13.1,météo correcte
2009-01-17,29,19,8,26,29,21,3,99,4.5,1011,71,34,25,21,116,116,248,0,1,13.1,météo défavorable
2009-01-18,30,19,10,26,28,22,6,99,5.875,1012,68.5,33,25,22,116,116,248,0,1,10.7,météo défavorable
2009-01-19,30,19,11,24,30,22,0,97,5.25,1012,55,32,23,22,116,116,143,0,1,13.1,météo correcte
2009-01-20,26,20,13,24,26,21,2.9,99,6.125,1014,66.25,29,23,21,116,116,248,0,1,12,météo défavorable
2009-01-21,27,18,10,23,27,20,1,98,5.125,1014,49.625,29,22,20,113,113,248,0,1,13,météo favorable
2009-01-22,28,16,9,24,27,21,0.8,97,6.125,1014,56.25,30,21,21,113,116,248,0,1,13,météo correcte
2009-01-23,31,17,11,23,31,22,0,87,6.25,1012,48.375,34,22,23,113,113,113,0,1,13,météo favorable
2009-01-24,29,16,13,26,29,20,0,92,6.5,1013,28,33,24,21,113,113,113,0,1,13,météo idéale
2009-01-25,28,16,8,23,28,21,0.9,97,5.75,1015,44.125,29,21,21,113,116,143,0,1,13,météo favorable
2009-01-26,28,21,7,25,27,22,6.7,99,5.75,1016,76.75,32,24,23,119,119,248,0,1,10.7,météo défavorable
2009-01-27,29,20,6,25,29,23,7.5,99,5.125,1015,62.125,36,27,23,116,200,248,0,1,13,météo correcte
2009-01-28,29,21,10,26,29,23,3.1,98,5.75,1014,49.5,35,26,23,113,113,248,0,1,13,météo favorable
2009-01-29,28,19,8,26,28,20,5.3,98,5.75,1014,50.75,33,25,21,113,113,248,0,1,13,météo favorable
2009-01-30,30,19,9,26,30,22,1.4,98,7.125,1014,43.875,34,24,22,116,116,248,0,1,13,météo favorable
2009-01-31,29,19,12,25,29,21,1.9,98,4.75,1013,57.625,32,24,21,113,113,248,0,1,13,météo correcte
2009-02-01,28,18,10,25,27,21,2.5,99,5,1015,70.125,31,24,21,116,116,248,0,1,12.9,météo défavorable
2009-02-02,26,19,9,25,26,20,6,99,4.25,1014,76.875,30,24,20,116,116,248,0,1,11.9,météo défavorable
2009-02-03,28,20,6,25,28,22,0.9,98,4.875,1013,59.375,33,25,22,113,113,248,0,1,12.9,météo correcte
2009-02-04,29,19,9,26,28,22,2.6,98,6,1016,53.75,33,24,22,116,113,248,0,1,12.9,météo favorable
2009-02-05,25,19,11,23,25,21,5.3,99,5.875,1017,78.125,29,23,21,119,119,248,0,1,9.4,météo défavorable
2009-02-06,25,20,20,21,25,20,1.8,98,7.5,1017,81.875,27,21,20,122,116,122,0,1,10.6,météo défavorable
2009-02-07,25,19,17,20,25,20,2,98,4.25,1015,78,27,22,20,143,119,248,0,1,9.3,météo défavorable
2009-02-08,27,18,14,22,27,20,0,91,6.75,1014,31.375,29,20,21,113,113,113,0,1,12.9,météo favorable
2009-02-09,28,17,9,22,28,21,0.4,98,6.5,1016,37.5,31,22,21,113,116,248,0,1,12.9,météo favorable
2009-02-10,30,16,12,24,30,21,1.2,98,6.125,1016,51.625,32,22,21,113,116,248,0,1,12.9,météo favorable
2009-02-11,29,18,10,24,29,21,1.3,98,6,1017,54.625,31,22,21,113,116,248,0,1,12.9,météo favorable
2009-02-12,27,19,12,22,27,20,3.6,99,6.125,1017,67.875,29,22,20,116,116,248,0,1,11.9,météo défavorable
2009-02-13,26,19,13,22,26,19,2.5,98,6.25,1016,66.375,28,22,19,116,116,248,0,1,11.9,météo défavorable
2009-02-14,30,18,7,23,28,20,2.8,97,7.375,1014,51.875,34,25,20,116,116,248,0,1,12.8,météo favorable
2009-02-15,29,20,8,24,27,22,1.9,99,5.5,1014,44.625,33,25,22,116,113,248,0,1,12.8,météo favorable
2009-02-16,30,19,9,25,30,21,1,98,4.875,1014,56.875,33,24,21,113,113,248,0,1,12.8,météo correcte
2009-02-17,29,19,10,25,27,20,3.8,99,5.875,1015,60.75,32,24,20,113,113,248,0,1,12.8,météo correcte
2009-02-18,27,18,7,24,26,19,2.7,100,4.875,1015,69.25,31,24,19,116,116,248,0,1,12.8,météo défavorable
2009-02-19,30,18,9,24,30,20,0,97,5,1013,57.75,33,23,21,113,113,248,0,1,12.8,météo correcte
2009-02-20,30,19,11,25,30,21,0.4,97,5.125,1015,44.625,33,22,21,113,113,248,0,1,12.8,météo favorable
2009-02-21,29,18,10,24,29,20,0.1,96,5.25,1015,44.5,31,22,21,113,113,143,0,1,12.8,météo favorable
2009-02-22,28,19,9,25,27,21,2.9,100,6.125,1012,62.875,31,24,21,116,113,248,0,1,12.7,météo correcte
2009-02-23,25,21,10,22,25,22,22.6,100,3.25,1014,99.25,28,24,22,248,143,248,0,1,8,météo très défavorable
2009-02-24,25,21,7,22,25,21,17,100,4.875,1017,90,28,24,22,248,200,248,0,1,8,météo très défavorable
2009-02-25,26,19,9,23,26,21,2.9,99,5,1016,70.375,30,23,21,143,200,248,0,1,11.9,météo défavorable
2009-02-26,29,19,9,23,29,21,0,96,5.375,1015,46.375,31,22,22,113,116,143,0,1,12.7,météo favorable
2009-02-27,29,17,9,24,29,21,0,97,6.25,1014,55.125,32,22,21,116,116,248,0,1,12.7,météo correcte
