DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,34,14,12,14,31,27,0,22,10,1014,1.5,32,2,23,113,113,113,0,1,11.6,météo favorable
2009-01-02,33,14,12,14,30,25,0,30,10,1014,2.75,31,4,22,113,113,113,0,1,11.6,météo favorable
2009-01-03,33,13,10,13,30,25,0,21,10,1015,0,31,0,22,113,113,113,0,1,11.6,météo favorable
2009-01-04,33,12,10,12,30,25,0,24,10,1014,2.875,31,1,22,113,113,113,0,1,11.6,météo favorable
2009-01-05,32,13,12,13,29,25,0,23,10,1015,11.875,30,2,21,113,113,113,0,1,11.6,météo favorable
2009-01-06,31,19,12,20,29,26,0,19,10,1014,39.125,29,0,22,116,116,116,0,1,11.3,météo favorable
2009-01-07,33,20,10,20,30,28,0,19,10,1012,24.25,30,2,24,116,113,113,0,1,11.3,météo idéale
2009-01-08,32,15,8,15,29,25,0,24,10,1012,5.125,30,3,20,113,113,113,0,1,11.3,météo idéale
2009-01-09,32,16,8,16,29,26,0,24,10,1015,3.375,29,2,20,113,113,113,0,1,11.3,météo idéale
2009-01-10,33,14,6,14,30,25,0,26,10,1017,3.75,31,4,21,113,113,113,0,1,11.3,météo favorable
2009-01-11,32,15,9,15,30,27,0,33,10,1015,5.75,30,6,22,113,113,113,0,1,11.3,météo idéale
2009-01-12,33,18,9,18,30,27,0,23,10,1013,4.875,31,3,23,113,113,113,0,1,11.3,météo idéale
2009-01-13,32,16,9,16,29,28,0,27,10,1014,5.25,30,4,21,113,113,113,0,1,11.3,météo idéale
2009-01-14,32,17,11,17,29,27,0,28,10,1015,4.875,29,2,21,113,113,113,0,1,11.4,météo idéale
2009-01-15,33,17,10,17,30,28,0,27,10,1014,11.375,31,3,21,113,113,113,0,1,11.4,météo idéale
2009-01-16,34,17,9,17,31,28,0,26,10,1013,4.5,31,3,23,113,113,113,0,1,11.4,météo idéale
2009-01-17,31,18,9,18,28,27,0,25,10,1015,17.5,29,4,21,113,113,113,0,1,11.4,météo idéale
2009-01-18,28,19,12,19,27,24,0,25,10,1015,13.5,26,2,21,113,113,113,0,1,11.4,météo idéale
2009-01-19,28,18,12,18,25,26,0,28,10,1017,12.75,26,2,18,113,113,113,0,1,11.4,météo idéale
2009-01-20,29,17,10,17,25,25,0,22,10,1017,7.5,27,0,19,113,113,113,0,1,11.4,météo idéale
2009-01-21,29,16,11,16,26,25,0,20,10,1016,4.625,27,0,19,113,113,113,0,1,11.4,météo idéale
2009-01-22,23,17,14,17,23,21,0,34,10,1016,29.625,23,4,19,116,116,116,0,1,11.4,météo favorable
2009-01-23,24,17,13,17,23,22,0,21,10,1016,51.125,23,2,19,116,119,116,0,1,8.6,météo correcte
2009-01-24,28,18,10,18,24,25,0,12,10,1016,45.875,26,0,20,116,116,116,0,1,11.4,météo favorable
2009-01-25,32,14,9,14,28,26,0,14,10,1015,12.375,30,0,19,113,113,113,0,1,11.4,météo favorable
2009-01-26,33,15,10,15,30,27,0,13,10,1015,0.375,31,0,20,113,113,113,0,1,11.4,météo idéale
2009-01-27,33,12,5,12,33,25,0,15,10,1015,0.875,31,0,23,113,113,113,0,1,11.4,météo favorable
2009-01-28,32,21,8,21,28,28,0,24,10,1014,12.875,30,1,22,113,113,116,0,1,11.4,météo idéale
2009-01-29,36,14,9,14,33,30,0,19,10,1013,9,34,0,24,113,113,113,0,1,11.4,météo favorable
2009-01-30,35,17,11,17,33,30,0,45,10,1014,0.5,34,10,23,113,113,113,0,1,11.4,météo idéale
2009-01-31,36,17,8,17,34,31,0,43,10,1013,0.75,34,10,23,113,113,113,0,1,11.4,météo idéale
2009-02-01,37,17,5,17,34,29,0,57,10,1013,16.125,36,13,22,113,113,113,0,1,11.4,météo favorable
2009-02-02,37,20,7,20,33,31,0,72,10,1014,9.625,35,19,23,113,113,113,0,1,11.4,météo favorable
2009-02-03,36,19,9,19,34,32,0,60,10,1013,3.25,34,17,24,113,113,113,0,1,11.4,météo idéale
2009-02-04,36,21,12,21,34,33,0,33,10,1013,4,35,8,25,113,113,113,0,1,11.4,météo favorable
2009-02-05,37,20,8,20,36,33,0,50,10,1013,5.75,35,13,25,113,113,113,0,1,11.4,météo favorable
2009-02-06,37,22,10,22,33,31,0,67,10,1014,4.5,36,18,24,113,113,113,0,1,11.4,météo favorable
2009-02-07,36,19,12,19,32,33,0,55,10,1014,2.25,34,17,25,113,113,113,0,1,11.5,météo idéale
2009-02-08,34,17,13,17,31,32,0,42,10,1014,0,32,10,24,113,113,113,0,1,11.5,météo idéale
2009-02-09,35,16,12,16,32,32,0,27,10,1015,4.375,33,4,24,113,113,113,0,1,11.5,météo idéale
2009-02-10,36,16,13,16,33,32,0,28,10,1014,12.75,34,5,25,113,113,113,0,1,11.5,météo idéale
2009-02-11,36,18,9,18,35,32,0,41,10,1013,1.5,34,9,23,113,113,113,0,1,11.5,météo idéale
2009-02-12,37,18,7,18,33,32,0,67,10,1012,0.5,36,16,22,113,113,113,0,1,11.5,météo favorable
2009-02-13,38,18,8,18,33,32,0,67,10,1011,0.625,37,16,23,113,113,113,0,1,11.5,météo favorable
2009-02-14,37,18,7,18,33,31,0,57,10,1012,4.75,36,15,23,113,113,113,0,1,11.5,météo favorable
2009-02-15,37,20,8,20,33,32,0,52,10,1011,13.875,36,14,23,113,113,113,0,1,11.5,météo favorable
2009-02-16,36,20,7,20,33,31,0,50,10,1011,3.5,35,13,23,113,113,113,0,1,11.5,météo favorable
2009-02-17,36,19,7,19,33,32,0,47,10,1012,3.125,34,13,24,113,113,113,0,1,11.5,météo idéale
2009-02-18,34,24,9,24,33,30,0,48,10,1011,9.125,33,14,26,113,113,113,0,1,11.6,météo idéale
2009-02-19,33,23,8,23,31,29,0.1,51,10,1011,37.875,33,16,26,116,116,116,0,1,11.6,météo favorable
2009-02-20,30,22,10,22,25,27,0.8,85,9,1013,56,31,19,22,119,116,116,0,1,11.6,météo correcte
2009-02-21,33,21,12,21,30,31,0,62,10,1013,12.875,32,15,23,113,113,113,0,1,11.6,météo idéale
2009-02-22,36,19,13,19,33,33,0,47,10,1013,4.875,34,13,25,113,113,113,0,1,11.6,météo idéale
2009-02-23,37,19,12,19,34,34,0,41,10,1010,2.875,35,12,26,113,113,113,0,1,11.6,météo favorable
2009-02-24,37,20,8,20,34,32,0,62,10,1010,6.375,36,16,24,113,113,113,0,1,11.6,météo favorable
2009-02-25,36,22,8,22,34,33,0,56,10,1011,12.625,35,17,25,113,113,113,0,1,11.6,météo favorable
2009-02-26,35,23,11,23,35,31,0,59,10,1011,31.5,35,19,26,113,116,116,0,1,11.6,météo favorable
2009-02-27,34,23,9,23,34,30,0,69,10,1011,63.875,32,19,25,116,122,122,0,1,7.4,météo correcte
2009-02-28,36,24,7,24,34,33,0,45,10,1012,22.375,35,13,25,113,113,113,0,1,11.6,météo favorable
2009-03-01,37,21,9,21,35,35,0,38,10,1013,17.75,36,11,26,116,116,113,0,1,11.6,météo favorable
2009-03-02,39,21,7,21,37,35,0,58,10,1012,9.875,38,16,25,113,113,113,0,1,11.6,météo favorable
2009-03-03,40,23,9,23,35,32,0,64,10,1011,20.375,40,19,26,116,113,113,0,1,11.6,météo correcte
2009-03-04,39,25,9,25,36,34,0,54,10,1011,18.5,38,18,27,113,113,113,0,1,11.6,météo favorable
2009-03-05,38,23,7,23,37,34,0,59,10,1012,13.625,37,20,26,113,113,113,0,1,11.6,météo favorable
2009-03-06,38,22,7,22,36,34,0,56,10,1012,8.75,37,19,26,113,113,113,0,1,11.6,météo favorable
2009-03-07,38,21,6,21,36,33,0,55,10,1011,1.375,37,17,25,113,113,113,0,1,11.6,météo favorable
2009-03-08,37,19,9,19,35,34,0,34,10,1012,0.75,36,12,26,113,113,113,0,1,11.6,météo favorable
2009-03-09,41,19,5,19,38,34,0,45,10,1011,1.5,41,13,25,113,113,113,0,1,11.6,météo correcte
2009-03-10,38,22,11,22,34,32,0,50,10,1011,3.875,37,14,25,113,113,113,0,1,11.6,météo favorable
2009-03-11,39,23,9,23,34,33,0,50,10,1012,6,38,15,26,113,113,113,0,1,11.6,météo favorable
2009-03-12,39,22,9,22,36,34,0,49,10,1011,6.625,39,17,26,113,113,113,0,1,11.6,météo favorable
2009-03-13,39,23,9,23,37,32,0,44,10,1011,10.875,38,16,26,113,113,113,0,1,11.6,météo favorable
