DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,26,25,14,25,26,26,3.3,87,9.875,1011,51.5,29,23,25,353,176,353,0,6,13.3,météo favorable
2009-01-02,26,25,14,25,26,26,3.6,89,9.75,1012,59.5,29,24,25,176,176,119,0,6,10.9,météo correcte
2009-01-03,26,25,8,25,26,25,3.9,89,9.875,1013,54.125,29,24,25,116,353,353,0,6,12.1,météo correcte
2009-01-04,27,25,9,25,27,26,3.9,87,8.5,1013,69.5,31,24,25,293,353,266,0,6,12.1,météo défavorable
2009-01-05,27,25,10,25,27,26,2.4,86,8.25,1013,57.5,32,24,26,263,176,353,0,6,13.3,météo correcte
2009-01-06,26,26,12,26,26,26,2.7,89,10,1012,50.625,30,24,26,353,119,353,0,7,12.1,météo correcte
2009-01-07,27,26,14,26,27,26,3.2,89,9.75,1012,34.75,31,24,26,176,176,353,0,7,13.6,météo favorable
2009-01-08,28,26,9,26,28,27,0.9,85,9.875,1012,26.875,33,24,27,113,113,116,0,6,13.6,météo idéale
2009-01-09,28,25,7,26,28,26,0.7,84,9.875,1011,29.5,31,23,26,116,176,113,0,7,13.6,météo favorable
2009-01-10,27,25,16,26,27,25,7.2,88,9.375,1010,35.125,30,23,25,176,176,356,0,7,13.3,météo favorable
2009-01-11,26,24,24,25,26,25,10.9,87,9.125,1010,47.75,29,23,25,353,356,176,0,6,12.1,météo correcte
2009-01-12,27,25,17,25,27,25,0.2,83,9.875,1012,13.5,30,22,25,113,113,176,0,7,13.6,météo idéale
2009-01-13,26,25,15,25,26,25,0.3,83,10,1013,13.5,29,22,25,113,113,113,0,7,13.6,météo idéale
2009-01-14,26,24,15,24,26,25,0,80,10,1014,10.5,28,21,25,113,113,113,0,7,13.6,météo idéale
2009-01-15,27,24,12,25,27,26,0,81,10,1013,12,30,22,25,113,113,113,0,7,13.6,météo idéale
2009-01-16,28,25,14,26,28,27,0,82,10,1013,8.625,32,24,26,113,113,113,0,7,13.6,météo idéale
2009-01-17,27,26,25,26,27,26,5,87,9.875,1013,33,31,24,26,113,176,353,0,6,13.6,météo favorable
2009-01-18,27,26,23,26,27,26,4.1,88,9.875,1013,33.5,31,24,26,176,116,113,0,6,13.5,météo favorable
2009-01-19,27,25,24,25,27,26,6.8,88,9.25,1014,33.875,30,24,25,356,176,176,0,6,13.5,météo favorable
2009-01-20,28,25,22,26,27,27,0.2,81,10,1013,9.875,31,23,26,113,113,113,0,7,13.5,météo idéale
2009-01-21,27,25,24,25,27,26,0.7,85,9.75,1013,26.5,31,23,25,176,113,116,0,6,13.5,météo idéale
2009-01-22,27,26,31,26,27,26,0.1,84,10,1012,24.125,30,24,26,113,116,116,0,7,13.5,météo favorable
2009-01-23,28,26,11,26,28,26,4,85,9.5,1013,30.25,32,24,26,116,356,176,0,7,13.5,météo correcte
2009-01-24,27,26,9,26,27,26,5.6,87,9.375,1014,34.25,32,24,26,113,356,353,0,6,13.5,météo correcte
2009-01-25,27,26,16,26,27,26,2,87,9.625,1015,41.25,31,24,26,353,176,176,0,6,13.3,météo favorable
2009-01-26,27,26,25,26,27,26,0.9,84,9.875,1016,13.125,31,23,26,113,113,176,0,7,13.5,météo idéale
